,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-03,1.746B,,1.746B,,,,,,,,3.854B,,,,5.821M,5.606B,0.00,181.39M,,181.39M,,181.39M,,,,91.75M,127.90M,9.66M,,798.57M,1.209B,6.815B,,165.52M,,,165.52M,915.31M,1.081B,,66.97M,66.97M,40.89M,40.89M,,131.85M,1.321B,,3.167B,,3.167B,,,,,,3.167B,4.487B,,2.586M,926.89M,1.403B,,,-4.594M,2.328B,,AOR,Restated
2008-12,1.655B,,1.655B,,,,,,,,4.201B,,0.00,,11.99M,5.869B,0.00,164.95M,,164.95M,,164.95M,0.00,102.55M,102.55M,134.89M,297.76M,,373.57M,766.20M,1.840B,7.708B,,218.14M,,130.62M,348.75M,1.079B,1.428B,,237.56M,237.56M,,,,40.95M,1.706B,,3.166B,,3.166B,,,,,,3.166B,4.873B,,2.582M,1.442B,1.395B,,,-4.099M,2.836B,,,Restated
2008-09,1.174B,,1.174B,,,,,,,,5.230B,,,,15.23M,6.419B,0.00,17.25M,,17.25M,,17.25M,,,,,,,248.20M,1.498B,1.764B,8.183B,,334.57M,,,334.57M,1.039B,1.374B,,192.41M,192.41M,,,,107.49M,1.674B,,3.166B,,3.166B,,,,,159.72M,3.326B,5.000B,,2.575M,1.792B,1.392B,0.089M,-3.107M,-3.018M,3.183B,,,Restated
2008-06,988.34M,,988.34M,,,,,,,,5.726B,,,169.57M,,6.884B,0.00,333.92M,,333.92M,,333.92M,,,,,,,,1.361B,1.695B,8.579B,,359.34M,,,359.34M,1.080B,1.440B,,261.50M,261.50M,,,,242.82M,1.944B,,3.166B,,3.166B,,,,,,3.166B,5.110B,,2.574M,2.082B,1.387B,1.345M,-3.732M,-2.387M,3.470B,,,Restated
2008-03,1.071B,,1.071B,,,,,,,,6.180B,,,,,7.251B,0.00,19.51M,,19.51M,,19.51M,,,,,,,105.91M,1.671B,1.796B,9.047B,,360.57M,,,360.57M,1.085B,1.446B,,257.14M,257.14M,,,,108.10M,1.811B,,3.479B,,3.479B,,,,,133.23M,3.612B,5.423B,,2.574M,2.251B,1.374B,-0.094M,-3.342M,-3.436M,3.624B,,,Restated
2007-12,1.060B,,1.060B,118.19M,,263.16M,381.35M,,5.772B,1.064B,6.836B,143.23M,,,,8.421B,0.00,464.80M,341.03M,805.83M,-217.10M,588.73M,5.654M,110.70M,116.36M,,,,105.91M,993.88M,1.805B,10.23B,,418.64M,,,418.64M,75.78M,494.42M,,440.61M,440.61M,,,,126.76M,1.062B,,3.478B,,3.478B,,,,,1.365B,4.844B,5.906B,,2.571M,2.960B,1.363B,-0.451M,-4.432M,-4.883M,4.320B,,,
2007-09,101.79M,,101.79M,,,,,,,,8.131B,,,,,8.233B,,,,,,,40.07M,112.77M,152.84M,,,,702.21M,1.845B,2.700B,10.93B,,560.90M,,,560.90M,1.051B,1.612B,,311.08M,311.08M,,,,128.04M,2.051B,,3.478B,,3.478B,,,,,215.08M,3.693B,5.744B,,2.559M,3.846B,1.345B,-0.445M,-3.576M,-4.021M,5.189B,,,
2007-06,74.65M,,74.65M,,,,,,,,9.089B,,,,,9.164B,,,,,,,375.68M,114.83M,490.51M,,,,440.21M,1.857B,2.788B,11.95B,,609.80M,,,609.80M,1.115B,1.725B,,506.07M,506.07M,,,,273.10M,2.504B,,3.478B,,3.478B,,,,,,3.478B,5.981B,,2.559M,4.644B,1.328B,-0.167M,-3.473M,-3.64M,5.970B,,,
2007-03,116.95M,,116.95M,,,,,,,,9.423B,,,,,9.540B,,,,,,,375.68M,116.89M,492.57M,,,,171.43M,1.947B,2.611B,12.15B,,586.12M,,,586.12M,995.13M,1.581B,,286.59M,286.59M,,,,275.36M,2.143B,,3.538B,,3.538B,,,,,,3.538B,5.681B,,2.56M,5.162B,1.309B,-0.471M,-3.364M,-3.835M,6.470B,,,
2006-12,551.29M,,551.29M,,,,,,,,9.374B,,,,,9.926B,0.00,43.61M,,43.61M,,43.61M,375.68M,118.95M,494.63M,,,,170.52M,2.542B,3.251B,13.18B,,576.32M,,,576.32M,1.404B,1.980B,,814.71M,814.71M,,,,66.27M,2.861B,,3.538B,,3.538B,,,,,200.48M,3.738B,6.600B,,2.553M,5.293B,1.285B,-0.316M,-2.67M,-2.986M,6.577B,,,
2006-09,94.63M,,94.63M,,,,,,,,10.83B,,,,84.78M,11.01B,0.00,506.52M,,506.52M,,506.52M,377.04M,121.02M,498.06M,,,,,1.905B,2.910B,13.92B,,883.22M,,,883.22M,1.238B,2.121B,,1.288B,1.288B,,,,402.11M,3.811B,,3.538B,,3.538B,,,,,,3.538B,7.349B,,2.546M,5.314B,1.255B,,,-4.131M,6.567B,,,
2006-06,104.46M,,104.46M,,,,,,,,10.68B,,,,54.79M,10.84B,0.00,459.34M,,459.34M,,459.34M,377.04M,123.08M,500.12M,,,,,1.829B,2.788B,13.62B,,938.72M,,,938.72M,1.157B,2.096B,,1.092B,1.092B,,,,504.77M,3.692B,,3.537B,,3.537B,9.479M,9.479M,,,,3.547B,7.239B,,2.55M,5.151B,1.236B,,,-4.045M,6.385B,,,
2006-03,121.01M,,121.01M,,,,,,,,9.791B,,,,,9.912B,0.00,373.90M,,373.90M,,373.90M,375.94M,125.14M,501.08M,,,,,1.916B,2.791B,12.70B,,876.86M,,,876.86M,1.170B,2.047B,,471.52M,471.52M,,,,586.47M,3.105B,,3.387B,,3.387B,28.05M,28.05M,,,,3.415B,6.520B,,2.566M,4.960B,1.224B,,,-3.316M,6.183B,,,
2005-12,1.002B,,1.002B,,,,,,,,8.756B,,,,,9.758B,0.00,334.40M,,334.40M,,334.40M,307.69M,127.20M,434.90M,,,,12.69M,2.521B,3.302B,13.06B,,789.40M,,,789.40M,1.403B,2.192B,,893.00M,893.00M,,,,239.93M,3.325B,,3.387B,,3.387B,,,,,392.04M,3.779B,7.104B,,2.57M,4.751B,1.209B,,,-5.496M,5.957B,,,
2005-09,214.90M,,214.90M,,,,,,,,9.380B,,,,,9.594B,0.00,275.00M,,275.00M,,275.00M,,442.24M,442.24M,,,,,1.972B,2.689B,12.28B,,2.148B,,,2.148B,,2.148B,,461.74M,461.74M,,,,,2.609B,,3.511B,,3.511B,,,,,695.98M,4.207B,6.816B,,2.585M,4.277B,1.198B,,,-9.822M,5.467B,,,
2005-06,450.77M,,450.77M,,,,,,,,8.704B,,,,,9.154B,0.00,292.36M,,292.36M,,292.36M,,444.30M,444.30M,,,,,1.740B,2.477B,11.63B,,1.942B,,,1.942B,,1.942B,,455.84M,455.84M,,,,,2.398B,,3.511B,,3.511B,,,,,637.95M,4.149B,6.547B,,1.292M,3.910B,1.184B,,,-10.54M,5.084B,,,
2005-03,350.72M,,350.72M,,,,,,,,8.091B,,,,,8.442B,0.00,360.10M,,360.10M,,360.10M,,441.08M,441.08M,,,,,1.658B,2.460B,10.90B,,1.780B,,,1.780B,,1.780B,,338.67M,338.67M,,,,,2.119B,,3.510B,,3.510B,,,,,501.63M,4.012B,6.131B,,1.29M,3.621B,1.160B,,,-12.68M,4.770B,,,
2004-12,314.63M,,314.63M,,,,,,,,7.391B,,,,,7.705B,0.00,337.12M,,337.12M,,337.12M,,443.15M,443.15M,,,,,1.921B,2.701B,10.41B,,1.862B,,,1.862B,,1.862B,,617.42M,617.42M,,,,,2.479B,,2.862B,,2.862B,,,,,543.61M,3.405B,5.885B,,1.279M,3.419B,1.116B,,,-14.42M,4.522B,,,
2004-09,116.41M,,116.41M,,,,,,,,7.727B,,,,,7.843B,0.00,407.46M,,407.46M,,407.46M,,445.21M,445.21M,,,,,1.391B,2.244B,10.09B,,2.134B,,,2.134B,,2.134B,,854.34M,854.34M,,,,,2.989B,,2.861B,,2.861B,13.03M,13.03M,,,121.60M,2.996B,5.984B,,1.276M,3.041B,1.101B,,,-40.69M,4.103B,,,
2004-06,90.32M,,90.32M,,,,,,,,6.801B,,,,,6.891B,,,,,,,,447.27M,447.27M,,,,,1.607B,2.054B,8.945B,,2.007B,,,2.007B,,2.007B,,417.22M,417.22M,,109.16M,109.16M,,2.534B,,2.574B,,2.574B,25.75M,25.75M,,,,2.600B,5.133B,,1.269M,2.777B,1.074B,,,-41.50M,3.811B,,,
2004-03,464.41M,,464.41M,,,,,,,,6.009B,,,,,6.474B,,,,,,,,449.34M,449.34M,,,,,1.431B,1.881B,8.354B,,1.822B,,,1.822B,,1.822B,,255.74M,255.74M,,38.28M,38.28M,,2.116B,,2.574B,,2.574B,39.98M,39.98M,,,,2.614B,4.729B,,1.268M,2.596B,1.065B,,,-37.14M,3.625B,,,
2003-12,401.88M,,401.88M,,,,,,,,5.511B,,,,,5.913B,,,,,,,,451.40M,451.40M,,,,8.799M,1.699B,2.160B,8.072B,,452.65M,,,452.65M,1.071B,1.524B,,479.29M,479.29M,,18.02M,18.02M,372.51M,2.394B,,2.151B,,2.151B,,,,,79.39M,2.230B,4.624B,,1.252M,2.471B,1.016B,,,-39.80M,3.448B,,,
2003-09,312.15M,,312.15M,,,,,,,,5.474B,,,,,5.786B,0.00,62.32M,,62.32M,,62.32M,,453.46M,453.46M,,,,41.58M,1.531B,2.088B,7.874B,,1.871B,,,1.871B,,1.871B,,468.07M,468.07M,,,,,2.339B,,2.254B,,2.254B,,,,,127.65M,2.382B,4.721B,,0.616M,2.229B,966.06M,,,-42.45M,3.153B,,,
2003-06,391.09M,,391.09M,,,,,,,,5.018B,,,,,5.409B,0.00,60.00M,,60.00M,,60.00M,,455.52M,455.52M,,,,,1.404B,1.920B,7.329B,,1.638B,,,1.638B,,1.638B,,381.36M,381.36M,,,,,2.019B,,2.270B,,2.270B,,,,,55.69M,2.326B,4.345B,,0.616M,2.063B,958.90M,,,-38.06M,2.984B,,,
2003-03,479.58M,,479.58M,,,,,,,,4.604B,,,,49.75M,5.134B,,,,,,,,457.58M,457.58M,,,,4.948M,1.207B,1.669B,6.803B,,1.377B,,,1.377B,,1.377B,,343.72M,343.72M,,,,41.68M,1.762B,,2.210B,,2.210B,,,,,,2.210B,3.972B,,0.611M,1.943B,932.95M,,,-45.92M,2.831B,,,
2002-12,613.17M,,613.17M,,,,,,,,4.294B,,,,,4.907B,,,,,,,,459.65M,459.65M,,,,11.74M,1.494B,1.965B,6.872B,,376.65M,,,376.65M,906.29M,1.283B,,559.62M,559.62M,,,,265.82M,2.108B,,1.913B,,1.913B,,,,,90.01M,2.003B,4.112B,,1.222M,1.872B,932.55M,,,-45.24M,2.760B,,,
2002-09,212.08M,,212.08M,,,,,,,,4.439B,,,,,4.651B,,,,,,,,461.18M,461.18M,,,,51.35M,1.155B,1.668B,6.319B,,1.425B,,,1.425B,,1.425B,,301.70M,301.70M,,,,,1.727B,,1.918B,,1.918B,,,,,80.97M,1.999B,3.726B,,0.612M,1.705B,931.92M,,,-45.09M,2.593B,,,
2002-06,212.77M,,212.77M,,,,,,,,4.245B,,,,,4.458B,,,,,,,,463.22M,463.22M,,,,57.78M,1.128B,1.649B,6.107B,,1.329B,,,1.329B,,1.329B,,272.92M,272.92M,,,,,1.602B,,1.949B,,1.949B,,,,,88.08M,2.037B,3.639B,,0.611M,1.584B,926.28M,,,-43.36M,2.468B,,,
2002-03,59.77M,,59.77M,,,,,,,,3.972B,,,,,4.032B,,,,,,,,465.26M,465.26M,,,,40.49M,1.070B,1.576B,5.608B,,1.099B,,,1.099B,,1.099B,,386.26M,386.26M,,,,,1.486B,,1.723B,,1.723B,,,,,23.42M,1.746B,3.232B,,0.607M,1.497B,914.18M,,,-35.04M,2.376B,,,
2001-12,72.14M,,72.14M,,,,,,,,3.834B,,,,,3.906B,,,,,,,,467.30M,467.30M,,,,67.02M,1.271B,1.805B,5.711B,,333.84M,,,333.84M,618.26M,952.11M,,523.68M,523.68M,,,,200.21M,1.676B,,1.723B,,1.723B,,,,,35.37M,1.758B,3.434B,,0.592M,1.431B,862.88M,,,-17.83M,2.277B,,,
2001-09,59.75M,,59.75M,,,,,,,,4.002B,,,,,4.062B,,,,,,,,450.86M,450.86M,,,,23.70M,1.185B,1.659B,5.721B,,1.253B,,,1.253B,,1.253B,,337.80M,337.80M,,,,,1.590B,,1.895B,,1.895B,,,,,66.18M,1.961B,3.551B,,0.439M,1.314B,857.90M,,,-2.409M,2.170B,,,
2001-06,101.80M,,101.80M,,,,,,,,2.290B,,,,,2.392B,,,,,,,,,,,,,44.74M,791.18M,835.92M,3.228B,,750.99M,,,750.99M,,750.99M,,196.19M,196.19M,,,,,947.17M,,884.92M,,884.92M,,,,,36.10M,921.02M,1.868B,,0.422M,1.234B,128.21M,,,-2.781M,1.359B,,,
2001-03,199.34M,,199.34M,,,,,,,,2.049B,,,,,2.249B,,,,,,,,,,,,,42.76M,751.56M,794.32M,3.043B,,650.46M,,,650.46M,,650.46M,,209.83M,209.83M,,,,,860.29M,,886.24M,,886.24M,,,,,0.775M,887.01M,1.747B,,0.421M,1.175B,125.56M,,,-5.779M,1.296B,,,
2000-12,183.98M,,183.98M,,,,,,,,1.897B,,,,,2.081B,,,,,,,30.45M,,30.45M,,,,56.57M,718.62M,805.64M,2.886B,,220.92M,,,220.92M,487.26M,708.18M,,242.60M,242.60M,,,,,950.78M,,677.60M,,677.60M,,,,,10.17M,687.77M,1.639B,,0.416M,1.138B,109.59M,,,0.185M,1.248B,,,
2000-09,32.13M,,32.13M,,,,,,,,2.053B,,,,,2.085B,,,,,,,,,,,,,,,810.88M,2.896B,,811.99M,,,811.99M,,811.99M,,188.66M,188.66M,,,,,1.001B,,685.85M,,685.85M,,,,,69.81M,755.66M,1.756B,,0.407M,1.054B,85.10M,,,0.238M,1.140B,,,
2000-06,30.72M,,30.72M,,,,,,,,1.984B,,,,,2.014B,,,,,,,,,,,,,,,809.13M,2.824B,,714.35M,,,714.35M,,714.35M,,238.03M,238.03M,,,,,952.38M,,701.22M,,701.22M,,,,,62.73M,763.95M,1.716B,,0.405M,1.029B,77.93M,,,-0.062M,1.107B,,,
2000-03,38.86M,,38.86M,,,,,,,,1.993B,,,,,2.031B,,,,,,,,,,,,,,,662.61M,2.694B,,658.82M,,,658.82M,,658.82M,,357.09M,357.09M,,,,,1.016B,,524.64M,,524.64M,,,,,57.27M,581.91M,1.598B,,0.421M,1.018B,77.71M,,,-0.286M,1.096B,,,
1999-12,51.80M,,51.80M,,,,,,,,1.793B,,,,,1.844B,,,,,,,,,,,,,,,642.90M,2.487B,,207.40M,,,207.40M,,207.40M,,214.00M,214.00M,,,,,421.40M,,526.00M,,526.00M,,,,,446.70M,972.70M,1.394B,,0.40M,1.016B,77.10M,,,-0.30M,1.093B,,,
1999-09,30.60M,,30.60M,,,,,,,,1.879B,,,,,1.910B,,,,,,,,,,,,,,,709.40M,2.619B,,702.00M,,,702.00M,,702.00M,,313.60M,313.60M,,,,,1.016B,,518.40M,,518.40M,,,,,61.00M,579.40M,1.595B,,,946.40M,,,,,1.024B,,,
1999-06,25.40M,,25.40M,,,,,,,,1.724B,,,,,1.749B,,,,,,,,,,,,,,,718.40M,2.468B,,622.50M,,,622.50M,,622.50M,,259.40M,259.40M,,,,,881.90M,,540.90M,,540.90M,,,,,64.60M,605.50M,1.487B,,,902.80M,,,,,980.20M,,,
1999-03,44.50M,,44.50M,,,,,,,,1.583B,,,,,1.627B,,,,,,,,,,,,,,,672.50M,2.300B,,566.80M,,,566.80M,,566.80M,,174.30M,174.30M,,,,,741.10M,,541.80M,,541.80M,,,,,72.40M,614.20M,1.355B,,,867.40M,,,,,944.60M,,,
1998-12,125.20M,,125.20M,,,,,,,,1.455B,,,,,1.580B,,,,,,,,,,,,,,,769.40M,2.350B,,575.40M,,,575.40M,,575.40M,,217.10M,217.10M,,,,,792.50M,,542.00M,,542.00M,,,,,93.90M,635.90M,1.428B,,0.40M,844.80M,75.10M,,,1.10M,921.40M,,,
1998-09,172.10M,,172.10M,,,,,,,,1.403B,,,,,1.575B,,,,,,,,,,,,,,,718.10M,2.293B,,621.40M,,,621.40M,,621.40M,,117.50M,117.50M,,,,,738.90M,,569.30M,,569.30M,,,,,101.70M,671.00M,1.410B,,,806.30M,,,,,883.00M,,,
1998-06,304.40M,,304.40M,,,,,,,,1.197B,,,,,1.501B,,,,,,,,,,,,,,,699.10M,2.200B,,508.60M,,,508.60M,,508.60M,,147.20M,147.20M,,,,,655.80M,,572.60M,,572.60M,,,,,114.90M,687.50M,1.343B,,,781.20M,,,,,856.80M,,,
1998-03,329.20M,,329.20M,,,,,,,,1.10B,,,,,1.429B,,,,,,,,,,,,,,,646.00M,2.075B,,421.00M,,,421.00M,,421.00M,,121.30M,121.30M,,,,0.10M,542.40M,,575.50M,,575.50M,,,,,133.20M,708.70M,1.251B,,,759.10M,,,,,824.10M,,,
1997-12,245.20M,,245.20M,,,,,,,,1.142B,,,,,1.387B,,,,,,,,,,,,,,,742.20M,2.129B,,482.10M,,,482.10M,,482.10M,,162.70M,162.70M,,,,,644.80M,,547.00M,,547.00M,,,,,124.80M,671.80M,1.317B,,,749.10M,,,,,812.80M,,,
1997-09,58.70M,,58.70M,,,,,,,,1.222B,,,,0.10M,1.281B,,,,,,,,,,,,,,,734.80M,2.016B,,474.90M,,,474.90M,,474.90M,,194.40M,194.40M,,,,,669.30M,,441.10M,,441.10M,,,,,110.50M,551.60M,1.221B,,,802.00M,,,,,794.90M,,,
1997-06,84.20M,,84.20M,,,,,,,,1.151B,,,,,1.235B,,,,,,,,,,,,,,,737.40M,1.973B,,422.50M,,,422.50M,,422.50M,,225.40M,225.40M,,,,,647.90M,,436.30M,,436.30M,,,,,117.50M,553.80M,1.202B,,,785.70M,,,,,771.00M,,,
1997-03,64.50M,,64.50M,,,,,,,,1.111B,,,,,1.175B,,,,,,,,,,,,,,,703.20M,1.878B,,384.60M,,,384.60M,,384.60M,,94.90M,94.90M,,,,,479.50M,,439.10M,,439.10M,,,,,127.00M,566.10M,1.046B,,,772.30M,,,,,832.90M,,,
1996-12,192.20M,,192.20M,,,,,,,,1.017B,,,,,1.210B,,,,,,,,,,,,,,,775.60M,1.985B,,439.60M,,,439.60M,,439.60M,,154.10M,154.10M,,,,,593.70M,,436.50M,,436.50M,,,,,125.60M,562.10M,1.156B,,,770.10M,,,,,829.30M,,,
1996-09,121.30M,,121.30M,,,,,,,,1.065B,,,,,1.186B,,,,,,,,,,,,,,,762.50M,1.949B,,439.80M,,,439.80M,,439.80M,,115.60M,115.60M,,,,54.40M,609.80M,,387.60M,,387.60M,,,,,141.90M,529.50M,1.139B,,,749.70M,,,,,809.30M,,,
1996-06,177.70M,,177.70M,,,,,,,,972.90M,,,,,1.151B,,,,,,,,,,,,,,,700.50M,1.851B,,418.30M,,,418.30M,,418.30M,,117.90M,117.90M,,,,57.20M,593.40M,,362.70M,,362.70M,,,,,179.00M,541.70M,1.135B,,,653.50M,,,,,716.00M,,,
1996-03,177.50M,,177.50M,,,,,,,,920.80M,,,,,1.098B,,,,,,,,,,,,,,,822.70M,1.921B,,369.10M,,,369.10M,,369.10M,,96.30M,96.30M,,,,47.70M,513.10M,,528.70M,,528.70M,,,,,125.10M,653.80M,1.167B,,,683.60M,,,,,754.10M,,,
1995-12,295.20M,,295.20M,,,,,,,,859.70M,,,,,1.155B,,,,,,,,,,,,,,,893.60M,2.048B,,381.40M,,,381.40M,,381.40M,,140.60M,140.60M,,,,45.40M,567.40M,,589.30M,,589.30M,,,,,130.80M,720.10M,1.288B,,,686.60M,,,,,761.00M,,,
1995-09,84.90M,,84.90M,,,,,,,,910.10M,,,,,995.00M,,,,,,,,,,,,,,,911.30M,1.906B,,372.60M,,,372.60M,,372.60M,,93.60M,93.60M,,,,,466.20M,,529.70M,,529.70M,,,,,175.70M,705.40M,1.172B,,,591.20M,,,,,734.70M,,,
1995-06,107.30M,,107.30M,,,,,,,,862.60M,,,,,969.90M,,,,,,,,,,,,,,,992.20M,1.962B,,335.90M,,,335.90M,,335.90M,,112.00M,112.00M,,,,,447.90M,,541.70M,,541.70M,,,,,262.60M,804.30M,1.252B,,,578.10M,,,,,709.90M,,,
1995-03,196.90M,,196.90M,,,,,,,,831.30M,,,,,1.028B,,,,,,,,,,,,,,,878.80M,1.907B,,307.60M,,,307.60M,,307.60M,,85.40M,85.40M,,,,,393.00M,,552.00M,,552.00M,,,,,253.80M,805.80M,1.199B,,,,,,,,708.20M,,,
1994-12,281.50M,,281.50M,,,,,,,,752.40M,,,,,1.034B,,,,,,,,,,,,,,,907.50M,1.941B,,332.00M,,,332.00M,,332.00M,,76.10M,76.10M,,,,,408.10M,,563.30M,,563.30M,,,,,259.40M,822.70M,1.231B,,,634.70M,,,,,710.60M,,,
1994-09,1.353B,,1.353B,,,,,,,,744.60M,,,,,2.098B,,,,,,,,,,,,,,,1.126B,3.223B,,342.20M,,,342.20M,,342.20M,,91.40M,91.40M,,,,,433.60M,,740.00M,,740.00M,,,,,1.380B,2.120B,2.554B,,,,,,,,669.50M,,,
1994-06,72.60M,,72.60M,,,,,,,,690.20M,,,,,762.80M,,,,,,,,,,,,,,,2.340B,3.102B,,328.20M,,,328.20M,,328.20M,,134.50M,134.50M,,,,,462.70M,,513.40M,,513.40M,,,,,1.482B,1.995B,2.458B,,,,,,,,644.50M,,,
1994-03,24.30M,,24.30M,,,,,,,,636.70M,,,,,661.00M,,,,,,,,,,,,,,,3.159B,3.820B,,289.50M,,,289.50M,,289.50M,,82.30M,82.30M,,,,,371.80M,,556.20M,,556.20M,,,,,2.335B,2.892B,3.263B,,,,,,,,557.00M,,,
1993-12,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.811B,3.811B,,,,,,,,,619.30M,619.30M,,,,-619.30M,0.00,,384.90M,,384.90M,,,,,2.870B,3.255B,3.255B,,,478.60M,,,,,556.30M,,,
1993-09,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.777B,3.777B,,,,,,,,,262.70M,262.70M,,,,-262.70M,0.00,,1.220B,,1.220B,,,,,2.02B,3.240B,3.240B,,,459.00M,,,,,536.20M,,,
1993-06,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.61B,3.61B,,,,,,,,,333.60M,333.60M,,,,-333.60M,0.00,,1.032B,,1.032B,,,,,2.061B,3.093B,3.093B,,,364.50M,,,,,516.90M,,,
1993-03,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.712B,3.712B,,,,,,,,,444.80M,444.80M,,,,-444.80M,0.00,,1.088B,,1.088B,,,,,2.128B,3.217B,3.217B,,,350.10M,,,,,495.60M,,,
1992-12,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.706B,3.706B,,,,,,,,,511.50M,511.50M,,,,-511.50M,0.00,,412.50M,,412.50M,,,,,2.812B,3.224B,3.224B,,,405.80M,,,,,481.40M,,,
1992-09,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.856B,3.856B,,,,,,,,,17.10M,17.10M,,,,-17.10M,0.00,,1.902B,,1.902B,,,,,1.498B,3.400B,3.400B,,,322.10M,,,,,456.70M,,,
1992-06,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.811B,3.811B,,,,,,,,,16.40M,16.40M,,,,-16.40M,0.00,,1.878B,,1.878B,,,,,1.495B,3.373B,3.373B,,,364.50M,,,,,438.50M,,,
1992-03,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.899B,3.899B,,,,,,,,,19.80M,19.80M,,,,-19.80M,0.00,,1.961B,,1.961B,,,,,1.514B,3.475B,3.475B,,,350.10M,,,,,424.10M,,,
1991-12,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.635B,3.635B,,,,,,,,,18.20M,18.20M,,,,-18.20M,0.00,,1.764B,,1.764B,,,,,1.514B,3.278B,3.278B,,,342.20M,,,,,356.80M,,,
1991-09,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.753B,3.753B,,,,,,,,,16.30M,16.30M,,,,-16.30M,0.00,,1.901B,,1.901B,,,,,1.518B,3.419B,3.419B,,,324.00M,,,,,334.10M,,,
1991-06,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.749B,3.749B,,,,,,,,,22.80M,22.80M,,,,-22.80M,0.00,,1.957B,,1.957B,,,,,1.469B,3.426B,3.426B,,,311.20M,,,,,323.20M,,,
1991-03,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.851B,3.851B,,,,,,,,,25.00M,25.00M,,,,-25.00M,0.00,,2.095B,,2.095B,,,,,1.440B,3.536B,3.536B,,,304.00M,,,,,315.70M,,,
1990-12,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,3.993B,3.993B,,,,,,,,,34.10M,34.10M,,,,-34.10M,0.00,,2.223B,,2.223B,,,,,1.453B,3.677B,3.677B,,,304.40M,,,,,316.10M,,,
1990-09,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,4.180B,4.180B,,,,,,,,,39.20M,39.20M,,,,-39.20M,0.00,,2.370B,,2.370B,,,,,1.497B,3.867B,3.867B,,,328.20M,,,,,312.90M,,,
1990-06,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,4.203B,4.203B,,,,,,,,,40.30M,40.30M,,,,-40.30M,0.00,,2.400B,,2.400B,,,,,1.494B,3.894B,3.894B,,,323.70M,,,,,308.80M,,,
1990-03,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,4.257B,4.257B,,,,,,,,,45.20M,45.20M,,,,-45.20M,0.00,,2.486B,,2.486B,,,,,1.454B,3.940B,3.940B,,,315.90M,,,,,317.10M,,,
1989-12,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,4.325B,4.325B,,,,,,,,,,,,,,,0.00,,900.90M,,900.90M,,,,,3.119B,4.020B,4.020B,,,277.60M,,,,,305.60M,,,
1988-12,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,4.892B,4.892B,,,,,,,,,,,,,,,0.00,,206.60M,,206.60M,,,,,4.431B,4.638B,4.638B,,,226.80M,,,,,254.60M,,,
1987-12,370.60M,,370.60M,,,,287.80M,,,,360.30M,,,,811.60M,1.830B,,,,0.00,-8.70M,-8.70M,,,,,,,,1.921B,1.912B,3.742B,,,,,,,,,657.90M,657.90M,,,,698.70M,1.357B,,266.80M,,266.80M,106.50M,106.50M,,,1.787B,2.160B,3.517B,,,198.00M,,,,,225.50M,,,
