,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,367.09M,369.63M,736.72M,,,,,531.79M,6.968B,,7.500B,,34.82M,,,8.349B,,,,,,,,,134.09M,61.72M,,,511.38M,759.23M,1.466B,9.816B,,399.33M,,22.48M,421.81M,1.242B,1.664B,,,,354.97M,354.97M,,,2.019B,,3.270B,,3.270B,,,,,,3.270B,5.289B,,2.843M,1.333B,3.191B,,,-0.395M,4.527B,,AOR,Restated
2018-03,150.82M,385.45M,536.27M,,,,,553.90M,6.911B,,7.465B,,33.97M,,,8.105B,,,,,,,,,137.54M,64.81M,,,614.90M,784.36M,1.602B,9.706B,,446.30M,,115.67M,561.97M,1.226B,1.788B,,,,308.86M,308.86M,,,2.097B,,3.335B,,3.335B,,,,,,3.335B,5.432B,,2.859M,1.088B,3.185B,,,-0.424M,4.275B,,AOR,Restated
2017-12,272.68M,570.60M,843.28M,213.41M,16.77M,76.31M,313.45M,589.91M,6.557B,,7.147B,324.90M,33.48M,,,8.731B,,,277.21M,277.21M,-206.50M,70.71M,40.40M,100.59M,140.99M,62.96M,,,645.30M,36.07M,956.02M,9.687B,,393.82M,,86.92M,480.74M,1.115B,1.596B,34.64M,34.64M,34.64M,250.78M,250.78M,,,1.881B,72.71M,3.445B,,3.445B,,,134.01M,,,3.651B,5.533B,,2.868M,980.06M,3.172B,,,-0.445M,4.154B,,AOR,Restated
2017-09,158.24M,364.73M,522.97M,,,,,565.56M,6.805B,,7.370B,,38.86M,,,8.028B,,,,,,,,,144.44M,61.50M,,,939.76M,797.44M,1.943B,9.971B,,441.48M,,,441.48M,1.439B,1.881B,,,,306.64M,306.64M,,,2.187B,,3.439B,,3.439B,,,,,,3.439B,5.626B,,2.94M,1.179B,3.163B,,,-0.465M,4.345B,,AOR,Restated
2017-06,208.20M,364.94M,573.14M,,,,,627.63M,6.463B,,7.090B,,31.65M,,,7.800B,,,,,,,,,147.89M,59.62M,,,986.79M,818.97M,2.013B,9.813B,,407.69M,,,407.69M,1.407B,1.814B,,,,290.89M,290.89M,,,2.105B,,3.264B,,3.264B,,,,,,3.264B,5.369B,,3.037M,1.289B,3.153B,,,-0.485M,4.444B,,AOR,Restated
2017-03,397.76M,345.38M,743.14M,,,,,696.84M,6.331B,,7.028B,,26.10M,,,7.846B,,,,,,,,,151.34M,65.29M,,,1.028B,829.62M,2.075B,9.921B,,367.18M,,41.94M,409.12M,1.360B,1.770B,,,,240.74M,240.74M,,,2.010B,,3.250B,,3.250B,,,,,,3.250B,5.261B,,3.161M,1.516B,3.141B,,,-0.505M,4.660B,,AOR,Restated
2016-12,698.88M,539.50M,1.238B,307.34M,29.11M,90.71M,436.44M,777.29M,5.993B,,6.771B,302.18M,24.37M,,,8.804B,,,270.34M,270.34M,-192.90M,77.44M,40.40M,114.39M,154.79M,51.45M,,,1.049B,41.36M,1.374B,10.18B,,405.46M,,34.86M,440.32M,1.205B,1.645B,35.11M,35.11M,35.11M,187.89M,187.89M,,,1.868B,66.13M,3.461B,,3.461B,,,123.73M,,,3.651B,5.519B,,3.191M,1.540B,3.116B,,,-0.526M,4.659B,,AOR,Restated
2016-09,434.20M,349.01M,783.22M,,,,,744.28M,6.206B,,6.950B,,26.98M,,,7.818B,,,,,,,,,158.24M,51.77M,,,1.196B,647.71M,2.054B,9.872B,,378.42M,,33.56M,411.98M,1.270B,1.682B,,,,248.30M,248.30M,,,1.931B,,3.269B,,3.269B,,,,,,3.269B,5.200B,,3.324M,1.548B,3.121B,,,-0.548M,4.672B,,AOR,Restated
2016-06,229.19M,364.00M,593.19M,,,,,866.13M,5.763B,,6.629B,,26.48M,,,7.335B,,,,,,,,,161.37M,52.50M,,,1.277B,681.17M,2.172B,9.507B,,340.85M,,33.98M,374.83M,1.269B,1.644B,,,,252.26M,252.26M,,,1.896B,,2.793B,,2.793B,,,,,,2.793B,4.689B,,3.438M,1.700B,3.115B,,,-0.568M,4.818B,,AOR,Restated
2016-03,995.70M,290.58M,1.286B,,,,,812.96M,5.390B,,6.202B,,22.42M,,,7.596B,,,,,,,,,163.18M,53.09M,,,1.345B,686.16M,2.247B,9.843B,,331.93M,,33.46M,365.39M,1.295B,1.660B,,,,223.69M,223.69M,,,1.884B,,3.186B,,3.186B,,,,,,3.186B,5.070B,,3.463M,1.662B,3.109B,,,-0.588M,4.774B,,AOR,Restated
