,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,5.239B,5.239B,3.659B,1.58B,402.00M,410.00M,812.00M,,-182.00M,42.00M,99.00M,,-99.00M,,1.186B,394.00M,,99.00M,-99.00M,-172.00M,-99.00M,123.00M,34.00M,153.00M,,,0.00,153.00M,284.04M,554.00M,332.00M,222.00M,,0.39,,,,0.7240,0.39,,0.39,,,,0.7210,0.39,,392.31M,395.90M,0.5125,,AOR,
2020-09,5.123B,5.123B,3.541B,1.582B,377.00M,360.00M,737.00M,,-98.00M,44.00M,148.00M,36.00M,-112.00M,,1.101B,481.00M,36.00M,148.00M,-112.00M,-87.00M,-112.00M,282.00M,50.00M,204.00M,,,0.00,204.00M,284.36M,750.00M,320.00M,430.00M,,0.52,,,,0.7244,0.52,,0.52,,,,0.7236,0.52,,393.10M,394.60M,0.5125,,AOR,
2020-06,4.866B,4.866B,3.427B,1.439B,365.00M,332.00M,697.00M,,-26.00M,41.00M,156.00M,40.00M,-116.00M,,1.05B,389.00M,40.00M,156.00M,-116.00M,-12.00M,-116.00M,261.00M,67.00M,266.00M,,,0.00,266.00M,285.24M,729.00M,312.00M,417.00M,,0.67,,,,0.7189,0.67,,0.67,,,,0.7189,0.67,,393.10M,393.10M,0.5125,,AOR,
2020-03,5.352B,5.352B,3.746B,1.606B,407.00M,418.00M,825.00M,,-319.00M,44.00M,163.00M,46.00M,-117.00M,,1.192B,414.00M,46.00M,163.00M,-117.00M,-313.00M,-117.00M,-16.00M,94.00M,-141.00M,,,0.00,-141.00M,91.87M,470.00M,323.00M,147.00M,,-0.36,,,,0.2331,-0.36,,-0.36,,,,0.2331,-0.36,,392.60M,392.60M,0.5125,,AOR,
2019-12,5.498B,5.498B,3.666B,1.832B,392.00M,445.00M,837.00M,,-88.00M,42.00M,168.00M,55.00M,-113.00M,,1.222B,610.00M,55.00M,168.00M,-113.00M,-97.00M,-113.00M,400.00M,263.00M,166.00M,,,-1.00M,165.00M,229.24M,911.00M,343.00M,568.00M,,0.42,0.00,,,0.5838,0.42,,0.42,0.00,,,0.5821,0.42,,392.30M,396.40M,0.5125,,AOR,
2019-09,5.568B,5.568B,3.772B,1.796B,395.00M,387.00M,782.00M,,-61.00M,42.00M,177.00M,54.00M,-123.00M,,1.151B,645.00M,54.00M,177.00M,-123.00M,-70.00M,-123.00M,452.00M,137.00M,342.00M,,,2.00M,344.00M,386.70M,956.00M,327.00M,629.00M,,0.88,,,,0.9888,0.88,,0.87,,,,0.9780,0.87,,392.60M,395.40M,0.50,,AOR,Restated
2019-06,5.667B,5.667B,3.901B,1.766B,384.00M,402.00M,786.00M,,-152.00M,43.00M,177.00M,55.00M,-122.00M,,1.15B,616.00M,55.00M,177.00M,-122.00M,-160.00M,-122.00M,334.00M,128.00M,286.00M,,,6.00M,292.00M,386.24M,832.00M,321.00M,511.00M,,0.74,,,,0.9779,0.74,,0.73,,,,0.9667,0.73,,396.10M,398.20M,0.50,,AOR,Restated
2019-03,5.643B,5.643B,3.929B,1.714B,389.00M,413.00M,802.00M,,7.00M,43.00M,184.00M,51.00M,-133.00M,,1.16B,554.00M,51.00M,184.00M,-133.00M,-3.00M,-133.00M,418.00M,106.00M,426.00M,,,-2.00M,424.00M,418.75M,917.00M,315.00M,602.00M,,1.06,,,,1.047,1.06,,1.05,,,,1.037,1.05,,400.50M,403.20M,0.50,,AOR,Restated
2018-12,5.951B,5.951B,3.798B,2.153B,401.00M,446.00M,847.00M,,19.00M,41.00M,187.00M,52.00M,-135.00M,,1.226B,927.00M,52.00M,187.00M,-135.00M,-410.00M,-135.00M,382.00M,143.00M,318.00M,0.00,,-2.00M,316.00M,304.11M,907.00M,338.00M,569.00M,,0.79,0.00,,,0.7604,0.79,,0.78,0.00,,,0.7509,0.78,,402.20M,407.90M,0.50,,AOR,Restated
2018-09,5.901B,5.901B,3.887B,2.014B,397.00M,405.00M,802.00M,,-122.00M,44.00M,184.00M,51.00M,-133.00M,,1.181B,833.00M,51.00M,184.00M,-133.00M,-147.00M,-133.00M,553.00M,83.00M,562.00M,0.00,,0.00,562.00M,665.70M,1.072B,335.00M,737.00M,,1.38,0.00,,,1.635,1.38,,1.37,0.00,,,1.622,1.37,,407.40M,411.40M,0.475,,AOR,Restated
2018-06,5.833B,5.833B,3.922B,1.911B,403.00M,451.00M,854.00M,,-26.00M,42.00M,183.00M,50.00M,-133.00M,,1.226B,685.00M,50.00M,183.00M,-133.00M,-62.00M,-133.00M,490.00M,130.00M,430.00M,-23.00M,,-2.00M,405.00M,446.98M,1.003B,330.00M,673.00M,,1.03,-0.05,,,1.076,0.98,,1.02,-0.05,,,1.065,0.97,,413.20M,417.70M,0.475,,AOR,Restated
2018-03,5.621B,5.621B,3.948B,1.673B,366.00M,421.00M,787.00M,,-22.00M,44.00M,180.00M,45.00M,-135.00M,,1.156B,517.00M,45.00M,180.00M,-135.00M,-26.00M,-135.00M,356.00M,89.00M,362.00M,368.00M,,-1.00M,729.00M,377.50M,861.00M,325.00M,536.00M,,0.87,0.89,,,0.9099,1.76,,0.86,0.88,,,0.8995,1.74,,413.50M,418.20M,0.475,,AOR,Restated
2017-12,5.711B,5.711B,3.702B,2.009B,373.00M,434.00M,807.00M,,-83.00M,45.00M,327.00M,,-141.00M,,1.191B,818.00M,,327.00M,-141.00M,-480.00M,-141.00M,197.00M,-1.207B,1.468B,-8.00M,,0.00,1.46B,1.518B,872.00M,348.00M,524.00M,,3.56,-0.02,,,3.681,3.54,,3.52,-0.02,,,3.639,3.50,,413.00M,418.60M,0.475,,AOR,Restated
2017-09,5.517B,5.517B,3.713B,1.804B,354.00M,401.00M,755.00M,,0.00,41.00M,152.00M,,-152.00M,,1.146B,658.00M,,152.00M,-152.00M,-49.00M,-152.00M,457.00M,136.00M,366.00M,29.00M,,0.00,395.00M,366.00M,982.00M,373.00M,609.00M,,0.89,0.07,,,0.89,0.96,,0.88,0.07,,,0.88,0.95,,412.90M,417.40M,0.4625,,AOR,Restated
2017-06,5.383B,5.383B,3.749B,1.634B,359.00M,393.00M,752.00M,,-347.00M,41.00M,186.00M,49.00M,-137.00M,,1.127B,507.00M,49.00M,186.00M,-137.00M,-393.00M,-137.00M,-23.00M,-87.00M,84.00M,-4.00M,,,80.00M,292.20M,520.00M,357.00M,163.00M,,0.20,-0.01,,,0.7042,0.19,,0.20,-0.01,,,0.70,0.19,,412.90M,416.40M,0.4625,,AOR,Restated
