,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,54.05M,,,-2.22M,,,-2.22M,20.54M,2.652M,23.19M,23.19M,,,,5.629M,,5.629M,30.37M,-15.40M,15.39M,5.853M,,,-22.46M,13.75M,94.40M,-15.95M,2.949M,2.949M,,,,-13.00M,307.02M,0.00,307.02M,,0.00,0.00,-26.05M,-26.05M,,-10.12M,270.85M,561.70M,352.25M,7.221M,921.18M,,498.28M,-191.26M,0.00
2020-06,10.79M,,,-1.326M,,,-1.326M,21.18M,3.015M,24.20M,24.20M,,,,4.164M,,4.164M,-48.05M,6.651M,-6.848M,-7.683M,,,-7.969M,-63.90M,-26.07M,-14.66M,0.073M,0.073M,,,,-14.59M,0.00,,0.00,,0.00,0.00,-26.03M,-26.03M,,-1.925M,-27.96M,622.30M,-68.62M,8.021M,561.70M,,,0.00,0.00
2020-03,1.49M,,,23.06M,,,23.06M,22.17M,3.121M,25.29M,25.29M,,,,14.31M,,14.31M,4.675M,-43.23M,-2.493M,4.331M,,,19.86M,-16.85M,47.30M,-17.31M,10.74M,10.74M,,,,-6.573M,0.00,,0.00,,-32.11M,-32.11M,-26.02M,-26.02M,,-5.79M,-63.92M,670.98M,-23.20M,-25.48M,622.30M,,,0.00,-32.11M
2019-12,88.88M,,,-2.94M,,,-2.94M,21.30M,3.728M,25.03M,25.03M,,,,1.375M,,1.375M,4.545M,33.22M,39.48M,47.51M,,,-67.58M,57.18M,169.52M,-20.89M,1.56M,1.56M,,,,-19.33M,0.00,0.00,0.00,,-9.568M,-9.568M,-24.86M,-24.86M,,0.321M,-34.11M,545.85M,116.08M,9.056M,670.98M,,0.00,0.00,-9.568M
2019-09,52.93M,,,11.92M,,,11.92M,22.65M,2.131M,24.78M,24.78M,,,,7.153M,,7.153M,-46.59M,-16.67M,-31.14M,57.14M,,,34.34M,-2.918M,93.87M,-20.01M,0.471M,0.471M,,,,-19.54M,-75.00M,0.00,-75.00M,,-5.432M,-5.432M,-24.92M,-24.92M,,-3.362M,-108.72M,596.47M,-34.38M,-16.24M,545.85M,,75.00M,-150.00M,-5.432M
2019-06,60.48M,,,-4.752M,,,-4.752M,23.30M,3.898M,27.20M,27.20M,,,,7.745M,,7.745M,-10.82M,1.868M,10.08M,-73.66M,,,-7.309M,-79.84M,10.83M,-14.63M,1.091M,1.091M,,,,-13.54M,-15.00M,,-15.00M,,0.00,0.00,-24.86M,-24.86M,,-3.179M,-43.04M,637.71M,-45.75M,4.509M,596.47M,,,-15.00M,0.00
2019-03,59.50M,,,-15.45M,,,-15.45M,23.36M,4.105M,27.47M,27.47M,,,,7.609M,,7.609M,9.805M,-49.48M,-5.128M,-3.937M,,,8.14M,-40.60M,38.52M,-10.64M,39.21M,39.21M,,,,28.57M,-15.00M,,-15.00M,,0.00,0.00,-24.91M,-24.91M,,-3.877M,-43.79M,619.68M,23.31M,-5.279M,637.71M,,,-15.00M,0.00
2018-12,64.36M,0.00,,4.374M,,,4.374M,23.15M,4.105M,27.26M,27.26M,,,,5.782M,,5.782M,15.16M,17.38M,8.471M,20.58M,,,6.769M,68.37M,164.49M,-34.02M,2.128M,2.128M,0.00,,,-31.89M,-15.00M,0.00,-15.00M,,0.00,0.00,-24.87M,-24.87M,,-0.19M,-40.06M,529.94M,92.55M,-2.805M,619.68M,,0.00,-15.00M,0.00
2018-09,29.44M,7.727M,,-3.359M,,,4.368M,23.50M,4.081M,27.58M,27.58M,,,,5.735M,,5.735M,16.84M,10.72M,-18.69M,11.65M,,,-4.561M,15.95M,83.08M,-18.23M,3.154M,3.154M,-3.663M,,,-18.74M,-15.00M,0.00,-15.00M,,0.00,0.00,-24.87M,-24.87M,,-6.111M,-45.98M,517.44M,18.36M,-5.859M,529.94M,,0.00,-15.00M,0.00
2018-06,14.79M,,,42.26M,,,42.26M,24.48M,4.247M,28.72M,28.72M,,,,4.433M,,4.433M,-58.59M,-8.815M,2.15M,36.92M,,,2.116M,-26.22M,63.99M,-18.26M,0.308M,0.308M,,,,-17.95M,-15.00M,,-15.00M,,,,-24.86M,-24.86M,,-0.538M,-40.39M,535.66M,5.648M,-23.86M,517.44M,,,-15.00M,
2018-03,16.46M,,,-7.227M,,,-7.227M,24.69M,4.22M,28.91M,28.91M,,,,3.962M,,3.962M,-22.55M,-48.60M,0.203M,-92.23M,,,0.342M,-162.83M,-120.73M,-13.49M,0.60M,0.60M,,,,-12.89M,-15.00M,,-15.00M,,,,-24.83M,-24.83M,,-7.029M,-46.86M,703.44M,-180.47M,12.68M,535.66M,,,-15.00M,
2017-12,-105.89M,-0.159M,,8.391M,,,8.232M,26.26M,4.249M,30.51M,30.51M,,,,2.529M,,2.529M,-3.619M,69.00M,10.48M,83.73M,,,28.41M,188.00M,238.71M,-20.98M,2.458M,2.458M,23.99M,,,5.468M,-15.00M,,-15.00M,,,,-24.82M,-24.82M,,-9.318M,-49.14M,502.14M,195.04M,6.267M,703.44M,,,-15.00M,
2017-09,48.74M,-9.864M,,-6.877M,,,-16.74M,24.92M,5.624M,30.55M,30.55M,,,,4.548M,,4.548M,-7.243M,-3.078M,-6.65M,-9.009M,,,-15.36M,-41.34M,25.76M,-11.17M,0.594M,0.594M,26.94M,,,16.36M,-15.00M,,-15.00M,,,,-24.83M,-24.83M,,-13.92M,-53.75M,505.16M,-11.63M,8.616M,502.14M,,,-15.00M,
2017-06,42.18M,-131.29M,,31.25M,,,-100.04M,25.67M,3.104M,28.77M,28.77M,,,,4.436M,,4.436M,3.612M,9.833M,36.62M,31.04M,,,-13.78M,67.32M,42.67M,-13.58M,2.016M,2.016M,181.84M,,,170.27M,-15.00M,,-15.00M,,,,-24.79M,-24.79M,,-3.842M,-43.64M,325.78M,169.31M,10.07M,505.16M,,,-15.00M,
2017-03,19.29M,,,0.319M,,,0.319M,24.59M,4.039M,28.62M,28.62M,,,,11.31M,,11.31M,67.47M,-27.11M,-7.51M,-96.75M,,,8.291M,-55.61M,3.927M,-15.86M,0.367M,0.367M,,,,-15.50M,-15.00M,,-15.00M,,,,-24.78M,-24.78M,,0.959M,-38.83M,367.16M,-50.39M,9.015M,325.78M,,,-15.00M,
2016-12,61.91M,0.00,,-7.09M,,,-7.09M,25.02M,4.431M,29.45M,29.45M,,,-73.45M,0.247M,,-73.20M,-32.89M,84.35M,13.27M,21.32M,,,-1.04M,85.01M,169.54M,-25.22M,2.662M,2.662M,0.00,,,-22.56M,-15.00M,,-15.00M,,,,-24.79M,-24.79M,,10.33M,-29.46M,260.87M,117.51M,-11.22M,367.16M,,,-15.00M,
