,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.739B,,1.739B,,,,,,,,,,,1.342B,3.081B,,,14.71B,14.71B,,14.71B,,,,,,,1.031B,15.74B,18.82B,,,,,,,,10.00M,10.00M,81.00M,91.00M,,,1.532B,1.623B,,8.286B,698.00M,8.984B,,,969.00M,1.879B,10.86B,12.49B,,,,,,,-755.00M,5.366B,,AOR,
2020-09,1.285B,,1.285B,699.00M,,699.00M,181.00M,,241.00M,,422.00M,,,247.00M,3.136B,,,499.00M,30.66B,-15.93B,14.73B,360.00M,,360.00M,,,67.00M,672.00M,15.83B,18.97B,,200.00M,45.00M,245.00M,1.074B,1.319B,,8.00M,8.00M,99.00M,107.00M,,,,1.426B,932.00M,8.28B,558.00M,8.838B,316.00M,316.00M,966.00M,575.00M,10.66B,12.09B,,307.00M,304.00M,5.668B,,,-363.00M,5.916B,,AOR,
2020-06,1.646B,,1.646B,596.00M,,596.00M,156.00M,,204.00M,,360.00M,,,63.00M,3.115B,,,526.00M,32.74B,-17.38B,15.35B,360.00M,,360.00M,,,78.00M,642.00M,16.43B,19.55B,,307.00M,34.00M,341.00M,1.11B,1.451B,,5.00M,5.00M,108.00M,113.00M,,,,1.564B,944.00M,8.205B,578.00M,8.783B,319.00M,319.00M,971.00M,570.00M,10.62B,12.18B,,307.00M,625.00M,5.65B,,,-187.00M,6.395B,,AOR,
2020-03,2.08B,,2.08B,794.00M,,794.00M,156.00M,,74.00M,,230.00M,,,68.00M,4.27B,,,573.00M,32.28B,-16.89B,15.38B,360.00M,,360.00M,,,77.00M,626.00M,16.45B,20.72B,,431.00M,33.00M,464.00M,1.334B,1.798B,,3.00M,3.00M,146.00M,149.00M,,,,1.947B,929.00M,8.191B,590.00M,8.781B,328.00M,328.00M,978.00M,554.00M,10.59B,12.54B,,307.00M,1.021B,5.633B,,,239.00M,7.20B,,AOR,
2019-12,1.545B,,1.545B,1.17B,,1.17B,169.00M,,92.00M,,261.00M,,,180.00M,3.156B,,,786.00M,36.57B,-19.01B,17.56B,360.00M,,360.00M,,,80.00M,626.00M,18.63B,21.78B,,411.00M,97.00M,508.00M,1.803B,2.311B,,,,199.00M,199.00M,,,,2.51B,897.00M,7.142B,591.00M,7.733B,415.00M,415.00M,974.00M,521.00M,9.566B,12.08B,,305.00M,3.535B,5.591B,,,-699.00M,8.732B,,AOR,
2019-09,1.863B,,1.863B,1.122B,,1.122B,217.00M,,72.00M,,289.00M,,,124.00M,3.398B,,,835.00M,35.79B,-18.51B,17.28B,360.00M,,360.00M,,,18.00M,571.00M,18.23B,21.63B,,396.00M,104.00M,500.00M,1.57B,2.07B,,15.00M,15.00M,259.00M,274.00M,,,,2.344B,850.00M,6.526B,614.00M,7.14B,411.00M,411.00M,1.269B,709.00M,9.11B,11.45B,,305.00M,3.836B,5.543B,,,-776.00M,8.908B,,AOR,Restated
2019-06,2.208B,,2.208B,1.06B,,1.06B,196.00M,,82.00M,,278.00M,,,138.00M,3.684B,,,937.00M,35.04B,-17.99B,17.04B,360.00M,,360.00M,,,21.00M,586.00M,18.01B,21.70B,,353.00M,95.00M,448.00M,1.541B,1.989B,,14.00M,14.00M,329.00M,343.00M,,,,2.332B,738.00M,6.511B,641.00M,7.152B,418.00M,418.00M,1.237B,524.00M,8.832B,11.16B,,304.00M,4.125B,5.513B,,,-648.00M,9.294B,,AOR,Restated
2019-03,2.30B,,2.30B,1.116B,,1.116B,178.00M,,96.00M,,274.00M,,,144.00M,3.834B,,,1.045B,34.49B,-17.55B,16.94B,360.00M,,360.00M,,,22.00M,557.00M,17.88B,21.72B,,399.00M,89.00M,488.00M,1.369B,1.857B,,12.00M,12.00M,402.00M,414.00M,,,,2.271B,745.00M,6.55B,686.00M,7.236B,420.00M,420.00M,1.211B,491.00M,8.892B,11.16B,,304.00M,4.207B,5.481B,,,-650.00M,9.342B,,AOR,Restated
2018-12,2.694B,,2.694B,1.001B,,1.001B,171.00M,,74.00M,,245.00M,,,519.00M,4.459B,,,39.00M,33.22B,-17.14B,16.08B,360.00M,,360.00M,,,21.00M,510.00M,16.97B,21.43B,,495.00M,81.00M,576.00M,1.56B,2.136B,,67.00M,67.00M,0.00,67.00M,,,,2.203B,741.00M,6.605B,0.00,6.605B,421.00M,421.00M,1.259B,575.00M,8.342B,10.54B,,292.00M,4.257B,5.386B,1.00M,,-306.00M,9.629B,,AOR,Restated
2018-09,3.004B,,3.004B,1.182B,,1.182B,182.00M,,81.00M,,263.00M,,,52.00M,4.501B,,,,32.62B,-16.61B,16.01B,360.00M,,360.00M,,,10.00M,583.00M,16.97B,21.47B,,383.00M,96.00M,479.00M,1.394B,1.873B,,,85.00M,,85.00M,,,,1.958B,772.00M,6.609B,,6.609B,425.00M,425.00M,1.396B,657.00M,8.463B,10.42B,,297.00M,4.41B,5.445B,1.00M,,-502.00M,9.65B,,AOR,Restated
2018-06,2.908B,,2.908B,1.075B,,1.075B,173.00M,,58.00M,,231.00M,,,59.00M,4.694B,,,,32.04B,-16.17B,15.87B,360.00M,,360.00M,,,18.00M,523.00M,16.77B,21.46B,,363.00M,49.00M,412.00M,1.446B,1.858B,,,87.00M,,87.00M,,,,1.945B,773.00M,6.352B,,6.352B,424.00M,424.00M,1.364B,634.00M,8.183B,10.13B,,301.00M,4.692B,5.501B,1.00M,,-522.00M,9.972B,,AOR,Restated
2018-03,3.726B,,3.726B,997.00M,,997.00M,175.00M,,64.00M,,239.00M,,,52.00M,5.014B,,,,32.91B,-16.72B,16.18B,360.00M,,360.00M,,,22.00M,495.00M,17.06B,22.07B,,375.00M,82.00M,457.00M,1.251B,1.708B,,,196.00M,,196.00M,,,,1.904B,774.00M,6.372B,,6.372B,425.00M,425.00M,1.332B,660.00M,8.231B,10.14B,,309.00M,5.166B,5.701B,1.00M,,-571.00M,10.60B,,AOR,Restated
2017-12,4.847B,,4.847B,1.024B,,1.024B,173.00M,,59.00M,,232.00M,,,54.00M,6.157B,,,53.00M,32.50B,-16.31B,16.19B,360.00M,,360.00M,,,21.00M,382.00M,16.96B,23.11B,,435.00M,83.00M,518.00M,1.337B,1.855B,,,580.00M,,580.00M,,,,2.435B,753.00M,6.397B,,6.397B,429.00M,429.00M,1.303B,744.00M,8.323B,10.76B,,316.00M,5.597B,5.824B,1.00M,,-686.00M,11.05B,,AOR,Restated
2017-09,2.526B,,2.526B,933.00M,110.00M,1.043B,262.00M,,110.00M,,372.00M,,,142.00M,4.083B,,,,47.86B,-27.58B,20.28B,360.00M,,360.00M,,,1.48B,398.00M,22.52B,26.60B,,421.00M,101.00M,522.00M,1.57B,2.092B,,,122.00M,,122.00M,,,,2.214B,1.846B,6.592B,,6.592B,584.00M,584.00M,1.296B,936.00M,9.958B,12.17B,,319.00M,8.438B,5.847B,1.00M,,-1.472B,13.13B,,AOR,Restated
