,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2007-09,7.451B,7.451B,5.892B,1.559B,,,371.00M,34.00M,,,,736.00M,823.00M,,,53.00M,,817.00M,422.00M,395.00M,,,,,395.00M,372.90M,1.188B,365.00M,823.00M,,1.26,0.00,,1.191,1.26,,1.23,0.00,,1.161,1.23,,319.90M,319.90M,0.10,,,
2007-06,7.421B,7.421B,5.694B,1.727B,,,383.00M,44.00M,,,,737.00M,990.00M,,,125.00M,,1.053B,496.00M,557.00M,,,,,557.00M,528.40M,1.344B,354.00M,990.00M,,1.78,0.00,,1.690,1.78,,1.75,0.00,,1.660,1.75,,318.60M,318.60M,0.10,,,
2007-03,7.319B,7.319B,5.883B,1.436B,,,353.00M,-1.00M,,,-327.00M,353.00M,1.083B,,,55.00M,,747.00M,377.00M,370.00M,,,,,370.00M,370.65M,1.41B,327.00M,1.083B,,1.19,0.00,,1.192,1.19,,1.17,0.00,,1.172,1.17,,317.30M,317.30M,0.10,,,
2006-12,7.155B,7.155B,4.915B,2.24B,,,371.00M,22.00M,,,,1.398B,842.00M,,,51.00M,,849.00M,483.00M,359.00M,,,,8.00M,359.00M,345.80M,1.846B,353.00M,1.493B,,1.21,0.00,,1.168,1.21,,1.13,0.00,,1.088,1.13,,315.02M,316.30M,0.10,,AOR,Restated
2006-09,7.035B,7.035B,5.475B,1.56B,,,345.00M,25.00M,,,,668.00M,892.00M,,,92.00M,,936.00M,639.00M,296.00M,,,,12.00M,296.00M,281.00M,1.215B,323.00M,892.00M,,1.03,0.00,,0.9825,1.03,,0.94,0.00,,0.8925,0.94,,316.00M,316.00M,0.10,,,
2006-06,6.718B,6.919B,5.36B,1.559B,,,134.00M,99.00M,,,,417.00M,1.142B,,,201.00M,,1.098B,532.00M,566.00M,,,,12.00M,566.00M,506.60M,1.425B,282.00M,1.142B,,2.01,0.00,,1.822,2.01,,1.79,0.00,,1.602,1.79,,315.50M,315.50M,0.3917,,AOR,
2006-03,7.159B,7.159B,5.635B,1.524B,,,337.00M,304.00M,,,,603.00M,921.00M,,,307.00M,,1.171B,472.00M,699.00M,,,,12.00M,699.00M,516.60M,1.187B,266.00M,921.00M,,2.50,0.00,,1.921,2.50,,2.22,0.00,,1.641,2.22,,314.80M,314.80M,0.10,,AOR,
2005-12,7.059B,7.059B,5.652B,1.407B,238.00M,103.00M,341.00M,21.00M,55.00M,-55.00M,142.00M,741.00M,666.00M,55.00M,-55.00M,82.00M,-55.00M,693.00M,257.00M,436.00M,,,,12.00M,436.00M,422.79M,1.006B,258.00M,748.00M,,1.55,0.00,,1.502,1.55,,1.393,0.00,,1.351,1.393,,274.05M,314.30M,0.10,,AOR,Restated
2005-09,5.769B,5.769B,4.68B,1.089B,202.00M,83.00M,285.00M,36.00M,54.00M,-54.00M,122.00M,658.00M,431.00M,54.00M,-54.00M,187.00M,-54.00M,564.00M,292.00M,272.00M,0.00,,,12.00M,272.00M,250.40M,870.00M,252.00M,618.00M,,0.95,0.00,,0.8710,0.95,,0.8667,0.00,,0.7977,0.8667,,273.58M,313.23M,0.10,,AOR,
2005-06,4.963B,4.963B,3.863B,1.10B,205.00M,86.00M,291.00M,11.00M,54.00M,-54.00M,125.00M,677.00M,423.00M,54.00M,-54.00M,119.00M,-54.00M,488.00M,189.00M,299.00M,,,,12.00M,299.00M,292.26M,803.00M,261.00M,542.00M,,1.06,0.00,,1.035,1.06,,0.96,0.00,,0.9383,0.96,,272.13M,311.17M,0.10,,AOR,Restated
2005-03,4.957B,4.957B,3.853B,1.104B,197.00M,85.00M,282.00M,63.00M,61.00M,-61.00M,164.00M,700.00M,404.00M,61.00M,-61.00M,113.00M,-61.00M,456.00M,237.00M,219.00M,,,,12.00M,219.00M,181.20M,771.00M,254.00M,517.00M,,0.7633,0.00,,0.6239,0.7633,,0.7067,0.00,,0.5846,0.7067,,271.18M,309.73M,0.10,,,Restated
2004-12,4.613B,4.613B,3.56B,1.053B,200.00M,89.00M,289.00M,63.00M,62.00M,-62.00M,131.00M,695.00M,358.00M,62.00M,-62.00M,84.00M,-62.00M,380.00M,151.00M,229.00M,0.00,,,12.00M,229.00M,191.03M,717.00M,275.00M,442.00M,,0.80,0.00,,0.6596,0.80,,0.7467,-0.0033,,0.6238,0.7433,,270.44M,308.90M,0.10,,AOR,Restated
2004-09,3.83B,3.83B,2.944B,886.00M,186.00M,81.00M,267.00M,25.00M,62.00M,-62.00M,116.00M,613.00M,273.00M,62.00M,-62.00M,100.00M,-62.00M,311.00M,133.00M,178.00M,0.00,,,12.00M,178.00M,163.00M,603.00M,230.00M,373.00M,,0.6167,0.00,,0.5610,0.6167,,0.58,0.00,,0.5312,0.58,,269.44M,307.20M,0.10,,,Restated
2004-06,3.803B,3.803B,2.815B,988.00M,174.00M,96.00M,270.00M,36.00M,60.00M,-60.00M,110.00M,619.00M,369.00M,60.00M,-60.00M,133.00M,-60.00M,442.00M,161.00M,281.00M,7.00M,,,12.00M,288.00M,258.11M,741.00M,239.00M,502.00M,,1.01,0.0267,,0.9244,1.037,,0.9233,0.0233,,0.8481,0.9467,,267.45M,304.23M,0.10,,,Restated
2004-03,4.488B,4.562B,3.601B,961.00M,,,253.00M,23.00M,,,,479.00M,482.00M,,,74.00M,,425.00M,144.00M,281.00M,,,,12.00M,281.00M,265.79M,708.00M,226.00M,482.00M,,1.01,0.00,,0.9600,1.01,,0.9233,0.00,,0.8733,0.9233,,304.20M,304.20M,0.10,,,
2003-12,3.628B,3.439B,2.334B,1.105B,,,289.00M,-29.00M,,,,1.104B,1.00M,,,-20.00M,,101.00M,32.00M,69.00M,0.00,,,,69.00M,95.81M,424.00M,254.00M,170.00M,,0.24,-0.0033,,0.3158,0.2367,,0.2333,-0.0133,,0.3033,0.22,,261.52M,283.17M,0.10,,AOR,Restated
2003-09,3.23B,3.296B,2.504B,792.00M,,,241.00M,23.00M,,,,494.00M,298.00M,,,66.00M,,225.00M,79.00M,146.00M,,,,,146.00M,131.08M,551.00M,253.00M,298.00M,,0.55,0.00,,0.4942,0.55,,0.5467,0.00,,0.4908,0.5467,,267.30M,267.30M,0.10,,,
2003-06,3.199B,3.213B,2.468B,745.00M,,,273.00M,-1.00M,,,,543.00M,202.00M,,,14.00M,,125.00M,62.00M,63.00M,189.00M,,,,252.00M,63.60M,472.00M,251.00M,202.00M,,0.2367,0.7133,,0.2389,0.95,,0.2367,0.7067,,0.2389,0.9433,,267.00M,267.14M,0.10,,,
2003-03,4.297B,4.297B,3.419B,878.00M,,,248.00M,60.00M,,,,543.00M,335.00M,,,110.00M,,371.00M,155.00M,216.00M,-47.00M,7.00M,,,176.00M,180.00M,630.00M,295.00M,335.00M,,0.81,-0.15,0.00,0.6753,0.66,,0.81,-0.15,0.0262,0.6753,0.66,,267.30M,267.30M,0.10,,,
2002-12,3.206B,3.065B,1.937B,1.128B,,,264.00M,-351.00M,,,,1.01B,118.00M,,,-348.00M,,-469.00M,-69.00M,-400.00M,29.00M,,,,-371.00M,-100.64M,-460.00M,106.00M,-725.00M,,-1.509,0.1033,,-0.3772,-1.406,,-1.509,0.1033,,-0.3772,-1.406,,264.41M,264.41M,0.10,,AOR,Restated
2002-09,2.724B,2.798B,1.99B,808.00M,,,214.00M,-556.00M,,,,488.00M,320.00M,,,-562.00M,,-59.00M,46.00M,-105.00M,-31.00M,,,,-136.00M,228.60M,662.00M,342.00M,320.00M,,-0.3963,-0.1166,,0.8614,-0.5128,,-0.3963,-0.1166,,0.8614,-0.5128,,265.25M,265.25M,0.10,,,
2002-06,2.694B,2.712B,1.842B,870.00M,,,257.00M,36.00M,,,,576.00M,294.00M,,,18.00M,,227.00M,98.00M,129.00M,20.00M,,,,149.00M,107.40M,662.00M,368.00M,294.00M,,0.4862,0.0733,,0.4046,0.5594,,0.4795,0.0733,,0.3992,0.5528,,264.87M,268.77M,0.10,,,
2002-03,2.958B,2.958B,2.192B,766.00M,,,223.00M,62.00M,,,,506.00M,260.00M,,,36.00M,,230.00M,102.00M,128.00M,13.00M,,,,141.00M,90.80M,562.00M,302.00M,260.00M,,0.4828,0.0500,,0.3434,0.5328,,0.4795,0.0466,,0.3400,0.5261,,266.67M,266.67M,0.10,,,
2001-12,2.521B,2.324B,1.448B,876.00M,,,313.00M,30.00M,,,,1.042B,-166.00M,,,11.00M,,-20.00M,24.00M,-44.00M,,,,,54.00M,-62.00M,211.00M,169.00M,42.00M,,-0.1634,0.3733,,-0.2320,0.2099,,-0.1634,0.3667,,-0.2312,0.2099,,262.53M,265.35M,0.10,,AOR,Restated
2001-09,2.888B,2.934B,2.173B,761.00M,,,232.00M,35.00M,,,,486.00M,275.00M,,,46.00M,,224.00M,57.00M,167.00M,,,,,167.00M,140.91M,529.00M,254.00M,275.00M,,0.6327,0.00,,0.5341,0.6327,,0.6194,0.00,,0.5222,0.6194,,264.66M,268.47M,0.10,,,
2001-06,3.461B,3.565B,2.536B,1.029B,,,210.00M,53.00M,,,,439.00M,590.00M,,,104.00M,,549.00M,192.00M,357.00M,,,,,357.00M,322.54M,819.00M,229.00M,590.00M,,1.342,0.00,,1.212,1.342,,1.325,0.00,,1.197,1.325,,265.49M,269.20M,0.10,,,
2001-03,4.182B,4.229B,3.226B,1.003B,,,218.00M,33.00M,,,,399.00M,604.00M,,,47.00M,,564.00M,227.00M,337.00M,,,,,337.00M,317.20M,785.00M,181.00M,604.00M,,1.277,0.00,,1.202,1.277,,1.263,0.00,,1.189,1.263,,266.70M,266.75M,0.10,,,
2000-12,3.685B,3.685B,2.293B,1.392B,,,229.00M,0.00,,,,950.00M,442.00M,,,121.00M,,520.00M,180.00M,340.00M,,,,,340.00M,340.00M,924.00M,198.00M,726.00M,,1.283,0.00,,1.283,1.283,,1.27,0.00,,1.27,1.27,,256.96M,266.51M,0.05,,,Restated
2000-09,2.833B,2.833B,2.032B,801.00M,,,207.00M,54.00M,,,,383.00M,418.00M,,,54.00M,,430.00M,173.00M,257.00M,,,,,257.00M,224.60M,594.00M,175.00M,418.00M,,0.9633,0.00,,0.8431,0.9633,,0.9533,0.00,,0.8331,0.9533,,269.40M,269.58M,0.05,,,
2000-06,2.644B,2.644B,1.987B,657.00M,,,173.00M,70.00M,,,,340.00M,317.00M,,,70.00M,,348.00M,146.00M,202.00M,,,,,202.00M,160.00M,484.00M,167.00M,317.00M,,0.75,0.00,,0.5953,0.75,,0.7467,0.00,,0.5920,0.7467,,271.50M,271.50M,0.05,,,
2000-03,2.831B,2.831B,2.127B,704.00M,,,157.00M,39.00M,,,,331.00M,373.00M,,,39.00M,,374.00M,150.00M,224.00M,,,,,224.00M,200.60M,547.00M,174.00M,373.00M,,0.83,0.00,,0.7438,0.83,,0.8233,0.00,,0.7373,0.8233,,271.50M,272.06M,0.05,,,
1999-12,2.269B,2.269B,1.119B,1.150B,,,147.20M,-96.90M,,,,840.20M,309.60M,,,-89.90M,,177.70M,46.30M,131.50M,,,,,131.50M,203.15M,818.60M,215.00M,603.60M,,0.4878,0.00,,0.7592,0.4878,,0.4845,0.00,,0.7488,0.4845,,263.97M,271.03M,0.05,,,Restated
1999-09,1.802B,1.802B,1.278B,523.70M,,,178.10M,172.60M,,,,337.60M,186.10M,,,172.60M,,320.00M,161.50M,158.50M,,,,,158.50M,54.94M,345.60M,159.00M,186.10M,,0.5894,0.00,,0.2085,0.5894,,0.5828,0.00,,0.2018,0.5828,,271.86M,271.86M,0.05,,,
1999-06,1.43B,1.43B,1.096B,334.00M,,,150.00M,100.00M,,,,286.00M,48.00M,,,100.00M,,110.00M,32.00M,78.00M,,,,,78.00M,7.091M,184.70M,136.70M,48.00M,,0.2864,0.00,,0.0260,0.2864,,0.2864,0.00,,0.0260,0.2864,,272.37M,272.37M,0.05,,,
1999-03,1.539B,1.539B,1.234B,304.50M,,,144.00M,111.40M,,,,282.30M,22.20M,,,111.40M,,94.40M,23.90M,70.60M,,,,,70.60M,-12.60M,160.50M,138.30M,22.20M,,0.2631,0.00,,-0.0452,0.2631,,0.2631,0.00,,-0.0452,0.2631,,269.87M,269.87M,0.05,,,
1998-12,1.617B,1.617B,1.42B,197.30M,,,183.70M,-519.70M,,,,359.70M,-162.40M,,,-519.70M,,-519.20M,-100.80M,-418.40M,,,,,-418.40M,0.4029M,13.60M,176.00M,-162.40M,,-1.555,0.00,,0.0310,-1.555,,-1.555,0.00,,0.0310,-1.555,,264.05M,264.05M,0.05,,,
1998-09,1.528B,1.528B,1.150B,378.70M,,,156.00M,23.60M,,,,367.50M,11.20M,,,23.60M,,-6.80M,-0.50M,-6.30M,,,,,-6.30M,-28.16M,222.70M,159.60M,11.20M,,-0.0233,0.00,,-0.1042,-0.0233,,-0.0233,0.00,,-0.1042,-0.0233,,270.27M,270.27M,0.05,,,
1998-06,1.608B,1.608B,1.308B,300.60M,,,152.60M,26.70M,,,,314.80M,-14.20M,,,26.70M,,-20.80M,0.90M,-21.70M,,,,,-21.70M,-37.72M,148.00M,162.20M,-14.20M,,-0.0799,0.00,,-0.1389,-0.0799,,-0.0799,0.00,,-0.1389,-0.0799,,271.52M,271.52M,0.05,,,
1998-03,1.826B,1.826B,1.535B,290.50M,,,156.80M,97.40M,,,,321.00M,-30.50M,,,97.40M,,32.90M,45.50M,-12.60M,,,,,-12.60M,-71.04M,133.70M,164.20M,-30.50M,,-0.0466,0.00,,-0.2628,-0.0466,,-0.0466,0.00,,-0.2628,-0.0466,,270.27M,270.27M,0.05,,,
1997-12,2.108B,2.108B,1.939B,169.60M,,,89.30M,-105.20M,,,,211.60M,-42.00M,,,-105.20M,,-101.30M,-39.90M,-61.40M,,,,,-61.40M,2.364M,80.30M,122.30M,-42.00M,,-0.2231,0.00,,-0.0063,-0.2231,,-0.2231,0.00,,-0.0063,-0.2231,,294.13M,294.13M,0.05,,,
1997-09,1.885B,1.885B,1.489B,395.40M,,,168.20M,16.70M,,,,341.40M,54.00M,,,16.70M,,37.00M,14.30M,22.70M,,,,,22.70M,12.45M,245.60M,191.60M,54.00M,,0.0832,0.00,,0.0461,0.0832,,0.0832,0.00,,0.0461,0.0832,,275.57M,275.57M,0.05,,,
1997-06,1.879B,1.879B,1.453B,425.80M,,,155.10M,,,,,316.00M,109.80M,,,,,76.20M,34.50M,41.70M,,,,,41.70M,41.70M,270.70M,151.90M,109.80M,,0.1498,0.00,,0.1498,0.1498,,0.1498,0.00,,0.1498,0.1498,,278.28M,278.28M,0.05,,,
1997-03,2.397B,2.397B,1.921B,475.70M,,,149.10M,19.30M,,,,346.60M,129.10M,,,19.30M,,114.80M,110.20M,4.60M,,,,,4.60M,-6.98M,326.60M,197.50M,129.10M,,0.0166,0.00,,-0.0248,0.0166,,0.0166,0.00,,-0.0248,0.0166,,279.31M,279.31M,0.05,,,
1996-12,2.216B,2.216B,1.634B,582.20M,,,166.90M,67.30M,,,,398.30M,183.90M,,,67.30M,,213.90M,94.10M,119.80M,,,,,119.80M,79.42M,415.30M,231.40M,183.90M,,0.4319,0.00,,0.2869,0.4319,,0.4319,0.00,,0.2875,0.4319,,278.49M,279.58M,0.05,,,
1996-09,1.747B,1.747B,1.349B,397.60M,,,149.80M,123.30M,,,,316.50M,81.10M,,,123.30M,,170.70M,72.90M,97.80M,,,,,97.80M,23.82M,247.80M,166.70M,81.10M,,0.3496,0.00,,0.0852,0.3496,,0.3496,0.00,,0.0852,0.3496,,279.76M,279.76M,0.05,,,
1996-06,2.095B,2.095B,1.659B,435.80M,,,151.60M,448.90M,,,,335.20M,100.60M,,,448.90M,,507.70M,131.30M,376.40M,,,,,376.40M,43.59M,284.20M,183.60M,100.60M,,1.345,0.00,,0.1553,1.345,,1.345,0.00,,0.1553,1.345,,279.68M,279.68M,0.05,,,
1996-03,2.214B,2.214B,1.707B,507.90M,,,150.10M,18.00M,,,,351.60M,156.30M,,,18.00M,,121.50M,55.50M,66.00M,,,,,66.00M,55.20M,357.80M,201.50M,156.30M,,0.2364,0.00,,0.1978,0.2364,,0.2364,0.00,,0.1978,0.2364,,279.28M,279.28M,0.05,,,
1995-12,1.995B,1.995B,1.164B,831.30M,,,457.70M,-1.028B,,,,732.90M,98.40M,,,-1.028B,,-405.50M,-130.70M,-274.80M,,,,,-274.80M,421.59M,373.60M,244.80M,98.40M,,-0.9824,0.00,,1.509,-0.9824,,-0.9824,0.00,,1.509,-0.9824,,279.51M,279.51M,0.05,,,
1995-09,1.642B,1.642B,1.283B,358.60M,,,170.60M,10.60M,,,,378.50M,-19.90M,,,10.60M,,-68.20M,36.40M,-104.60M,,,,,-104.60M,-110.96M,198.70M,218.60M,-19.90M,,-0.3763,0.00,,-0.3991,-0.3763,,-0.3763,0.00,,-0.3991,-0.3763,,279.30M,279.30M,0.05,,,
1995-06,1.773B,1.773B,1.345B,428.20M,,,158.80M,4.80M,,,,361.00M,67.20M,,,4.80M,,8.90M,49.10M,-40.20M,,,,,-40.20M,-43.08M,278.80M,211.60M,67.20M,,-0.1432,0.00,,-0.1535,-0.1432,,-0.1432,0.00,,-0.1535,-0.1432,,279.26M,279.26M,0.05,,,
1995-03,1.892B,1.892B,1.429B,463.60M,,,154.50M,75.80M,,,,362.30M,101.30M,,,75.80M,,112.20M,87.00M,25.20M,,,,,25.20M,-20.28M,319.40M,218.10M,101.30M,,0.0899,0.00,,-0.0729,0.0899,,0.0899,0.00,,-0.0729,0.0899,,279.26M,279.26M,0.05,,,
1994-12,1.762B,1.762B,1.288B,473.70M,,,149.50M,15.00M,,,,369.40M,104.30M,,,15.00M,,56.60M,47.90M,8.70M,,,,,8.70M,-0.30M,335.60M,231.30M,104.30M,,0.0302,0.00,,-0.0017,0.0302,,0.0302,0.00,,-0.0017,0.0302,,282.01M,282.01M,0.05,,,
1994-09,1.494B,1.494B,1.087B,407.10M,,,144.40M,39.70M,,,,352.10M,55.00M,,,39.70M,,32.60M,34.50M,-1.90M,,,,,-1.90M,-25.72M,274.00M,219.00M,55.00M,,-0.0067,0.00,,-0.0920,-0.0067,,-0.0067,0.00,,-0.0920,-0.0067,,279.26M,279.26M,0.05,,,
1994-06,1.488B,1.488B,1.058B,429.70M,,,139.40M,-4.90M,,,,361.60M,68.10M,,,-4.90M,,3.50M,20.20M,-16.70M,,,,,-16.70M,-13.76M,303.00M,234.90M,68.10M,,-0.0599,0.00,,-0.0494,-0.0599,,-0.0599,0.00,,-0.0494,-0.0599,,279.29M,279.29M,0.05,,,
1994-03,1.858B,1.858B,1.253B,604.90M,,,157.40M,-1.00M,,,,400.10M,204.80M,,,-1.00M,,143.20M,59.50M,83.70M,,,,,83.70M,84.30M,447.50M,242.70M,204.80M,,0.2997,0.00,,0.3019,0.2997,,0.2997,0.00,,0.3019,0.2997,,278.99M,278.99M,0.05,,,
1993-12,1.630B,1.630B,1.258B,372.80M,,,198.40M,14.90M,,,,469.80M,-97.00M,,,14.90M,,-141.90M,-8.30M,-133.60M,,0.00,,,-133.60M,-147.63M,174.40M,271.40M,-97.00M,,-0.4862,0.00,0.00,-0.5380,-0.4862,,-0.4862,0.00,0.0008,-0.5380,-0.4862,,270.80M,270.80M,0.05,,,
1993-09,1.245B,1.245B,878.40M,366.70M,,,155.40M,0.90M,,,,338.90M,27.80M,,,0.90M,,-7.70M,14.70M,-22.40M,,,,,-22.40M,-22.94M,211.30M,183.50M,27.80M,,-0.0799,0.00,,-0.0818,-0.0799,,-0.0799,0.00,,-0.0818,-0.0799,,280.28M,280.28M,0.05,,,
1993-06,1.410B,1.410B,1.161B,249.30M,,,150.40M,-7.40M,,,,335.10M,-85.80M,,,-7.40M,,-123.70M,21.40M,-145.10M,,,,,-145.10M,-140.66M,98.90M,184.70M,-85.80M,,-0.5228,0.00,,-0.5068,-0.5228,,-0.5228,0.00,,-0.5068,-0.5228,,277.54M,277.54M,0.05,,,
1993-03,1.566B,1.566B,1.166B,400.10M,,,148.00M,12.80M,,,,333.10M,67.00M,,,12.80M,,49.90M,46.40M,3.50M,,29.50M,,,33.00M,-4.18M,252.10M,185.10M,67.00M,,0.0133,0.1066,0.00,-0.0146,0.1199,,0.0133,0.1066,0.1072,-0.0146,0.1199,,275.28M,275.28M,0.05,,,
1992-12,1.576B,1.576B,1.182B,393.40M,,,172.90M,43.40M,,,,361.00M,32.40M,,,43.40M,,43.90M,26.00M,17.90M,,,,,17.90M,-8.14M,220.50M,188.10M,32.40M,,0.0699,0.00,,-0.0483,0.0699,,0.0699,0.00,,-0.0483,0.0699,,220.22M,220.22M,0.05,,,
1992-09,1.412B,1.412B,975.80M,436.00M,,,161.00M,9.00M,,,,367.70M,68.30M,,,9.00M,,44.60M,35.90M,8.70M,,,,,8.70M,3.30M,275.00M,206.70M,68.30M,,0.0366,0.00,,0.0139,0.0366,,0.0366,0.00,,0.0139,0.0366,,237.51M,237.51M,0.05,,,
1992-06,1.458B,1.458B,1.021B,436.80M,,,159.80M,22.40M,,,,378.20M,58.60M,,,22.40M,,41.20M,36.80M,4.40M,,,,,4.40M,-9.04M,277.10M,218.50M,58.60M,,0.0200,0.00,,-0.0410,0.0200,,0.0200,0.00,,-0.0410,0.0200,,220.22M,220.22M,0.05,,,
1992-03,1.430B,1.430B,1.046B,383.90M,,,147.70M,20.60M,,,,367.80M,16.10M,,,20.60M,,-6.20M,17.20M,-23.40M,,,,,-23.40M,-35.76M,236.20M,220.10M,16.10M,,-0.0966,0.00,,-0.1476,-0.0966,,-0.0966,0.00,,-0.1476,-0.0966,,242.31M,242.31M,0.05,,,
1991-12,1.606B,1.606B,1.198B,407.40M,,,192.60M,15.90M,,,,443.10M,-35.70M,,,15.90M,,-67.30M,-15.70M,-51.60M,,,,,-51.60M,-63.79M,214.80M,250.50M,-35.70M,,-0.2098,0.00,,-0.2615,-0.2098,,-0.2131,0.00,,-0.2629,-0.2131,,235.63M,244.90M,0.05,,,
1991-09,1.311B,1.311B,926.20M,385.20M,,,159.00M,14.90M,,,,345.40M,39.80M,,,14.90M,,13.70M,21.20M,-7.50M,,,,,-7.50M,-16.44M,226.20M,186.40M,39.80M,,-0.0300,0.00,,-0.0657,-0.0300,,-0.0300,0.00,,-0.0657,-0.0300,,250.25M,250.25M,0.05,,,
1991-06,1.392B,1.392B,1.008B,383.70M,,,153.60M,41.40M,,,,342.10M,41.60M,,,41.40M,,43.90M,-23.90M,67.80M,,,,,67.80M,42.96M,230.10M,188.50M,41.60M,,0.2797,0.00,,0.1772,0.2797,,0.2797,0.00,,0.1772,0.2797,,242.39M,242.39M,0.05,,,
1991-03,1.958B,1.958B,1.516B,442.20M,,,140.10M,77.20M,,,,343.50M,98.70M,,,77.20M,,126.00M,50.30M,75.70M,,,,,75.70M,29.32M,302.10M,203.40M,98.70M,,0.3097,0.00,,0.1199,0.3097,,0.3097,0.00,,0.1199,0.3097,,244.44M,244.44M,0.05,,,
1990-12,2.328B,2.328B,1.698B,631.00M,,,163.10M,107.50M,,,,425.40M,205.60M,,,107.50M,,250.10M,14.90M,235.20M,,,,,235.20M,134.10M,467.90M,262.30M,205.60M,,0.9757,0.00,,0.5532,0.9757,,0.9657,0.00,,0.5517,0.9657,,239.31M,244.18M,0.05,,,
1990-09,1.742B,1.742B,1.026B,716.10M,,,149.00M,8.80M,,,,300.70M,415.40M,,,8.80M,,369.00M,89.00M,280.00M,,,,,280.00M,273.32M,567.10M,151.70M,415.40M,,1.152,0.00,,1.125,1.152,,1.152,0.00,,1.125,1.152,,243.02M,243.02M,0.05,,,
1990-06,1.223B,1.223B,967.30M,255.30M,,,128.60M,10.20M,,,,293.80M,-38.50M,,,10.20M,,-80.10M,-8.00M,-72.10M,,,,,-72.10M,-81.28M,126.70M,165.20M,-38.50M,,-0.2964,0.00,,-0.3341,-0.2964,,-0.2964,0.00,,-0.3341,-0.2964,,243.28M,243.28M,0.05,,,
1990-03,1.654B,1.654B,1.238B,416.30M,,,128.50M,7.10M,,,,292.80M,123.50M,,,7.10M,,76.60M,36.90M,39.70M,,,,,39.70M,35.44M,287.80M,164.30M,123.50M,,0.1632,0.00,,0.1457,0.1632,,0.1632,0.00,,0.1457,0.1632,,243.30M,243.30M,0.05,,,
1989-12,1.447B,1.447B,,,,,,,,,,,-3.524B,,,,,,,70.80M,,,,,70.80M,,-3.524B,,-3.524B,,,,,,,,,,,,,,242.65M,242.65M,0.05,,,
1989-09,1.183B,1.183B,,,,,,,,,,,1.183B,,,,,,,51.80M,,,,,51.80M,,1.183B,,1.183B,,0.2131,0.00,,0.2131,0.2131,,0.2131,0.00,,0.2131,0.2131,,243.86M,243.86M,0.05,,,
1989-06,1.452B,1.452B,,,,,,,,,,,1.452B,,,,,,,133.50M,,,,,133.50M,,1.452B,,1.452B,,0.5494,0.00,,0.5494,0.5494,,0.5494,0.00,,0.5494,0.5494,,243.02M,243.02M,0.05,,,
1989-03,1.458B,1.458B,,,,,,,,,,,1.458B,,,,,,,220.20M,,,,,220.20M,,1.458B,,1.458B,,0.8991,0.00,,0.8991,0.8991,,0.8991,0.00,,0.8991,0.8991,,246.17M,246.17M,0.05,,,
1988-12,1.170B,1.170B,,,,,,,,,,,-2.798B,,,,,,,66.30M,,,,,66.30M,,-2.798B,,-2.798B,,,,,,,,,,,,,,246.18M,246.18M,0.05,,,
1988-09,921.50M,921.50M,,,,,,,,,,,921.50M,,,,,,,15.80M,,,,,15.80M,,921.50M,,921.50M,,0.0666,0.00,,0.0666,0.0666,,0.0666,0.00,,0.0666,0.0666,,246.34M,246.34M,0.05,,,
1988-06,876.10M,876.10M,,,,,,,,,,,876.10M,,,,,,,-23.50M,,,,,-23.50M,,876.10M,,876.10M,,-0.0966,0.00,,-0.0966,-0.0966,,-0.0966,0.00,,-0.0966,-0.0966,,246.41M,246.41M,0.05,,,
1988-03,1.238B,1.238B,,,,,,,,,,,1.238B,,,,,,,65.60M,,,,,65.60M,,1.238B,,1.238B,,0.2664,0.00,,0.2664,0.2664,,0.2664,0.00,,0.2664,0.2664,,252.45M,252.45M,0.05,,,
1987-12,1.241B,1.241B,,,,,,,,,,,-3.075B,,,,,,,-79.10M,,,,,-79.10M,,-3.075B,,-3.075B,,,,,,,,,,,,,,246.51M,246.51M,0.05,,,
1987-09,1.105B,1.105B,,,,,,,,,,,1.105B,,,,,,,39.00M,,,,,39.00M,,1.105B,,1.105B,,0.1498,0.00,,0.1498,0.1498,,0.1498,0.00,,0.1498,0.1498,,253.47M,253.47M,0.05,,,
1987-06,1.138B,1.138B,,,,,,,,,,,1.138B,,,,,,,89.00M,,,,,89.00M,,1.138B,,1.138B,,0.3530,0.00,,0.3530,0.3530,,0.3530,0.00,,0.3530,0.3530,,249.59M,249.59M,0.05,,,
