,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,1.663B,1.663B,1.035B,628.00M,476.00M,121.00M,597.00M,-2.062B,80.00M,-80.00M,356.00M,953.00M,-325.00M,80.00M,-80.00M,-2.072B,-80.00M,-2.477B,158.00M,-2.635B,,,-42.00M,12.00M,-2.677B,-1.440B,-1.751B,646.00M,-2.397B,,-8.535,,,-4.589,-8.535,,-13.12,,,-9.174,-13.12,,313.50M,313.50M,0.25,,AOR,Restated
2017-09,1.348B,1.348B,1.139B,209.00M,338.00M,111.00M,449.00M,-2.229B,79.00M,-79.00M,41.00M,490.00M,-281.00M,79.00M,-79.00M,-2.207B,-79.00M,-2.567B,-1.974B,-593.00M,,,-31.00M,11.00M,-624.00M,713.40M,-1.729B,759.00M,-2.488B,,-2.02,,,2.232,-2.02,,-2.02,,,2.232,-2.02,,314.50M,314.50M,0.25,,AOR,Restated
2017-06,1.197B,1.197B,1.145B,52.00M,253.00M,95.00M,348.00M,2.00M,82.00M,-82.00M,52.00M,400.00M,-348.00M,82.00M,-82.00M,5.00M,-82.00M,-425.00M,-8.00M,-417.00M,,,-32.00M,11.00M,-449.00M,-450.96M,398.00M,741.00M,-343.00M,,-1.46,,,-1.466,-1.46,,-1.46,,,-1.466,-1.46,,314.40M,314.40M,0.25,,AOR,Restated
2017-03,1.258B,1.258B,1.326B,-68.00M,,95.00M,95.00M,0.00,84.00M,-84.00M,58.00M,153.00M,-221.00M,84.00M,-84.00M,-4.00M,-84.00M,-309.00M,-13.00M,-296.00M,,,-28.00M,12.00M,-324.00M,-324.00M,512.00M,737.00M,-225.00M,,-1.07,,,-1.07,-1.07,,-1.07,,,-1.07,-1.07,,313.90M,313.90M,0.25,,AOR,Restated
2016-12,1.388B,1.388B,1.734B,-346.00M,,104.00M,104.00M,-139.00M,84.00M,-84.00M,1.033B,1.137B,-1.483B,84.00M,-84.00M,-142.00M,-84.00M,-1.709B,3.189B,-4.898B,,,6.00M,11.00M,-4.892B,-4.809B,-857.00M,768.00M,-1.625B,,-15.49,0.00,,-15.22,-15.49,,-15.65,0.00,,-15.38,-15.65,,313.46M,313.50M,0.25,,AOR,Restated
2016-09,1.177B,1.177B,1.481B,-304.00M,,106.00M,106.00M,-80.00M,84.00M,-84.00M,78.00M,184.00M,-488.00M,84.00M,-84.00M,-61.00M,-84.00M,-633.00M,-316.00M,-317.00M,,,-22.00M,12.00M,-339.00M,-291.00M,262.00M,811.00M,-549.00M,,-1.12,,,-0.9667,-1.12,,-1.12,,,-0.9667,-1.12,,313.20M,313.20M,0.25,,AOR,Restated
2016-06,1.224B,1.224B,1.557B,-333.00M,,106.00M,106.00M,,85.00M,-85.00M,199.00M,305.00M,-638.00M,85.00M,-85.00M,45.00M,-85.00M,-678.00M,-305.00M,-373.00M,,,-19.00M,12.00M,-392.00M,-392.00M,204.00M,797.00M,-593.00M,,-1.29,,,-1.29,-1.29,,-1.29,,,-1.29,-1.29,,313.20M,313.20M,0.25,,AOR,Restated
2016-03,973.00M,973.00M,1.512B,-539.00M,,98.00M,98.00M,,85.00M,-85.00M,132.00M,230.00M,-769.00M,85.00M,-85.00M,20.00M,-85.00M,-834.00M,-346.00M,-488.00M,,,-21.00M,6.00M,-509.00M,-509.00M,119.00M,868.00M,-749.00M,,-1.72,,,-1.72,-1.72,,-1.72,,,-1.72,-1.72,,299.80M,299.80M,0.25,,AOR,Restated
2015-12,1.474B,1.474B,1.835B,-361.00M,,140.00M,140.00M,-1.18B,86.00M,-86.00M,378.00M,518.00M,-879.00M,86.00M,-86.00M,-1.318B,-86.00M,-2.283B,-492.00M,-1.791B,-8.00M,,-22.00M,,-1.821B,-887.30M,-1.214B,983.00M,-2.197B,,-6.338,-0.0280,,-3.067,-6.366,,-6.402,-0.0282,,-3.131,-6.43,,283.00M,283.00M,0.25,,AOR,Restated
2015-09,1.671B,1.671B,1.881B,-210.00M,,119.00M,119.00M,0.00,84.00M,-84.00M,144.00M,263.00M,-473.00M,84.00M,-84.00M,18.00M,-84.00M,-539.00M,-300.00M,-239.00M,-13.00M,,-27.00M,,-279.00M,-266.00M,533.00M,988.00M,-455.00M,,-0.94,-0.04,,-0.94,-0.98,,-0.94,-0.04,,-0.94,-0.98,,283.50M,283.50M,0.25,,AOR,Restated
