,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,923.40M,923.40M,1.283B,,1.283B,125.50M,61.60M,643.40M,746.50M,129.70M,,,3.083B,34.00M,432.00M,1.033B,51.90M,1.551B,-973.20M,578.10M,982.40M,260.80M,1.243B,,1.511B,50.30M,91.70M,3.474B,6.557B,,222.90M,95.60M,318.50M,336.70M,655.20M,18.50M,0.00,,250.00M,268.50M,19.30M,287.80M,53.60M,53.60M,78.40M,1.165B,1.182B,34.00M,1.216B,70.40M,70.40M,161.60M,21.70M,97.70M,1.546B,2.711B,,67.40M,5.157B,391.70M,1.425B,-365.80M,3.825B,,AOR,
2020-09,787.50M,787.50M,1.265B,,1.265B,124.50M,59.30M,664.80M,764.40M,122.00M,,-0.30M,2.938B,32.30M,414.50M,1.004B,51.00M,1.502B,-945.60M,556.40M,938.50M,241.60M,1.180B,,1.490B,47.30M,56.10M,3.329B,6.268B,,206.00M,,206.00M,453.20M,659.20M,17.90M,0.00,,250.00M,267.90M,21.50M,289.40M,,,85.90M,1.117B,1.182B,41.80M,1.224B,63.50M,63.50M,135.20M,21.80M,87.50M,1.510B,2.627B,,67.40M,5.015B,386.30M,1.384B,-465.60M,3.619B,,AOR,
2020-06,686.20M,686.20M,1.170B,,1.170B,130.50M,58.60M,679.40M,784.00M,132.50M,,,2.772B,,,,559.60M,559.60M,,559.60M,924.50M,241.00M,1.166B,,1.507B,47.10M,61.70M,3.341B,6.114B,,186.20M,,186.20M,483.90M,670.10M,,,,12.10M,12.10M,,12.10M,,,83.30M,829.40M,1.437B,33.40M,1.470B,67.50M,67.50M,141.20M,21.90M,96.70M,1.776B,2.605B,,67.40M,4.894B,383.10M,1.344B,-514.40M,3.487B,,AOR,
2020-03,185.80M,185.80M,1.242B,,1.242B,124.00M,56.50M,661.40M,757.40M,118.20M,,,2.303B,30.90M,398.00M,982.50M,51.30M,1.463B,-903.10M,559.60M,898.20M,234.30M,1.132B,,1.457B,53.30M,58.50M,3.261B,5.564B,,193.70M,,193.70M,452.00M,645.70M,10.10M,,150.00M,,160.10M,,160.10M,,,64.80M,921.90M,948.20M,34.70M,982.90M,66.30M,66.30M,146.10M,22.10M,93.70M,1.289B,2.211B,,67.40M,4.852B,378.40M,1.357B,-609.90M,3.331B,,AOR,
2019-12,184.50M,184.50M,1.325B,,1.325B,126.80M,57.10M,661.00M,760.40M,110.20M,,,2.380B,31.90M,405.10M,988.00M,55.60M,1.481B,-903.50M,577.10M,913.80M,243.90M,1.158B,,1.464B,52.30M,62.30M,3.313B,5.694B,,198.50M,62.50M,261.00M,287.00M,548.00M,9.30M,193.60M,,,202.90M,19.50M,222.40M,55.10M,55.10M,68.20M,947.60M,946.90M,37.50M,984.40M,69.30M,69.30M,155.70M,21.70M,105.70M,1.315B,2.263B,,67.40M,4.780B,379.10M,1.309B,-507.90M,3.409B,,AOR,Restated
2019-09,167.50M,167.50M,1.321B,,1.321B,130.00M,55.20M,650.80M,753.50M,105.90M,,,2.348B,31.40M,392.60M,977.50M,52.40M,1.454B,-889.70M,564.20M,920.10M,225.20M,1.145B,,1.433B,54.40M,51.30M,3.248B,5.596B,,205.80M,,205.80M,409.10M,614.90M,,,,232.30M,232.30M,,232.30M,,,76.80M,990.10M,947.50M,34.30M,981.80M,45.80M,45.80M,145.20M,21.40M,108.30M,1.281B,2.271B,,67.40M,4.668B,374.50M,1.262B,-543.90M,3.304B,,AOR,Restated
2019-06,164.00M,164.00M,1.305B,,1.305B,129.90M,54.40M,622.90M,725.80M,112.20M,,,2.307B,31.60M,392.50M,965.60M,55.40M,1.445B,-883.30M,561.80M,907.00M,227.90M,1.135B,,1.436B,53.90M,51.70M,3.239B,5.545B,,215.30M,,215.30M,415.60M,630.90M,,,,168.20M,168.20M,,168.20M,,,69.50M,930.80M,947.90M,35.70M,983.60M,45.40M,45.40M,167.10M,20.60M,109.80M,1.306B,2.237B,,67.40M,4.556B,371.70M,1.206B,-500.70M,3.288B,,AOR,Restated
2019-03,156.40M,156.40M,1.294B,,1.294B,127.60M,55.00M,604.30M,707.00M,107.80M,,,2.265B,31.80M,385.80M,948.50M,55.40M,1.422B,-869.10M,552.40M,900.90M,230.50M,1.131B,,1.422B,71.30M,48.30M,3.226B,5.491B,,200.40M,,200.40M,462.80M,663.20M,,,,142.50M,142.50M,,142.50M,,,68.50M,936.00M,946.70M,36.60M,983.30M,55.10M,55.10M,187.70M,20.20M,111.00M,1.337B,2.273B,,67.40M,4.428B,361.30M,1.163B,-496.40M,3.198B,,AOR,Restated
2018-12,140.90M,140.90M,1.309B,,1.309B,123.50M,51.70M,577.00M,673.80M,92.80M,,,2.217B,31.70M,368.60M,944.40M,,1.345B,-849.60M,495.10M,902.20M,232.90M,1.135B,,1.419B,64.70M,42.00M,3.156B,5.373B,,201.10M,74.50M,275.60M,303.80M,579.40M,9.20M,177.10M,,,186.30M,0.00,186.30M,47.30M,47.30M,67.50M,952.00M,946.00M,0.00,946.00M,41.40M,41.40M,203.10M,19.80M,112.00M,1.302B,2.254B,,67.40M,4.258B,359.40M,1.123B,-462.20M,3.099B,,AOR,Restated
2018-09,122.20M,122.20M,1.303B,,1.303B,129.40M,53.40M,585.20M,690.60M,98.50M,,,2.215B,31.40M,366.70M,936.40M,,1.334B,-843.50M,491.00M,913.90M,237.80M,1.152B,,1.396B,52.00M,49.10M,3.140B,5.355B,,197.60M,,197.60M,445.20M,642.80M,10.50M,154.00M,,,164.50M,,164.50M,,,76.80M,956.80M,944.80M,,944.80M,27.30M,27.30M,126.50M,19.70M,115.30M,1.214B,2.171B,,67.40M,4.136B,360.90M,1.03B,-369.70M,3.164B,,AOR,Restated
