,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.013B,2.013B,562.60M,1.450B,,176.00M,,-37.20M,190.90M,9.70M,-181.20M,15.30M,665.20M,785.10M,9.70M,190.90M,-181.20M,-101.70M,-181.20M,502.20M,39.30M,462.90M,,,1.50M,,464.40M,498.70M,1.167B,473.20M,693.10M,1.05,,,,1.127,1.05,1.04,,,,1.117,1.04,443.77M,446.16M,1.14
2020-06,1.913B,1.913B,540.00M,1.373B,,188.60M,,0.00,197.70M,8.40M,-189.30M,38.20M,681.70M,691.30M,8.40M,197.70M,-189.30M,-42.50M,-189.30M,459.50M,11.10M,448.40M,,,-2.30M,,446.10M,446.10M,1.112B,454.80M,657.20M,1.01,,,,1.01,1.01,1.0,,,,1.0,1.0,443.44M,445.87M,1.1
2020-03,1.993B,1.993B,552.00M,1.441B,,217.80M,,-34.60M,208.80M,10.10M,-198.70M,14.20M,704.30M,736.80M,10.10M,208.80M,-198.70M,-98.40M,-198.70M,439.70M,21.10M,418.60M,,,-3.60M,,415.00M,447.94M,1.122B,473.30M,648.50M,0.94,,,,1.014,0.94,0.93,,,,1.004,0.93,443.06M,445.83M,1.08
2019-12,1.924B,1.924B,550.20M,1.374B,,179.60M,,0.00,200.90M,10.50M,-190.40M,82.80M,712.20M,661.30M,10.50M,200.90M,-190.40M,-2.00M,-190.40M,468.90M,-100.50M,569.40M,,,-6.70M,,562.70M,562.70M,1.120B,398.60M,669.80M,1.27,,,,1.27,1.27,1.26,,,,1.26,1.26,442.95M,446.02M,1.01
2019-09,1.954B,1.954B,559.90M,1.394B,,187.90M,,0.00,201.30M,12.20M,-189.10M,34.70M,665.40M,728.30M,12.20M,201.30M,-189.10M,2.80M,-189.10M,542.00M,36.70M,505.30M,,,-6.70M,,498.60M,498.60M,1.198B,454.50M,743.30M,1.13,,,,1.13,1.13,1.12,,,,1.12,1.12,442.76M,445.83M,0.95
2019-06,1.890B,1.890B,563.30M,1.326B,,164.80M,,-22.10M,204.50M,11.70M,-192.80M,28.70M,642.40M,683.90M,11.70M,204.50M,-192.80M,-27.20M,-192.80M,463.90M,29.60M,434.30M,,,-5.20M,,429.10M,449.79M,1.137B,468.20M,668.40M,0.97,,,,1.0170000000000001,0.97,0.96,,,,1.006,0.96,442.20M,445.34M,0.92
2019-03,1.813B,1.813B,543.40M,1.27B,,198.10M,,-0.10M,207.50M,12.40M,-195.10M,20.10M,655.10M,614.90M,12.40M,207.50M,-195.10M,21.80M,-195.10M,441.60M,34.00M,407.60M,,,-10.20M,,397.40M,397.49M,1.106B,457.10M,649.10M,0.9,,,,0.9002,0.9,0.89,,,,0.8902,0.89,441.35M,444.62M,0.9
2018-12,2.132B,2.132B,540.90M,1.591B,,192.50M,,-3.30M,208.80M,10.80M,-198.00M,243.70M,1.202B,388.90M,10.80M,208.80M,-198.00M,6.40M,-198.00M,197.30M,-95.40M,292.70M,,,-15.10M,0.00,277.60M,280.01M,1.172B,765.90M,406.10M,0.63,,,,0.6355,0.63,0.62,,,,0.6254,0.62,440.85M,444.44M,0.84
2018-09,1.786B,1.786B,556.70M,1.229B,,177.90M,,0.00,208.60M,10.10M,-198.50M,34.80M,661.60M,567.20M,10.10M,208.60M,-198.50M,21.10M,-198.50M,389.80M,12.50M,377.30M,,,-10.40M,,366.90M,366.90M,1.047B,448.90M,598.40M,0.83,,,,0.83,0.83,0.83,,,,0.83,0.83,440.89M,444.12M,0.79
2018-06,1.781B,1.781B,560.30M,1.221B,,157.90M,,0.00,211.30M,18.40M,-192.90M,67.00M,674.60M,546.00M,18.40M,211.30M,-192.90M,-34.80M,-192.90M,318.30M,3.90M,314.40M,,,-7.70M,,306.70M,306.70M,979.30M,449.70M,529.60M,0.69,,,,0.69,0.69,0.69,,,,0.69,0.69,441.50M,444.36M,0.77
