,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.626B,,1.626B,573.60M,113.30M,744.20M,,,,,293.40M,104.20M,,84.70M,2.852B,,,,,18.90B,,18.90B,,18.90B,5.849B,11.52B,17.37B,315.20M,2.033B,,38.61B,41.46B,117.00M,512.60M,274.20M,70.70M,974.50M,708.60M,1.683B,,771.30M,771.30M,487.30M,1.259B,324.40M,324.40M,,3.266B,1.377B,24.01B,6.424B,30.44B,770.40M,,770.40M,457.40M,554.90M,869.20M,34.01B,37.27B,4.50M,-1.169B,10.37B,1.282B,,-4.191B,3.732B
2020-06,2.038B,,2.038B,585.20M,98.80M,732.30M,,,,,310.40M,68.00M,,77.80M,3.227B,,,,,18.48B,,18.48B,,18.48B,5.822B,11.61B,17.44B,393.40M,1.980B,,38.29B,41.52B,108.20M,493.40M,231.20M,70.90M,903.70M,780.70M,1.684B,,3.366B,3.366B,494.30M,3.860B,400.20M,400.20M,,5.945B,1.347B,21.85B,6.087B,27.94B,804.20M,,804.20M,440.00M,542.30M,880.80M,31.51B,37.46B,4.50M,-1.125B,10.30B,1.282B,,-4.274B,3.620B
2020-03,1.326B,,1.326B,623.90M,101.80M,785.00M,,,,,259.50M,74.30M,,60.10M,2.505B,,,,,18.42B,,18.42B,,18.42B,5.949B,11.60B,17.55B,407.00M,1.908B,,38.28B,40.79B,120.60M,483.90M,268.70M,67.50M,940.70M,688.40M,1.629B,,2.64B,2.64B,476.80M,3.117B,408.50M,408.50M,,5.154B,1.322B,21.94B,6.138B,28.08B,731.00M,,731.00M,430.20M,541.40M,901.00M,31.57B,36.72B,4.50M,-1.082B,10.26B,1.272B,,-4.272B,3.634B
2019-12,1.501B,,1.501B,462.20M,142.30M,675.80M,,,,,242.60M,76.80M,,57.40M,2.554B,13.93B,2.486B,638.90M,1.897B,7.357B,372.60M,26.68B,-7.241B,19.44B,6.178B,12.32B,18.50B,1.10M,1.903B,405.30M,40.25B,42.80B,148.10M,455.00M,253.30M,77.90M,934.30M,836.40M,1.771B,,2.928B,2.928B,494.50M,3.423B,294.30M,294.30M,,5.488B,1.384B,21.13B,6.510B,27.64B,768.30M,525.90M,1.294B,435.00M,1.096B,411.10M,31.82B,37.31B,4.50M,-1.017B,10.12B,1.226B,,-2.824B,5.055B
2019-09,1.353B,,1.353B,441.70M,124.00M,630.70M,,,,,203.20M,95.70M,,79.80M,2.362B,13.04B,2.435B,636.20M,1.807B,7.215B,378.70M,25.52B,-7.019B,18.50B,5.481B,10.90B,16.38B,1.00M,1.821B,247.90M,36.95B,39.31B,136.20M,427.50M,234.40M,65.80M,863.90M,701.90M,1.566B,,2.444B,2.444B,475.10M,2.919B,302.90M,302.90M,,4.787B,1.252B,19.04B,6.448B,25.49B,538.50M,,538.50M,554.70M,574.80M,870.90M,28.72B,33.51B,4.50M,-1.130B,10.55B,1.207B,,-2.979B,5.240B
2019-06,1.192B,,1.192B,459.50M,119.90M,656.90M,,,,,208.20M,93.80M,,81.30M,2.232B,13.01B,2.360B,635.70M,1.760B,7.11B,390.20M,25.27B,-6.891B,18.38B,5.558B,10.90B,16.45B,1.10M,1.745B,262.70M,36.84B,39.07B,144.90M,413.00M,207.20M,80.60M,845.70M,702.00M,1.548B,,2.442B,2.442B,496.90M,2.939B,334.80M,334.80M,,4.822B,1.252B,18.62B,6.335B,24.95B,546.20M,,546.20M,565.60M,590.20M,868.00M,28.21B,33.03B,4.50M,-1.206B,10.49B,1.207B,,-2.607B,5.478B
2019-03,1.005B,18.40M,1.023B,473.00M,131.30M,689.40M,,,,,156.20M,94.90M,,98.60M,2.062B,12.85B,2.318B,632.60M,1.701B,7.081B,364.80M,24.95B,-6.665B,18.28B,5.538B,11.04B,16.58B,0.90M,1.721B,278.20M,36.86B,38.93B,130.00M,403.10M,209.90M,78.20M,821.20M,702.10M,1.523B,,2.097B,2.097B,498.40M,2.596B,293.00M,293.00M,,4.412B,1.227B,19.11B,6.316B,25.42B,510.80M,,510.80M,553.30M,589.00M,864.40M,28.61B,33.03B,4.50M,-1.226B,10.45B,1.207B,,-2.672B,5.347B
2018-12,1.209B,,1.209B,459.00M,126.10M,671.40M,,,,,330.60M,96.20M,,78.20M,2.385B,12.78B,2.285B,628.50M,1.667B,,358.10M,17.72B,-6.470B,11.25B,5.502B,11.17B,16.68B,1.00M,1.739B,354.10M,30.63B,33.01B,130.80M,377.40M,227.60M,93.50M,829.30M,801.70M,1.631B,,2.755B,2.755B,0.00,2.755B,304.10M,304.10M,,4.690B,1.21B,18.41B,0.00,18.41B,535.90M,504.60M,1.547B,563.50M,1.005B,253.80M,22.42B,27.11B,4.50M,-1.200B,10.38B,1.207B,,-2.643B,5.336B
2018-09,1.026B,68.20M,1.095B,511.10M,149.80M,744.10M,,,,,271.20M,266.80M,,60.20M,2.437B,,,,,11.00B,,11.00B,,11.00B,5.463B,11.48B,16.95B,978.30M,1.720B,,30.64B,33.08B,122.90M,354.20M,177.10M,58.80M,713.00M,748.80M,1.462B,,,2.841B,,2.841B,276.60M,276.60M,,4.580B,1.196B,18.42B,,18.42B,706.20M,,706.20M,578.00M,954.80M,1.288B,22.57B,27.15B,4.50M,-1.104B,10.31B,1.163B,,-2.696B,5.351B
2018-06,834.50M,80.80M,915.30M,506.90M,152.60M,724.70M,,,,,311.00M,135.60M,,40.50M,2.127B,,,,,11.07B,,11.07B,,11.07B,5.527B,11.76B,17.28B,1.024B,1.702B,,31.08B,33.21B,137.00M,344.90M,174.10M,48.70M,704.70M,737.80M,1.442B,,,2.792B,,2.792B,328.60M,328.60M,,4.563B,1.186B,18.32B,,18.32B,752.20M,,752.20M,575.90M,1.009B,1.247B,22.52B,27.08B,4.50M,-1.122B,10.25B,1.074B,,-2.510B,5.551B
