,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,462.90M,37.20M,473.20M,473.20M,473.20M,,24.10M,79.10M,77.40M,,-193.60M,-116.20M,960.30M,-243.90M,,-243.90M,-100.90M,5.40M,7.60M,-331.80M,-544.10M,,-544.10M,,0.00,0.00,,,-488.00M,,-488.00M,48.20M,-28.70M,-1.013B,2.106B,-384.10M,8.20M,1.730B,,4.084B,-4.628B,0.00,18.40M,248.20M
2020-06,448.40M,0.00,454.80M,454.80M,454.80M,,27.20M,87.40M,-15.50M,,-13.50M,-29.00M,988.80M,-210.50M,,-210.50M,-183.40M,3.50M,5.00M,-385.40M,606.70M,,606.70M,,-16.30M,-16.30M,,,-478.90M,,-478.90M,23.20M,-35.50M,99.20M,1.400B,702.60M,3.20M,2.106B,,4.58B,-3.973B,-16.30M,32.50M,133.20M
2020-03,418.60M,34.60M,473.30M,473.30M,473.30M,,47.70M,81.60M,-210.80M,,-45.00M,-255.80M,800.00M,-214.40M,,-214.40M,-49.30M,5.80M,4.50M,-253.40M,503.60M,,503.60M,,-39.70M,-39.70M,,,-454.90M,,-454.90M,11.10M,-626.10M,-606.00M,1.578B,-59.40M,-118.30M,1.400B,,4.888B,-4.385B,-39.70M,35.10M,262.00M
2019-12,569.40M,46.20M,-1.380B,398.60M,398.60M,,23.50M,-120.50M,84.50M,,-23.40M,-8.40M,993.70M,-266.70M,,-266.70M,-2.272B,5.10M,-53.10M,-2.587B,2.214B,,2.214B,,-19.60M,-19.60M,,,-420.80M,,-420.80M,12.80M,-90.20M,1.696B,1.448B,103.30M,26.40M,1.578B,,3.767B,-1.553B,-19.60M,-111.00M,-621.50M
2019-09,505.30M,0.00,454.50M,454.50M,454.50M,,23.50M,77.30M,-32.10M,,-91.30M,-123.40M,937.20M,-260.30M,,-260.30M,-553.10M,9.70M,-6.40M,-810.10M,450.80M,,450.80M,,0.00,0.00,,,-407.10M,,-407.10M,36.10M,-7.00M,72.80M,1.286B,199.90M,-37.60M,1.448B,,710.00M,-259.20M,0.00,33.10M,202.20M
2019-06,434.30M,22.10M,468.20M,468.20M,468.20M,,21.90M,57.60M,-19.40M,,51.90M,32.50M,1.037B,-243.50M,,-243.50M,-43.40M,19.40M,0.10M,-267.40M,-200.20M,,-200.20M,,0.00,0.00,,,-398.00M,,-398.00M,29.40M,-28.20M,-597.00M,1.100B,172.20M,14.10M,1.286B,,3.208B,-3.408B,0.00,41.00M,170.30M
2019-03,407.60M,0.10M,457.10M,457.10M,457.10M,,42.50M,28.90M,-33.00M,,-118.10M,-151.10M,785.10M,-220.80M,,-220.80M,-91.10M,-6.60M,-4.80M,-323.30M,215.70M,,215.70M,,0.00,0.00,,,-377.10M,,-377.10M,27.20M,-516.20M,-650.40M,1.305B,-188.60M,-16.60M,1.100B,,4.242B,-4.026B,0.00,36.90M,249.00M
2018-12,292.70M,,-1.345B,765.90M,765.90M,,26.20M,-172.40M,143.60M,,36.10M,123.60M,1.263B,-302.80M,,-302.80M,-443.60M,73.10M,-21.10M,-694.40M,-208.90M,,-208.90M,,-51.60M,-51.60M,,,-348.40M,0.00,-348.40M,44.80M,-9.30M,-573.40M,1.293B,-4.60M,16.20M,1.305B,,350.00M,-558.90M,-51.60M,-75.30M,-640.80M
2018-09,377.30M,,448.90M,448.90M,448.90M,,43.80M,-11.50M,-74.70M,0.00,-30.50M,-105.20M,753.30M,-185.50M,,-185.50M,-101.30M,83.10M,-8.40M,-212.10M,178.20M,,178.20M,,-82.60M,-82.60M,,,-339.50M,0.00,-339.50M,13.90M,7.30M,-222.70M,970.10M,318.50M,4.70M,1.293B,,250.00M,-71.80M,-82.60M,30.70M,258.30M
2018-06,314.40M,,449.70M,449.70M,449.70M,,24.80M,109.20M,26.50M,0.00,15.40M,41.90M,940.00M,-226.40M,,-226.40M,-663.10M,335.80M,-8.70M,-562.40M,-172.60M,,-172.60M,,-98.60M,-98.60M,,,-331.30M,0.00,-331.30M,20.20M,-46.60M,-628.90M,1.279B,-251.30M,-57.50M,970.10M,,1.500B,-1.672B,-98.60M,19.90M,153.90M
2018-03,280.30M,,446.30M,446.30M,446.30M,,42.70M,96.80M,-95.40M,0.00,21.10M,-74.30M,791.80M,-198.50M,,-198.50M,-673.40M,-394.10M,-14.60M,-1.281B,1.163B,,1.163B,,,,,,-304.30M,-18.90M,-323.20M,20.00M,-42.90M,817.30M,954.90M,328.50M,-4.50M,1.279B,,3.748B,-2.585B,,24.70M,228.60M
2017-12,194.80M,-17.70M,,466.10M,466.10M,,22.10M,26.60M,265.60M,,-58.30M,-58.70M,789.00M,-248.60M,,-248.60M,-1.050B,4.60M,3.70M,-1.290B,898.30M,,898.30M,,-96.60M,-96.60M,,,-283.50M,-18.90M,-302.40M,14.00M,-12.40M,500.90M,954.70M,-0.50M,0.70M,954.90M,,3.087B,-2.189B,-96.60M,-87.70M,-584.30M
2017-09,334.70M,14.20M,,432.30M,432.30M,,24.40M,43.60M,-163.60M,,-21.80M,-185.40M,663.80M,-183.50M,,-183.50M,-99.70M,2.90M,-15.70M,-296.00M,-24.10M,,-24.10M,,-28.30M,-28.30M,,,-274.60M,-18.90M,-293.50M,23.10M,-0.50M,-323.30M,913.30M,44.50M,-3.10M,954.70M,,1.158B,-1.182B,-28.30M,27.30M,232.30M
2017-06,388.50M,0.30M,,396.40M,396.40M,,25.80M,-4.90M,-61.70M,,50.20M,-11.50M,794.60M,-203.40M,,-203.40M,-79.40M,3.40M,-14.80M,-294.20M,297.70M,,297.70M,,-494.20M,-494.20M,,,-264.50M,-26.80M,-291.30M,45.70M,-6.40M,-448.50M,858.30M,51.90M,3.10M,913.30M,,1.791B,-1.493B,-494.20M,37.30M,121.00M
2017-03,307.40M,55.40M,,421.10M,421.10M,,36.20M,-45.30M,-40.30M,,-56.30M,-96.60M,678.20M,-168.10M,,-168.10M,-777.80M,3.80M,21.80M,-920.30M,301.80M,,301.80M,,-147.20M,-147.20M,,,-250.40M,-26.80M,-277.20M,36.90M,243.60M,157.90M,936.50M,-84.20M,6.00M,858.30M,,1.997B,-1.695B,-147.20M,23.10M,231.00M
2016-12,232.89M,127.03M,,388.20M,388.20M,,19.69M,-102.47M,8.863M,,48.46M,-19.78M,723.27M,-207.33M,,-207.33M,-101.38M,7.841M,-15.23M,-316.10M,-130.50M,7.337M,-123.16M,,0.00,0.00,,,-234.13M,-26.76M,-260.89M,15.90M,242.12M,-126.03M,530.36M,281.14M,-17.22M,936.50M,,846.53M,-969.69M,0.00,-71.87M,-516.38M
2016-09,263.74M,0.00,,398.00M,398.00M,,20.23M,66.71M,24.12M,,-105.67M,-81.55M,667.12M,-155.75M,,-155.75M,-93.45M,1.858M,4.536M,-242.80M,-56.74M,-4.494M,-61.23M,,0.00,0.00,,,-225.40M,-26.78M,-252.18M,16.24M,-6.356M,-303.53M,410.54M,120.78M,-0.962M,530.36M,,1.201B,-1.263B,0.00,21.46M,227.50M
2016-06,192.46M,-0.83M,,397.76M,397.76M,,21.91M,41.01M,-2.449M,,97.93M,95.48M,747.80M,-165.20M,,-165.20M,-1.216B,1.417M,21.50M,-1.358B,886.28M,5.793M,892.07M,,0.00,0.00,,,-216.58M,-26.78M,-243.36M,45.78M,1.832M,696.32M,336.40M,86.24M,-12.11M,410.54M,,2.356B,-1.464B,0.00,31.04M,111.31M
2016-03,281.31M,,,341.63M,341.63M,,28.08M,12.45M,-30.54M,,-69.42M,-99.96M,563.51M,-154.22M,,-154.22M,-0.873M,1.184M,-31.60M,-185.52M,-109.65M,-8.636M,-118.28M,,0.00,0.00,,,-209.98M,-26.78M,-236.76M,14.58M,-25.60M,-366.06M,320.69M,11.93M,3.785M,336.40M,,1.279B,-1.397B,0.00,19.37M,177.57M
