,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,5.174B,619.00M,5.793B,99.00M,,128.00M,,246.00M,484.00M,,,6.651B,,,,,975.00M,,,975.00M,,975.00M,1.697B,63.00M,1.76B,28.00M,60.00M,233.00M,3.056B,9.707B,256.00M,6.00M,,,262.00M,8.00M,270.00M,29.00M,,325.00M,,325.00M,49.00M,374.00M,1.058B,1.193B,,53.00M,2.152B,2.032B,228.00M,2.26B,,,,,50.00M,2.31B,4.462B,6.283B,10.93B,,11.93B,,,-35.00M,5.245B
2020-07,6.442B,608.00M,7.05B,149.00M,,161.00M,,314.00M,455.00M,,,7.98B,0.0,79.00M,372.00M,1.189B,226.00M,90.00M,298.00M,2.254B,-1.294B,960.00M,1.654B,28.00M,1.682B,19.00M,65.00M,225.00M,2.951B,10.93B,305.00M,6.00M,,,311.00M,3.00M,314.00M,35.00M,,,1.338B,1.338B,46.00M,1.384B,1.107B,1.23B,,84.00M,3.529B,2.031B,221.00M,2.252B,2.00M,,2.00M,,42.00M,2.296B,5.825B,3.00M,10.88B,6.179B,11.93B,,,-32.00M,5.106B
2020-04,3.371B,600.00M,3.971B,219.00M,,225.00M,,277.00M,389.00M,,,4.862B,,,,,965.00M,,,965.00M,,965.00M,1.653B,34.00M,1.687B,19.00M,,231.00M,2.902B,7.764B,384.00M,9.00M,325.00M,,718.00M,,718.00M,75.00M,,,350.00M,350.00M,50.00M,400.00M,1.021B,1.134B,,38.00M,2.713B,48.00M,215.00M,263.00M,22.00M,,22.00M,,26.00M,311.00M,3.024B,6.132B,10.58B,,11.93B,,,-44.00M,4.74B
2020-01,1.641B,625.00M,2.266B,603.00M,,655.00M,,308.00M,461.00M,,,3.69B,,,,,1.055B,,,1.055B,,1.055B,1.655B,41.00M,1.696B,13.00M,,247.00M,3.011B,6.701B,455.00M,8.00M,,,463.00M,,463.00M,81.00M,,,38.00M,38.00M,57.00M,95.00M,1.132B,1.253B,,51.00M,2.204B,373.00M,286.00M,659.00M,55.00M,,55.00M,,56.00M,770.00M,2.974B,6.014B,9.637B,,11.89B,,,-35.00M,3.727B
2019-10,1.63B,625.00M,2.255B,104.00M,,190.00M,,304.00M,413.00M,,,3.162B,,,,,1.08B,,,1.08B,,1.08B,1.655B,49.00M,1.704B,13.00M,,224.00M,3.021B,6.183B,272.00M,8.00M,,,280.00M,,280.00M,38.00M,,,50.00M,50.00M,55.00M,105.00M,967.00M,1.089B,,44.00M,1.757B,373.00M,297.00M,670.00M,68.00M,,68.00M,,55.00M,793.00M,2.55B,5.881B,9.537B,,11.75B,,,-35.00M,3.633B
2019-07,2.116B,624.00M,2.74B,87.00M,,152.00M,,266.00M,436.00M,,,3.594B,0.0,79.00M,368.00M,1.371B,,65.00M,278.00M,2.161B,-1.381B,780.00M,1.655B,54.00M,1.709B,13.00M,1.00M,186.00M,2.689B,6.283B,274.00M,7.00M,,,281.00M,0.00,281.00M,35.00M,,,50.00M,50.00M,0.00,50.00M,1.055B,1.169B,,46.00M,1.966B,386.00M,0.00,386.00M,37.00M,,37.00M,,145.00M,568.00M,2.534B,3.00M,9.621B,5.772B,11.61B,,,-36.00M,3.749B
2019-04,2.946B,400.00M,3.346B,262.00M,,265.00M,,255.00M,383.00M,,,4.249B,,,,,,,,,,799.00M,1.611B,43.00M,1.654B,13.00M,,202.00M,2.668B,6.917B,383.00M,9.00M,338.00M,10.00M,740.00M,,740.00M,70.00M,,,,50.00M,,50.00M,955.00M,1.07B,,50.00M,2.291B,398.00M,,398.00M,13.00M,,13.00M,,145.00M,556.00M,2.847B,5.782B,9.789B,,11.46B,,,-38.00M,4.07B
2019-01,1.075B,258.00M,1.333B,554.00M,,624.00M,,253.00M,434.00M,,,2.644B,,,,,,,,,,810.00M,1.611B,49.00M,1.66B,13.00M,,208.00M,2.691B,5.335B,400.00M,7.00M,,10.00M,417.00M,,417.00M,91.00M,,,,50.00M,,50.00M,1.073B,1.179B,,43.00M,2.001B,363.00M,,363.00M,51.00M,,51.00M,,124.00M,538.00M,2.539B,5.623B,8.537B,,11.33B,,,-36.00M,2.796B
2018-10,1.084B,248.00M,1.332B,77.00M,,193.00M,,269.00M,438.00M,,,2.232B,,,,,,,,,,805.00M,1.61B,55.00M,1.665B,13.00M,,213.00M,2.696B,4.928B,209.00M,7.00M,,10.00M,226.00M,,226.00M,26.00M,,,,50.00M,,50.00M,951.00M,1.059B,,51.00M,1.586B,375.00M,,375.00M,65.00M,,65.00M,,120.00M,560.00M,2.146B,5.501B,8.472B,,11.15B,,,-40.00M,2.782B
2018-07,1.464B,252.00M,1.716B,98.00M,,137.00M,,202.00M,367.00M,,,2.422B,0.0,79.00M,363.00M,1.379B,,48.00M,325.00M,2.194B,-1.382B,812.00M,1.611B,61.00M,1.672B,13.00M,,215.00M,2.712B,5.134B,178.00M,10.00M,,9.00M,197.00M,,197.00M,27.00M,,,,50.00M,,50.00M,948.00M,1.051B,,49.00M,1.743B,388.00M,,388.00M,68.00M,,68.00M,,119.00M,575.00M,2.318B,3.00M,8.564B,5.335B,11.05B,,,-36.00M,2.816B
