,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,198.00M,,,37.00M,9.00M,46.00M,46.00M,17.00M,,111.00M,,101.00M,30.00M,,-38.00M,-58.00M,,-29.00M,-333.00M,-428.00M,,45.00M,-38.00M,,-38.00M,,-85.00M,-12.00M,5.00M,-130.00M,-1.013B,-1.013B,,0.00,0.00,-158.00M,-158.00M,88.00M,-70.00M,-1.153B,,,-1.00M,,,,-1.013B,0.00
2020-07,445.00M,,,44.00M,6.00M,50.00M,50.00M,-77.00M,,114.00M,,-86.00M,68.00M,,24.00M,-400.00M,,-6.00M,155.00M,-159.00M,,287.00M,-30.00M,,48.00M,,0.00,-1.00M,45.00M,14.00M,2.971B,2.971B,,0.00,0.00,-142.00M,-142.00M,51.00M,-50.00M,2.83B,3.56B,3.131B,6.00M,6.697B,,,-12.00M,0.00
2020-04,1.084B,,,47.00M,7.00M,54.00M,54.00M,-72.00M,,103.00M,,32.00M,429.00M,,27.00M,258.00M,,-31.00M,53.00M,736.00M,,1.937B,-39.00M,,-39.00M,,,23.00M,1.00M,-15.00M,-13.00M,-13.00M,,-45.00M,-45.00M,-139.00M,-139.00M,39.00M,-96.00M,-254.00M,1.902B,1.668B,-10.00M,3.56B,,,-13.00M,-45.00M
2020-01,240.00M,,,49.00M,8.00M,57.00M,57.00M,-12.00M,,107.00M,,16.00M,-465.00M,,-19.00M,180.00M,,35.00M,178.00M,-91.00M,,317.00M,-30.00M,,-30.00M,,,1.00M,-10.00M,-39.00M,-12.00M,-12.00M,,-138.00M,-138.00M,-139.00M,-139.00M,58.00M,14.00M,-217.00M,,-448.00M,-2.00M,1.902B,,,-12.00M,-138.00M
2019-10,57.00M,,,49.00M,8.00M,57.00M,57.00M,-18.00M,,111.00M,,20.00M,-38.00M,,-63.00M,-5.00M,,0.00,-248.00M,-354.00M,,-127.00M,-38.00M,,-38.00M,,0.00,2.00M,-21.00M,-57.00M,-13.00M,-13.00M,,-140.00M,-140.00M,-141.00M,-141.00M,63.00M,-94.00M,-325.00M,,,0.00,,,,-13.00M,-140.00M
2019-07,-44.00M,,,52.00M,7.00M,59.00M,59.00M,37.00M,,98.00M,,3.00M,114.00M,,-7.00M,-449.00M,,-50.00M,117.00M,-275.00M,,-122.00M,-26.00M,,53.00M,,,-221.00M,-7.00M,-318.00M,-12.00M,-12.00M,,-148.00M,-148.00M,-127.00M,-127.00M,53.00M,-106.00M,-340.00M,3.129B,-780.00M,3.00M,2.352B,,0.00,-12.00M,-148.00M
2019-04,1.378B,,,48.00M,6.00M,54.00M,54.00M,-23.00M,,98.00M,,6.00M,359.00M,,24.00M,329.00M,,-3.00M,26.00M,735.00M,,2.248B,-49.00M,,-49.00M,,,-139.00M,-21.00M,-209.00M,35.00M,35.00M,,-134.00M,-134.00M,-123.00M,-123.00M,77.00M,-70.00M,-215.00M,1.309B,1.824B,-4.00M,3.129B,,48.00M,-13.00M,-134.00M
2019-01,189.00M,,,48.00M,7.00M,55.00M,55.00M,-12.00M,,100.00M,,4.00M,-431.00M,,18.00M,186.00M,,60.00M,172.00M,5.00M,,341.00M,-45.00M,,-45.00M,,,-9.00M,-3.00M,-57.00M,-12.00M,-12.00M,,-179.00M,-179.00M,-122.00M,-122.00M,34.00M,-20.00M,-299.00M,1.322B,-15.00M,2.00M,1.309B,,,-12.00M,-179.00M
2018-10,34.00M,,,51.00M,6.00M,57.00M,57.00M,-9.00M,,105.00M,,2.00M,-26.00M,,-72.00M,24.00M,,2.00M,-260.00M,-332.00M,,-143.00M,-35.00M,,-35.00M,,,4.00M,-20.00M,-51.00M,-13.00M,-13.00M,,-95.00M,-95.00M,-129.00M,-129.00M,120.00M,6.00M,-111.00M,1.631B,-305.00M,-4.00M,1.322B,,,-13.00M,-95.00M
2018-07,-38.00M,,,55.00M,7.00M,62.00M,62.00M,-6.00M,,99.00M,,7.00M,149.00M,,4.00M,-499.00M,,-44.00M,150.00M,-240.00M,,-37.00M,-27.00M,,59.00M,,0.00,86.00M,-50.00M,9.00M,-12.00M,-12.00M,,0.00,0.00,-102.00M,-102.00M,90.00M,-146.00M,-170.00M,1.833B,-198.00M,-4.00M,1.631B,,0.00,-12.00M,0.00
