,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,5.777B,5.777B,3.213B,2.564B,948.00M,-948.00M,334.00M,535.00M,-535.00M,,1.542B,1.022B,535.00M,-535.00M,-806.00M,-535.00M,-319.00M,-162.00M,-157.00M,,,87.00M,27.00M,-63.00M,622.04M,1.424B,1.208B,216.00M,,-0.14,,,,0.7914,-0.13,,-0.14,,,,0.7864,-0.13,,743.00M,747.00M,0.965,,AOR,
2020-09,6.721B,6.721B,3.34B,3.381B,28.00M,-26.00M,324.00M,522.00M,-522.00M,,1.541B,1.84B,522.00M,-522.00M,21.00M,-522.00M,1.339B,105.00M,1.234B,,,70.00M,27.00M,1.304B,1.328B,3.291B,1.43B,1.861B,,1.74,,,,1.773,1.74,,1.74,,,,1.773,1.74,,735.00M,735.00M,0.965,,AOR,
2020-06,5.421B,5.421B,2.761B,2.66B,6.00M,1.00M,334.00M,554.00M,-554.00M,,1.484B,1.176B,554.00M,-554.00M,-1.83B,-554.00M,-1.208B,-316.00M,-892.00M,,,90.00M,27.00M,-802.00M,-802.74M,696.00M,1.35B,-654.00M,,-1.13,,,,-1.131,-1.13,,-1.13,,,,-1.131,-1.13,,735.00M,735.00M,0.945,,AOR,
2020-03,5.949B,5.949B,2.985B,2.964B,2.00M,-1.00M,345.00M,551.00M,-551.00M,,1.475B,1.489B,551.00M,-551.00M,89.00M,-551.00M,1.027B,137.00M,890.00M,,,48.00M,27.00M,938.00M,938.87M,2.879B,1.301B,1.578B,,1.24,0.00,,,1.241,1.24,,1.24,0.00,,,1.241,1.24,,734.00M,736.00M,0.945,,AOR,
2019-12,6.103B,6.103B,3.503B,2.60B,8.00M,127.00M,295.00M,547.00M,-516.00M,,1.479B,1.121B,547.00M,-516.00M,104.00M,-516.00M,709.00M,95.00M,614.00M,,,67.00M,12.00M,674.00M,571.02M,2.601B,1.345B,1.256B,,0.89,,,,0.7398,0.88,,0.89,,,,0.7398,0.88,,732.00M,732.00M,0.945,,AOR,
2019-09,6.94B,6.94B,3.51B,3.43B,-20.00M,20.00M,335.00M,572.00M,-572.00M,,1.521B,1.909B,572.00M,-572.00M,174.00M,-572.00M,1.511B,188.00M,1.323B,,,19.00M,17.00M,1.342B,1.324B,3.431B,1.348B,2.083B,,1.82,,,,1.796,1.82,,1.82,,,,1.796,1.82,,729.00M,729.00M,0.945,,AOR,Restated
2019-06,5.873B,5.873B,3.151B,2.722B,4.00M,-1.00M,334.00M,542.00M,-542.00M,,1.423B,1.299B,542.00M,-542.00M,132.00M,-542.00M,889.00M,141.00M,748.00M,,,84.00M,13.00M,832.00M,832.84M,2.676B,1.245B,1.431B,,1.12,,,,1.121,1.12,,1.12,,,,1.121,1.12,,728.00M,728.00M,0.9275,,AOR,Restated
2019-03,6.163B,6.163B,3.355B,2.808B,0.00,-3.00M,343.00M,543.00M,-543.00M,,1.432B,1.376B,543.00M,-543.00M,155.00M,-543.00M,988.00M,95.00M,893.00M,,,7.00M,2.00M,900.00M,902.71M,2.769B,1.238B,1.531B,,1.24,0.00,,,1.244,1.24,,1.24,0.00,,,1.244,1.24,,727.00M,727.00M,0.9275,,AOR,Restated
2018-12,6.115B,6.115B,3.758B,2.357B,63.00M,156.00M,326.00M,544.00M,-524.00M,,1.421B,936.00M,544.00M,-524.00M,21.00M,-524.00M,433.00M,-1.00M,434.00M,20.00M,,10.00M,,464.00M,330.12M,2.226B,1.249B,977.00M,,0.61,0.03,,,0.4512,0.64,,0.61,0.03,,,0.4512,0.64,,717.00M,717.00M,0.9275,,AOR,Restated
2018-09,6.628B,6.628B,3.573B,3.055B,124.00M,-114.00M,323.00M,517.00M,-517.00M,,1.362B,1.693B,517.00M,-517.00M,54.00M,-517.00M,1.23B,168.00M,1.062B,4.00M,,16.00M,,1.082B,1.176B,2.944B,1.197B,1.747B,,1.51,0.00,,,1.648,1.51,,1.51,0.00,,,1.648,1.51,,713.00M,714.00M,0.9275,,AOR,Restated
