,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,62.60B,62.60B,59.45B,3.151B,,,-8.222B,55.00M,-55.00M,2.291B,2.291B,860.00M,55.00M,-55.00M,-8.168B,-55.00M,-7.363B,-1.189B,-6.174B,0.00,-52.00M,-6.226B,672.26M,-7.081B,227.00M,-7.308B,,-39.03,0.00,4.219,-39.03,,-39.03,0.00,4.219,-39.03,,159.50M,159.50M,0.42,,AOR,
2020-09,60.81B,60.81B,57.81B,3.00B,,,-129.00M,50.00M,-50.00M,2.237B,2.237B,763.00M,50.00M,-50.00M,-58.00M,-50.00M,655.00M,28.00M,627.00M,0.00,-50.00M,577.00M,700.45M,927.00M,222.00M,705.00M,,3.56,0.00,4.322,3.56,,3.54,0.00,4.297,3.54,,162.00M,163.00M,0.42,,AOR,
2020-06,55.68B,55.68B,52.98B,2.70B,,,-56.00M,60.00M,-60.00M,1.966B,1.966B,734.00M,60.00M,-60.00M,-29.00M,-60.00M,645.00M,150.00M,495.00M,-1.00M,-50.00M,444.00M,487.95M,922.00M,217.00M,705.00M,,2.74,0.00,3.005,2.74,,2.72,0.00,2.984,2.72,,162.00M,163.00M,0.41,,AOR,
2020-03,58.54B,58.54B,55.20B,3.336B,,,-109.00M,65.00M,-16.00M,,2.485B,851.00M,65.00M,-16.00M,366.00M,-16.00M,1.201B,129.00M,1.072B,6.00M,-57.00M,1.021B,1.112B,1.497B,231.00M,1.266B,,5.86,0.03,6.417,5.89,,5.82,0.03,6.364,5.85,,174.70M,178.70M,0.41,,AOR,
2019-12,59.17B,59.17B,56.14B,3.033B,,,-138.00M,64.00M,-64.00M,2.535B,2.535B,498.00M,64.00M,-64.00M,-140.00M,-64.00M,294.00M,47.00M,247.00M,-5.00M,-56.00M,186.00M,306.92M,586.00M,228.00M,358.00M,,1.06,-0.02,1.709,1.04,,1.06,-0.03,1.705,1.03,,178.70M,179.70M,0.41,,AOR,Restated
2019-09,57.62B,57.62B,54.75B,2.867B,,,-45.00M,64.00M,-64.00M,2.196B,2.196B,671.00M,64.00M,-64.00M,-1.577B,-64.00M,-970.00M,-294.00M,-676.00M,-1.00M,-53.00M,-730.00M,-697.64M,-672.00M,234.00M,-906.00M,,-3.99,0.00,-3.819,-3.99,,-3.99,0.00,-3.819,-3.99,,183.00M,183.00M,0.41,,AOR,Restated
2019-06,55.73B,55.73B,52.94B,2.787B,,,-23.00M,56.00M,-56.00M,2.13B,2.13B,657.00M,56.00M,-56.00M,18.00M,-56.00M,619.00M,136.00M,483.00M,-6.00M,-54.00M,423.00M,446.94M,904.00M,229.00M,675.00M,,2.28,-0.03,2.375,2.25,,2.27,-0.03,2.365,2.24,,188.00M,189.00M,0.39,,AOR,Restated
2019-03,52.43B,52.43B,49.23B,3.201B,,,-1.459B,70.00M,-31.00M,,2.255B,946.00M,70.00M,-31.00M,-1.548B,-31.00M,-633.00M,111.00M,-744.00M,0.00,-52.00M,-796.00M,269.07M,-328.00M,235.00M,-563.00M,,-4.17,0.00,1.436,-4.17,,-4.17,0.00,1.406,-4.17,,190.00M,191.00M,0.39,,AOR,Restated
2018-12,56.21B,56.21B,53.24B,2.97B,,,-131.00M,67.00M,-67.00M,2.156B,2.156B,814.00M,67.00M,-67.00M,-97.00M,-67.00M,650.00M,123.00M,527.00M,-1.00M,-57.00M,469.00M,576.21M,956.00M,239.00M,717.00M,,2.42,-0.01,2.967,2.41,,2.41,-0.01,2.955,2.40,,194.00M,195.00M,0.39,,AOR,Restated
2018-09,53.08B,53.08B,50.27B,2.804B,,,-82.00M,66.00M,-66.00M,2.033B,2.033B,771.00M,66.00M,-66.00M,-118.00M,-66.00M,587.00M,35.00M,552.00M,1.00M,-54.00M,499.00M,575.11M,893.00M,240.00M,653.00M,,2.52,0.00,2.909,2.52,,2.51,0.00,2.897,2.51,,198.00M,199.00M,0.39,,AOR,Restated
2018-06,52.61B,52.61B,49.83B,2.779B,,,-569.00M,61.00M,-61.00M,2.127B,2.127B,652.00M,61.00M,-61.00M,-585.00M,-61.00M,6.00M,87.00M,-81.00M,1.00M,-58.00M,-138.00M,276.37M,302.00M,235.00M,67.00M,,-0.69,0.01,1.366,-0.68,,-0.69,0.01,1.366,-0.68,,202.00M,202.00M,0.34,,AOR,Restated
2018-03,51.63B,51.63B,48.55B,3.075B,,,-1.755B,79.00M,-31.00M,,2.343B,732.00M,79.00M,-31.00M,-1.795B,-31.00M,-1.094B,-7.00M,-1.087B,2.00M,-61.00M,-1.146B,595.77M,-761.00M,254.00M,-1.015B,,-5.58,0.00,2.926,-5.58,,-5.58,0.00,2.885,-5.58,,205.00M,206.00M,0.34,,AOR,Restated
2017-12,53.62B,53.62B,50.90B,2.715B,,,103.00M,67.00M,-67.00M,1.984B,1.984B,731.00M,67.00M,-67.00M,33.00M,-67.00M,697.00M,-263.00M,960.00M,1.00M,-58.00M,903.00M,840.20M,998.00M,234.00M,764.00M,,4.34,0.01,4.041,4.35,,4.32,0.01,4.023,4.33,,207.00M,208.00M,0.34,,AOR,Restated
2017-09,52.06B,52.06B,49.23B,2.834B,,,-586.00M,69.00M,-69.00M,2.009B,2.009B,825.00M,69.00M,-69.00M,-578.00M,-69.00M,178.00M,122.00M,56.00M,0.00,-55.00M,1.00M,352.60M,483.00M,236.00M,247.00M,,0.01,0.00,1.692,0.01,,0.01,0.00,1.684,0.01,,209.00M,210.00M,0.34,,AOR,Restated
2017-06,51.05B,51.05B,48.49B,2.56B,,,,68.00M,-68.00M,1.927B,1.927B,633.00M,68.00M,-68.00M,-107.00M,-68.00M,458.00M,95.00M,363.00M,2.00M,-56.00M,309.00M,307.00M,753.00M,227.00M,526.00M,,1.46,0.00,1.46,1.46,,1.44,0.00,1.44,1.45,,211.00M,213.00M,0.28,,AOR,Restated
2017-03,48.71B,48.71B,45.92B,2.796B,,1.645B,3.929B,77.00M,-48.00M,,1.986B,810.00M,77.00M,-48.00M,3.912B,-48.00M,4.674B,1.044B,3.63B,-7.00M,-35.00M,3.588B,543.59M,4.998B,247.00M,4.751B,,16.95,-0.03,2.557,16.92,,16.79,-0.03,2.531,16.76,,212.00M,214.00M,0.28,,AOR,Restated
2016-12,50.13B,50.13B,47.32B,2.812B,,1.981B,0.00,74.00M,-74.00M,,1.981B,831.00M,74.00M,-74.00M,23.00M,-74.00M,780.00M,131.00M,649.00M,-3.00M,-13.00M,633.00M,636.00M,1.058B,204.00M,854.00M,,2.89,-0.02,2.89,2.87,,2.86,-0.02,2.86,2.85,,221.00M,222.00M,0.28,,AOR,Restated
2016-09,49.96B,49.96B,47.20B,2.756B,,1.886B,-290.00M,78.00M,-78.00M,,1.886B,870.00M,78.00M,-78.00M,-267.00M,-78.00M,525.00M,200.00M,325.00M,-1.00M,-17.00M,307.00M,487.52M,820.00M,217.00M,603.00M,,1.36,0.00,2.154,1.36,,1.35,-0.01,2.137,1.34,,226.00M,228.00M,0.28,,AOR,Restated
2016-06,49.73B,49.73B,46.83B,2.907B,,1.935B,0.00,79.00M,-79.00M,,1.935B,972.00M,79.00M,-79.00M,19.00M,-79.00M,912.00M,239.00M,673.00M,-113.00M,-18.00M,542.00M,655.00M,1.233B,242.00M,991.00M,,2.91,-0.50,2.91,2.41,,2.88,-0.50,2.88,2.38,,225.00M,228.00M,0.28,,AOR,Restated
2016-03,46.68B,46.68B,43.83B,2.852B,,1.62B,-100.00M,86.00M,-68.00M,,2.012B,840.00M,86.00M,-68.00M,-103.00M,-68.00M,669.00M,204.00M,465.00M,-21.00M,-13.00M,431.00M,521.51M,969.00M,214.00M,755.00M,,1.99,-0.09,2.296,1.90,,1.97,-0.09,2.272,1.88,,227.00M,230.00M,0.28,,AOR,Restated
2015-12,47.90B,47.90B,45.03B,2.872B,,1.952B,0.00,87.00M,-87.00M,,1.952B,920.00M,87.00M,-87.00M,13.00M,-87.00M,846.00M,204.00M,642.00M,5.00M,-13.00M,634.00M,629.00M,1.153B,220.00M,933.00M,,2.74,0.02,2.74,2.76,,2.71,0.02,2.71,2.73,,230.00M,232.00M,0.28,,AOR,Restated
2015-09,48.76B,48.76B,45.92B,2.844B,,1.89B,,91.00M,-91.00M,,1.89B,954.00M,91.00M,-91.00M,17.00M,-91.00M,880.00M,244.00M,636.00M,-6.00M,-13.00M,617.00M,623.00M,1.193B,222.00M,971.00M,,2.68,-0.02,2.68,2.66,,2.65,-0.02,2.65,2.63,,232.00M,235.00M,0.28,,AOR,Restated
2015-06,47.55B,47.55B,44.70B,2.848B,,1.917B,,89.00M,-89.00M,,1.917B,931.00M,89.00M,-89.00M,13.00M,-89.00M,855.00M,256.00M,599.00M,-10.00M,-13.00M,576.00M,586.00M,1.173B,229.00M,944.00M,,2.53,-0.04,2.53,2.49,,2.50,-0.05,2.50,2.45,,232.00M,235.00M,0.24,,AOR,Restated
2015-03,44.92B,44.92B,42.01B,2.917B,,1.675B,,90.00M,-70.00M,,2.067B,850.00M,90.00M,-70.00M,-160.00M,-70.00M,620.00M,209.00M,411.00M,-267.00M,-12.00M,132.00M,399.00M,941.00M,231.00M,710.00M,,1.72,-1.15,1.72,0.57,,1.69,-1.15,1.69,0.56,,232.00M,235.00M,0.24,,AOR,Restated
