,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,3.577B,,3.577B,18.88B,,18.88B,19.21B,688.00M,,,42.37B,,,,4.473B,4.473B,,4.473B,9.511B,2.98B,12.49B,,2.513B,19.48B,61.84B,,36.51B,36.51B,4.094B,40.60B,,,929.00M,929.00M,384.00M,1.313B,,,,14.00M,41.93B,6.467B,1.747B,8.214B,773.00M,773.00M,200.00M,1.292B,9.913B,20.19B,62.12B,,2.00M,7.595B,6.847B,13.42B,,,-1.503B,-477.00M,,AOR,
2020-09,3.091B,,3.091B,19.28B,,19.28B,18.44B,701.00M,,,42.34B,,,,4.366B,4.366B,,4.366B,9.414B,3.03B,12.44B,,2.403B,19.21B,61.56B,,36.26B,36.26B,3.805B,40.06B,,,1.76B,1.76B,367.00M,2.127B,,,,537.00M,42.72B,5.848B,1.669B,7.517B,2.293B,2.293B,200.00M,1.265B,1.669B,12.74B,55.47B,,2.00M,13.89B,6.78B,13.18B,,,-1.597B,5.89B,,AOR,
2020-06,2.613B,,2.613B,17.77B,,17.77B,16.61B,850.00M,,,38.68B,,,,4.249B,4.249B,,4.249B,9.419B,3.09B,12.51B,,2.226B,18.98B,57.67B,,33.21B,33.21B,3.471B,36.68B,,,1.053B,1.053B,358.00M,1.411B,,,,509.00M,38.60B,6.395B,1.627B,8.022B,2.274B,2.274B,207.00M,1.414B,1.703B,13.41B,52.01B,,2.00M,13.38B,6.711B,12.92B,,,-1.735B,5.446B,,AOR,
2020-03,4.015B,,4.015B,17.20B,3.014B,19.95B,16.73B,617.00M,,,42.22B,0.00,151.00M,4.043B,1.886B,6.08B,-1.829B,4.251B,9.36B,3.156B,12.52B,0.00,2.258B,19.02B,61.25B,,37.20B,37.20B,3.34B,40.54B,,,1.052B,1.052B,354.00M,1.406B,,,,683.00M,42.62B,6.335B,1.66B,7.995B,2.255B,2.255B,217.00M,1.402B,1.662B,13.31B,55.94B,,2.00M,13.02B,6.663B,12.89B,,,-1.703B,5.092B,,AOR,
2019-12,2.065B,,2.065B,18.83B,,18.83B,17.02B,618.00M,,,39.39B,,,,4.421B,4.421B,,4.421B,9.456B,3.364B,12.82B,2.143B,2.099B,21.48B,60.87B,,32.74B,32.74B,3.359B,36.10B,,,3.116B,3.116B,365.00M,3.481B,,,,471.00M,40.06B,6.734B,1.78B,8.514B,2.686B,2.686B,211.00M,1.397B,1.836B,14.43B,54.49B,,3.00M,12.08B,6.614B,10.85B,,,-1.663B,6.174B,,AOR,Restated
2019-09,1.356B,,1.356B,18.98B,,18.98B,16.36B,657.00M,,,37.35B,,,,4.495B,4.495B,,4.495B,9.408B,3.489B,12.90B,2.167B,2.082B,21.64B,58.99B,,32.56B,32.56B,3.372B,35.93B,,549.00M,291.00M,840.00M,373.00M,1.213B,,,,,37.14B,7.197B,1.908B,9.105B,2.718B,2.718B,210.00M,1.384B,1.95B,15.16B,52.30B,,3.00M,11.96B,6.573B,10.35B,,,-1.704B,6.482B,,AOR,Restated
2019-06,1.947B,,1.947B,19.29B,,19.29B,16.60B,590.00M,,,38.43B,,,,4.497B,4.497B,,4.497B,9.441B,3.60B,13.04B,3.617B,2.097B,23.25B,61.68B,,34.02B,34.02B,3.248B,37.27B,,,303.00M,303.00M,380.00M,683.00M,,,,,37.95B,7.296B,1.891B,9.187B,3.058B,3.058B,194.00M,1.399B,2.016B,15.66B,53.61B,,3.00M,12.77B,6.483B,9.603B,,,-1.778B,7.874B,,AOR,Restated
2019-03,2.981B,,2.981B,14.94B,3.584B,18.25B,16.71B,529.00M,,,38.46B,0.00,172.00M,4.154B,,4.326B,-1.778B,2.548B,9.358B,3.689B,13.05B,3.513B,2.099B,21.21B,59.67B,,33.85B,33.85B,3.443B,37.30B,,,330.00M,330.00M,0.00,330.00M,,,,,37.63B,7.265B,0.00,7.265B,2.998B,2.998B,193.00M,1.393B,2.103B,13.76B,51.38B,,3.00M,12.41B,6.435B,8.902B,,,-1.849B,8.094B,,AOR,Restated
2018-12,1.849B,,1.849B,18.93B,,18.93B,16.95B,587.00M,,,38.32B,,,,,,,2.503B,10.52B,3.92B,14.44B,3.566B,2.184B,22.69B,61.01B,,32.09B,32.09B,3.165B,35.26B,,,,2.168B,,2.168B,,,,,37.42B,7.616B,,7.616B,2.983B,2.983B,204.00M,1.404B,2.195B,14.20B,51.62B,,3.00M,13.28B,6.321B,8.587B,,,-1.826B,9.185B,,AOR,Restated
2018-09,2.118B,,2.118B,19.21B,,19.21B,16.67B,542.00M,,,38.54B,,,,,,,2.488B,10.63B,4.128B,14.76B,3.609B,2.025B,22.88B,61.42B,,33.23B,33.23B,3.116B,36.34B,,,,2.52B,,2.52B,,,,,38.86B,6.568B,,6.568B,2.844B,2.844B,208.00M,1.415B,2.197B,13.02B,51.89B,,3.00M,13.35B,6.411B,8.678B,,,-1.762B,9.326B,,AOR,Restated
