,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,8.839B,402.00M,9.241B,8.993B,,,8.993B,,,,1.696B,19.93B,2.146B,10.46B,16.78B,3.022B,2.94B,,65.63B,-30.44B,35.19B,3.816B,2.289B,6.105B,22.00M,,,,277.00M,886.00M,42.48B,62.41B,5.609B,,,5.609B,3.14B,8.749B,1.128B,,2.382B,2.382B,560.00M,2.942B,1.78B,15.46B,,23.34B,2.473B,25.81B,2.145B,2.145B,,9.63B,14.00M,3.76B,41.34B,56.80B,9.00M,11.12B,490.00M,20.00M,,,-6.022B,5.592B
2020-06,8.813B,403.00M,9.216B,9.23B,,,9.23B,,,,1.78B,20.23B,2.096B,10.31B,16.30B,2.998B,2.889B,,64.40B,-29.97B,34.44B,3.787B,2.207B,5.994B,24.00M,,,,277.00M,1.099B,41.83B,62.06B,5.271B,,,5.271B,2.922B,8.193B,1.08B,,3.749B,3.749B,534.00M,4.283B,1.921B,16.27B,,23.20B,2.463B,25.66B,1.918B,1.918B,,10.55B,13.00M,3.276B,41.41B,57.68B,9.00M,10.03B,255.00M,20.00M,,,-5.933B,4.363B
2020-03,8.955B,505.00M,9.46B,8.126B,,,8.126B,,,,1.803B,19.39B,2.088B,10.23B,16.03B,3.041B,2.65B,,63.50B,-29.55B,33.95B,3.776B,2.176B,5.952B,23.00M,,,,299.00M,1.283B,41.51B,60.90B,4.779B,,,4.779B,2.606B,7.385B,980.00M,,4.405B,4.405B,526.00M,4.931B,1.76B,15.85B,,24.20B,2.493B,26.69B,1.787B,1.787B,,10.48B,14.00M,2.783B,41.74B,57.58B,9.00M,9.137B,29.00M,19.00M,,,-5.876B,3.299B
2019-12,5.238B,503.00M,5.741B,9.552B,,,9.934B,511.00M,,,917.00M,17.10B,2.087B,9.944B,16.06B,2.856B,1.983B,,62.58B,-29.24B,33.34B,3.813B,2.167B,5.98B,24.00M,,,,330.00M,1.082B,40.75B,57.86B,5.555B,,,5.555B,2.552B,8.107B,914.00M,,3.42B,3.42B,538.00M,3.958B,1.641B,15.41B,1.282B,21.82B,2.391B,24.21B,1.632B,1.632B,,10.60B,16.00M,1.437B,39.16B,54.57B,9.00M,9.105B,150.00M,26.00M,,,-5.997B,3.267B
2019-09,4.04B,498.00M,4.538B,7.951B,,,8.155B,,,,1.491B,14.18B,2.068B,9.515B,14.55B,2.504B,3.195B,,60.36B,-28.79B,31.58B,3.783B,2.131B,5.914B,169.00M,,,,194.00M,1.246B,39.10B,53.28B,4.218B,,,4.218B,2.483B,6.701B,756.00M,,2.161B,2.161B,500.00M,2.661B,2.012B,12.84B,1.442B,21.74B,2.063B,23.80B,1.886B,1.886B,,6.443B,16.00M,1.299B,34.87B,47.71B,9.00M,10.04B,129.00M,25.00M,,,-4.617B,5.558B
2019-06,4.072B,725.00M,4.797B,8.071B,,,8.672B,,,,1.374B,14.84B,2.073B,9.421B,14.32B,2.477B,2.847B,,59.03B,-28.45B,30.57B,3.811B,2.121B,5.932B,168.00M,,,,143.00M,1.129B,37.94B,52.79B,4.291B,,,4.291B,2.743B,7.034B,790.00M,,2.952B,2.952B,487.00M,3.439B,1.635B,13.63B,1.493B,20.43B,2.026B,22.45B,1.947B,1.947B,,7.524B,18.00M,1.314B,34.73B,48.36B,9.00M,9.109B,102.00M,25.00M,,,-4.815B,4.405B
2019-03,4.399B,712.00M,5.111B,7.613B,,,8.46B,,,,1.333B,14.90B,2.056B,9.305B,14.00B,2.543B,2.447B,,57.91B,-28.12B,29.79B,3.813B,2.093B,5.906B,169.00M,,,,153.00M,1.139B,37.16B,52.06B,3.907B,,,3.907B,2.913B,6.82B,783.00M,,2.789B,2.789B,492.00M,3.281B,1.66B,13.21B,1.523B,20.38B,2.093B,22.47B,1.758B,1.758B,,8.27B,18.00M,1.346B,35.37B,48.58B,9.00M,8.249B,27.00M,25.00M,,,-4.818B,3.467B
2018-12,4.225B,810.00M,5.035B,8.958B,,,9.898B,421.00M,,,856.00M,16.21B,2.00B,9.131B,13.93B,,2.112B,,54.49B,-27.91B,26.58B,3.811B,2.076B,5.887B,170.00M,,,,141.00M,1.033B,33.81B,50.02B,5.188B,,,5.188B,3.047B,8.235B,810.00M,,2.805B,2.805B,0.00,2.805B,1.522B,14.09B,1.571B,19.93B,0.00,19.93B,1.619B,1.619B,,8.347B,16.00M,1.424B,32.89B,46.98B,9.00M,8.006B,0.00,32.00M,,,-4.994B,3.021B
2018-09,4.097B,744.00M,4.841B,7.494B,,,7.814B,,,,1.336B,13.99B,1.783B,8.71B,12.12B,,3.692B,,53.05B,-27.67B,25.38B,3.825B,2.07B,5.895B,307.00M,,,,193.00M,924.00M,32.70B,46.69B,3.689B,,,3.689B,2.748B,6.437B,697.00M,,,3.20B,,3.20B,1.209B,12.22B,1.644B,20.10B,,20.10B,1.069B,1.069B,,7.012B,28.00M,1.515B,31.34B,43.56B,9.00M,8.377B,0.00,32.00M,,,-5.288B,3.098B
2018-06,4.214B,720.00M,4.934B,7.363B,,,7.67B,,,,1.27B,13.87B,1.777B,8.309B,11.95B,,2.915B,,51.20B,-27.30B,23.90B,3.837B,2.028B,5.865B,306.00M,,,,210.00M,1.067B,31.35B,45.22B,3.785B,,,3.785B,2.549B,6.334B,737.00M,,,2.591B,,2.591B,1.171B,11.49B,1.665B,20.12B,,20.12B,975.00M,975.00M,,7.026B,28.00M,1.593B,31.38B,42.87B,9.00M,7.665B,,31.00M,,,-5.346B,2.328B
