,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,21.24B,21.24B,17.26B,3.977B,,,,,176.00M,-176.00M,1.614B,1.614B,2.363B,176.00M,-176.00M,338.00M,-176.00M,2.525B,568.00M,1.957B,,1.957B,1.695B,3.378B,677.00M,2.701B,2.25,,,1.9480000000000002,2.25,2.24,,,1.94,2.24,868.00M,872.00M,1.01
2020-06,20.46B,20.46B,16.63B,3.831B,,,,,183.00M,-183.00M,1.619B,1.619B,2.212B,183.00M,-183.00M,328.00M,-183.00M,2.357B,589.00M,1.768B,,1.768B,1.522B,3.201B,661.00M,2.54B,2.04,,,1.756,2.04,2.03,,,1.7469999999999999,2.03,866.00M,869.00M,1.01
2020-03,18.04B,18.04B,15.37B,2.663B,,,,,167.00M,-167.00M,1.591B,1.591B,1.072B,167.00M,-167.00M,345.00M,-167.00M,1.25B,285.00M,965.00M,,965.00M,698.66M,2.065B,648.00M,1.417B,1.12,,,0.8117,1.12,1.11,,,0.8035,1.11,864.00M,869.00M,1.01
2019-12,20.57B,20.57B,16.61B,3.959B,,,,,166.00M,-166.00M,1.826B,1.826B,2.133B,166.00M,-166.00M,-2.165B,-166.00M,-198.00M,-92.00M,-106.00M,,-106.00M,1.474B,598.00M,630.00M,-32.00M,-0.12,,,1.716,-0.12,-0.12,,,1.699,-0.12,861.00M,869.00M,0.96
2019-09,18.32B,18.32B,14.82B,3.502B,,,,,159.00M,-159.00M,1.374B,1.374B,2.128B,159.00M,-159.00M,237.00M,-159.00M,2.206B,456.00M,1.75B,,1.75B,1.562B,2.952B,587.00M,2.365B,2.03,,,1.8119999999999998,2.03,2.01,,,1.794,2.01,864.00M,870.00M,0.96
2019-06,18.05B,18.05B,14.53B,3.522B,,,,,159.00M,-159.00M,1.379B,1.379B,2.143B,159.00M,-159.00M,220.00M,-159.00M,2.204B,519.00M,1.685B,,1.685B,1.517B,2.938B,575.00M,2.363B,1.95,,,1.755,1.95,1.94,,,1.746,1.94,865.00M,869.00M,0.96
2019-03,17.16B,17.16B,14.43B,2.734B,,,,,169.00M,-169.00M,1.34B,1.34B,1.394B,169.00M,-169.00M,215.00M,-169.00M,1.44B,329.00M,1.111B,,1.111B,945.02M,2.177B,568.00M,1.609B,1.28,,,1.088,1.28,1.28,,,1.089,1.28,866.00M,869.00M,0.96
2018-12,19.85B,19.85B,16.29B,3.558B,,,,,148.00M,-148.00M,1.554B,1.554B,2.004B,148.00M,-148.00M,-1.313B,-148.00M,543.00M,90.00M,453.00M,,453.00M,1.548B,1.236B,545.00M,691.00M,0.52,,,1.785,0.52,0.52,,,1.7790000000000001,0.52,866.00M,870.00M,0.91
2018-09,17.44B,17.44B,14.38B,3.064B,,,,,155.00M,-155.00M,1.337B,1.337B,1.727B,155.00M,-155.00M,317.00M,-155.00M,1.889B,381.00M,1.508B,,1.508B,1.255B,2.568B,524.00M,2.044B,1.74,,,1.4480000000000002,1.74,1.73,,,1.439,1.73,865.00M,870.00M,0.91
2018-06,17.46B,17.46B,14.37B,3.085B,,,,,149.00M,-149.00M,1.312B,1.312B,1.773B,149.00M,-149.00M,302.00M,-149.00M,1.926B,441.00M,1.485B,,1.485B,1.252B,2.617B,542.00M,2.075B,1.71,,,1.4409999999999998,1.71,1.71,,,1.442,1.71,866.00M,870.00M,0.91
2018-03,17.11B,17.11B,14.33B,2.782B,,,,,153.00M,-153.00M,1.262B,1.262B,1.52B,153.00M,-153.00M,294.00M,-153.00M,1.661B,316.00M,1.345B,,1.345B,1.107B,2.41B,596.00M,1.814B,1.55,,,1.275,1.55,1.55,,,1.276,1.55,866.00M,870.00M,0.91
2017-12,18.98B,18.98B,15.39B,3.584B,,,,,129.00M,-129.00M,1.521B,1.521B,2.063B,129.00M,-129.00M,-563.00M,-129.00M,1.371B,275.00M,1.096B,,1.096B,1.546B,2.094B,594.00M,1.50B,1.27,,,1.7890000000000001,1.27,1.27,,,1.786,1.27,868.00M,872.00M,0.83
2017-09,16.17B,16.17B,13.16B,3.015B,,,,,111.00M,-111.00M,1.203B,1.203B,1.812B,111.00M,-111.00M,236.00M,-111.00M,1.937B,678.00M,1.259B,,1.259B,1.106B,2.62B,572.00M,2.048B,1.45,,,1.273,1.45,1.44,,,1.264,1.44,869.00M,874.00M,0.83
2017-06,15.93B,15.93B,12.73B,3.195B,,,,,111.00M,-111.00M,1.158B,1.158B,2.037B,111.00M,-111.00M,193.00M,-111.00M,2.119B,735.00M,1.384B,,1.384B,1.258B,2.792B,562.00M,2.23B,1.59,,,1.445,1.59,1.58,,,1.436,1.58,872.00M,876.00M,0.83
2017-03,15.51B,15.51B,12.72B,2.79B,,,,,102.00M,-102.00M,1.173B,1.173B,1.617B,102.00M,-102.00M,195.00M,-102.00M,1.71B,544.00M,1.166B,,1.166B,1.033B,2.366B,554.00M,1.812B,1.33,,,1.178,1.33,1.33,,,1.179,1.33,874.00M,879.00M,0.83
2016-12,17.64B,17.64B,14.50B,3.139B,,,,,100.00M,-100.00M,1.346B,1.346B,1.793B,100.00M,-100.00M,-2.224B,-100.00M,-531.00M,-283.00M,-248.00M,,-248.00M,1.086B,132.00M,563.00M,-431.00M,-0.27,,,1.252,-0.27,-0.27,,,1.245,-0.27,877.00M,881.00M,0.78
2016-09,14.93B,14.93B,11.80B,3.13B,,,,,94.00M,-94.00M,1.096B,1.096B,2.034B,94.00M,-94.00M,13.00M,-94.00M,1.953B,683.00M,1.27B,,1.27B,1.262B,2.601B,554.00M,2.047B,1.44,,,1.43,1.44,1.44,,,1.43,1.44,880.00M,885.00M,0.78
2016-06,14.63B,14.63B,11.50B,3.133B,,,,,94.00M,-94.00M,1.095B,1.095B,2.038B,94.00M,-94.00M,8.00M,-94.00M,1.952B,683.00M,1.269B,,1.269B,1.264B,2.601B,555.00M,2.046B,1.43,,,1.4240000000000002,1.43,1.43,,,1.4240000000000002,1.43,886.00M,890.00M,0.78
2016-03,14.42B,14.42B,11.51B,2.905B,,,,,93.00M,-93.00M,1.082B,1.082B,1.823B,93.00M,-93.00M,17.00M,-93.00M,1.747B,616.00M,1.131B,,1.131B,1.120B,2.392B,552.00M,1.84B,1.27,,,1.258,1.27,1.27,,,1.258,1.27,889.00M,894.00M,0.78
2015-12,16.05B,16.05B,12.70B,3.353B,,,,,85.00M,-85.00M,1.302B,1.302B,2.051B,85.00M,-85.00M,3.00M,-85.00M,1.969B,638.00M,1.331B,,1.331B,1.329B,2.595B,541.00M,2.054B,1.49,,,1.4880000000000002,1.49,1.48,,,1.4780000000000002,1.48,901.00M,901.00M,0.73
