,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.957B,-884.00M,-884.00M,,677.00M,677.00M,282.00M,,140.00M,125.00M,247.00M,,,726.00M,90.00M,-119.00M,,944.00M,3.336B,-1.154B,8.00M,8.00M,-13.00M,-3.00M,-1.00M,-1.163B,-353.00M,-1.032B,-1.385B,83.00M,7.00M,90.00M,-845.00M,-845.00M,-17.00M,-2.157B,8.814B,16.00M,10.00M,8.84B,83.00M,567.00M,-920.00M,7.00M
2020-06,1.768B,120.00M,120.00M,,661.00M,661.00M,198.00M,,137.00M,61.00M,-1.118B,,,1.172B,92.00M,137.00M,,283.00M,3.397B,-1.132B,1.00M,1.00M,0.00,110.00M,12.00M,-1.009B,-956.00M,-801.00M,-1.757B,61.00M,-11.00M,50.00M,-843.00M,-843.00M,-16.00M,-2.566B,8.956B,-178.00M,36.00M,8.814B,61.00M,183.00M,-1.139B,-11.00M
2020-03,965.00M,-62.00M,-62.00M,,648.00M,648.00M,86.00M,,231.00M,42.00M,1.223B,,,-1.018B,209.00M,102.00M,,516.00M,2.55B,-933.00M,1.00M,1.00M,0.00,0.00,-2.00M,-934.00M,3.566B,-91.00M,3.475B,70.00M,-220.00M,-150.00M,-840.00M,-840.00M,-318.00M,2.167B,5.238B,3.783B,-65.00M,8.956B,70.00M,4.253B,-687.00M,-220.00M
2019-12,-106.00M,2.534B,2.534B,,630.00M,630.00M,57.00M,,199.00M,-622.00M,-1.56B,,,1.393B,-80.00M,-211.00M,,-458.00M,2.946B,-2.044B,4.00M,4.00M,0.00,-8.00M,14.00M,-2.034B,-282.00M,1.41B,1.128B,57.00M,-253.00M,-196.00M,-797.00M,-797.00M,-8.00M,127.00M,4.185B,1.039B,14.00M,5.238B,57.00M,403.00M,-685.00M,-253.00M
2019-09,1.75B,-1.023B,-1.023B,,587.00M,587.00M,-232.00M,,203.00M,640.00M,26.00M,,,-382.00M,380.00M,336.00M,,360.00M,1.486B,-1.475B,55.00M,55.00M,-5.00M,233.00M,12.00M,-1.18B,1.726B,-1.049B,677.00M,32.00M,-248.00M,-216.00M,-798.00M,-798.00M,17.00M,-320.00M,4.216B,-14.00M,-17.00M,4.185B,32.00M,2.149B,-423.00M,-248.00M
2019-06,1.685B,-706.00M,-706.00M,,575.00M,575.00M,197.00M,,205.00M,43.00M,-484.00M,,,199.00M,270.00M,-30.00M,,-45.00M,1.93B,-1.347B,2.00M,2.00M,0.00,-4.00M,-82.00M,-1.431B,-1.037B,1.166B,129.00M,82.00M,-257.00M,-175.00M,-800.00M,-800.00M,7.00M,-839.00M,4.542B,-340.00M,14.00M,4.216B,82.00M,512.00M,-1.549B,-257.00M
2019-03,1.111B,-26.00M,-26.00M,,568.00M,568.00M,78.00M,,308.00M,33.00M,1.301B,,,-1.237B,128.00M,87.00M,,279.00M,2.277B,-1.514B,4.00M,4.00M,-1.00M,101.00M,-6.00M,-1.416B,1.702B,-1.217B,485.00M,47.00M,-246.00M,-199.00M,-799.00M,-799.00M,-182.00M,-695.00M,4.367B,166.00M,9.00M,4.542B,47.00M,2.141B,-439.00M,-246.00M
2018-12,453.00M,1.732B,1.732B,,545.00M,545.00M,540.00M,,127.00M,48.00M,-1.517B,,,1.73B,-545.00M,135.00M,,-197.00M,3.289B,-1.793B,-8.00M,-8.00M,0.00,-65.00M,35.00M,-1.831B,-615.00M,140.00M,-475.00M,64.00M,-241.00M,-177.00M,-751.00M,-751.00M,-29.00M,-1.432B,4.375B,26.00M,-34.00M,4.367B,64.00M,150.00M,-765.00M,-241.00M
2018-09,1.508B,108.00M,108.00M,,524.00M,524.00M,76.00M,,129.00M,67.00M,-174.00M,,,78.00M,-46.00M,13.00M,,-129.00M,2.222B,-1.641B,10.00M,10.00M,0.00,-29.00M,-19.00M,-1.679B,431.00M,-145.00M,286.00M,51.00M,-249.00M,-198.00M,-753.00M,-753.00M,12.00M,-653.00M,4.491B,-110.00M,-6.00M,4.375B,51.00M,539.00M,-108.00M,-249.00M
2018-06,1.485B,106.00M,106.00M,,542.00M,542.00M,36.00M,,139.00M,121.00M,69.00M,,,399.00M,245.00M,46.00M,,759.00M,3.133B,-1.312B,15.00M,15.00M,-2.00M,-62.00M,-13.00M,-1.374B,-4.00M,-97.00M,-101.00M,48.00M,-260.00M,-212.00M,-753.00M,-753.00M,9.00M,-1.057B,3.826B,702.00M,-37.00M,4.491B,48.00M,354.00M,-358.00M,-260.00M
