,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,1.454B,-1.406B,,15.00M,-1.296B,,,91.00M,91.00M,167.00M,,0.00,11.00M,-35.00M,-55.00M,46.00M,,51.00M,-8.00M,-150.00M,,-116.00M,-2.00M,274.00M,,-85.00M,,,1.579B,,-14.00M,979.00M,,-7.00M,-466.00M,-473.00M,,-378.00M,-378.00M,,,-72.00M,,-72.00M,,-10.00M,-933.00M,,615.00M,320.00M,20.00M,955.00M,,,-165.00M,-308.00M,-378.00M,,AOR,
2020-09,209.00M,0.00,,-19.00M,-19.00M,,,90.00M,90.00M,-75.00M,,2.00M,-3.00M,-32.00M,29.00M,51.00M,,93.00M,-16.00M,101.00M,,258.00M,1.00M,431.00M,,-72.00M,,,2.00M,,-8.00M,-78.00M,,-7.00M,-96.00M,-103.00M,,-105.00M,-105.00M,,,-73.00M,,-73.00M,,-9.00M,-290.00M,,539.00M,63.00M,13.00M,615.00M,,,170.00M,-273.00M,-105.00M,,AOR,
2020-06,109.00M,1.00M,,28.00M,29.00M,,,89.00M,89.00M,-8.00M,,25.00M,10.00M,-29.00M,178.00M,38.00M,,-151.00M,42.00M,46.00M,,153.00M,1.00M,379.00M,,-88.00M,,,-85.00M,,-8.00M,-181.00M,,-7.00M,-141.00M,-148.00M,,0.00,0.00,,,-74.00M,,-74.00M,,-10.00M,-232.00M,,570.00M,-34.00M,3.00M,539.00M,,,6.00M,-154.00M,0.00,,AOR,
2020-03,220.00M,,,-11.00M,-11.00M,,,86.00M,86.00M,-7.00M,,4.00M,10.00M,-33.00M,-11.00M,-11.00M,,1.00M,42.00M,-36.00M,,-15.00M,5.00M,259.00M,,-119.00M,,,0.00,,-9.00M,-128.00M,,-9.00M,261.00M,252.00M,,-167.00M,-167.00M,,,-74.00M,,-74.00M,,-27.00M,-16.00M,,463.00M,115.00M,-8.00M,570.00M,,,300.00M,-48.00M,-167.00M,,AOR,
2019-12,45.00M,1.00M,,-6.00M,82.00M,,,91.00M,91.00M,-10.00M,,0.00,10.00M,-23.00M,110.00M,-28.00M,,-15.00M,27.00M,42.00M,,136.00M,-5.00M,326.00M,,-144.00M,,,0.00,,-8.00M,-168.00M,,-6.00M,121.00M,115.00M,,-233.00M,-233.00M,,,-75.00M,,-75.00M,,-5.00M,-199.00M,,497.00M,-41.00M,7.00M,463.00M,,,127.00M,-12.00M,-233.00M,,AOR,Restated
2019-09,265.00M,1.00M,,-30.00M,-29.00M,,,95.00M,95.00M,-4.00M,,0.00,11.00M,-23.00M,3.00M,-5.00M,,7.00M,-15.00M,87.00M,,77.00M,5.00M,397.00M,,-82.00M,,,1.00M,,-1.00M,-82.00M,,-6.00M,59.00M,53.00M,,-275.00M,-275.00M,,,-77.00M,,-77.00M,,0.00,-299.00M,,491.00M,16.00M,-10.00M,497.00M,,,132.00M,-79.00M,-275.00M,,AOR,Restated
2019-06,210.00M,1.00M,,1.00M,2.00M,,,86.00M,86.00M,-12.00M,,83.00M,13.00M,-20.00M,46.00M,-1.00M,,30.00M,2.00M,-15.00M,,62.00M,0.00,424.00M,,-65.00M,,,0.00,,-1.00M,-66.00M,,158.00M,-92.00M,66.00M,,-276.00M,-276.00M,,,-78.00M,,-78.00M,,-19.00M,-307.00M,,441.00M,51.00M,-1.00M,491.00M,,,407.00M,-341.00M,-276.00M,,AOR,Restated
2019-03,338.00M,,,21.00M,21.00M,,,84.00M,84.00M,-5.00M,,0.00,14.00M,-21.00M,6.00M,40.00M,,-81.00M,-23.00M,-66.00M,,-124.00M,0.00,307.00M,,-79.00M,,,-91.00M,,-7.00M,-177.00M,,-7.00M,185.00M,178.00M,,-212.00M,-212.00M,,,-70.00M,,-70.00M,,-26.00M,-130.00M,,439.00M,,2.00M,441.00M,,,197.00M,-19.00M,-212.00M,,AOR,Restated
2018-12,101.00M,2.00M,,7.00M,173.00M,,,91.00M,91.00M,94.00M,,0.00,18.00M,-27.00M,66.00M,-16.00M,,-29.00M,-53.00M,-41.00M,,-73.00M,-14.00M,363.00M,,-93.00M,,,0.00,,-5.00M,-98.00M,,81.00M,39.00M,120.00M,,-555.00M,-555.00M,,,-71.00M,,-71.00M,0.00,-20.00M,-526.00M,,703.00M,-261.00M,-3.00M,439.00M,,,568.00M,-448.00M,-555.00M,,AOR,Restated
2018-09,402.00M,2.00M,,-22.00M,-20.00M,,,90.00M,90.00M,-12.00M,,0.00,14.00M,-26.00M,61.00M,-125.00M,,8.00M,-21.00M,91.00M,,14.00M,5.00M,467.00M,,-79.00M,,,4.00M,,-3.00M,-78.00M,,-13.00M,-141.00M,-154.00M,,-150.00M,-150.00M,,,-73.00M,,-73.00M,,-6.00M,-383.00M,,708.00M,6.00M,-11.00M,703.00M,,,-32.00M,-122.00M,-150.00M,,AOR,Restated
2018-06,345.00M,2.00M,,-16.00M,-14.00M,,,88.00M,88.00M,59.00M,,0.00,17.00M,-29.00M,15.00M,10.00M,,36.00M,-10.00M,69.00M,,120.00M,-1.00M,585.00M,,-79.00M,,,0.00,,-17.00M,-96.00M,,-12.00M,-62.00M,-74.00M,,-100.00M,-100.00M,,,-73.00M,,-73.00M,0.00,-7.00M,-254.00M,,490.00M,235.00M,-17.00M,708.00M,,,-61.00M,-13.00M,-100.00M,,AOR,Restated
2018-03,365.00M,1.00M,,19.00M,20.00M,,,80.00M,80.00M,-4.00M,,,22.00M,-31.00M,-190.00M,-27.00M,,0.00,-29.00M,-63.00M,,-309.00M,0.00,143.00M,,-86.00M,,,-135.00M,,-14.00M,-235.00M,,-31.00M,99.00M,68.00M,,0.00,0.00,,,-63.00M,,-63.00M,0.00,-7.00M,-2.00M,,576.00M,-94.00M,8.00M,490.00M,,,137.00M,-69.00M,0.00,,AOR,Restated
2017-12,204.00M,1.00M,,-33.00M,14.00M,,,79.00M,79.00M,-147.00M,,,15.00M,-343.00M,12.00M,-83.00M,,85.00M,17.00M,204.00M,,235.00M,1.00M,58.00M,,-87.00M,,,0.00,,-5.00M,-92.00M,,339.00M,-114.00M,225.00M,,0.00,0.00,,,-63.00M,,-63.00M,0.00,-17.00M,145.00M,,461.00M,111.00M,4.00M,576.00M,,,270.00M,-45.00M,0.00,,AOR,Restated
2017-09,228.00M,1.00M,,-44.00M,-43.00M,,,82.00M,82.00M,-9.00M,,,13.00M,-30.00M,11.00M,-25.00M,,8.00M,-25.00M,44.00M,,13.00M,1.00M,255.00M,,-64.00M,,,-1.00M,,-3.00M,-68.00M,,-7.00M,32.00M,25.00M,,-200.00M,-200.00M,,,-62.00M,,-62.00M,0.00,-10.00M,-247.00M,,511.00M,-60.00M,10.00M,461.00M,,,68.00M,-43.00M,-200.00M,,AOR,Restated
2017-06,233.00M,2.00M,,22.00M,24.00M,,,77.00M,77.00M,-10.00M,,,9.00M,-29.00M,-54.00M,2.00M,,27.00M,-20.00M,32.00M,,-13.00M,7.00M,298.00M,,-54.00M,,,-268.00M,,-3.00M,-325.00M,,-5.00M,267.00M,262.00M,,-172.00M,-172.00M,,,-65.00M,,-65.00M,1.00M,-5.00M,21.00M,,501.00M,-6.00M,16.00M,511.00M,,,293.00M,-31.00M,-172.00M,,AOR,Restated
2017-03,184.00M,1.00M,,3.00M,4.00M,,,72.00M,72.00M,14.00M,,,10.00M,-29.00M,-79.00M,9.00M,,6.00M,21.00M,-19.00M,,-62.00M,-1.00M,192.00M,,-62.00M,,,1.00M,,-3.00M,-64.00M,,-53.00M,-16.00M,-69.00M,,-128.00M,-128.00M,,,-51.00M,,-51.00M,,-22.00M,-270.00M,,638.00M,-142.00M,5.00M,501.00M,,,13.00M,-82.00M,-128.00M,,AOR,Restated
2016-12,161.00M,1.00M,,-26.00M,78.00M,,,72.00M,72.00M,44.00M,,1.00M,8.00M,-322.00M,23.00M,-28.00M,,-9.00M,-14.00M,-63.00M,,-91.00M,2.00M,-47.00M,,-60.00M,,,-174.00M,,-13.00M,-247.00M,,-32.00M,-5.00M,-37.00M,,-200.00M,-200.00M,,,-51.00M,,-51.00M,3.00M,-7.00M,-292.00M,,1.252B,-586.00M,-28.00M,638.00M,,,14.00M,-51.00M,-200.00M,,AOR,Restated
2016-09,263.00M,2.00M,,-35.00M,-33.00M,,,74.00M,74.00M,40.00M,,0.00,7.00M,-24.00M,2.00M,-15.00M,,39.00M,15.00M,-68.00M,,-27.00M,4.00M,304.00M,,-58.00M,,,6.00M,,-2.00M,-54.00M,,427.00M,10.00M,437.00M,,-100.00M,-100.00M,,,-52.00M,,-52.00M,0.00,-20.00M,265.00M,,735.00M,515.00M,2.00M,1.252B,,,1.356B,-919.00M,-100.00M,,AOR,Restated
2016-06,223.00M,-1.00M,,38.00M,37.00M,,,75.00M,75.00M,1.00M,,1.00M,6.00M,-20.00M,27.00M,22.00M,,-15.00M,-2.00M,-3.00M,,29.00M,-3.00M,349.00M,,-58.00M,,,2.00M,,-7.00M,-63.00M,,-6.00M,5.00M,-1.00M,,-200.00M,-200.00M,,,-54.00M,,-54.00M,2.00M,-6.00M,-259.00M,,716.00M,27.00M,-8.00M,735.00M,,,14.00M,-15.00M,-200.00M,,AOR,Restated
2016-03,259.00M,0.00,,-1.00M,-1.00M,,,74.00M,74.00M,-2.00M,,0.00,10.00M,-23.00M,-111.00M,29.00M,,-8.00M,40.00M,21.00M,,-29.00M,-1.00M,287.00M,,-70.00M,,,0.00,,-5.00M,-75.00M,,-7.00M,-399.00M,-406.00M,,0.00,0.00,,,-44.00M,,-44.00M,1.00M,-24.00M,-473.00M,,967.00M,-261.00M,10.00M,716.00M,,,178.00M,-584.00M,0.00,,AOR,Restated
2015-12,-301.00M,1.00M,,11.00M,136.00M,,,106.00M,106.00M,38.00M,,125.00M,8.00M,-24.00M,77.00M,42.00M,,-13.00M,-30.00M,-23.00M,,53.00M,-5.00M,136.00M,,-89.00M,,,1.00M,,-9.00M,-97.00M,,-6.00M,21.00M,15.00M,,0.00,0.00,,,-43.00M,,-43.00M,1.00M,25.00M,-2.00M,,952.00M,37.00M,-22.00M,967.00M,,,44.00M,-29.00M,0.00,,AOR,Restated
2015-09,151.00M,1.00M,,-45.00M,-44.00M,,,82.00M,82.00M,-6.00M,,1.00M,7.00M,-25.00M,76.00M,21.00M,,-119.00M,-23.00M,53.00M,,8.00M,-1.00M,173.00M,,-104.00M,,,0.00,,-3.00M,-107.00M,,-6.00M,341.00M,335.00M,,-420.00M,-420.00M,,,-47.00M,,-47.00M,0.00,33.00M,-99.00M,,988.00M,-33.00M,-3.00M,952.00M,,,360.00M,-25.00M,-420.00M,,AOR,Restated
2015-06,201.00M,5.00M,,-10.00M,-5.00M,,,107.00M,107.00M,5.00M,,0.00,13.00M,-21.00M,-58.00M,-7.00M,,79.00M,-9.00M,-27.00M,,-22.00M,5.00M,283.00M,,-165.00M,,,-3.00M,,-13.00M,-181.00M,,-6.00M,-6.00M,-12.00M,,0.00,0.00,,,-46.00M,,-46.00M,2.00M,74.00M,18.00M,,851.00M,120.00M,17.00M,988.00M,,,6.00M,-18.00M,0.00,,AOR,Restated
2015-03,234.00M,1.00M,,39.00M,40.00M,,,68.00M,68.00M,5.00M,,,12.00M,-38.00M,-34.00M,6.00M,,-58.00M,45.00M,-9.00M,,-50.00M,-1.00M,270.00M,,-162.00M,,,,,-11.00M,-173.00M,,-6.00M,-9.00M,-15.00M,,,,,,-38.00M,,-38.00M,0.00,70.00M,17.00M,,780.00M,114.00M,-43.00M,851.00M,,,20.00M,-35.00M,,,AOR,Restated
2014-12,-85.00M,3.00M,,-47.00M,228.00M,,,72.00M,72.00M,132.00M,,0.00,20.00M,-159.00M,198.00M,-22.00M,,-58.00M,-2.00M,-148.00M,,-32.00M,-10.00M,166.00M,,-214.00M,,,-10.00M,,-4.00M,-228.00M,,-607.00M,-27.00M,-634.00M,,-49.00M,-49.00M,,,-38.00M,,-38.00M,1.00M,68.00M,-652.00M,,1.51B,-714.00M,-16.00M,780.00M,,,3.00M,-637.00M,-49.00M,,AOR,Restated
2014-09,252.00M,1.00M,,-23.00M,-22.00M,,,75.00M,75.00M,1.00M,,0.00,9.00M,-42.00M,10.00M,22.00M,,-28.00M,-3.00M,99.00M,,100.00M,6.00M,379.00M,,-191.00M,,,0.00,,-3.00M,-194.00M,,381.00M,6.00M,387.00M,,-98.00M,-98.00M,,,-39.00M,,-39.00M,1.00M,36.00M,287.00M,,1.064B,472.00M,-26.00M,1.51B,,,420.00M,-33.00M,-98.00M,,AOR,Restated
2014-06,258.00M,3.00M,,-53.00M,-50.00M,,,75.00M,75.00M,-2.00M,,0.00,9.00M,-39.00M,-62.00M,0.00,,46.00M,21.00M,-2.00M,,3.00M,-1.00M,253.00M,,-125.00M,,,0.00,,-7.00M,-132.00M,,-7.00M,1.00M,-6.00M,,-50.00M,-50.00M,,,-39.00M,,-39.00M,3.00M,38.00M,-54.00M,,998.00M,67.00M,-1.00M,1.064B,,,1.00M,-7.00M,-50.00M,,AOR,Restated
2014-03,195.00M,1.00M,,25.00M,26.00M,,,76.00M,76.00M,-7.00M,,0.00,8.00M,-72.00M,-123.00M,-15.00M,,27.00M,4.00M,45.00M,,-62.00M,0.00,164.00M,,-148.00M,,,0.00,,-3.00M,-151.00M,,-6.00M,-18.00M,-24.00M,,-53.00M,-53.00M,,,-28.00M,,-28.00M,0.00,109.00M,4.00M,,984.00M,17.00M,-3.00M,998.00M,,,25.00M,-49.00M,-53.00M,,AOR,Restated
2013-12,654.00M,-739.00M,,8.00M,-887.00M,,,81.00M,81.00M,337.00M,,79.00M,6.00M,-60.00M,90.00M,-47.00M,,9.00M,-28.00M,-81.00M,,-57.00M,1.00M,154.00M,,-112.00M,,,0.00,,-20.00M,-132.00M,,-6.00M,-48.00M,-54.00M,,-62.00M,-62.00M,,,-28.00M,,-28.00M,6.00M,-5.00M,-143.00M,,1.10B,-121.00M,5.00M,984.00M,,,23.00M,-77.00M,-62.00M,,AOR,Restated
2013-09,172.00M,1.00M,,-47.00M,-46.00M,,,80.00M,80.00M,13.00M,,2.00M,18.00M,-6.00M,-9.00M,-5.00M,,28.00M,-27.00M,12.00M,,-1.00M,0.00,232.00M,,-110.00M,,,1.00M,,-4.00M,-113.00M,,-106.00M,99.00M,-7.00M,,-96.00M,-96.00M,,,-29.00M,,-29.00M,0.00,-2.00M,-134.00M,,1.107B,-15.00M,8.00M,1.10B,,,162.00M,-169.00M,-96.00M,,AOR,Restated
2013-06,133.00M,0.00,,,0.00,,,78.00M,78.00M,2.00M,,,,-26.00M,-4.00M,26.00M,,36.00M,-48.00M,38.00M,,48.00M,-6.00M,229.00M,,-78.00M,,,12.00M,,-24.00M,-90.00M,,-7.00M,11.00M,4.00M,,-6.00M,-6.00M,,,-14.00M,,-14.00M,2.00M,,-14.00M,,978.00M,125.00M,4.00M,1.107B,,,11.00M,-7.00M,-6.00M,,AOR,Restated
2013-03,142.00M,1.00M,,,1.00M,,,80.00M,80.00M,-8.00M,,,,-26.00M,-100.00M,-55.00M,,36.00M,-7.00M,83.00M,,-43.00M,1.00M,147.00M,,-77.00M,,,0.00,,-10.00M,-87.00M,,-5.00M,-19.00M,-24.00M,,0.00,0.00,,,-12.00M,,-12.00M,1.00M,,-35.00M,,959.00M,25.00M,-6.00M,978.00M,,,55.00M,-79.00M,0.00,,AOR,Restated
2012-12,-169.00M,1.00M,,,410.00M,,,84.00M,84.00M,-88.00M,,,,-192.00M,112.00M,5.00M,,-53.00M,-6.00M,-72.00M,,-14.00M,2.00M,61.00M,,-97.00M,,,0.00,,-6.00M,-103.00M,,93.00M,9.00M,102.00M,,-8.00M,-8.00M,,,-12.00M,,-12.00M,4.00M,-16.00M,70.00M,,928.00M,28.00M,3.00M,959.00M,,,580.00M,-478.00M,-8.00M,,AOR,Restated
2012-09,127.00M,2.00M,,,2.00M,,,81.00M,81.00M,23.00M,,,,-58.00M,34.00M,25.00M,,-3.00M,-11.00M,40.00M,,85.00M,-1.00M,259.00M,,-95.00M,,,0.00,,-19.00M,-114.00M,,-13.00M,7.00M,-6.00M,,-9.00M,-9.00M,,,-12.00M,,-12.00M,3.00M,-1.00M,-25.00M,,800.00M,120.00M,8.00M,928.00M,,,33.00M,-39.00M,-9.00M,,AOR,Restated
2012-06,221.00M,0.00,,,0.00,,,78.00M,78.00M,-19.00M,,,,-19.00M,-49.00M,8.00M,,-62.00M,7.00M,21.00M,,-75.00M,1.00M,187.00M,,-91.00M,,,1.00M,,-38.00M,-128.00M,,-11.00M,-24.00M,-35.00M,,-8.00M,-8.00M,,,-9.00M,,-9.00M,48.00M,29.00M,25.00M,,727.00M,84.00M,-11.00M,800.00M,,,-24.00M,-11.00M,-8.00M,,AOR,Restated
