,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.591B,1.591B,1.215B,376.00M,137.00M,20.00M,5.00M,1.40B,26.00M,2.00M,-24.00M,,162.00M,214.00M,2.00M,26.00M,-24.00M,1.381B,-24.00M,1.571B,117.00M,1.454B,0.00,-1.00M,,1.453B,134.13M,1.688B,91.00M,1.597B,,12.56,0.00,1.155,12.56,,12.50,0.00,1.186,12.50,,115.64M,116.57M,0.62,,AOR,
2020-09,1.411B,1.411B,1.084B,327.00M,106.00M,19.00M,6.00M,-10.00M,28.00M,1.00M,-27.00M,,131.00M,196.00M,1.00M,28.00M,-27.00M,72.00M,-27.00M,241.00M,30.00M,211.00M,-2.00M,-2.00M,,207.00M,194.04M,359.00M,90.00M,269.00M,,1.77,-0.02,1.643,1.75,,1.76,-0.02,1.634,1.75,,118.05M,118.56M,0.62,,AOR,
2020-06,1.193B,1.193B,951.00M,242.00M,114.00M,18.00M,6.00M,-23.00M,27.00M,1.00M,-26.00M,,138.00M,104.00M,1.00M,27.00M,-26.00M,69.00M,-26.00M,147.00M,35.00M,112.00M,-3.00M,-2.00M,,107.00M,102.40M,263.00M,89.00M,174.00M,,0.93,-0.03,0.8658,0.90,,0.93,-0.03,0.8660,0.90,,118.34M,118.77M,0.62,,AOR,
2020-03,1.46B,1.46B,1.112B,348.00M,125.00M,17.00M,5.00M,,28.00M,2.00M,-26.00M,,147.00M,201.00M,2.00M,28.00M,-26.00M,117.00M,-26.00M,292.00M,65.00M,227.00M,-7.00M,-2.00M,,218.00M,196.92M,406.00M,86.00M,320.00M,,1.89,-0.06,1.655,1.83,,1.88,-0.06,1.646,1.82,,119.25M,119.90M,0.62,,AOR,
2019-12,1.432B,1.432B,1.116B,316.00M,125.00M,17.00M,6.00M,-102.00M,28.00M,2.00M,-26.00M,,148.00M,168.00M,2.00M,28.00M,-26.00M,-101.00M,-26.00M,41.00M,-3.00M,44.00M,1.00M,-2.00M,,43.00M,97.48M,160.00M,91.00M,69.00M,,0.35,0.01,0.8115,0.36,,0.35,0.01,0.8085,0.36,,120.22M,121.00M,0.62,,AOR,Restated
2019-09,1.586B,1.586B,1.172B,414.00M,120.00M,17.00M,6.00M,-10.00M,27.00M,1.00M,-26.00M,,143.00M,271.00M,1.00M,27.00M,-26.00M,78.00M,-26.00M,323.00M,53.00M,270.00M,-5.00M,-2.00M,,263.00M,254.56M,445.00M,95.00M,350.00M,,2.18,-0.04,2.070,2.14,,2.17,-0.04,2.061,2.13,,122.70M,123.30M,0.62,,AOR,Restated
2019-06,1.592B,1.592B,1.169B,423.00M,118.00M,17.00M,6.00M,-97.00M,29.00M,2.00M,-31.00M,,141.00M,282.00M,2.00M,29.00M,-31.00M,-12.00M,-31.00M,239.00M,28.00M,211.00M,-1.00M,-1.00M,,209.00M,268.08M,354.00M,86.00M,268.00M,,1.68,-0.01,2.144,1.67,,1.67,-0.01,2.132,1.66,,125.29M,125.85M,0.62,,AOR,Restated
2019-03,1.687B,1.687B,1.234B,453.00M,120.00M,16.00M,6.00M,,31.00M,1.00M,-30.00M,,142.00M,311.00M,1.00M,31.00M,-30.00M,104.00M,-30.00M,385.00M,46.00M,339.00M,-1.00M,-1.00M,,337.00M,305.44M,500.00M,84.00M,416.00M,,2.65,-0.01,2.395,2.64,,2.64,-0.01,2.386,2.63,,127.54M,128.22M,0.54,,AOR,Restated
2018-12,1.689B,1.689B,1.269B,420.00M,134.00M,18.00M,6.00M,8.00M,30.00M,2.00M,-29.00M,,158.00M,262.00M,2.00M,30.00M,-29.00M,-59.00M,-29.00M,174.00M,76.00M,98.00M,3.00M,-2.00M,,99.00M,73.37M,295.00M,91.00M,204.00M,,0.73,0.02,0.5575,0.75,,0.73,0.02,0.5592,0.75,,131.21M,132.50M,0.54,,AOR,Restated
2018-09,1.771B,1.771B,1.255B,516.00M,129.00M,18.00M,5.00M,-2.00M,30.00M,2.00M,-28.00M,,152.00M,364.00M,2.00M,30.00M,-28.00M,126.00M,-28.00M,462.00M,54.00M,408.00M,-6.00M,-1.00M,,401.00M,385.88M,582.00M,90.00M,492.00M,,3.02,-0.04,2.863,2.98,,3.00,-0.04,2.844,2.96,,134.52M,135.50M,0.54,,AOR,Restated
