,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,955.00M,533.00M,1.488B,792.00M,83.00M,1.242B,251.00M,74.00M,653.00M,978.00M,,,,55.00M,3.763B,0.00,132.00M,826.00M,5.768B,232.00M,492.00M,7.45B,-3.279B,4.171B,1.166B,319.00M,1.485B,820.00M,259.00M,411.00M,7.146B,10.91B,,797.00M,140.00M,937.00M,150.00M,1.087B,21.00M,0.00,496.00M,496.00M,36.00M,532.00M,,,306.00M,1.973B,68.00M,3.227B,208.00M,3.435B,509.00M,51.00M,560.00M,643.00M,34.00M,369.00M,301.00M,5.041B,7.014B,,0.00,8.091B,257.00M,4.494B,,,-328.00M,3.526B,,AOR,
2020-09,615.00M,35.00M,650.00M,716.00M,347.00M,1.063B,243.00M,75.00M,683.00M,1.001B,,,,57.00M,2.771B,,,,,7.262B,,7.262B,-3.201B,4.061B,1.128B,317.00M,1.445B,993.00M,87.00M,412.00M,6.998B,9.769B,,699.00M,236.00M,935.00M,131.00M,1.066B,19.00M,459.00M,499.00M,958.00M,31.00M,989.00M,,,307.00M,2.409B,71.00M,3.14B,191.00M,3.331B,164.00M,49.00M,213.00M,584.00M,8.00M,376.00M,269.00M,4.476B,6.885B,,0.00,6.71B,248.00M,4.106B,,,-344.00M,2.508B,,AOR,
2020-06,539.00M,36.00M,575.00M,729.00M,312.00M,1.041B,251.00M,67.00M,713.00M,1.031B,,,,62.00M,2.709B,,,,,7.013B,,7.013B,-3.087B,3.926B,1.098B,317.00M,1.415B,957.00M,100.00M,399.00M,6.797B,9.506B,,599.00M,144.00M,743.00M,116.00M,859.00M,22.00M,154.00M,891.00M,1.045B,29.00M,1.074B,,,279.00M,2.262B,63.00M,2.989B,183.00M,3.172B,256.00M,49.00M,305.00M,579.00M,3.00M,382.00M,253.00M,4.375B,6.637B,,0.00,6.576B,252.00M,3.995B,,,-346.00M,2.487B,,AOR,
2020-03,570.00M,38.00M,608.00M,853.00M,307.00M,1.16B,244.00M,72.00M,720.00M,1.036B,,,,51.00M,2.855B,,,,,6.88B,,6.88B,-3.001B,3.879B,1.056B,302.00M,1.358B,981.00M,91.00M,381.00M,6.69B,9.545B,,724.00M,91.00M,815.00M,97.00M,912.00M,23.00M,247.00M,502.00M,749.00M,29.00M,778.00M,,,187.00M,1.928B,59.00M,3.356B,175.00M,3.531B,258.00M,48.00M,306.00M,568.00M,94.00M,388.00M,223.00M,4.781B,6.709B,,0.00,6.543B,242.00M,3.996B,,,-341.00M,2.448B,,AOR,
2019-12,463.00M,40.00M,503.00M,850.00M,101.00M,1.181B,244.00M,76.00M,718.00M,1.038B,,,,43.00M,2.765B,0.00,124.00M,775.00M,5.316B,203.00M,455.00M,6.873B,-2.957B,3.916B,1.074B,312.00M,1.386B,975.00M,96.00M,338.00M,6.711B,9.476B,,780.00M,52.00M,832.00M,118.00M,950.00M,18.00M,272.00M,224.00M,496.00M,29.00M,525.00M,,,233.00M,1.754B,62.00M,3.409B,181.00M,3.59B,257.00M,49.00M,306.00M,589.00M,50.00M,391.00M,227.00M,4.824B,6.578B,,0.00,6.399B,254.00M,3.846B,,,-300.00M,2.507B,,AOR,Restated
2019-09,497.00M,26.00M,523.00M,947.00M,335.00M,1.282B,248.00M,78.00M,668.00M,994.00M,,,,44.00M,2.843B,,,,,6.639B,,6.639B,-2.848B,3.791B,1.054B,314.00M,1.368B,970.00M,98.00M,344.00M,6.571B,9.414B,,764.00M,71.00M,835.00M,108.00M,943.00M,20.00M,159.00M,209.00M,368.00M,31.00M,399.00M,,,141.00M,1.533B,64.00M,3.359B,182.00M,3.541B,269.00M,48.00M,317.00M,523.00M,58.00M,392.00M,239.00M,4.742B,6.275B,,0.00,6.431B,244.00M,3.622B,,,-306.00M,2.747B,,AOR,Restated
2019-06,491.00M,27.00M,518.00M,971.00M,332.00M,1.303B,250.00M,73.00M,688.00M,1.011B,,,,44.00M,2.876B,,,,,6.679B,,6.679B,-2.828B,3.851B,1.083B,327.00M,1.41B,959.00M,90.00M,320.00M,6.63B,9.506B,,764.00M,40.00M,804.00M,95.00M,899.00M,23.00M,148.00M,171.00M,319.00M,31.00M,350.00M,,,106.00M,1.408B,63.00M,3.444B,192.00M,3.636B,265.00M,51.00M,316.00M,545.00M,42.00M,390.00M,242.00M,4.844B,6.252B,,0.00,6.245B,233.00M,3.347B,,,-267.00M,2.864B,,AOR,Restated
2019-03,441.00M,29.00M,470.00M,1.015B,343.00M,1.358B,264.00M,67.00M,678.00M,1.009B,,,,47.00M,2.884B,,,,,6.802B,,6.802B,-2.871B,3.931B,1.075B,332.00M,1.407B,950.00M,93.00M,309.00M,6.69B,9.574B,,699.00M,108.00M,807.00M,87.00M,894.00M,23.00M,247.00M,496.00M,743.00M,32.00M,775.00M,,,100.00M,1.822B,58.00M,2.933B,193.00M,3.126B,273.00M,50.00M,323.00M,550.00M,21.00M,392.00M,235.00M,4.313B,6.135B,,0.00,6.114B,224.00M,3.048B,,,-243.00M,3.047B,,AOR,Restated
2018-12,439.00M,31.00M,470.00M,1.017B,99.00M,1.318B,279.00M,70.00M,697.00M,1.046B,,,,40.00M,2.874B,0.00,123.00M,760.00M,5.223B,,416.00M,6.522B,-2.803B,3.719B,1.057B,310.00M,1.367B,979.00M,84.00M,290.00M,6.439B,9.313B,,819.00M,78.00M,897.00M,140.00M,1.037B,23.00M,40.00M,521.00M,561.00M,0.00,561.00M,,,128.00M,1.779B,62.00M,2.97B,0.00,2.97B,255.00M,51.00M,306.00M,564.00M,11.00M,395.00M,242.00M,4.155B,5.934B,,0.00,5.847B,233.00M,2.849B,,,-247.00M,2.984B,,AOR,Restated
2018-09,703.00M,31.00M,734.00M,1.086B,279.00M,1.365B,297.00M,63.00M,673.00M,1.033B,,,,48.00M,3.18B,,,,,,,6.438B,-2.739B,3.699B,1.064B,317.00M,1.381B,981.00M,170.00M,413.00M,6.644B,9.824B,,819.00M,168.00M,987.00M,130.00M,1.117B,29.00M,0.00,229.00M,229.00M,,229.00M,,,127.00M,1.532B,66.00M,3.196B,,3.196B,246.00M,52.00M,298.00M,547.00M,,402.00M,242.00M,4.349B,5.881B,,0.00,5.819B,222.00M,2.281B,,,-219.00M,3.541B,,AOR,Restated
