,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,1.068B,1.068B,556.50M,297.11M,843.05M,,4.367B,158.82M,6.437B,,,,,5.946B,,5.946B,-2.138B,3.807B,991.40M,686.32M,1.678B,50.37M,5.535B,11.97B,,3.527B,,3.527B,632.67M,4.160B,,,,,,,,488.89M,4.649B,1.032B,2.015B,3.047B,342.73M,342.73M,,171.71M,3.561B,8.210B,,0.008M,4.102B,772.31M,1.073B,-38.71M,3.763B,,AOR,
2020-06,1.142B,1.142B,519.61M,233.21M,742.35M,,4.358B,153.19M,6.396B,,,,,5.900B,,5.900B,-2.096B,3.804B,990.40M,692.48M,1.683B,48.25M,5.535B,11.93B,,3.310B,,3.310B,659.64M,3.970B,,,,,,,,467.84M,4.438B,1.240B,2.041B,3.282B,338.09M,338.09M,,146.76M,3.767B,8.204B,,0.008M,3.972B,760.54M,961.59M,-43.94M,3.727B,,AOR,
2020-03,1.280B,1.280B,406.62M,235.66M,627.40M,,4.526B,138.75M,6.572B,,,,,5.845B,,5.845B,-2.081B,3.764B,989.11M,698.03M,1.687B,49.44M,5.501B,12.07B,,3.304B,,3.304B,528.16M,3.832B,,500.00M,500.00M,,500.00M,,,498.69M,4.831B,1.241B,1.996B,3.237B,333.26M,333.26M,,133.98M,3.704B,8.536B,,0.008M,3.799B,749.72M,960.15M,-51.54M,3.537B,,AOR,
2019-12,418.66M,418.66M,422.40M,281.32M,689.47M,,4.432B,155.24M,5.696B,0.00,457.96M,1.034B,1.865B,2.365B,114.05M,5.836B,-2.038B,3.799B,992.24M,709.76M,1.702B,52.45M,5.553B,11.25B,,3.422B,96.83M,3.519B,337.36M,3.856B,36.82M,,,,,,,519.85M,4.478B,747.32M,2.017B,2.764B,334.01M,334.01M,,123.25M,3.222B,7.699B,,0.008M,3.773B,735.18M,924.39M,-34.57M,3.549B,,AOR,
2019-09,573.73M,573.73M,487.21M,249.03M,721.34M,,4.391B,140.49M,5.827B,,,,,5.733B,,5.733B,-2.008B,3.725B,991.38M,514.51M,1.506B,49.45M,5.280B,11.11B,,3.403B,,3.403B,579.07M,3.982B,,,,,,,,482.30M,4.464B,747.14M,1.998B,2.745B,318.31M,318.31M,,124.78M,3.188B,7.652B,,0.008M,3.681B,725.03M,912.34M,-38.86M,3.455B,,AOR,Restated
2019-06,747.72M,747.72M,497.34M,232.44M,713.06M,,4.375B,126.76M,5.962B,,,,,5.727B,,5.727B,-1.985B,3.741B,992.43M,521.97M,1.514B,49.67M,5.305B,11.27B,,3.318B,,3.318B,587.12M,3.905B,,,,449.08M,449.08M,,,18.23M,4.372B,746.95M,2.032B,2.779B,313.90M,313.90M,,131.04M,3.224B,7.597B,,0.008M,3.562B,715.75M,572.59M,-33.48M,3.671B,,AOR,Restated
2019-04,537.33M,537.33M,465.08M,238.11M,684.42M,,4.434B,126.11M,5.782B,,,,,5.686B,,5.686B,-1.951B,3.734B,991.24M,527.70M,1.519B,46.24M,5.300B,11.08B,,3.277B,,3.277B,530.28M,3.807B,,,,,,,,491.64M,4.299B,746.77M,2.054B,2.801B,310.40M,310.40M,,124.07M,3.235B,7.534B,,0.008M,3.441B,706.36M,560.24M,-40.04M,3.547B,,,
2018-12,896.53M,896.53M,397.91M,245.10M,624.97M,,4.363B,198.41M,6.082B,0.00,453.51M,993.50M,1.756B,,84.88M,3.287B,-1.919B,1.369B,990.24M,550.59M,1.541B,48.38M,2.958B,9.041B,,3.173B,119.20M,3.292B,387.70M,3.680B,45.28M,,,,,,,90.02M,3.886B,1.046B,0.00,1.046B,318.35M,318.35M,,239.81M,1.604B,5.490B,,0.008M,3.326B,694.80M,425.95M,-44.19M,3.551B,,AOR,Restated
2018-09,970.01M,970.01M,470.25M,247.06M,698.62M,,4.187B,168.58M,6.024B,,,,,,,3.250B,-1.914B,1.336B,992.76M,562.70M,1.555B,56.84M,2.948B,8.972B,,3.024B,,3.024B,648.82M,3.672B,,,,,,,,48.76M,3.721B,1.045B,,1.045B,320.16M,320.16M,,225.93M,1.591B,5.313B,,0.008M,3.277B,685.68M,271.08M,-32.08M,3.660B,,AOR,Restated
2018-06,902.25M,902.25M,466.96M,218.47M,664.15M,,4.160B,151.66M,5.878B,,,,,,,3.213B,-1.874B,1.339B,991.93M,571.95M,1.564B,54.92M,2.958B,8.836B,,2.910B,,2.910B,635.90M,3.546B,,,,,,,,52.33M,3.598B,1.045B,,1.045B,314.09M,314.09M,,220.22M,1.579B,5.178B,,0.008M,3.166B,678.42M,150.26M,-35.91M,3.658B,,AOR,Restated
