,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,147.48M,-0.219M,,47.80M,,,57.69M,57.69M,4.394M,,11.09M,,0.272M,-99.83M,-5.713M,181.60M,,,16.23M,92.28M,361.01M,,-52.53M,0.609M,-51.92M,0.00,,,-51.92M,,-253.72M,0.00,-253.72M,0.693M,-111.13M,-110.43M,-17.19M,-17.19M,,-2.92M,-384.26M,,1.142B,-75.17M,1.876M,1.068B,,0.693M,348.85M,-602.57M,-111.13M,,,,AOR,
2020-06,189.96M,0.82M,,0.82M,,,56.64M,56.64M,4.435M,,10.03M,,0.506M,-114.36M,172.79M,150.65M,,,-34.18M,174.91M,437.30M,,-57.13M,0.234M,-56.90M,0.00,,,-56.90M,,-500.00M,0.00,-500.00M,0.783M,-1.442M,-0.659M,-17.42M,-17.42M,,-1.052M,-519.14M,,1.280B,-138.73M,0.395M,1.142B,,0.783M,0.00,-500.00M,-1.442M,,,,AOR,
2020-03,43.59M,0.981M,,0.981M,,,78.58M,78.58M,0.146M,,13.81M,,0.434M,59.30M,-104.90M,-114.28M,,,33.25M,-126.63M,10.91M,,-83.20M,0.071M,-82.90M,-0.23M,,,-83.13M,,998.24M,0.00,998.24M,0.735M,-35.76M,-35.03M,-21.59M,-21.59M,,-4.763M,936.86M,,418.66M,864.63M,-3.461M,1.280B,,0.735M,998.24M,0.00,-35.76M,,,,AOR,
2019-12,95.91M,2.258M,,-8.498M,,,58.81M,58.81M,15.50M,,9.40M,,11.11M,32.44M,-38.14M,-24.65M,,,6.499M,-23.86M,158.36M,,-302.42M,-0.005M,-100.91M,-201.52M,,,-302.43M,,0.00,0.012M,0.012M,0.976M,-12.05M,-11.08M,0.00,0.00,,-0.223M,-11.29M,,573.73M,-155.36M,0.294M,418.66M,,0.976M,0.00,59.35M,-12.05M,,,,AOR,
2019-09,123.67M,2.116M,,12.87M,,,56.31M,56.31M,4.723M,,8.613M,,-10.39M,-9.339M,-19.30M,77.42M,,,-28.19M,20.59M,216.38M,,-57.80M,0.148M,-57.65M,0.00,,,-57.65M,,0.00,10.91M,10.91M,0.71M,-339.74M,-339.03M,-4.157M,-4.157M,,-0.022M,-332.30M,,747.72M,-173.56M,-0.429M,573.73M,,0.71M,0.00,10.91M,-339.74M,,,,AOR,Restated
2019-06,124.82M,2.172M,,2.172M,,,53.37M,53.37M,3.18M,,8.441M,,0.371M,-27.18M,63.06M,80.54M,,,-21.15M,95.26M,287.62M,,-50.11M,8.013M,-42.10M,0.00,,,-42.10M,,0.00,-19.69M,-19.69M,0.97M,-12.35M,-11.38M,-4.305M,-4.305M,,-0.021M,-35.39M,,537.33M,210.13M,0.26M,747.72M,,0.97M,0.00,-19.69M,-12.35M,,,,AOR,Restated
2019-03,142.50M,0.125M,,0.125M,,,69.88M,69.88M,-0.25M,,10.98M,,11.35M,-58.76M,-68.74M,40.19M,,,57.26M,-30.05M,204.54M,,-61.31M,0.553M,-60.76M,0.00,,,-60.76M,,-310.05M,-50.58M,-360.62M,0.678M,-134.29M,-133.61M,-8.723M,-8.723M,,-0.215M,-503.18M,,896.53M,-359.39M,0.196M,537.33M,,0.678M,0.00,-360.62M,-134.29M,,,,AOR,
2012-12,65.06M,0.788M,,0.788M,,,45.78M,45.78M,8.491M,,3.104M,-1.232M,0.368M,-25.31M,-111.54M,169.71M,23.04M,2.246M,,58.15M,180.50M,,-69.97M,6.225M,-63.75M,,-3.037M,,-66.78M,,0.00,7.068M,7.068M,,-1.902M,-1.902M,-0.01M,-0.01M,1.313M,-1.456M,5.013M,,479.38M,118.73M,,598.11M,,,0.00,7.068M,-1.902M,55.65M,8.634M,,AOR,Restated
2012-09,89.50M,0.526M,,0.526M,,,45.24M,45.24M,16.88M,,2.852M,-1.182M,0.367M,-44.83M,-95.58M,87.90M,-7.344M,-0.934M,,-60.78M,93.40M,,-54.93M,0.08M,-54.85M,,-5.332M,,-60.18M,,0.00,1.654M,1.654M,,-0.151M,-0.151M,-4.39M,-4.39M,0.922M,-0.464M,-2.429M,,448.59M,30.79M,,479.38M,,,0.00,1.654M,-0.151M,34.72M,7.551M,,AOR,Restated
2012-06,99.61M,1.003M,,1.003M,,,42.73M,42.73M,1.232M,,3.69M,-3.299M,0.366M,-13.12M,10.60M,39.85M,-7.483M,7.444M,-6.656M,30.64M,175.97M,,-63.82M,0.08M,-63.74M,,0.00,,-63.74M,,0.00,-0.034M,-0.034M,,-19.87M,-19.87M,-13.20M,-4.412M,1.715M,-5.119M,-27.72M,,364.08M,84.51M,,448.59M,,,0.00,-0.034M,-19.87M,72.31M,11.06M,,AOR,Restated
