,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,2.542B,2.542B,1.413B,1.128B,871.66M,-48.02M,11.92M,-11.92M,,871.66M,256.81M,11.92M,-11.92M,-47.35M,-11.92M,197.54M,50.06M,147.48M,,147.48M,183.35M,267.15M,57.69M,209.46M,,2.14,,,2.660,2.14,,2.13,,,2.648,2.13,,68.96M,69.27M,0.25,,AOR,
2020-06,2.501B,2.501B,1.405B,1.097B,833.87M,,13.42M,-13.42M,,833.87M,262.84M,13.42M,-13.42M,3.117M,-13.42M,252.54M,62.58M,189.96M,,189.96M,189.96M,322.60M,56.64M,265.96M,,2.75,,,2.75,2.75,,2.74,,,2.74,2.74,,69.12M,69.29M,0.25,,AOR,
2020-03,2.698B,2.698B,1.525B,1.173B,1.094B,,12.24M,-12.24M,,1.094B,78.42M,12.24M,-12.24M,-5.989M,-12.24M,60.19M,16.60M,43.59M,,43.59M,43.59M,151.02M,78.58M,72.44M,,0.63,,,0.63,0.63,,0.63,,,0.63,0.63,,69.18M,69.39M,0.25,,AOR,
2019-12,2.113B,2.113B,1.184B,928.77M,802.63M,,7.836M,-7.836M,,802.63M,126.14M,7.836M,-7.836M,1.736M,-7.836M,120.04M,24.13M,95.91M,,95.91M,95.91M,186.68M,58.81M,127.88M,,1.39,,,1.39,1.39,,1.38,,,1.38,1.38,,69.42M,69.73M,0.06,,AOR,
2019-09,2.312B,2.312B,1.300B,1.012B,839.60M,0.00,8.443M,-8.443M,,839.60M,172.33M,8.443M,-8.443M,-3.145M,-8.443M,160.74M,37.07M,123.67M,,123.67M,123.67M,225.49M,56.31M,169.18M,,1.76,,,1.76,1.76,,1.75,,,1.75,1.75,,70.38M,70.66M,0.06,,AOR,Restated
2019-06,2.332B,2.332B,1.323B,1.009B,838.67M,,8.675M,-8.675M,,838.67M,170.77M,8.675M,-8.675M,4.113M,-8.675M,166.21M,41.39M,124.82M,,124.82M,124.82M,228.26M,53.37M,174.88M,,1.74,,,1.74,1.74,,1.73,,,1.73,1.73,,71.74M,72.01M,0.06,,AOR,Restated
2019-03,2.952B,2.952B,1.647B,1.305B,1.097B,,14.94M,-14.94M,,1.097B,207.94M,14.94M,-14.94M,-2.238M,-14.94M,190.76M,48.26M,142.50M,,142.50M,142.50M,275.59M,69.88M,205.70M,,1.99,,,1.99,1.99,,1.98,,,1.98,1.98,,71.79M,72.10M,0.06,,AOR,
2018-12,2.105B,2.105B,1.176B,928.64M,844.39M,,12.98M,-12.98M,,844.39M,84.25M,12.98M,-12.98M,-1.421M,-12.98M,69.86M,16.42M,53.44M,,53.44M,53.44M,137.43M,54.60M,82.83M,,0.74,,,0.74,0.74,,0.74,,,0.74,0.74,,72.99M,73.33M,0.06,,AOR,Restated
2018-09,2.275B,2.275B,1.268B,1.007B,852.69M,,13.08M,-13.08M,,852.69M,154.24M,13.08M,-13.08M,5.755M,-13.08M,146.92M,31.08M,115.84M,,115.84M,115.84M,215.34M,55.34M,160.00M,,1.57,,,1.57,1.57,,1.56,,,1.56,1.56,,73.89M,74.19M,0.06,,AOR,Restated
2018-06,2.327B,2.327B,1.315B,1.012B,844.02M,,12.86M,-12.86M,,844.02M,167.54M,12.86M,-12.86M,2.785M,-12.86M,157.47M,39.64M,117.84M,,117.84M,117.84M,170.33M,,170.33M,,1.59,,,1.59,1.59,,1.59,,,1.59,1.59,,74.05M,74.24M,0.06,,AOR,Restated
2017-12,2.037B,2.037B,1.163B,873.57M,786.42M,,13.14M,-13.14M,,786.42M,87.15M,13.14M,-13.14M,0.121M,-13.14M,74.14M,-110.36M,184.50M,,184.50M,184.50M,143.78M,56.51M,87.27M,,2.50,,,2.50,2.50,,2.49,,,2.49,2.49,,73.90M,74.15M,0.06,,AOR,Restated
2017-09,2.182B,2.182B,1.235B,947.71M,791.14M,,13.31M,-13.31M,,791.14M,156.57M,13.31M,-13.31M,0.745M,-13.31M,144.00M,48.00M,96.00M,,96.00M,96.00M,214.87M,57.55M,157.31M,,1.30,,,1.30,1.30,,1.30,,,1.30,1.30,,73.87M,74.11M,0.06,,AOR,Restated
