,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-601.97M,4.116M,0.00,2.969M,6.883M,,,294.36M,294.36M,-79.67M,,,21.95M,36.33M,-55.72M,9.476M,-21.40M,190.99M,,,-3.87M,,-164.10M,,2020-09,-37.36M,0.241M,0.241M,-32.77M,,-69.56M,,2020-09,1.141B,-1.071B,70.30M,0.00,0.00,0.00,-1.233M,-1.233M,,-7.985M,,2020-09,4.836B,0.016M,4.594B,,2020-09,0.00,0.00,1.141B,6.728M,139.10M,,2020-09,AOR,
2020-06,-936.49M,26.35M,0.00,32.11M,58.38M,,,299.21M,299.21M,-147.92M,,,18.84M,38.63M,111.88M,-0.462M,16.62M,-63.43M,,,-122.05M,,-662.56M,,2020-06,-67.10M,0.017M,0.017M,-17.70M,,-21.57M,,2020-06,908.43M,-1.289B,-381.01M,0.088M,0.00,0.088M,-1.233M,-1.233M,,-496.93M,,2020-06,6.016B,0.149M,4.836B,,2020-06,0.088M,2.05B,-1.142B,-0.572M,127.42M,,2020-06,AOR,
2020-03,674.52M,54.98M,-1.492B,-3.127M,-1.313B,,,318.29M,318.29M,277.22M,,,36.90M,50.06M,136.22M,-3.322M,-40.11M,-577.94M,,,-17.30M,,-422.94M,,2020-03,-73.11M,0.175M,0.175M,-20.65M,,2.363B,,2020-03,457.90M,1.289B,1.747B,524.62M,-353.72M,170.90M,-73.90M,-73.90M,,1.745B,,2020-03,2.330B,2.316M,6.016B,,2020-03,524.62M,1.305B,-846.72M,2.439M,162.00M,,2020-03,AOR,
2019-12,2.066B,11.38M,,-9.569M,-2.534B,,,331.44M,331.44M,542.26M,,,24.32M,30.73M,-70.82M,-1.212M,30.67M,29.11M,,,-3.296M,,454.29M,,2019-12,-256.22M,0.642M,0.642M,651.73M,,4.549B,,2019-12,-2.004B,-1.923B,-3.927B,550.64M,-392.72M,157.92M,-66.12M,-66.12M,,-3.910B,,2019-12,1.234B,2.763M,2.330B,,2019-12,550.64M,0.00,-2.004B,10.27M,229.18M,,2019-12,AOR,
2019-09,6.104M,249.86M,,-21.54M,231.03M,,,322.01M,322.01M,-15.83M,,,15.32M,13.57M,-735.87M,2.621M,-44.79M,583.85M,,,-2.881M,,388.28M,,2019-09,-161.17M,1.363M,1.363M,-0.602M,,-151.69M,,2019-09,1.980B,-1.711B,268.90M,86.06M,-356.98M,-270.92M,-66.95M,-66.95M,,-162.11M,,2019-09,1.161B,-1.502M,1.234B,,2019-09,86.06M,0.00,1.980B,11.15M,182.59M,,2019-09,AOR,Restated
2019-06,76.17M,5.79M,,-5.527M,53.47M,,,334.79M,334.79M,0.786M,,,17.06M,18.76M,31.12M,4.69M,62.13M,-37.42M,,,-2.461M,,568.05M,,2019-06,-138.37M,0.232M,0.232M,-71.11M,,-150.75M,,2019-06,-389.88M,289.77M,-100.12M,64.91M,-281.83M,-216.92M,-68.42M,-68.42M,,-482.63M,,2019-06,1.223B,2.52M,1.161B,,2019-06,64.91M,2.50B,-2.890B,7.069M,205.85M,,2019-06,AOR,Restated
2019-03,66.16M,8.776M,,-20.58M,-11.81M,,,316.41M,316.41M,67.83M,,,32.14M,11.78M,48.96M,0.423M,-40.45M,-109.93M,,,9.897M,,399.78M,,2019-03,-183.25M,0.341M,0.341M,-545.24M,,-726.81M,,2019-03,-100.00M,-289.77M,-389.77M,548.39M,0.00,548.39M,-69.80M,-69.80M,,24.85M,,2019-03,1.527B,-1.18M,1.223B,,2019-03,548.39M,750.00M,-850.00M,,209.35M,,2019-03,AOR,Restated
2018-12,5.76M,28.68M,,-16.32M,13.78M,,,312.54M,312.54M,105.48M,,,19.17M,-7.562M,-117.76M,-6.403M,32.88M,-29.04M,,,-8.877M,,327.07M,,2018-12,-262.92M,25.04M,25.04M,-53.79M,,-284.33M,,2018-12,0.00,464.16M,464.16M,0.00,-150.00M,-150.00M,-63.30M,-63.30M,,181.84M,,2018-12,1.303B,-0.496M,1.527B,,2018-12,0.00,0.00,0.00,,206.74M,,2018-12,AOR,Restated
2018-09,171.41M,-42.40M,,-23.91M,-66.76M,,,300.47M,300.47M,12.22M,,,17.10M,15.43M,-57.95M,5.471M,-50.39M,-65.51M,,,3.569M,,302.32M,,2018-09,-362.16M,0.135M,0.135M,-870.92M,,-1.119B,,2018-09,0.00,1.139B,1.139B,0.00,-176.07M,-176.07M,-63.96M,-63.96M,,845.55M,,2018-09,1.273B,1.201M,1.303B,,2018-09,0.00,0.00,0.00,,192.09M,,2018-09,AOR,Restated
2018-06,140.42M,16.97M,,-36.87M,-18.28M,,,296.21M,296.21M,18.76M,,,17.80M,-4.374M,-1.231M,-1.814M,33.84M,2.343M,,,18.53M,,515.49M,,2018-06,-443.14M,0.215M,0.215M,0.00,,-247.06M,,2018-06,1.00B,-740.91M,259.09M,0.00,-594.86M,-594.86M,-65.34M,-65.34M,,-521.10M,,2018-06,1.525B,0.14M,1.273B,,2018-06,0.00,1.00B,0.00,-2.935M,156.38M,,2018-06,AOR,Restated
