,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,5.741B,5.741B,1.326B,4.414B,1.569B,1.569B,1.465B,-43.00M,-101.40M,89.60M,5.80M,-83.80M,3.034B,1.380B,5.80M,89.60M,-83.80M,141.30M,-83.80M,1.437B,228.80M,1.208B,0.00,,,1.208B,1.294B,1.885B,358.40M,1.527B,1.33,0.0,,,1.4240000000000002,1.33,1.33,0.0,,,1.4240000000000002,1.33,907.20M,911.40M,0.74
2020-06,5.499B,5.499B,1.222B,4.277B,1.449B,1.449B,1.390B,0.00,-241.80M,88.30M,7.10M,-81.20M,2.839B,1.439B,7.10M,88.30M,-81.20M,286.30M,-81.20M,1.644B,231.70M,1.412B,0.00,,,1.412B,1.620B,2.056B,324.40M,1.732B,1.56,0.0,,,1.7890000000000001,1.56,1.55,0.0,,,1.778,1.55,907.20M,910.90M,0.74
2020-03,5.860B,5.860B,1.215B,4.645B,1.550B,1.550B,1.392B,50.10M,-112.20M,92.50M,14.30M,-78.20M,2.942B,1.703B,14.30M,92.50M,-78.20M,55.10M,-78.20M,1.680B,223.40M,1.456B,0.00,,,1.456B,1.554B,2.046B,273.60M,1.772B,1.6,0.0,,,1.7069999999999999,1.6,1.6,0.0,,,1.7069999999999999,1.6,908.20M,911.70M,0.74
2019-12,6.114B,6.114B,1.283B,4.831B,1.698B,1.698B,1.581B,70.30M,-94.40M,95.90M,13.20M,-82.70M,3.280B,1.552B,13.20M,95.90M,-82.70M,193.90M,-82.70M,1.663B,167.40M,1.496B,0.00,,,1.496B,1.581B,2.100B,340.70M,1.759B,1.5619999999999998,0.0,,,1.655,1.5619999999999998,1.5619999999999998,0.0,,,1.655,1.5619999999999998,909.64M,915.54M,0.645
2019-09,5.477B,5.477B,1.175B,4.302B,1.412B,1.412B,1.381B,0.00,-77.70M,107.40M,17.30M,-90.10M,2.793B,1.508B,17.30M,107.40M,-90.10M,-12.50M,-90.10M,1.406B,151.90M,1.254B,0.00,,,1.254B,1.323B,1.801B,288.00M,1.513B,1.37,0.0,,,1.446,1.37,1.37,0.0,,,1.445,1.37,913.90M,918.50M,0.645
2019-06,5.637B,5.637B,1.125B,4.512B,1.586B,1.586B,1.402B,0.00,-25.00M,110.90M,19.40M,-91.50M,2.988B,1.523B,19.40M,110.90M,-91.50M,34.10M,-91.50M,1.466B,138.70M,1.327B,0.00,,,1.327B,1.350B,1.824B,247.40M,1.577B,1.44,0.0,,,1.465,1.44,1.44,0.0,,,1.464,1.44,920.80M,924.60M,0.645
2019-03,5.092B,5.092B,1.139B,3.954B,1.517B,1.517B,1.230B,427.50M,-560.80M,86.50M,30.60M,-55.90M,2.748B,1.206B,30.60M,86.50M,-55.90M,-418.90M,-55.90M,731.10M,170.00M,561.10M,3.680B,,,4.242B,991.23M,1.174B,356.50M,817.60M,0.57,3.76,,,1.0090000000000001,4.33,0.57,3.74,,,1.0070000000000001,4.31,979.90M,984.00M,0.645
2018-12,5.638B,5.638B,1.130B,4.508B,1.694B,1.694B,1.392B,42.40M,-522.10M,57.20M,40.50M,-16.70M,3.085B,1.422B,40.50M,57.20M,-16.70M,-474.00M,-16.70M,931.60M,-189.80M,1.121B,3.60M,,,1.125B,1.503B,1.334B,345.50M,988.80M,1.064,-0.01,,,1.4409999999999998,1.064,1.064,-0.01,,,1.4369999999999998,1.064,1.011B,1.021B,0.5625
2018-09,5.307B,5.307B,1.153B,4.154B,1.457B,1.457B,1.281B,48.10M,-72.90M,60.80M,32.10M,-28.70M,2.738B,1.416B,32.10M,60.80M,-28.70M,-46.10M,-28.70M,1.341B,247.50M,1.094B,55.90M,,,1.150B,1.153B,1.817B,415.50M,1.402B,1.07,0.06,,,1.128,1.13,1.07,0.05,,,1.128,1.12,1.020B,1.026B,0.5625
2018-06,5.585B,5.585B,1.234B,4.351B,1.486B,1.486B,1.271B,-0.90M,-1.599B,63.30M,41.20M,-22.10M,2.757B,1.594B,41.20M,63.30M,-22.10M,-1.530B,-22.10M,41.70M,273.30M,-231.60M,-28.30M,,,-259.90M,935.67M,530.20M,425.20M,105.00M,-0.22,-0.03,,,0.9131,-0.25,-0.22,-0.03,,,0.9131,-0.25,1.030B,1.030B,0.5625
2018-03,4.964B,4.964B,1.165B,3.799B,1.339B,1.339B,1.108B,49.50M,-56.80M,61.20M,45.50M,-15.70M,2.446B,1.353B,45.50M,61.20M,-15.70M,28.40M,-15.70M,1.366B,198.50M,1.167B,50.20M,,,1.217B,1.216B,1.850B,422.80M,1.427B,1.11,0.05,,,1.156,1.16,1.11,0.05,,,1.156,1.16,1.048B,1.050B,0.5625
2017-12,3.263B,3.263B,-58.20M,3.321B,1.552B,1.552B,1.226B,-47.30M,-264.50M,62.90M,51.80M,-11.10M,2.778B,543.10M,51.80M,62.90M,-11.10M,-140.50M,-11.10M,391.50M,1.931B,-1.539B,,,,-1.657B,-1.380B,866.30M,411.90M,454.40M,-1.58,,,,-1.4280000000000002,-1.58,-1.58,,,,-1.4280000000000002,-1.58,1.044B,1.044B,0.52
2017-09,5.658B,5.658B,1.586B,4.072B,1.578B,1.578B,1.34B,235.00M,-611.50M,61.90M,45.10M,-16.80M,2.918B,1.153B,45.10M,61.90M,-16.80M,-544.80M,-16.80M,591.60M,36.00M,555.60M,,,,555.60M,1.130B,1.026B,372.90M,653.50M,0.53,,,,1.075,0.53,0.53,,,,1.074,0.53,1.053B,1.056B,0.52
2017-06,5.824B,5.824B,1.572B,4.253B,1.730B,1.730B,1.272B,51.00M,-50.00M,53.60M,36.90M,-16.70M,3.002B,1.250B,36.90M,53.60M,-16.70M,27.10M,-16.70M,1.260B,252.50M,1.008B,,,,1.008B,1.048B,1.710B,395.60M,1.314B,0.96,,,,0.9979,0.96,0.95,,,,0.9878,0.95,1.055B,1.057B,0.52
2017-03,5.228B,5.228B,1.348B,3.880B,1.568B,1.568B,1.258B,45.20M,-1.072B,46.60M,32.60M,-14.00M,2.826B,1.054B,32.60M,46.60M,-14.00M,-979.20M,-14.00M,61.20M,172.00M,-110.80M,,,,-110.80M,532.10M,494.70M,386.90M,107.80M,-0.1,,,,0.5086,-0.1,-0.1,,,,0.5086,-0.1,1.056B,1.056B,0.52
2016-12,5.760B,5.760B,1.521B,4.239B,1.866B,1.866B,1.517B,57.90M,-177.60M,51.40M,31.90M,-19.50M,3.383B,856.20M,31.90M,51.40M,-19.50M,55.30M,-19.50M,892.00M,120.20M,771.80M,,,,771.80M,925.47M,1.288B,344.60M,943.40M,0.7011,,,,0.8463,0.7011,0.7011,,,,0.8455,0.7011,1.058B,1.064B,0.51
2016-09,5.192B,5.192B,1.401B,3.791B,1.565B,1.565B,1.236B,37.20M,-45.50M,47.20M,29.10M,-18.10M,2.802B,989.00M,29.10M,47.20M,-18.10M,-0.20M,-18.10M,970.70M,192.70M,778.00M,,,,778.00M,814.45M,1.411B,392.80M,1.018B,0.74,,,,0.7745,0.74,0.73,,,,0.7644,0.73,1.058B,1.061B,0.51
2016-06,5.405B,5.405B,1.465B,3.940B,1.623B,1.623B,1.336B,38.80M,-58.00M,43.20M,23.50M,-19.70M,2.958B,981.30M,23.50M,43.20M,-19.70M,-17.10M,-19.70M,944.50M,196.80M,747.70M,,,,747.70M,793.64M,1.361B,373.70M,987.70M,0.71,,,,0.7534,0.71,0.71,,,,0.7533,0.71,1.058B,1.060B,0.51
2016-03,4.865B,4.865B,1.323B,3.542B,1.474B,1.474B,1.221B,121.90M,-335.30M,43.40M,24.20M,-19.20M,2.695B,847.20M,24.20M,43.40M,-19.20M,-261.20M,-19.20M,566.80M,126.70M,440.10M,,,,440.10M,700.29M,995.70M,385.50M,610.20M,0.42,,,,0.6655,0.42,0.41,,,,0.6547,0.41,1.060B,1.063B,0.51
2015-12,5.376B,5.376B,1.389B,3.986B,1.798B,1.798B,1.444B,69.20M,-343.90M,44.20M,23.80M,-20.40M,3.243B,743.80M,23.80M,44.20M,-20.40M,-278.80M,-20.40M,444.60M,-33.80M,478.40M,,,,478.40M,684.74M,832.20M,343.40M,488.80M,0.4328,,,,0.6274,0.4328,0.4328,,,,0.6266,0.4328,1.060B,1.065B,0.5
2015-09,4.960B,4.960B,1.237B,3.723B,1.576B,1.576B,1.143B,30.30M,-42.40M,39.30M,21.20M,-18.10M,2.719B,1.004B,21.20M,39.30M,-18.10M,62.20M,-18.10M,1.048B,248.10M,799.70M,,,,799.70M,832.05M,1.445B,358.30M,1.087B,0.75,,,,0.7805,0.75,0.75,,,,0.7804,0.75,1.061B,1.065B,0.5
2015-06,4.979B,4.979B,1.218B,3.760B,1.635B,1.635B,1.170B,50.30M,-319.10M,36.80M,20.60M,-16.20M,2.805B,955.40M,20.60M,36.80M,-16.20M,-259.50M,-16.20M,679.70M,78.90M,600.80M,,,,600.80M,882.88M,1.085B,368.50M,716.50M,0.57,,,,0.8357,0.57,0.56,,,,0.8247,0.56,1.062B,1.066B,0.5
2015-03,4.645B,4.645B,1.193B,3.452B,1.524B,1.524B,1.039B,77.00M,-364.00M,40.90M,21.40M,-19.50M,2.563B,889.20M,21.40M,40.90M,-19.50M,-251.80M,-19.50M,617.90M,88.40M,529.50M,,,,529.50M,841.45M,1.016B,357.50M,658.80M,0.5,,,,0.7931,0.5,0.5,,,,0.7924,0.5,1.064B,1.067B,0.5
2014-12,5.121B,5.121B,1.253B,3.868B,1.800B,1.800B,1.186B,212.00M,-506.20M,37.40M,24.20M,-13.20M,2.986B,882.60M,24.20M,37.40M,-13.20M,-355.80M,-13.20M,513.60M,85.10M,428.50M,,,,428.50M,850.83M,890.40M,339.40M,551.00M,0.3858,,,,0.7822,0.3858,0.3858,,,,0.7805,0.3858,1.066B,1.070B,0.49
2014-09,4.876B,4.876B,1.267B,3.609B,1.672B,1.672B,1.243B,19.20M,-131.30M,38.10M,28.80M,-9.30M,2.915B,693.30M,28.80M,38.10M,-9.30M,-28.50M,-9.30M,655.50M,154.90M,500.60M,,,,500.60M,600.91M,1.036B,342.40M,693.60M,0.47,,,,0.5638,0.47,0.47,,,,0.5634,0.47,1.070B,1.074B,0.49
2014-06,4.936B,4.936B,1.190B,3.746B,1.664B,1.664B,1.195B,0.00,0.00,35.50M,33.60M,-1.90M,2.859B,886.60M,33.60M,35.50M,-1.90M,55.70M,-1.90M,940.40M,206.90M,733.50M,,,,733.50M,733.50M,1.324B,348.40M,975.90M,0.68,,,,0.68,0.68,0.68,,,,0.68,0.68,1.072B,1.076B,0.49
2014-03,4.683B,4.683B,1.223B,3.460B,1.485B,1.485B,1.109B,31.40M,-31.40M,37.80M,34.40M,-3.40M,2.594B,866.20M,34.40M,37.80M,-3.40M,28.00M,-3.40M,890.80M,162.90M,727.90M,,,,727.90M,753.55M,1.277B,348.80M,928.60M,0.68,,,,0.7039,0.68,0.68,,,,0.7038,0.68,1.073B,1.076B,0.49
2013-12,5.809B,5.809B,1.386B,4.422B,1.954B,1.954B,1.475B,-55.20M,-92.50M,39.70M,34.20M,-5.50M,3.429B,993.30M,34.20M,39.70M,-5.50M,-77.90M,-5.50M,909.90M,182.40M,727.50M,,,,727.50M,801.46M,1.301B,351.20M,949.60M,0.6514,,,,0.7202,0.6514,0.6514,,,,0.72,0.6514,1.075B,1.079B,0.49
2013-09,5.773B,5.773B,1.198B,4.574B,1.652B,1.652B,1.377B,0.00,0.00,39.80M,32.20M,-7.60M,3.030B,1.545B,32.20M,39.80M,-7.60M,-23.70M,-7.60M,1.513B,310.30M,1.203B,,,,1.203B,1.203B,1.902B,349.00M,1.553B,1.11,,,,1.11,1.11,1.11,,,,1.11,1.11,1.080B,1.084B,0.49
2013-06,5.930B,5.930B,1.165B,4.764B,1.868B,1.868B,1.330B,63.50M,-63.50M,40.30M,29.70M,-10.60M,3.198B,1.566B,29.70M,40.30M,-10.60M,-41.00M,-10.60M,1.515B,308.70M,1.206B,,,,1.206B,1.257B,1.919B,363.90M,1.555B,1.12,,,,1.167,1.12,1.11,,,,1.157,1.11,1.080B,1.084B,0.49
2013-03,5.602B,5.602B,1.158B,4.444B,1.652B,1.652B,1.348B,21.70M,-21.70M,40.30M,23.60M,-16.70M,3.000B,1.444B,23.60M,40.30M,-16.70M,524.20M,-16.70M,1.951B,403.10M,1.548B,,,,1.548B,1.565B,2.373B,381.50M,1.991B,1.42,,,,1.436,1.42,1.42,,,,1.436,1.42,1.088B,1.092B,0.49
2012-12,5.957B,5.957B,1.248B,4.709B,1.978B,1.978B,1.463B,129.50M,-204.00M,42.50M,26.00M,-16.50M,3.441B,1.268B,26.00M,42.50M,-16.50M,-239.50M,-16.50M,1.012B,185.20M,827.30M,,,,827.30M,993.99M,1.400B,344.60M,1.055B,0.7215,,,,0.8728,0.7215,0.7215,,,,0.8705,0.7215,1.102B,1.119B,0.49
2012-09,5.443B,5.443B,1.204B,4.240B,1.757B,1.757B,1.343B,53.30M,-53.30M,47.00M,25.70M,-21.30M,3.100B,1.140B,25.70M,47.00M,-21.30M,756.50M,-21.30M,1.875B,548.10M,1.327B,,,,1.327B,1.364B,2.291B,369.70M,1.922B,1.18,,,,1.214,1.18,1.18,,,,1.214,1.18,1.124B,1.124B,0.49
2012-06,5.601B,5.601B,1.147B,4.454B,1.931B,1.931B,1.321B,0.00,0.00,43.00M,27.20M,-15.80M,3.252B,1.202B,27.20M,43.00M,-15.80M,-0.70M,-15.80M,1.186B,262.10M,923.60M,,,,923.60M,923.60M,1.591B,362.00M,1.229B,0.83,,,,0.83,0.83,0.83,,,,0.83,0.83,1.113B,1.113B,0.49
2012-03,5.602B,5.602B,1.198B,4.404B,1.848B,1.848B,1.152B,23.80M,-23.80M,45.30M,26.10M,-19.20M,2.999B,1.405B,26.10M,45.30M,-19.20M,-50.60M,-19.20M,1.335B,324.20M,1.011B,,,,1.011B,1.029B,1.766B,385.90M,1.381B,0.91,,,,0.9262,0.91,0.91,,,,0.9262,0.91,1.111B,1.111B,0.49
2011-12,6.047B,6.047B,1.322B,4.725B,,2.133B,1.355B,,-95.80M,50.10M,24.40M,-25.70M,3.489B,1.236B,24.40M,50.10M,-25.70M,-168.70M,-25.70M,1.042B,183.60M,858.20M,,,,858.20M,937.12M,1.411B,318.90M,1.092B,0.77,0.0,,,0.8407,0.77,0.77,0.0,,,0.8407,0.77,1.116B,1.116B,0.49
2011-09,6.148B,6.148B,1.338B,4.810B,,1.918B,1.281B,,-85.80M,45.00M,22.20M,-22.80M,3.199B,1.611B,22.20M,45.00M,-22.80M,-85.80M,-22.80M,1.502B,266.20M,1.236B,,,,1.236B,1.307B,1.906B,358.20M,1.548B,1.11,0.0,,,1.173,1.11,1.11,0.0,,,1.173,1.11,1.114B,1.114B,0.49
2011-06,6.253B,6.253B,1.228B,5.025B,,2.043B,1.261B,,-162.60M,45.10M,17.80M,-27.30M,3.304B,1.721B,17.80M,45.10M,-27.30M,-162.60M,-27.30M,1.531B,334.00M,1.197B,,,,1.197B,1.324B,1.932B,355.60M,1.576B,1.07,0.0,,,1.185,1.07,1.07,0.0,,,1.185,1.07,1.107B,1.107B,0.49
2011-03,5.839B,5.839B,1.180B,4.659B,,1.786B,1.124B,,-445.20M,45.80M,15.50M,-30.30M,2.910B,1.749B,15.50M,45.80M,-30.30M,-445.20M,-30.30M,1.274B,218.00M,1.056B,,,,1.056B,1.425B,1.661B,340.90M,1.320B,0.95,0.0,,,1.2819999999999998,0.95,0.95,0.0,,,1.2819999999999998,0.95,1.111B,1.111B,0.49
2010-12,6.187B,6.187B,1.232B,4.955B,,1.989B,1.438B,,-217.80M,43.20M,14.00M,-29.20M,3.427B,1.528B,14.00M,43.20M,-29.20M,-89.20M,-29.20M,1.410B,240.00M,1.170B,,,,1.170B,1.350B,1.791B,338.50M,1.453B,1.05,,,,1.2109999999999999,1.05,1.05,,,,1.2109999999999999,1.05,1.125B,1.125B,0.49
