,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,96.80M,,-9.20M,,-9.20M,16.00M,9.80M,25.80M,25.80M,14.90M,,,16.70M,,1.50M,29.10M,-52.50M,3.60M,-56.20M,,,70.90M,-5.10M,141.40M,,-16.80M,,-16.80M,-0.50M,-10.30M,,-27.60M,,,-145.00M,-145.00M,52.40M,0.00,52.40M,,-7.60M,-100.20M,,785.80M,13.60M,-6.30M,793.10M,,52.40M,0.00,-145.00M,0.00,,AOR,
2020-09,76.50M,,,-14.40M,-14.40M,15.70M,9.60M,25.30M,25.30M,24.80M,8.60M,,13.30M,,5.00M,-49.10M,87.50M,21.90M,57.40M,,,1.10M,118.80M,266.60M,,-29.30M,,-29.30M,-27.80M,-5.00M,-0.90M,-63.00M,,0.00,-225.00M,-225.00M,24.60M,0.00,24.60M,,-4.00M,-204.40M,,790.50M,-0.80M,-3.90M,785.80M,,24.60M,-164.50M,-60.50M,0.00,,AOR,
2020-06,60.90M,,1.40M,-27.10M,-25.70M,15.00M,9.00M,24.00M,24.00M,10.80M,9.20M,,4.40M,,-1.80M,34.40M,6.00M,1.50M,-19.50M,,,-23.30M,-0.90M,83.00M,,-18.00M,,-18.00M,0.00,-21.30M,-1.80M,-41.10M,,0.00,60.00M,60.00M,19.30M,0.00,19.30M,,-11.50M,67.80M,,689.00M,109.70M,-8.20M,790.50M,,19.30M,60.00M,0.00,0.00,,AOR,
2020-03,43.10M,,0.00,,0.00,14.90M,9.50M,24.40M,24.40M,-10.50M,40.50M,,11.30M,,-10.80M,20.40M,-8.80M,-24.90M,-42.50M,,,-24.00M,-79.80M,21.90M,,-14.40M,,-14.40M,-6.70M,0.00,,-21.10M,,,-22.00M,-22.00M,12.40M,-42.40M,-30.00M,,-7.90M,-59.90M,,742.20M,-59.10M,5.90M,689.00M,,12.40M,72.00M,-94.00M,-42.40M,,AOR,
2019-12,88.90M,,-1.40M,,-1.40M,15.00M,10.20M,25.20M,25.20M,1.80M,,,14.90M,,9.70M,29.50M,-44.90M,6.30M,-74.80M,,,57.40M,-26.50M,112.60M,,-22.60M,,-22.60M,-1.70M,9.20M,,-15.10M,,,132.00M,132.00M,19.70M,-43.80M,-24.10M,,-4.50M,103.40M,,544.10M,200.90M,-2.80M,742.20M,,19.70M,143.00M,-11.00M,-43.80M,,AOR,Restated
2019-09,70.40M,,,0.00,0.00,15.10M,20.50M,35.60M,35.60M,10.00M,0.00,,12.70M,,18.80M,-34.00M,-28.50M,-13.50M,29.70M,,,16.20M,-30.10M,117.80M,,-14.30M,,-14.30M,-90.60M,-3.00M,-0.10M,-108.00M,,0.00,10.00M,10.00M,7.70M,-32.50M,-24.80M,,0.00,-14.80M,,542.90M,-5.00M,6.20M,544.10M,,7.70M,216.50M,-206.50M,-32.50M,,AOR,Restated
2019-06,29.50M,,21.80M,-23.80M,-2.00M,12.90M,7.30M,20.20M,20.20M,1.50M,50.60M,,12.20M,,20.00M,-19.10M,-36.50M,-7.60M,56.00M,,,-0.50M,-7.70M,126.50M,,-18.50M,,-18.50M,-460.60M,-9.50M,-0.50M,-489.10M,,-16.80M,400.00M,383.20M,17.10M,-48.60M,-31.50M,,-0.80M,350.90M,,558.90M,-11.70M,-4.30M,542.90M,,17.10M,830.00M,-446.80M,-48.60M,,AOR,Restated
2019-03,88.40M,,0.20M,,0.20M,13.00M,6.70M,19.70M,19.70M,7.40M,0.00,,12.50M,,-3.40M,-61.50M,-9.50M,-27.90M,-51.50M,,,8.20M,-142.20M,-13.40M,,-11.20M,,-11.20M,0.50M,-11.80M,1.00M,-21.50M,,,0.00,0.00,16.60M,-50.80M,-34.20M,,-5.50M,-39.70M,,628.70M,-74.60M,4.80M,558.90M,,16.60M,0.00,0.00,-50.80M,,AOR,Restated
2018-12,103.90M,,-22.00M,,-22.00M,12.80M,4.70M,17.50M,17.50M,,,,10.50M,,3.70M,2.90M,-32.40M,8.60M,1.00M,,,47.20M,27.30M,140.90M,,-14.00M,,-14.00M,-25.50M,29.90M,-3.50M,-13.10M,,,0.00,0.00,22.00M,-34.80M,-12.80M,,-4.40M,-17.20M,,516.40M,110.60M,1.70M,628.70M,,22.00M,0.00,0.00,-34.80M,,AOR,Restated
2018-09,116.80M,,-5.50M,0.00,-5.50M,13.80M,5.40M,19.20M,19.20M,-2.10M,0.30M,,11.90M,,8.40M,-86.90M,32.10M,25.90M,19.70M,,,-32.90M,-42.10M,108.20M,,-16.90M,,-16.90M,-50.30M,-3.90M,-0.50M,-71.60M,,0.00,-18.30M,-18.30M,3.60M,-50.00M,-46.40M,,-0.70M,-65.40M,,545.10M,-28.80M,0.10M,516.40M,,3.60M,0.00,-18.30M,-50.00M,,AOR,Restated
