,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,146.32M,,,,,24.65M,24.65M,-6.021M,,1.993M,7.927M,,-0.211M,-15.13M,4.163M,7.241M,,,22.30M,18.57M,193.12M,2020-09,-19.21M,,-19.21M,0.00,-0.25M,,,-19.46M,2020-09,0.00,-121.93M,-121.93M,,0.00,0.00,18.62M,-0.868M,-104.18M,,2020-09,69.47M,0.822M,175.59M,,,0.00,-121.93M,0.00,49.93M,,,AOR,
2020-06,149.00M,,,,,23.58M,23.58M,-0.195M,,,7.797M,,0.712M,-19.22M,-14.82M,-4.974M,,,65.14M,26.13M,208.14M,2020-06,-24.56M,,-24.56M,0.00,0.00,,,-24.56M,2020-06,200.00M,-365.80M,-165.80M,,0.00,0.00,10.40M,-6.132M,-161.53M,,2020-06,22.06M,1.843M,105.29M,,,1.89M,-167.69M,0.00,17.96M,,,AOR,
2020-03,111.86M,,,,,23.20M,23.20M,2.853M,,,7.284M,,-0.013M,-38.06M,-14.43M,-1.755M,,,-67.29M,-121.54M,27.87M,2020-03,-49.67M,,-49.00M,-0.668M,,,,-49.67M,2020-03,,198.11M,198.11M,,-182.82M,-182.82M,10.21M,-8.604M,16.90M,,2020-03,-4.898M,-4.033M,81.40M,,,198.11M,,-182.82M,12.02M,,,AOR,
2019-12,90.54M,,,,,22.59M,22.59M,3.759M,,0.968M,16.66M,,0.375M,1.979M,-0.724M,0.776M,,,18.45M,20.48M,155.41M,2019-12,-45.91M,,-45.91M,0.00,-50.00M,,,-95.91M,2019-12,0.00,59.26M,59.26M,,-140.69M,-140.69M,7.367M,-0.324M,-74.39M,,2019-12,-14.89M,1.217M,90.33M,,,0.00,59.26M,-140.69M,-80.04M,,,AOR,
2019-09,108.84M,,,,,22.45M,22.45M,-1.023M,,0.00,9.391M,,0.431M,13.25M,-13.67M,5.211M,,,-12.92M,-8.137M,132.26M,2019-09,-37.33M,,-37.07M,-0.255M,0.00,,,-37.33M,2019-09,0.00,-22.01M,-22.01M,,-85.98M,-85.98M,9.086M,-0.849M,-99.75M,,2019-09,-4.812M,-2.037M,104.00M,,,0.00,-22.01M,-85.98M,23.09M,,,AOR,Restated
2019-06,125.70M,,,,,21.62M,21.62M,0.132M,,,6.898M,,0.185M,-4.278M,-8.39M,-4.729M,,,0.028M,-17.37M,137.10M,2019-06,-33.78M,,-33.78M,0.00,-0.304M,,,-34.08M,2019-06,0.00,-95.50M,-95.50M,,-20.69M,-20.69M,8.102M,-1.403M,-109.49M,,2019-06,-6.471M,0.70M,110.84M,,,0.00,-95.50M,-20.69M,48.23M,,,AOR,Restated
2019-03,102.71M,,,,,21.36M,21.36M,3.294M,,,6.334M,,0.263M,-33.42M,-14.52M,0.699M,,,-52.70M,-99.94M,34.38M,2019-03,-38.21M,,-38.21M,0.00,,,,-38.21M,2019-03,100.00M,-52.02M,47.98M,,-54.30M,-54.30M,11.55M,-8.006M,-2.781M,,2019-03,-6.609M,-0.569M,116.62M,,,100.00M,-52.02M,-54.30M,8.717M,,,AOR,Restated
2018-12,85.68M,,,,,20.60M,20.60M,-11.64M,,0.00,6.209M,,-1.49M,14.64M,1.792M,1.17M,,,17.08M,34.68M,135.65M,2018-12,-39.84M,,-33.11M,-6.735M,0.00,0.00,,-39.84M,2018-12,,-15.54M,-15.54M,,-105.61M,-105.61M,3.606M,-0.265M,-117.81M,,2018-12,-22.00M,-1.081M,123.79M,,,,-15.54M,-105.61M,,,,AOR,Restated
2018-09,93.21M,,,,,20.88M,20.88M,4.212M,,2.629M,6.596M,,0.772M,-0.169M,-10.59M,-1.339M,,,-5.495M,-17.59M,110.71M,2018-09,-31.72M,,-31.26M,-0.45M,-22.50M,0.00,,-54.22M,2018-09,0.00,-22.50M,-22.50M,,-73.83M,-73.83M,12.69M,-0.656M,-84.29M,,2018-09,-27.80M,0.119M,146.88M,,,0.00,-22.50M,-73.83M,,,,AOR,Restated
2018-06,108.68M,,,,,20.89M,20.89M,5.633M,,,6.392M,,0.522M,-11.07M,-8.755M,1.942M,,,-5.404M,-23.29M,118.83M,2018-06,-27.65M,,-27.65M,,0.00,0.00,,-27.65M,2018-06,0.00,29.50M,29.50M,,-106.40M,-106.40M,7.354M,-1.165M,-70.71M,,2018-06,20.47M,-5.141M,174.56M,,,0.00,29.50M,-106.40M,,,,AOR,Restated
2018-03,89.48M,,,,,20.80M,20.80M,3.005M,,,5.96M,,1.091M,-21.80M,-8.07M,-1.939M,,,-53.63M,-85.44M,34.90M,2018-03,-23.73M,,-23.73M,,,284.04M,,260.31M,2018-03,0.00,-247.50M,-247.50M,,-83.49M,-83.49M,14.55M,-8.555M,-324.99M,,2018-03,-29.78M,1.335M,159.23M,,,0.00,-247.50M,-83.49M,,,,AOR,Restated
2017-12,38.29M,,,,,21.52M,21.52M,-7.48M,,0.00,5.755M,,-0.905M,-6.194M,3.904M,4.931M,,,59.42M,62.06M,121.13M,2017-12,-22.01M,,-20.01M,-2.00M,-0.05M,-2.423M,,-24.49M,2017-12,,-31.25M,-31.25M,,-53.87M,-53.87M,7.308M,-0.244M,-78.06M,,2017-12,18.58M,0.075M,187.68M,,,-31.25M,,-53.87M,,,,AOR,Restated
2017-09,70.51M,,,,,20.73M,20.73M,-3.129M,,0.00,6.02M,,0.881M,13.68M,-4.116M,-4.962M,,,11.07M,15.67M,110.68M,2017-09,-16.12M,,-15.80M,-0.32M,0.00,-25.36M,,-41.49M,2017-09,,-17.75M,-17.75M,,-57.90M,-57.90M,8.144M,-0.37M,-67.87M,,2017-09,1.326M,1.718M,169.02M,,,-17.75M,,-57.90M,,,,AOR,Restated
2017-06,85.41M,,,,,20.59M,20.59M,0.75M,,,6.087M,,0.171M,-12.97M,-13.48M,5.109M,,,18.53M,-2.809M,110.19M,2017-06,-14.92M,,-14.92M,,-12.18M,-16.60M,,-43.70M,2017-06,,33.00M,33.00M,,-106.89M,-106.89M,10.64M,-0.156M,-63.40M,,2017-06,3.09M,2.477M,165.98M,,,33.00M,,-106.89M,,,,AOR,Restated
2017-03,69.06M,,,,,20.31M,20.31M,1.941M,,,5.655M,,0.86M,-19.43M,-5.369M,-3.687M,,,-38.06M,-66.55M,31.27M,2017-03,-23.65M,,-23.65M,,-2.349M,-3.016M,,-29.01M,2017-03,,60.00M,60.00M,,-63.91M,-63.91M,12.53M,-7.303M,1.313M,,2017-03,3.575M,1.932M,160.41M,,,60.00M,,-63.91M,,,,AOR,Restated
2016-12,52.37M,,,,,20.24M,20.24M,14.64M,,0.00,4.87M,-4.477M,-0.901M,-5.907M,10.15M,4.613M,,,3.985M,12.84M,100.76M,2016-12,-14.83M,,-14.83M,0.00,-1.964M,2.517M,,-14.28M,2016-12,,123.00M,123.00M,,-212.52M,-212.52M,9.529M,2.743M,-77.25M,,2016-12,9.225M,-4.396M,154.90M,,,38.00M,85.00M,-212.52M,,,,AOR,Restated
