,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,721.79M,721.79M,299.18M,422.61M,108.20M,105.03M,213.23M,37.52M,,8.11M,0.208M,-7.902M,,250.75M,171.86M,0.208M,8.11M,-7.902M,,-7.902M,163.95M,17.63M,146.32M,-0.102M,146.22M,24.65M,172.06M,,2020-09,1.71,1.71,,2020-09,1.69,,,2020-09,85.31M,2020-09,AOR,
2020-06,637.59M,637.59M,258.25M,379.34M,94.18M,60.27M,154.45M,31.64M,,9.495M,0.069M,-9.426M,,186.09M,193.25M,0.069M,9.495M,-9.426M,,-9.426M,183.82M,34.83M,149.00M,-0.056M,148.94M,23.58M,193.32M,,2020-06,1.75,1.75,,2020-06,1.72,,,2020-06,85.13M,2020-06,AOR,
2020-03,626.34M,626.34M,266.75M,359.59M,116.14M,65.81M,181.96M,33.31M,,7.692M,0.14M,-7.552M,,215.26M,144.32M,0.14M,7.692M,-7.552M,,-7.552M,136.77M,24.92M,111.86M,-0.029M,111.83M,23.20M,144.46M,,2020-03,1.31,1.31,,2020-03,1.29,,,2020-03,85.43M,2020-03,AOR,
2019-12,605.45M,605.45M,274.30M,331.15M,105.69M,74.66M,180.36M,35.16M,,7.393M,0.268M,-7.125M,,215.52M,115.63M,0.268M,7.393M,-7.125M,,-7.125M,108.51M,17.96M,90.54M,-0.048M,90.50M,22.59M,115.90M,,2019-12,1.05,1.05,,2019-12,1.04,,,2019-12,85.84M,2019-12,AOR,
2019-09,605.30M,605.30M,260.35M,344.95M,104.55M,66.34M,170.89M,34.26M,,7.09M,0.086M,-7.004M,,205.15M,139.80M,0.086M,7.09M,-7.004M,,-7.004M,132.80M,23.96M,108.84M,-0.001M,108.84M,22.45M,139.89M,,2019-09,1.26,1.26,,2019-09,1.24,,,2019-09,86.20M,2019-09,AOR,Restated
2019-06,620.10M,620.10M,262.25M,357.85M,101.36M,59.96M,161.32M,32.26M,,8.186M,0.033M,-8.153M,,193.58M,164.28M,0.033M,8.186M,-8.153M,,-8.153M,156.12M,30.42M,125.70M,0.005M,125.71M,21.62M,164.31M,,2019-06,1.46,1.46,,2019-06,1.43,,,2019-06,86.22M,2019-06,AOR,Restated
2019-03,576.06M,576.06M,244.46M,331.60M,106.58M,60.36M,166.94M,31.51M,,8.386M,0.04M,-8.346M,,198.46M,133.14M,0.04M,8.386M,-8.346M,,-8.346M,124.79M,22.08M,102.71M,-0.028M,102.68M,21.36M,133.18M,,2019-03,1.19,1.19,,2019-03,1.17,,,2019-03,86.20M,2019-03,AOR,Restated
2018-12,549.39M,549.39M,249.02M,300.36M,95.90M,58.97M,154.88M,30.14M,,8.56M,0.258M,-8.302M,,185.01M,115.35M,0.258M,8.56M,-8.302M,,-8.302M,107.04M,21.37M,85.68M,-0.039M,85.64M,20.60M,115.60M,,2018-12,0.99,0.99,,2018-12,0.98,,,2018-12,86.37M,2018-12,AOR,Restated
2018-09,545.45M,545.45M,239.80M,305.64M,95.15M,63.96M,159.10M,29.19M,,8.453M,0.142M,-8.311M,,188.29M,117.35M,0.142M,8.453M,-8.311M,,-8.311M,109.04M,15.82M,93.21M,0.037M,93.25M,20.88M,117.49M,,2018-09,1.07,1.07,,2018-09,1.05,,,2018-09,86.76M,2018-09,AOR,Restated
2018-06,580.75M,580.75M,248.31M,332.44M,96.26M,61.08M,157.34M,29.51M,,8.457M,0.172M,-8.285M,,186.84M,145.59M,0.172M,8.457M,-8.285M,,-8.285M,137.31M,28.63M,108.68M,0.011M,108.69M,20.89M,145.77M,,2018-06,1.25,1.25,,2018-06,1.23,,,2018-06,87.00M,2018-06,AOR,Restated
