,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,7.647B,7.647B,2.705B,4.942B,2.60B,639.00M,443.00M,-181.00M,470.00M,,-470.00M,149.00M,3.831B,1.111B,,470.00M,-470.00M,-116.00M,-470.00M,525.00M,31.00M,494.00M,,,-5.00M,489.00M,659.32M,1.666B,671.00M,995.00M,0.36,,,0.4867,0.36,0.36,,,0.486,0.36,1.344B,1.352B,0.58
2020-07,6.507B,6.507B,2.505B,4.002B,2.417B,621.00M,440.00M,35.00M,171.00M,,-171.00M,-114.00M,3.364B,638.00M,,171.00M,-171.00M,117.00M,-171.00M,584.00M,93.00M,491.00M,,,-4.00M,487.00M,457.56M,1.424B,669.00M,755.00M,0.36,,,0.3381,0.36,0.36,,,0.3382,0.36,1.342B,1.35B,0.58
2020-04,5.997B,5.997B,2.264B,3.733B,2.359B,568.00M,439.00M,-68.00M,162.00M,,-162.00M,-17.00M,3.349B,384.00M,,162.00M,-162.00M,-17.00M,-162.00M,205.00M,-434.00M,639.00M,,,7.00M,646.00M,695.64M,1.039B,672.00M,367.00M,0.48,,,0.517,0.48,0.48,,,0.5168,0.48,1.341B,1.350B,0.54
2020-01,7.717B,7.717B,2.40B,5.317B,2.587B,573.00M,436.00M,-121.00M,156.00M,,-156.00M,-39.00M,3.557B,1.76B,,156.00M,-156.00M,-25.00M,-156.00M,1.579B,-340.00M,1.919B,,,-4.00M,1.915B,2.003B,2.398B,663.00M,1.735B,1.43,,,1.496,1.43,1.42,,,1.485,1.42,1.340B,1.352B,0.54
2019-10,7.706B,7.706B,2.394B,5.312B,2.62B,603.00M,441.00M,-148.00M,165.00M,,-165.00M,149.00M,3.813B,1.499B,,165.00M,-165.00M,-40.00M,-165.00M,1.294B,-77.00M,1.371B,,,-7.00M,1.364B,1.472B,2.13B,671.00M,1.459B,1.02,,,1.101,1.02,1.01,,,1.09,1.01,1.341B,1.351B,0.54
2019-07,7.493B,7.493B,2.366B,5.127B,2.543B,587.00M,440.00M,-94.00M,609.00M,,-609.00M,-22.00M,3.548B,1.579B,,609.00M,-609.00M,7.00M,-609.00M,977.00M,100.00M,877.00M,,,-13.00M,864.00M,948.41M,2.243B,657.00M,1.586B,0.64,,,0.703,0.64,0.64,,,0.7024,0.64,1.341B,1.352B,0.54
2019-04,8.146B,8.146B,2.483B,5.663B,2.62B,594.00M,437.00M,-86.00M,718.00M,,-718.00M,-20.00M,3.631B,2.032B,,718.00M,-718.00M,-22.00M,-718.00M,1.292B,110.00M,1.182B,,,-10.00M,1.172B,1.251B,2.677B,667.00M,2.01B,0.87,,,0.9287,0.87,0.87,,,0.9282,0.87,1.341B,1.352B,0.5
2019-01,7.546B,7.546B,2.265B,5.281B,2.596B,561.00M,436.00M,-89.00M,243.00M,,-243.00M,57.00M,3.65B,1.631B,,243.00M,-243.00M,-18.00M,-243.00M,1.37B,99.00M,1.271B,,,-2.00M,1.269B,1.352B,2.288B,675.00M,1.613B,0.95,,,1.012,0.95,0.94,,,1.001,0.94,1.343B,1.353B,0.5
2018-10,7.481B,7.481B,2.203B,5.278B,2.605B,590.00M,445.00M,-24.00M,241.00M,,-241.00M,70.00M,3.71B,1.568B,,241.00M,-241.00M,28.00M,-241.00M,1.355B,235.00M,1.12B,,,-5.00M,1.115B,1.135B,2.247B,651.00M,1.596B,0.83,,,0.8447,0.83,0.82,,,0.8346,0.82,1.349B,1.361B,0.5
2018-07,7.384B,7.384B,2.204B,5.18B,2.597B,585.00M,446.00M,-165.00M,242.00M,,-242.00M,151.00M,3.779B,1.401B,,242.00M,-242.00M,21.00M,-242.00M,1.18B,103.00M,1.077B,,,-2.00M,1.075B,1.226B,2.088B,666.00M,1.422B,0.79,,,0.9014,0.79,0.79,,,0.9003,0.79,1.353B,1.365B,0.5
2018-04,8.144B,8.144B,2.398B,5.746B,2.596B,592.00M,448.00M,-7.00M,317.00M,,-317.00M,175.00M,3.811B,1.935B,,317.00M,-317.00M,107.00M,-317.00M,1.725B,260.00M,1.465B,,,-5.00M,1.46B,1.466B,2.706B,664.00M,2.042B,1.08,,,1.084,1.08,1.07,,,1.074,1.07,1.355B,1.366B,0.46
2018-01,7.369B,7.369B,2.194B,5.175B,2.523B,559.00M,461.00M,-68.00M,270.00M,,-270.00M,128.00M,3.671B,1.504B,,270.00M,-270.00M,-207.00M,-270.00M,1.027B,2.419B,-1.392B,,,3.00M,-1.389B,-1.339B,1.963B,666.00M,1.297B,-1.03,,,-0.9933,-1.03,-1.03,,,-0.9933,-1.03,1.354B,1.354B,0.46
