,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.395B,4.395B,1.971B,2.424B,,103.00M,431.00M,111.00M,7.00M,-104.00M,,1.558B,866.00M,7.00M,111.00M,-104.00M,-987.00M,-104.00M,-225.00M,-35.00M,-190.00M,,,185.00M,-5.00M,-255.80M,909.00M,1.023B,-114.00M,,-0.0026,,,-0.1305,-0.0026,,-0.0026,,,-0.1297,-0.0026,,1.961B,1.972B,0.35,,AOR,
2020-09,4.785B,4.785B,2.033B,2.752B,,11.00M,454.00M,208.00M,7.00M,-201.00M,,1.733B,1.019B,7.00M,208.00M,-201.00M,434.00M,-201.00M,1.252B,129.00M,1.123B,,,106.00M,1.229B,1.127B,2.798B,1.338B,1.46B,,0.6275,,,0.5753,0.6275,,0.625,,,0.5731,0.625,,1.960B,1.969B,0.35,,AOR,
2020-06,4.204B,4.204B,1.635B,2.569B,,37.00M,419.00M,320.00M,11.00M,-309.00M,,1.40B,1.169B,11.00M,320.00M,-309.00M,454.00M,-309.00M,1.314B,185.00M,1.129B,,,146.00M,1.275B,1.054B,2.666B,1.032B,1.634B,,0.65,,,0.5373,0.65,,0.6475,,,0.5353,0.6475,,1.959B,1.967B,0.35,,AOR,
2020-03,4.613B,4.613B,1.651B,2.962B,,295.00M,406.00M,1.311B,13.00M,-1.298B,,1.254B,1.708B,13.00M,1.311B,-1.298B,-337.00M,-1.298B,73.00M,-235.00M,308.00M,,,113.00M,421.00M,427.57M,2.306B,922.00M,1.384B,,0.215,,,0.2184,0.215,,0.215,,,0.2183,0.215,,1.957B,1.967B,0.35,,AOR,
2019-12,4.588B,4.588B,2.119B,2.469B,,44.00M,417.00M,188.00M,13.00M,-175.00M,,1.62B,849.00M,13.00M,188.00M,-175.00M,362.00M,-175.00M,1.036B,192.00M,844.00M,,,131.00M,975.00M,858.50M,2.265B,1.041B,1.224B,,0.4985,,,0.4389,0.4985,,0.4975,,,0.4382,0.4975,,1.955B,1.966B,0.3125,,AOR,Restated
2019-09,5.572B,5.572B,2.129B,3.443B,,12.00M,553.00M,746.00M,16.00M,-730.00M,,1.848B,1.595B,16.00M,746.00M,-730.00M,-9.00M,-730.00M,856.00M,58.00M,798.00M,,,81.00M,879.00M,861.29M,2.915B,1.313B,1.602B,,0.455,,,0.4458,0.455,,0.4525,,,0.4434,0.4525,,1.928B,1.944B,0.3125,,AOR,Restated
2019-06,4.97B,4.97B,1.974B,2.996B,,366.00M,422.00M,601.00M,13.00M,-588.00M,,1.603B,1.393B,13.00M,601.00M,-588.00M,458.00M,-588.00M,1.263B,124.00M,1.139B,,,95.00M,1.234B,861.47M,3.126B,1.262B,1.864B,,0.645,,,0.4505,0.645,,0.64,,,0.4471,0.64,,1.916B,1.931B,0.3125,,AOR,Restated
2019-03,4.075B,4.075B,1.782B,2.293B,,52.00M,412.00M,714.00M,12.00M,-702.00M,,1.184B,1.109B,12.00M,714.00M,-702.00M,273.00M,-702.00M,680.00M,74.00M,606.00M,,,74.00M,680.00M,508.93M,2.256B,862.00M,1.394B,,0.355,,,0.2656,0.355,,0.3525,,,0.2637,0.3525,,1.913B,1.927B,0.3125,,AOR,Restated
2018-12,4.39B,4.39B,1.818B,2.572B,,60.00M,402.00M,710.00M,12.00M,-698.00M,,1.497B,1.075B,12.00M,710.00M,-698.00M,-89.00M,-698.00M,288.00M,-26.00M,314.00M,,,108.00M,422.00M,511.79M,2.143B,1.145B,998.00M,,0.2207,,,0.2677,0.2207,,0.22,,,0.2667,0.22,,1.911B,1.924B,0.2775,,AOR,Restated
2018-09,4.416B,4.416B,1.913B,2.503B,,30.00M,409.00M,168.00M,11.00M,-157.00M,,1.541B,962.00M,11.00M,168.00M,-157.00M,261.00M,-157.00M,1.066B,125.00M,941.00M,,,64.00M,1.005B,924.65M,2.417B,1.183B,1.234B,,0.53,,,0.4875,0.53,,0.525,,,0.4829,0.525,,1.892B,1.910B,0.2775,,AOR,Restated
