,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.105B,,1.105B,2.263B,711.00M,2.974B,1.552B,,1.181B,7.382B,,10.64B,118.10B,-26.30B,91.80B,4.254B,,4.254B,13.51B,1.647B,,3.672B,120.30B,127.68B,,4.615B,4.615B,1.51B,6.125B,,1.551B,4.596B,6.147B,6.147B,474.00M,474.00M,2.812B,15.56B,3.057B,41.94B,,41.94B,8.02B,8.02B,,1.199B,8.416B,0.00,2.242B,67.20B,82.76B,,20.00M,25.36B,11.22B,,-92.00M,36.51B,,AOR,
2020-09,1.961B,,1.961B,2.572B,705.00M,3.277B,1.414B,,1.933B,9.026B,,12.28B,115.38B,-26.52B,88.86B,,,4.214B,14.32B,1.622B,,3.523B,117.36B,126.38B,,4.744B,4.744B,2.298B,7.042B,,0.00,5.502B,5.502B,5.502B,494.00M,494.00M,2.674B,15.71B,3.554B,42.79B,,42.79B,8.237B,8.237B,,1.58B,4.775B,165.00M,2.236B,68.61B,84.32B,,5.00M,26.05B,11.38B,,-152.00M,37.29B,,AOR,
2020-06,1.009B,,1.009B,2.391B,476.00M,2.867B,1.367B,,1.63B,7.581B,,10.55B,112.20B,-25.87B,86.33B,4.213B,,4.213B,13.76B,1.762B,,3.569B,114.38B,121.96B,,4.097B,4.097B,1.891B,5.988B,,101.00M,3.776B,3.877B,3.877B,497.00M,497.00M,2.003B,12.36B,3.512B,42.67B,,42.67B,8.07B,8.07B,,1.715B,4.501B,291.00M,2.011B,68.02B,80.39B,,5.00M,25.51B,11.72B,,-163.00M,37.07B,,AOR,
2020-03,3.335B,,3.335B,2.068B,553.00M,2.621B,1.371B,,1.404B,9.725B,,10.20B,109.76B,-25.88B,83.87B,4.201B,,4.201B,12.98B,1.936B,,3.21B,110.91B,120.64B,,3.35B,3.35B,1.598B,4.948B,,1.576B,4.514B,6.09B,6.09B,502.00M,502.00M,2.182B,13.72B,3.479B,41.12B,,41.12B,8.082B,8.082B,,1.856B,4.472B,238.00M,1.987B,66.04B,79.76B,,5.00M,24.92B,11.67B,,-192.00M,36.40B,,AOR,
2019-12,600.00M,,600.00M,2.282B,525.00M,2.807B,1.328B,,1.911B,7.408B,,9.33B,107.18B,-25.17B,82.01B,4.204B,,4.204B,14.41B,1.624B,,3.314B,110.28B,117.69B,,3.631B,3.631B,1.71B,5.341B,,2.516B,2.524B,5.04B,5.04B,499.00M,499.00M,2.973B,13.85B,3.457B,37.54B,,37.54B,8.361B,8.361B,,863.00M,4.355B,487.00M,1.831B,62.48B,76.33B,,20.00M,25.20B,11.96B,,-169.00M,37.00B,,AOR,Restated
2019-09,1.131B,,1.131B,2.717B,613.00M,3.33B,1.451B,,1.187B,7.679B,,8.891B,103.74B,-24.75B,79.00B,4.129B,,4.129B,13.81B,1.649B,,3.22B,106.54B,114.22B,,2.838B,2.838B,2.153B,4.991B,,2.515B,3.128B,5.643B,5.643B,492.00M,492.00M,2.188B,13.31B,3.438B,36.14B,,36.14B,8.109B,8.109B,,1.233B,3.582B,66.00M,1.881B,60.73B,74.05B,,5.00M,24.84B,11.93B,,-181.00M,36.59B,,AOR,Restated
2019-06,1.019B,,1.019B,2.553B,568.00M,3.121B,1.427B,,1.099B,7.471B,,7.236B,100.05B,-23.92B,76.14B,3.496B,,3.496B,13.75B,1.626B,,3.187B,103.08B,110.55B,,2.598B,2.598B,1.715B,4.313B,,4.382B,3.388B,7.77B,7.77B,487.00M,487.00M,1.842B,14.41B,3.383B,33.95B,,33.95B,8.086B,8.086B,,892.00M,3.516B,68.00M,1.571B,57.71B,72.13B,,5.00M,24.55B,10.54B,,-191.00M,34.91B,,AOR,Restated
2019-03,972.00M,,972.00M,2.191B,783.00M,2.974B,1.41B,,1.058B,8.222B,,7.198B,98.16B,-23.36B,74.79B,3.488B,,3.488B,13.10B,1.339B,,3.036B,100.81B,109.03B,,2.398B,2.398B,1.328B,3.726B,,2.301B,8.029B,10.33B,10.33B,484.00M,484.00M,3.386B,17.93B,3.35B,29.88B,,29.88B,8.05B,8.05B,,616.00M,3.614B,71.00M,1.559B,53.26B,71.19B,,5.00M,23.92B,10.52B,,-213.00M,34.23B,,AOR,Restated
2018-12,638.00M,,638.00M,2.302B,667.00M,2.969B,1.223B,,999.00M,6.393B,,8.357B,92.08B,-21.75B,70.33B,891.00M,708.00M,1.599B,12.63B,1.355B,,6.813B,97.31B,103.70B,,2.386B,2.386B,1.672B,4.058B,,2.749B,8.181B,10.93B,10.93B,445.00M,445.00M,2.13B,17.56B,3.135B,26.78B,,26.78B,7.367B,7.367B,,516.00M,3.269B,468.00M,1.449B,48.73B,66.29B,,5.00M,23.84B,10.49B,,-188.00M,34.14B,,AOR,Restated
2018-09,497.00M,,497.00M,2.454B,665.00M,3.119B,1.083B,,917.00M,8.349B,,8.708B,90.32B,-21.75B,68.57B,,,,12.85B,1.375B,,3.548B,90.25B,98.60B,,3.00B,3.00B,1.836B,4.836B,,2.46B,3.079B,5.539B,5.539B,448.00M,448.00M,1.984B,12.81B,3.065B,27.05B,,27.05B,7.42B,7.42B,,522.00M,3.086B,,1.214B,48.46B,61.26B,,5.00M,23.94B,10.47B,,-158.00M,34.25B,,AOR,Restated
2018-06,478.00M,,478.00M,2.23B,661.00M,2.891B,1.159B,,898.00M,5.885B,,7.347B,89.75B,-21.09B,68.66B,,,,12.35B,1.46B,,3.142B,89.60B,95.49B,,2.298B,2.298B,1.423B,3.721B,,2.392B,1.818B,4.21B,4.21B,445.00M,445.00M,1.808B,10.18B,3.048B,28.36B,,28.36B,7.162B,7.162B,,491.00M,3.151B,,1.231B,49.13B,59.32B,,5.00M,23.45B,9.736B,,-173.00M,33.02B,,AOR,Restated
2018-03,550.00M,,550.00M,1.881B,508.00M,2.389B,1.205B,,891.00M,5.612B,,6.67B,88.12B,-20.92B,67.20B,,,,12.81B,1.441B,,3.17B,88.67B,94.28B,,1.748B,1.748B,1.493B,3.241B,,2.964B,1.173B,4.137B,4.137B,450.00M,450.00M,1.751B,9.579B,2.998B,28.06B,,28.06B,7.007B,7.007B,,469.00M,3.287B,,1.26B,48.71B,58.29B,,5.00M,23.18B,9.698B,,-178.00M,32.71B,,AOR,Restated
2017-12,1.714B,,1.714B,2.22B,517.00M,2.737B,1.273B,,968.00M,7.181B,,6.679B,93.56B,-21.28B,72.29B,764.00M,1.287B,2.051B,8.324B,1.315B,,2.907B,90.78B,97.96B,,3.235B,3.235B,1.654B,4.889B,,1.687B,1.928B,3.615B,3.615B,448.00M,448.00M,2.291B,11.24B,3.031B,31.41B,,31.41B,5.764B,11.17B,,535.00M,1.295B,0.00,2.281B,57.19B,68.43B,,5.00M,19.02B,9.10B,,111.00M,28.24B,,AOR,Restated
