,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-12,394.00M,,,,187.00M,187.00M,,,,26.00M,188.00M,-149.00M,,-213.00M,14.00M,,,-160.00M,,447.00M,,-96.00M,,,-278.00M,,-18.00M,-392.00M,,-251.00M,1.061B,810.00M,,-500.00M,-500.00M,-311.00M,-311.00M,-30.00M,-31.00M,,3.062B,24.00M,10.00M,3.096B,,,,-251.00M,-500.00M,,AOR,Restated
2017-09,502.00M,,,,182.00M,182.00M,,,,-115.00M,-144.00M,157.00M,,119.00M,12.00M,,,144.00M,-51.00M,854.00M,,-176.00M,,,0.00,,-26.00M,-177.00M,,-1.00M,-499.00M,-500.00M,,0.00,0.00,-309.00M,-309.00M,-5.00M,-814.00M,,3.14B,-137.00M,59.00M,3.062B,,,,-500.00M,0.00,,AOR,Restated
2017-06,419.00M,,,,171.00M,171.00M,,,,42.00M,-71.00M,12.00M,,236.00M,-35.00M,,,142.00M,-126.00M,648.00M,,-106.00M,,,-2.935B,,-30.00M,-3.10B,,-1.00M,1.092B,1.091B,,-280.00M,-280.00M,-309.00M,-309.00M,3.00M,505.00M,,5.039B,-1.947B,48.00M,3.14B,,,,1.091B,-280.00M,,AOR,Restated
2017-03,384.00M,,,,140.00M,140.00M,,,,65.00M,-22.00M,-34.00M,,67.00M,1.00M,,,12.00M,-429.00M,172.00M,,-94.00M,,,0.00,,-30.00M,1.033B,,-1.00M,-3.00M,-4.00M,,-120.00M,-120.00M,-310.00M,-310.00M,72.00M,-362.00M,,4.151B,843.00M,45.00M,5.039B,,,,-4.00M,-120.00M,,AOR,Restated
2016-12,370.00M,,,,143.00M,143.00M,,,,35.00M,212.00M,-103.00M,,-257.00M,10.00M,,,-138.00M,-172.00M,238.00M,,-100.00M,,,-16.00M,,-20.00M,3.758B,,-251.00M,-2.315B,-2.566B,,0.00,0.00,-311.00M,-311.00M,-43.00M,-2.92B,,3.182B,1.076B,-107.00M,4.151B,,,,-2.566B,0.00,,AOR,Restated
2016-09,486.00M,,-36.00M,-36.00M,142.00M,142.00M,,,,91.00M,-91.00M,142.00M,,145.00M,-24.00M,,,172.00M,102.00M,957.00M,,-146.00M,,,-70.00M,,-15.00M,-253.00M,,-2.00M,-636.00M,-638.00M,,-46.00M,-46.00M,-305.00M,-305.00M,-6.00M,-995.00M,,3.516B,-291.00M,-43.00M,3.182B,,,-602.00M,-36.00M,-46.00M,,AOR,Restated
2016-06,451.00M,,-30.00M,-30.00M,140.00M,140.00M,,,,46.00M,-59.00M,-6.00M,,66.00M,20.00M,,,21.00M,90.00M,718.00M,,-91.00M,,,-51.00M,,-26.00M,-185.00M,,1.00M,-12.00M,-11.00M,,0.00,0.00,-306.00M,-306.00M,-8.00M,-325.00M,,3.322B,208.00M,-14.00M,3.516B,,,335.00M,-346.00M,0.00,,AOR,Restated
2016-03,375.00M,,,,142.00M,142.00M,,,,58.00M,-46.00M,-10.00M,,129.00M,-18.00M,,,55.00M,89.00M,719.00M,,-86.00M,,,-5.00M,,84.00M,-25.00M,,-2.00M,-157.00M,-159.00M,,-48.00M,-48.00M,-306.00M,-306.00M,-1.00M,-514.00M,,3.109B,180.00M,33.00M,3.322B,,,670.00M,-829.00M,-48.00M,,AOR,Restated
2015-12,307.00M,,,,144.00M,144.00M,,,,90.00M,358.00M,-68.00M,,-463.00M,18.00M,,,-155.00M,101.00M,487.00M,,-124.00M,,,-6.00M,,-13.00M,-163.00M,,-251.00M,861.00M,610.00M,,-507.00M,-507.00M,-310.00M,-310.00M,-4.00M,-211.00M,,3.054B,113.00M,-58.00M,3.109B,,,861.00M,-251.00M,-507.00M,,AOR,Restated
2015-09,458.00M,-83.00M,-32.00M,-115.00M,-40.00M,-40.00M,-64.00M,,,24.00M,-232.00M,254.00M,,290.00M,37.00M,,,349.00M,,1.101B,,-72.00M,,,339.00M,,-135.00M,44.00M,,0.00,-600.00M,-600.00M,,-460.00M,-460.00M,-309.00M,-309.00M,-7.00M,-1.376B,,3.393B,-231.00M,-108.00M,3.054B,,,-384.00M,-216.00M,-460.00M,,AOR,Restated
2015-06,574.00M,0.00,-21.00M,-21.00M,201.00M,201.00M,-360.00M,,,105.00M,65.00M,-14.00M,,86.00M,-137.00M,,,0.00,,499.00M,,-157.00M,,,-97.00M,,0.00,-254.00M,,747.00M,91.00M,838.00M,,-690.00M,-690.00M,-313.00M,-313.00M,8.00M,-157.00M,,3.256B,88.00M,49.00M,3.393B,,,1.493B,-655.00M,-690.00M,,AOR,Restated
