,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-06,486.00M,,,188.00M,160.00M,160.00M,,,,-217.00M,-135.00M,-60.00M,,64.00M,8.00M,126.00M,,3.00M,,620.00M,,-140.00M,,-140.00M,-439.00M,,15.00M,-564.00M,,,,480.00M,,-300.00M,-300.00M,,-183.00M,23.00M,20.00M,,604.00M,76.00M,15.00M,695.00M,,,,,-300.00M,,,
2006-03,434.00M,,,,153.00M,153.00M,,,,75.00M,-90.00M,-209.00M,,-4.00M,18.00M,-91.00M,263.00M,-113.00M,,549.00M,,-113.00M,,-113.00M,-212.00M,,18.00M,-307.00M,,,,-47.00M,,-70.00M,-70.00M,,-184.00M,32.00M,-269.00M,,624.00M,-27.00M,7.00M,604.00M,,,,,-70.00M,,,
2005-12,399.00M,,,,141.00M,141.00M,,,,42.00M,,,,,,,-263.00M,-263.00M,,319.00M,,-101.00M,,-101.00M,-57.00M,,-5.00M,-163.00M,,,,-516.00M,,-41.00M,-41.00M,,-183.00M,-17.00M,-757.00M,,1.233B,-601.00M,-8.00M,624.00M,,,,,-41.00M,,,
2005-09,419.00M,,,-145.00M,142.00M,142.00M,,,,194.00M,-84.00M,66.00M,,219.00M,-37.00M,105.00M,,269.00M,,879.00M,,-168.00M,,-168.00M,-174.00M,,-23.00M,-365.00M,,,,-509.00M,,-152.00M,-152.00M,,-172.00M,-10.00M,-843.00M,,1.564B,-329.00M,-2.00M,1.233B,,,,,-152.00M,,,
2005-06,358.00M,,,145.00M,144.00M,144.00M,,,,-166.00M,-80.00M,53.00M,,-14.00M,-4.00M,170.00M,,125.00M,,606.00M,,-118.00M,,-118.00M,-95.00M,,-5.00M,-218.00M,,,,57.00M,,-242.00M,-242.00M,,-173.00M,-5.00M,-363.00M,,1.606B,25.00M,-67.00M,1.564B,,,,,-242.00M,,,
2005-03,348.00M,,,,139.00M,139.00M,,,,35.00M,-97.00M,-111.00M,,-44.00M,-3.00M,-29.00M,203.00M,-81.00M,,441.00M,,-140.00M,,-140.00M,-69.00M,,-6.00M,-215.00M,,,,272.00M,,-217.00M,-217.00M,,-174.00M,15.00M,-104.00M,,1.485B,122.00M,-1.00M,1.606B,,,,,-217.00M,,,
2004-12,297.00M,,,,137.00M,137.00M,,,,30.00M,,,,,,,-203.00M,-203.00M,,261.00M,,-92.00M,,-92.00M,-28.00M,,-10.00M,-130.00M,,,,126.00M,,-10.00M,-10.00M,,-175.00M,,-59.00M,,1.346B,72.00M,67.00M,1.485B,,,,,-10.00M,,,
2004-09,354.00M,,,-28.00M,147.00M,147.00M,,,,80.00M,23.00M,13.00M,-129.00M,169.00M,49.00M,48.00M,,173.00M,,726.00M,,-170.00M,-102.00M,-272.00M,-396.00M,,97.00M,-571.00M,,,,-4.00M,,-40.00M,-40.00M,,-169.00M,,-213.00M,,1.386B,-58.00M,18.00M,1.346B,,,,,-40.00M,,,
2004-06,341.00M,,,-5.00M,140.00M,140.00M,,,,,-21.00M,12.00M,129.00M,-8.00M,156.00M,11.00M,,279.00M,,755.00M,,-83.00M,69.00M,-14.00M,-18.00M,,,-32.00M,,,,-215.00M,-21.00M,-81.00M,-102.00M,,-169.00M,,-486.00M,,1.165B,237.00M,-16.00M,1.386B,,-21.00M,,,-81.00M,,,
2004-03,318.00M,,,33.00M,139.00M,139.00M,,,,-36.00M,-157.00M,25.00M,,69.00M,-8.00M,68.00M,,-3.00M,,451.00M,,-80.00M,33.00M,-47.00M,,,-1.00M,-48.00M,,,,-98.00M,10.00M,,10.00M,,-168.00M,,-256.00M,,1.009B,147.00M,9.00M,1.165B,,10.00M,,,,,,
2003-12,244.00M,,,,131.00M,131.00M,,,,36.00M,21.00M,-58.00M,,-107.00M,5.00M,12.00M,,-127.00M,,284.00M,,-67.00M,,-67.00M,,,1.00M,-66.00M,,,,224.00M,11.00M,,11.00M,,-169.00M,,66.00M,,696.00M,284.00M,29.00M,1.009B,,11.00M,,,,,,
2003-09,276.00M,,,81.00M,128.00M,128.00M,,,,,13.00M,102.00M,,190.00M,-7.00M,57.00M,,355.00M,,840.00M,,-124.00M,-1.00M,-125.00M,-5.00M,,,-130.00M,,,,-563.00M,4.00M,,4.00M,,-165.00M,,-724.00M,,709.00M,-14.00M,1.00M,696.00M,,4.00M,,,,,,
2003-06,360.00M,,,-270.00M,142.00M,142.00M,,,,,-30.00M,73.00M,,-50.00M,18.00M,-33.00M,,-22.00M,,210.00M,,-82.00M,4.00M,-78.00M,0.00,,,-78.00M,,,,106.00M,3.00M,,3.00M,,-166.00M,,-57.00M,,606.00M,75.00M,28.00M,709.00M,,3.00M,,,,,,
2003-03,236.00M,,,31.00M,137.00M,137.00M,,,,4.00M,-118.00M,12.00M,,69.00M,-11.00M,14.00M,,-34.00M,,374.00M,,-66.00M,-6.00M,-72.00M,-1.00M,,,-73.00M,,,,26.00M,2.00M,,2.00M,,-165.00M,-1.00M,-138.00M,,437.00M,163.00M,6.00M,606.00M,,2.00M,,,,,,
2002-12,217.00M,,,,127.00M,127.00M,,,,-4.00M,143.00M,-26.00M,,-152.00M,12.00M,-10.00M,,-33.00M,,307.00M,,-65.00M,42.00M,-23.00M,,,,-23.00M,,,,-72.00M,2.00M,,2.00M,,-165.00M,1.00M,-234.00M,,381.00M,50.00M,6.00M,437.00M,,2.00M,,,,,,
2002-09,248.70M,,,42.80M,131.60M,131.60M,,,,,155.00M,265.00M,,101.00M,12.00M,-101.00M,-215.60M,216.40M,,639.50M,,-133.00M,59.90M,-73.10M,-23.20M,,,-96.30M,,,,-540.60M,,-16.00M,-16.00M,,-163.00M,,-719.60M,,548.00M,-176.40M,9.10M,381.00M,,,,,-16.00M,,,
2002-06,-656.10M,,,781.60M,140.50M,140.50M,,,,,,,,,,,222.50M,222.50M,,488.50M,,-79.00M,64.10M,-14.90M,-12.50M,,,-27.40M,,,,-218.50M,,2.70M,2.70M,,-163.10M,,-378.90M,,448.10M,82.20M,17.70M,548.00M,,,,,2.70M,,,
2002-03,1.212B,,,-1.039B,137.90M,137.90M,,,,63.00M,-181.00M,-10.00M,,153.00M,-8.00M,117.00M,-6.90M,64.10M,,438.00M,,-78.00M,-20.00M,-98.00M,-5.30M,,,-103.30M,,,,-194.90M,,11.30M,11.30M,,-162.90M,,-346.50M,,467.00M,-11.80M,-6.80M,448.10M,,,,,11.30M,,,
2001-12,-683.00M,,,938.00M,131.00M,131.00M,,,,-63.00M,181.00M,10.00M,,-153.00M,8.00M,-117.00M,,-71.00M,,252.00M,,-94.00M,153.00M,59.00M,-713.00M,,,-654.00M,,,,692.00M,,-18.00M,-18.00M,,-163.00M,,511.00M,,356.00M,109.00M,2.00M,467.00M,,,,,-18.00M,,,
2001-09,-14.50M,,,-154.00M,172.80M,172.80M,,,,196.10M,,,,,,,375.70M,494.70M,,695.10M,,-144.20M,36.10M,-108.10M,-45.60M,,,-154.70M,,,,2.40M,,-454.90M,-454.90M,,-162.20M,,-614.70M,,423.20M,-74.30M,6.90M,356.00M,,,,,-454.90M,,,
2001-06,330.40M,,,107.00M,184.00M,184.00M,,,,-194.10M,,,,,,,-87.90M,-87.90M,,339.40M,,-118.60M,128.60M,10.00M,-15.40M,,,-5.40M,,,,-95.60M,,-41.90M,-41.90M,,-163.70M,,-301.20M,,403.60M,32.80M,-13.20M,423.20M,,,,,-41.90M,,,
2001-03,358.70M,,,-54.80M,180.80M,180.80M,,,,,,,,,,,-88.30M,-88.30M,,396.40M,,-140.90M,-9.90M,-150.80M,-83.70M,,,-234.50M,,,,81.60M,-3.10M,-37.20M,-40.30M,,-164.10M,,-122.80M,,359.70M,39.10M,4.80M,403.60M,,-3.10M,,,-37.20M,,,
2000-12,357.40M,,,-52.20M,171.40M,171.40M,,,,,,,,,,,-199.50M,-199.50M,,277.10M,,-150.30M,52.20M,-98.10M,-55.30M,,,-153.40M,,,,119.60M,3.10M,,3.10M,,-164.00M,,-41.30M,,280.80M,82.40M,-3.50M,359.70M,,3.10M,,,,,,
2000-09,371.00M,,,-156.20M,172.00M,172.00M,,,,102.30M,,,,,,,309.60M,204.70M,,693.80M,,-236.40M,168.60M,-67.80M,-62.00M,,-63.50M,-193.30M,,,,-461.10M,,7.90M,7.90M,,-152.70M,,-605.90M,,402.50M,-105.40M,-16.30M,280.80M,,,,,7.90M,,,
2000-06,373.70M,,,45.80M,170.90M,170.90M,,,,-102.30M,,,,,,,-31.70M,-31.70M,,456.40M,,-158.20M,-31.50M,-189.70M,-744.50M,,63.50M,-870.70M,,,,598.20M,,7.70M,7.70M,,-152.60M,,453.30M,,373.40M,39.00M,-9.90M,402.50M,,,,,7.70M,,,
2000-03,352.80M,,,-29.80M,172.10M,172.10M,,,,,,,,,,,-108.70M,-108.70M,,386.40M,,-171.80M,31.50M,-140.30M,-1.161B,,1.90M,-1.299B,,,,1.335B,,-232.50M,-232.50M,,-153.40M,,949.10M,,339.50M,36.40M,-2.50M,373.40M,,,,,-232.50M,,,
1999-12,324.90M,,,-16.00M,163.50M,163.50M,,,,,,,,,,,-169.20M,-169.20M,,303.20M,,-125.60M,,-125.60M,-4.60M,,-1.90M,-132.10M,,,,221.90M,,-159.30M,-159.30M,,-154.50M,,-91.90M,,266.10M,79.20M,-5.80M,339.50M,,,,,-159.30M,,,
1999-09,340.20M,,,,156.30M,156.30M,,,,103.80M,,,,,,,232.10M,267.80M,,691.80M,,-182.60M,,32.90M,-78.20M,,-127.50M,-172.80M,,,,-391.30M,,-44.00M,-44.00M,,-141.10M,,-576.40M,,332.80M,-57.40M,-9.30M,266.10M,,,,,-44.00M,,,
1999-06,345.10M,,,,164.00M,164.00M,,,,-68.20M,,,,,,,31.50M,31.50M,,472.40M,,421.80M,,421.80M,-1.124B,,127.50M,-574.50M,,,,327.40M,,-63.10M,-63.10M,,-141.20M,,123.10M,,305.60M,21.00M,6.20M,332.80M,,,,,-63.10M,,,
1999-03,325.90M,,,,317.20M,317.20M,,,,-8.80M,,,,,,,-263.60M,-263.60M,,370.70M,,-694.00M,,-694.00M,468.00M,,-0.80M,-226.80M,,,,116.60M,,-122.30M,-122.30M,,-141.70M,,-147.40M,,321.70M,-3.50M,-12.60M,305.60M,,,,,-122.30M,,,
1998-12,302.40M,,,,,,,,,-26.80M,,,,,,,,,,275.60M,,-136.80M,,-136.80M,-468.00M,,0.80M,-604.00M,,,,664.70M,,-94.30M,-94.30M,,-142.40M,,428.00M,,209.70M,99.60M,12.40M,321.70M,,,,,-94.30M,,,
1998-09,313.90M,,,,,,,,,-159.20M,,,,,,,,,,636.20M,,-194.50M,,-194.50M,-363.50M,,43.40M,-514.60M,,,,-77.00M,,-122.00M,-122.00M,,-129.70M,,-328.70M,,413.70M,-207.10M,3.10M,209.70M,,,,,-122.00M,,,
1998-06,324.80M,,,,,,,,,103.90M,,,,,,,,,,428.70M,,-142.90M,,-142.90M,-101.70M,,31.80M,-212.80M,,,,67.10M,,-166.50M,-166.50M,,-130.40M,,-229.80M,,426.50M,-13.90M,1.10M,413.70M,,,,,-166.50M,,,
1998-03,307.60M,,,,,,,,,33.10M,,,,,,,,,,340.70M,,-152.70M,,-152.70M,-107.70M,,-5.10M,-265.50M,,,,76.00M,,-58.50M,-58.50M,,-130.70M,,-113.20M,,464.20M,-38.00M,0.30M,426.50M,,,,,-58.50M,,,
1997-12,282.30M,,,,,,,,,-36.30M,,,,,,,,,,246.00M,,-112.50M,,-112.50M,,,6.10M,-106.40M,,,,398.80M,,-152.40M,-152.40M,,-130.20M,,116.20M,,221.10M,255.80M,-12.70M,464.20M,,,,,-152.40M,,,
1997-09,290.00M,,,,,,,,,-45.80M,,,,,,,,,,620.90M,,-202.30M,,-202.30M,-279.10M,,45.10M,-436.30M,,,,-47.30M,,-112.20M,-112.20M,,-119.60M,,-279.10M,,325.40M,-94.50M,-9.80M,221.10M,,,,,-112.20M,,,
1997-06,296.60M,,,,,,,,,168.20M,,,,,,,,,,464.80M,,-146.00M,,-146.00M,-17.40M,,-12.00M,-175.40M,,,,-19.10M,,-112.00M,-112.00M,,-119.80M,,-250.90M,,284.20M,38.50M,2.70M,325.40M,,,,,-112.00M,,,
1997-03,280.40M,,,,,,,,,-51.60M,,,,,,,,,,228.80M,,-113.40M,,-113.40M,-8.10M,,66.80M,-54.70M,,,,159.30M,,-92.90M,-92.90M,,-120.40M,,-54.00M,,181.90M,120.10M,-17.80M,284.20M,,,,,-92.90M,,,
1996-12,254.90M,,,,,,,,,-70.80M,,,,,,,,,,184.10M,,-113.70M,,-113.70M,-14.60M,,-65.90M,-194.20M,,,,221.60M,,-59.50M,-59.50M,,-120.90M,,41.20M,,149.00M,31.10M,1.80M,181.90M,,,,,-59.50M,,,
1996-09,266.20M,,,,,,,,,70.10M,,,,,,,,,,635.10M,,-168.70M,,-168.70M,,,75.70M,-93.00M,,,,-457.10M,,-48.60M,-48.60M,,-109.70M,,-615.40M,,213.10M,-73.30M,9.20M,149.00M,,,,,-48.60M,,,
1996-06,266.90M,,,,,,,,,77.10M,,,,,,,,,,344.00M,,-126.00M,,-126.00M,,,-11.20M,-137.20M,,,,-63.50M,,-12.30M,-12.30M,,-109.80M,,-185.60M,,194.60M,21.20M,-2.70M,213.10M,,,,,-12.30M,,,
1996-03,254.90M,,,,,,,,,-56.90M,,,,,,,,,,198.00M,,-112.40M,,-112.40M,47.80M,,-78.00M,-142.60M,,,,34.70M,,-59.40M,-59.40M,,-109.80M,44.70M,-89.80M,,227.90M,-34.40M,1.10M,194.60M,,,,,-59.40M,,,
1995-12,230.50M,,,,,,,,,-90.30M,,,,,,,,,,140.20M,,-106.40M,,-106.40M,-47.80M,,-14.00M,-168.20M,,,,295.00M,,,,,-109.80M,-44.70M,140.50M,,117.30M,112.50M,-1.90M,227.90M,,,,,,,,
1995-09,237.60M,,,,,,,,,,,,,,,,134.90M,-56.00M,,585.90M,,-122.60M,0.00,-122.60M,0.50M,,-7.20M,-129.30M,,,,-434.20M,,-8.60M,-8.60M,,-110.10M,,-552.90M,,213.20M,-96.30M,0.40M,117.30M,,,,,-8.60M,,,
1995-06,239.60M,,,,,,,,,,,,,,,,67.50M,67.50M,,307.10M,,-115.00M,0.00,-115.00M,-27.70M,,-12.00M,-154.70M,,,,-67.10M,,-42.70M,-42.70M,,-96.10M,46.20M,-159.70M,,216.00M,-7.30M,4.50M,213.20M,,,,,-42.70M,,,
1995-03,227.10M,,,,,,,,,,,,,,,,-148.40M,-148.40M,,78.70M,,-105.40M,0.60M,-104.80M,-133.10M,,-9.80M,-247.70M,,,,277.50M,,,,,-96.10M,0.20M,181.60M,,200.00M,12.60M,3.40M,216.00M,,,,,,,,
1994-12,224.70M,,,,,,,,,,,,,,,,-54.00M,-54.00M,,170.70M,,-77.70M,7.70M,-70.00M,-75.20M,,49.60M,-95.60M,,,,158.00M,,,,,-96.20M,-46.40M,15.40M,,113.30M,90.50M,-3.80M,200.00M,,,,,,,,
1994-09,208.20M,,,95.80M,103.50M,103.50M,,,,25.90M,107.80M,-59.90M,,57.00M,-4.80M,2.80M,,102.90M,,536.30M,,-115.30M,-95.40M,-210.70M,-19.50M,,-3.60M,-233.80M,,,,-314.40M,,-12.60M,-12.60M,,-87.40M,,-414.40M,,219.40M,-111.90M,5.80M,113.30M,,,,,-12.60M,,,
1994-06,208.00M,,,5.90M,91.80M,91.80M,,,,6.00M,-67.20M,-25.10M,,41.50M,4.70M,44.80M,,-1.30M,,310.40M,,-84.40M,0.00,-84.40M,-16.90M,,-1.70M,-103.00M,,,,-102.10M,,-98.20M,-98.20M,,-87.40M,102.70M,-185.00M,,191.10M,22.40M,5.90M,219.40M,,,,,-98.20M,,,
1994-03,194.30M,,,-103.10M,86.30M,86.30M,,,,-4.50M,-127.00M,-12.90M,,73.70M,16.10M,-67.40M,,-117.50M,,55.50M,,-65.40M,0.40M,-65.00M,-19.80M,,-0.80M,-85.60M,,,,152.40M,,,,,-87.40M,-39.30M,25.70M,,194.70M,-4.40M,0.80M,191.10M,,,,,,,,
1993-12,293.90M,,,-115.70M,82.90M,82.90M,,,,,-6.80M,9.40M,,-76.20M,10.20M,-3.10M,,-66.50M,,194.60M,,-67.20M,300.90M,233.70M,-1.90M,,4.90M,236.70M,,,,-185.20M,,,,,-87.70M,-63.40M,-336.30M,,101.90M,95.00M,-2.20M,194.70M,,,,,,,,
1993-09,180.00M,,,,76.70M,76.70M,,,,5.80M,65.20M,36.60M,,39.90M,-8.00M,34.80M,,168.50M,,431.00M,,-96.90M,,-96.90M,,,7.50M,-89.40M,,,,-357.10M,-6.60M,,-14.80M,,-81.10M,,-453.00M,,0.00,-111.40M,-4.90M,101.90M,,-6.60M,,,,,,
1993-06,187.20M,,,,89.30M,89.30M,,,,-9.00M,18.20M,9.60M,,-40.10M,13.20M,45.50M,,46.40M,,313.90M,,-87.00M,,-87.00M,,,-4.80M,-91.80M,,,,-140.20M,1.40M,,1.40M,,-81.10M,,-219.90M,,0.00,2.20M,-0.60M,0.00,,1.40M,,,,,,
1993-03,177.70M,,,,89.40M,89.40M,,,,-0.60M,-126.00M,8.10M,,60.00M,1.70M,-10.40M,,-66.60M,,199.90M,,-70.20M,,-70.20M,,,14.70M,-55.50M,,,,-69.60M,2.70M,,2.70M,,-81.00M,,-147.90M,,0.00,-3.50M,-2.40M,0.00,,2.70M,,,,,,
1992-12,163.20M,,,,85.30M,85.30M,,,,4.10M,31.10M,-0.90M,,-89.20M,7.30M,-70.90M,,-122.60M,,130.00M,,-51.50M,,-51.50M,,,-1.206B,-1.257B,,,,1.359B,2.50M,,2.50M,,-81.00M,,1.281B,,80.20M,153.20M,-10.90M,0.00,,2.50M,,,,,,
1992-09,167.90M,,,,69.10M,69.10M,,,,12.90M,68.70M,10.30M,,39.70M,-11.80M,12.60M,,119.50M,,369.40M,,-115.50M,,-95.60M,,,25.30M,-70.30M,,,,-359.20M,0.20M,0.70M,0.90M,,-77.40M,,-435.70M,,0.00,-136.60M,10.20M,0.00,,0.20M,,,0.70M,,,
1992-06,174.50M,,,,74.60M,74.60M,,,,-4.90M,-33.20M,28.30M,,7.30M,14.70M,39.40M,,56.50M,,300.70M,,-81.80M,,-81.80M,,,-2.70M,-84.50M,,,,-123.40M,-4.20M,-0.70M,-4.90M,,-77.40M,,-205.70M,,0.00,10.50M,7.90M,0.00,,-4.20M,,,-0.70M,,,
1992-03,167.90M,,,,77.00M,77.00M,,,,-15.30M,-87.50M,23.20M,,6.80M,-15.60M,4.30M,,-68.80M,,160.80M,,-81.70M,,-81.70M,,,16.90M,-64.80M,,,,8.80M,3.20M,,3.20M,,-77.40M,,-65.40M,,0.00,30.60M,-5.90M,0.00,,3.20M,,,,,,
1991-12,152.60M,,,,74.50M,74.50M,,,,6.90M,68.30M,-16.60M,,-112.20M,1.80M,-5.00M,,-63.70M,,170.30M,,-66.50M,,-66.50M,,,-54.40M,-120.90M,,,,78.90M,1.00M,,1.00M,,-77.30M,,2.60M,,102.40M,52.00M,9.10M,0.00,,1.00M,,,,,,
1991-09,159.10M,,,,72.10M,72.10M,,,,28.30M,38.80M,24.20M,,84.50M,-12.90M,-40.30M,,94.30M,,353.80M,,-100.70M,,-93.40M,,,-27.70M,-121.10M,,,,-196.60M,0.60M,,0.60M,,-73.90M,,-269.90M,,0.00,-37.20M,4.20M,0.00,,0.60M,,,,,,
1991-06,165.30M,,,,74.20M,74.20M,,,,-4.90M,-23.50M,-9.30M,,3.80M,15.00M,56.70M,,42.70M,,277.30M,,-79.50M,,-79.50M,,,-6.30M,-85.80M,,,,-119.20M,11.10M,8.50M,19.60M,,-74.00M,,-173.60M,,0.00,17.90M,-10.40M,0.00,,11.10M,,,8.50M,,,
1991-03,160.70M,,,,74.50M,74.50M,,,,11.00M,-49.80M,4.60M,,45.40M,-4.40M,-29.70M,,-33.90M,,212.30M,,-75.40M,,-75.40M,,67.70M,-168.20M,-175.90M,,,,37.60M,,-7.50M,-7.50M,,-147.30M,73.70M,-43.50M,,0.00,-7.10M,-4.80M,0.00,,,,,-7.50M,,,
1990-12,146.80M,,,,73.60M,73.60M,,,,-1.90M,93.20M,-13.60M,,-124.60M,7.80M,-58.40M,,-95.60M,,122.90M,,-55.30M,,-55.30M,,-67.70M,,-123.00M,,,,114.50M,,-1.00M,-1.00M,,,-73.70M,39.80M,,98.30M,39.70M,1.80M,0.00,,,,,-1.00M,,,
1990-09,154.60M,,,,68.70M,68.70M,,,,27.40M,42.20M,51.80M,,13.30M,-30.90M,-15.40M,,61.00M,,311.70M,,-100.70M,0.00,-100.70M,,,5.40M,-95.30M,,,,-218.80M,0.90M,,0.90M,,-70.40M,,-288.30M,,0.00,-71.90M,7.70M,0.00,,0.90M,,,,,,
1990-06,160.50M,,,,73.20M,73.20M,,,,12.20M,-21.80M,16.60M,,-34.50M,20.40M,18.00M,,-1.30M,,244.60M,,-83.00M,107.60M,24.60M,,,-70.80M,-46.20M,,,,-113.70M,2.60M,,2.60M,,-70.30M,,-181.40M,,0.00,17.00M,2.00M,0.00,,2.60M,,,,,,
1990-03,156.20M,,,,66.50M,66.50M,,,,-14.00M,-62.50M,9.00M,,59.40M,-2.00M,-59.20M,,-55.30M,,153.40M,,-68.60M,,-68.60M,,,-593.70M,-662.30M,,,,613.10M,1.90M,,1.90M,,-70.20M,,544.80M,,0.00,35.90M,9.10M,0.00,,1.90M,,,,,,
1989-12,141.90M,,,,60.90M,60.90M,,,,8.70M,48.60M,-19.80M,,-92.70M,9.00M,-39.80M,,-94.70M,,116.80M,,-57.40M,,-57.40M,,,-147.60M,-205.00M,,,,148.20M,0.80M,,0.80M,,-70.30M,,78.70M,,112.70M,-9.50M,-4.70M,0.00,,0.80M,,,,,,
