,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2020-09,128.00M,,18.00M,18.00M,553.00M,553.00M,-99.00M,51.00M,,416.00M,,,,,,,361.00M,,1.48B,,2020-09,,,,-25.00M,,-89.00M,-327.00M,,2020-09,,-953.00M,0.00,,0.00,-253.00M,-253.00M,,-2.00M,-1.208B,,2020-09,-53.00M,6.00M,2.917B,,0.00,0.00,-953.00M,,,2020-09,AOR
2020-06,285.00M,0.00,28.00M,28.00M,534.00M,534.00M,-67.00M,52.00M,,21.00M,,,,,,,10.00M,,863.00M,,2020-06,,,,-139.00M,,-22.00M,-363.00M,,2020-06,,-2.612B,2.917B,,2.917B,-268.00M,-268.00M,,-17.00M,20.00M,,2020-06,519.00M,6.00M,2.964B,,2.917B,794.00M,-3.406B,,,2020-06,AOR
2020-03,183.00M,0.00,25.00M,25.00M,537.00M,537.00M,-65.00M,59.00M,,103.00M,,,,,,,-360.00M,,482.00M,,2020-03,,,,0.00,,-33.00M,-255.00M,,2020-03,,1.898B,,,,-253.00M,-253.00M,,-22.00M,1.623B,,2020-03,1.851B,-21.00M,2.439B,,,1.90B,-2.00M,,,2020-03,AOR
2019-12,278.00M,0.00,24.00M,24.00M,530.00M,530.00M,-71.00M,82.00M,,-231.00M,,,,,,,102.00M,,714.00M,,2019-12,,,,0.00,,-114.00M,-287.00M,,2019-12,,-93.00M,,,,-252.00M,-252.00M,,-68.00M,-413.00M,,2019-12,13.00M,6.00M,609.00M,,,210.00M,-303.00M,,,2019-12,AOR
2019-09,162.00M,0.00,27.00M,27.00M,553.00M,553.00M,-209.00M,53.00M,,440.00M,,,,,,,290.00M,,1.371B,,2019-09,,,,0.00,,-83.00M,-441.00M,,2019-09,,-677.00M,0.00,,0.00,-247.00M,-247.00M,,1.00M,-923.00M,,2019-09,7.00M,-11.00M,590.00M,,0.00,185.00M,-862.00M,,,2019-09,AOR
2019-06,452.00M,-1.00M,52.00M,51.00M,574.00M,574.00M,-63.00M,56.00M,,-7.00M,,,,,,,-130.00M,,933.00M,,2019-06,,,,0.00,,-93.00M,-330.00M,,2019-06,,-453.00M,0.00,,0.00,-246.00M,-246.00M,,-69.00M,-768.00M,,2019-06,-167.00M,-6.00M,594.00M,,0.00,2.524B,-2.977B,,,2019-06,AOR
2019-03,20.00M,0.00,23.00M,23.00M,563.00M,563.00M,-81.00M,59.00M,,254.00M,,,,,,,-58.00M,,780.00M,,2019-03,,,,1.00M,,-75.00M,-269.00M,,2019-03,,-502.00M,,,,-246.00M,-246.00M,,-50.00M,-798.00M,,2019-03,-285.00M,10.00M,767.00M,,,-50.00M,-452.00M,,,2019-03,AOR
2018-12,599.00M,-335.00M,-225.00M,-560.00M,563.00M,563.00M,-28.00M,93.00M,,52.00M,,,,,,,-473.00M,,246.00M,,2018-12,,,,476.00M,,-10.00M,299.00M,,2018-12,,-403.00M,,,,-245.00M,-245.00M,,-86.00M,-734.00M,,2018-12,-189.00M,-5.00M,1.042B,,,50.00M,-453.00M,,,2018-12,AOR
2018-09,-135.00M,5.00M,-35.00M,-30.00M,566.00M,566.00M,232.00M,61.00M,15.00M,130.00M,,,,,,,467.00M,,1.306B,,2018-09,,,,-157.00M,-13.00M,-83.00M,-560.00M,,2018-09,-200.00M,-722.00M,,,,-240.00M,-240.00M,,-45.00M,-1.007B,,2018-09,-261.00M,-12.00M,1.236B,,,751.00M,-1.273B,,,2018-09,AOR
2018-06,594.00M,-308.00M,-156.00M,-464.00M,568.00M,568.00M,-72.00M,54.00M,7.00M,127.00M,,,,,,,-272.00M,,542.00M,,2018-06,,,,442.00M,6.00M,-51.00M,200.00M,,2018-06,-180.00M,-357.00M,,,,-238.00M,-238.00M,,-21.00M,-616.00M,,2018-06,126.00M,-34.00M,1.509B,,,713.00M,-890.00M,,,2018-06,AOR
