,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2007-06,16.74B,16.74B,13.32B,3.421B,,327.00M,,32.00M,93.00M,,,-152.00M,664.00M,2.757B,,,149.00M,,2.776B,1.234B,1.542B,8.00M,,1.00M,,1.55B,1.521B,3.153B,396.00M,2.757B,,2.26,0.01,,,2.231,2.27,,2.24,0.01,,,2.211,2.25,,710.00M,714.00M,0.24,,,
2007-03,12.87B,12.87B,9.711B,3.158B,,287.00M,,22.00M,1.295B,,,-135.00M,1.84B,1.318B,,,129.00M,,1.335B,618.00M,717.00M,,,2.00M,,717.00M,702.70M,1.711B,393.00M,1.318B,,1.04,0.00,,,1.019,1.04,,1.035,0.00,,,1.014,1.035,,689.42M,692.75M,0.20,,,
2006-12,8.828B,14.36B,6.037B,8.323B,,698.00M,,16.00M,91.00M,,,5.318B,6.495B,1.828B,,,109.00M,,1.805B,726.00M,1.079B,0.00,,3.00M,,1.079B,1.069B,2.216B,388.00M,1.828B,,1.54,0.01,,,1.526,1.55,,1.54,0.00,,,1.526,1.54,,699.94M,699.94M,0.20,,,
2006-09,16.49B,16.49B,12.94B,3.555B,,300.00M,,33.00M,92.00M,,,-142.00M,611.00M,2.944B,,,142.00M,,2.953B,1.33B,1.623B,,,2.00M,,1.623B,1.603B,3.305B,361.00M,2.944B,,2.28,0.00,,,2.252,2.28,,2.26,0.00,,,2.232,2.26,,711.84M,718.14M,0.20,,,
2006-06,16.90B,16.90B,13.49B,3.411B,,308.00M,,14.00M,91.00M,,,-111.00M,657.00M,2.754B,,,111.00M,,2.765B,1.281B,1.484B,264.00M,,2.00M,,1.748B,1.476B,3.123B,354.00M,2.754B,,2.055,0.365,,,2.043,2.42,,2.035,0.365,,,2.023,2.40,,722.31M,728.33M,0.20,,,
2006-03,16.42B,16.42B,13.11B,3.304B,,287.00M,,29.00M,1.262B,,,-121.00M,1.828B,1.476B,,,121.00M,,1.456B,685.00M,771.00M,13.00M,,3.00M,,784.00M,753.60M,1.891B,415.00M,1.476B,,1.055,0.02,,,1.031,1.075,,1.045,0.02,,,1.021,1.065,,729.30M,736.15M,0.165,,,
2005-12,20.60B,20.60B,13.25B,7.353B,,304.00M,,15.00M,4.792B,,,-127.00M,5.322B,2.031B,,,127.00M,,1.988B,723.00M,1.265B,19.00M,,4.00M,,1.265B,1.255B,2.439B,408.00M,2.031B,,1.75,0.005,,,1.737,1.755,,1.735,0.00,,,1.722,1.735,,730.78M,740.73M,0.165,,,
2005-09,15.86B,15.86B,13.97B,1.889B,,324.00M,,5.00M,84.00M,,,-74.00M,653.00M,1.236B,,,74.00M,,1.208B,458.00M,750.00M,20.00M,,3.00M,,770.00M,746.90M,1.555B,319.00M,1.236B,,1.025,0.03,,,1.021,1.055,,1.015,0.03,,,1.011,1.045,,729.86M,736.84M,0.165,,,
2005-06,14.73B,14.73B,12.80B,1.936B,,268.00M,,37.00M,78.00M,,,-82.00M,585.00M,1.351B,,,82.00M,,1.002B,334.00M,668.00M,5.00M,,-314.00M,,673.00M,643.33M,1.672B,308.00M,1.351B,,0.965,0.005,,,0.9294,0.97,,0.955,0.005,,,0.9198,0.96,,693.81M,701.04M,0.14,,,
2005-03,12.93B,12.93B,10.61B,2.318B,,260.00M,,38.00M,105.00M,,,-78.00M,610.00M,1.708B,,,78.00M,,1.607B,199.00M,1.408B,,,-69.00M,,1.408B,1.375B,2.031B,323.00M,1.708B,,0.47,0.00,,,0.4221,0.47,,0.465,0.00,,,0.4171,0.465,,695.44M,695.44M,0.14,,,
2004-12,13.36B,9.843B,11.67B,-1.827B,,262.00M,,61.00M,96.00M,,,,-2.648B,821.00M,,,123.00M,,953.00M,215.00M,738.00M,0.00,,-145.00M,,738.00M,690.76M,1.142B,321.00M,821.00M,,1.064,0.00,,,0.9962,1.064,,1.064,0.00,,,0.9962,1.064,,693.39M,693.39M,0.14,,,
2004-09,11.11B,12.32B,10.00B,2.316B,,261.00M,,29.00M,80.00M,,,1.137B,1.774B,542.00M,,,67.00M,,355.00M,133.00M,222.00M,,,-147.00M,,222.00M,203.86M,838.00M,296.00M,542.00M,,0.32,0.00,,,0.2939,0.32,,0.32,0.00,,,0.2939,0.32,,693.75M,693.75M,0.125,,,
