,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-06,11.38B,11.45B,9.965B,1.489B,,280.00M,,28.00M,79.00M,,,,660.00M,829.00M,,,71.00M,,562.00M,214.00M,348.00M,4.00M,,-216.00M,,352.00M,330.66M,1.13B,298.00M,829.00M,,0.505,0.005,,,0.4799,0.51,,0.505,0.005,,,0.4799,0.51,,690.20M,690.20M,0.125,,,
2004-03,9.60B,9.641B,8.548B,1.093B,,230.00M,,14.00M,83.00M,,,,615.00M,478.00M,,,41.00M,,423.00M,165.00M,258.00M,,,-17.00M,,258.00M,249.46M,780.00M,302.00M,478.00M,,0.415,0.00,,,0.4013,0.415,,0.415,0.00,,,0.4013,0.415,,621.69M,621.69M,0.125,,,
2003-12,9.96B,10.03B,9.111B,916.00M,,220.00M,,38.00M,68.00M,,,,563.00M,353.00M,,,67.00M,,305.00M,106.00M,199.00M,286.00M,0.00,-35.00M,,485.00M,174.21M,631.00M,278.00M,353.00M,,0.32,0.465,0.00,,0.2798,0.785,,0.32,0.465,0.0000,,0.2798,0.785,,616.07M,616.07M,0.125,,,
2003-09,9.149B,9.224B,7.964B,1.26B,,249.00M,,56.00M,73.00M,,,,602.00M,658.00M,,,75.00M,,471.00M,178.00M,293.00M,-12.00M,,-132.00M,,281.00M,258.16M,938.00M,246.00M,658.00M,,0.47,-0.02,,,0.4142,0.45,,0.47,-0.02,,,0.4142,0.45,,624.44M,624.44M,0.125,,,
2003-06,8.553B,8.615B,7.47B,1.145B,,244.00M,,129.00M,78.00M,,,,619.00M,526.00M,,,62.00M,,369.00M,134.00M,235.00M,13.00M,,-105.00M,,248.00M,152.85M,837.00M,311.00M,526.00M,,0.38,0.02,,,0.2475,0.40,,0.38,0.02,,,0.2475,0.40,,620.00M,620.00M,0.115,,,
2003-03,9.016B,9.083B,7.957B,1.126B,,207.00M,,19.00M,80.00M,,,,579.00M,547.00M,,,67.00M,,451.00M,166.00M,285.00M,18.00M,4.00M,-30.00M,,307.00M,272.99M,856.00M,309.00M,547.00M,,0.46,0.035,0.00,,0.4406,0.495,,0.46,0.035,0.0064,,0.4406,0.495,,620.20M,620.20M,0.115,,,
2002-12,7.421B,7.508B,6.55B,958.00M,,237.00M,,110.00M,63.00M,,,71.00M,659.00M,299.00M,,,158.00M,,282.00M,90.00M,192.00M,2.00M,0.00,-35.00M,,194.00M,117.11M,587.00M,257.00M,299.00M,,0.305,0.025,0.00,,0.1858,0.31,,0.305,0.025,-0.0001,,0.1858,0.31,,628.24M,628.24M,0.115,,,
2002-09,7.283B,7.365B,6.442B,923.00M,,218.00M,,25.00M,61.00M,,,-12.00M,551.00M,372.00M,,,58.00M,,228.00M,154.00M,74.00M,13.00M,,-45.00M,,87.00M,59.00M,664.00M,292.00M,372.00M,,0.12,0.02,,,0.0958,0.14,,0.12,0.02,,,0.0958,0.14,,619.75M,619.94M,0.115,,,
2002-06,6.995B,7.039B,6.013B,1.026B,,184.00M,,-69.00M,68.00M,,,-42.00M,528.00M,498.00M,,,-37.00M,,258.00M,90.00M,168.00M,,,-82.00M,,168.00M,212.93M,816.00M,308.00M,498.00M,,0.27,0.00,,,0.3425,0.27,,0.27,0.00,,,0.3425,0.27,,619.61M,620.14M,0.115,,,
2002-03,5.423B,5.468B,4.818B,650.00M,,187.00M,,92.00M,64.00M,,,-71.00M,482.00M,168.00M,,,116.00M,,93.00M,39.00M,54.00M,,13.00M,-11.00M,,67.00M,-1.20M,470.00M,294.00M,168.00M,,0.09,0.02,0.00,,0.0008,0.11,,0.09,0.02,0.0210,,0.0009,0.11,,619.14M,619.67M,0.115,,,
2001-12,5.454B,5.716B,4.741B,975.00M,,208.00M,,191.00M,50.00M,,,,605.00M,370.00M,,,191.00M,,278.00M,138.00M,140.00M,-1.214B,0.00,-54.00M,,-1.074B,25.40M,692.00M,322.00M,370.00M,,0.225,-1.69,0.00,,0.0398,-1.465,,0.225,-1.69,0.0000,,0.0400,-1.465,,618.86M,619.37M,0.115,,,
2001-09,7.362B,7.362B,6.078B,1.284B,,175.00M,,-166.00M,64.00M,,,166.00M,707.00M,577.00M,,,-166.00M,,304.00M,120.00M,184.00M,-14.00M,,-223.00M,,170.00M,284.47M,879.00M,302.00M,577.00M,,0.295,-0.02,,,0.4574,0.275,,0.295,-0.02,,,0.4571,0.275,,618.62M,619.85M,0.115,,,
2001-06,7.981B,8.036B,6.22B,1.816B,,186.00M,,55.00M,71.00M,,,,563.00M,1.253B,,,55.00M,,891.00M,311.00M,580.00M,-28.00M,,-320.00M,,552.00M,544.20M,1.559B,306.00M,1.253B,,0.94,0.00,,,0.8821,0.94,,0.94,0.00,,,0.8822,0.94,,618.20M,619.25M,0.115,,,
2001-03,7.569B,7.684B,6.244B,1.44B,,145.00M,,115.00M,84.00M,,,,532.00M,908.00M,,,115.00M,,759.00M,258.00M,501.00M,16.00M,-8.00M,-107.00M,,509.00M,425.09M,1.211B,303.00M,908.00M,,0.81,-0.015,0.00,,0.6871,0.795,,0.81,-0.015,-0.0130,,0.6872,0.795,,617.51M,618.15M,0.115,,,
2000-12,7.481B,7.481B,6.311B,1.17B,,228.00M,,-1.299B,76.00M,,,,1.257B,-87.00M,,,-1.218B,,-653.00M,-331.00M,-322.00M,,,-125.00M,,-331.00M,457.40M,431.00M,518.00M,-87.00M,,-0.515,0.00,,,0.7424,-0.515,,-0.515,0.00,,,0.7412,-0.515,,619.84M,620.46M,0.115,,,
2000-09,8.107B,8.107B,6.974B,1.133B,,151.00M,,59.00M,71.00M,,,,463.00M,670.00M,,,59.00M,,561.00M,440.00M,121.00M,,,-115.00M,,121.00M,85.60M,911.00M,241.00M,670.00M,,0.19,0.00,,,0.1332,0.19,,0.19,0.00,,,0.1333,0.19,,623.69M,624.19M,0.115,,,
2000-06,7.755B,7.755B,6.493B,1.262B,,124.00M,,30.00M,68.00M,,,,432.00M,830.00M,,,30.00M,,589.00M,222.00M,367.00M,,,-203.00M,,367.00M,348.31M,1.07B,240.00M,830.00M,,0.59,0.00,,,0.5601,0.59,,0.5873,0.00,,,0.5574,0.5873,,624.47M,624.86M,0.105,,,
2000-03,6.807B,6.807B,5.95B,857.00M,,134.00M,,115.00M,67.00M,,,,447.00M,410.00M,,,115.00M,,399.00M,145.00M,254.00M,,,-55.00M,,254.00M,180.79M,656.00M,246.00M,410.00M,,0.405,0.00,,,0.2877,0.405,,0.405,0.00,,,0.2878,0.405,,624.26M,624.57M,0.105,,,
1999-12,6.411B,6.411B,5.654B,757.00M,,111.00M,,44.00M,68.00M,,,,451.00M,306.00M,,,44.00M,,238.00M,67.00M,171.00M,,,-42.00M,,171.00M,139.39M,578.00M,272.00M,306.00M,,0.2742,,,,0.2235,0.2742,,0.2742,,,,0.2235,0.2742,,623.53M,623.53M,0.105,,,
1999-09,5.457B,5.457B,4.661B,796.00M,,121.00M,,162.00M,57.00M,,,,397.00M,399.00M,,,162.00M,,341.00M,111.00M,230.00M,,,-148.00M,,230.00M,120.73M,618.00M,219.00M,399.00M,,0.37,0.00,,,0.1934,0.37,,0.37,0.00,,,0.1937,0.37,,618.78M,619.62M,0.105,,,
1999-06,4.444B,4.444B,3.728B,716.00M,,132.00M,,100.00M,63.00M,,,,417.00M,299.00M,,,100.00M,,216.00M,82.00M,134.00M,,,-112.00M,,134.00M,71.96M,521.00M,222.00M,299.00M,,0.215,0.00,,,0.1146,0.215,,0.215,0.00,,,0.1148,0.215,,618.11M,618.92M,0.105,,,
1999-03,3.927B,3.927B,3.468B,459.00M,,122.00M,,360.00M,57.00M,,,,416.00M,43.00M,,,360.00M,,183.00M,64.00M,119.00M,,,-145.00M,,119.00M,-115.10M,280.00M,237.00M,43.00M,,0.19,0.00,,,-0.1888,0.19,,0.19,0.00,,,-0.1886,0.19,,618.06M,618.39M,0.105,,,
1998-12,4.36B,4.36B,3.86B,500.00M,,122.00M,,-219.00M,51.00M,,,,413.00M,87.00M,,,-219.00M,,-170.00M,-84.00M,-86.00M,,,33.00M,,-86.00M,45.40M,327.00M,240.00M,87.00M,,-0.1394,,,,0.0736,-0.1394,,-0.1394,,,,0.0736,-0.1394,,616.92M,616.92M,0.105,,,
1998-09,4.684B,4.684B,4.034B,650.00M,,132.00M,,-36.00M,46.00M,,,,400.00M,250.00M,,,-36.00M,,82.00M,31.00M,51.00M,,,-70.00M,,51.00M,73.39M,472.00M,222.00M,250.00M,,0.09,0.00,,,0.1284,0.09,,0.085,0.00,,,0.1234,0.085,,582.64M,583.61M,0.105,,,
1998-06,4.641B,4.641B,3.84B,801.00M,,120.00M,,35.00M,56.00M,,,,385.00M,416.00M,,,35.00M,,246.00M,84.00M,162.00M,,,-158.00M,,162.00M,138.95M,625.00M,209.00M,416.00M,,0.28,0.00,,,0.2402,0.28,,0.28,0.00,,,0.2403,0.28,,579.18M,580.53M,0.105,,,
1998-03,4.46B,4.46B,3.904B,556.00M,,131.00M,,547.00M,52.00M,,,,453.00M,103.00M,,,547.00M,,294.00M,111.00M,183.00M,,,-54.00M,,183.00M,-157.48M,373.00M,270.00M,103.00M,,0.315,0.00,,,-0.2744,0.315,,0.315,0.00,,,-0.2731,0.315,,577.69M,578.98M,0.105,,,
1997-12,3.203B,3.203B,2.692B,511.00M,,92.00M,,-109.00M,49.00M,,,,308.00M,203.00M,,,-109.00M,,36.00M,-2.00M,38.00M,,,,,38.00M,103.40M,370.00M,167.00M,203.00M,,0.0658,,,,0.1790,0.0658,,0.0658,,,,0.1790,0.0658,,577.57M,577.57M,0.095,,,
1997-09,3.191B,3.191B,2.578B,613.00M,,96.00M,,58.00M,50.00M,,,,309.00M,304.00M,,,58.00M,,296.00M,104.00M,192.00M,,,,,192.00M,154.38M,467.00M,163.00M,304.00M,,0.33,0.00,,,0.2648,0.33,,0.33,0.00,,,0.2656,0.33,,577.41M,583.78M,0.095,,,
1997-06,3.111B,3.111B,2.52B,591.00M,,83.00M,,-51.00M,50.00M,,,,296.00M,295.00M,,,-51.00M,,175.00M,57.00M,118.00M,,,,,118.00M,152.39M,458.00M,163.00M,295.00M,,0.205,0.00,,,0.2646,0.205,,0.205,0.00,,,0.2646,0.205,,576.58M,576.62M,0.095,,,
1997-03,3.427B,3.427B,2.791B,636.00M,,84.00M,,-96.00M,53.00M,,,,308.00M,328.00M,,,-96.00M,,165.00M,57.00M,108.00M,,,,,108.00M,170.84M,499.00M,171.00M,328.00M,,0.185,0.00,,,0.2941,0.185,,0.185,0.00,,,0.2916,0.185,,575.97M,589.32M,0.095,,,
1996-12,3.761B,3.761B,3.171B,590.00M,,82.00M,,50.00M,62.00M,,,,315.00M,275.00M,,,50.00M,,255.00M,88.00M,167.00M,,,,,160.00M,134.25M,446.00M,171.00M,275.00M,,0.2105,,,,0.1676,0.2105,,0.2105,,,,0.1676,0.2105,,763.95M,763.95M,0.085,,,
1996-09,3.438B,3.438B,2.925B,513.00M,,77.00M,,104.00M,47.00M,,,,291.00M,222.00M,,,104.00M,,251.00M,87.00M,164.00M,,,,,164.00M,96.05M,389.00M,167.00M,222.00M,,0.285,0.00,,,0.1669,0.285,,0.285,0.00,,,0.1705,0.285,,575.22M,593.28M,0.085,,,
1996-06,3.371B,3.371B,2.765B,606.00M,,82.00M,,-64.00M,45.00M,,,,300.00M,306.00M,,,-64.00M,,165.00M,41.00M,124.00M,,,,,124.00M,172.10M,479.00M,173.00M,306.00M,,0.215,0.00,,,0.2986,0.215,,0.215,0.00,,,0.2969,0.215,,575.21M,587.16M,0.085,,,
1996-03,2.994B,2.994B,2.463B,531.00M,,78.00M,,184.00M,49.00M,,,,309.00M,222.00M,,,184.00M,,320.00M,104.00M,216.00M,,,,,216.00M,91.80M,404.00M,182.00M,222.00M,,0.375,0.00,,,0.1590,0.375,,0.37,0.00,,,0.1611,0.37,,574.92M,594.50M,0.085,,,
1995-12,2.852B,2.852B,2.444B,408.00M,,71.00M,,-1.269B,45.00M,,,,310.00M,98.00M,,,-1.269B,,-603.00M,-238.00M,-365.00M,,,,0.00,-366.00M,403.13M,292.00M,194.00M,98.00M,,-0.4895,,,-0.0013,0.5210,-0.4908,,-0.4895,,,-0.0013,0.5210,-0.4908,,760.12M,760.12M,0.085,,,
1995-09,2.774B,2.774B,2.224B,550.00M,,74.00M,,-37.00M,47.00M,,,,328.00M,222.00M,,,-37.00M,,112.00M,15.00M,97.00M,,,,1.00M,93.00M,129.04M,429.00M,207.00M,222.00M,,0.165,-0.005,,-0.0070,0.2207,0.16,,0.165,-0.005,,-0.0070,0.2207,0.16,,574.82M,574.85M,0.085,,,
1995-06,2.847B,2.847B,2.257B,590.00M,,79.00M,,16.00M,51.00M,,,,339.00M,251.00M,,,16.00M,,173.00M,65.00M,108.00M,,,,1.00M,108.00M,98.01M,460.00M,209.00M,251.00M,,0.185,0.00,,,0.1676,0.185,,0.185,0.00,,,0.1680,0.185,,574.49M,587.01M,0.085,,,
1995-03,2.69B,2.69B,2.235B,455.00M,,73.00M,,96.00M,52.00M,,,,332.00M,123.00M,,,96.00M,,128.00M,51.00M,77.00M,,,,2.00M,77.00M,19.25M,330.00M,207.00M,123.00M,,0.13,0.00,,,0.0295,0.13,,0.13,0.00,,,0.0295,0.13,,574.37M,574.38M,0.085,,,
1994-12,2.744B,2.744B,2.339B,405.00M,,76.00M,,19.00M,50.00M,,,,322.00M,83.00M,,,19.00M,,11.00M,-26.00M,37.00M,,,,2.00M,37.00M,25.60M,279.00M,196.00M,83.00M,,0.0609,,,,0.0411,0.0609,,0.0609,,,,0.0411,0.0609,,574.37M,574.37M,0.085,,,
1994-09,2.764B,2.764B,2.288B,476.00M,,73.00M,,87.00M,51.00M,,,,296.00M,180.00M,,,87.00M,,178.00M,76.00M,102.00M,,,,1.00M,102.00M,49.80M,352.00M,172.00M,180.00M,,0.175,0.00,,,0.0839,0.175,,0.175,0.00,,,0.0859,0.175,,573.14M,585.63M,0.085,,,
1994-06,2.561B,2.561B,2.19B,371.00M,,86.00M,,89.00M,40.00M,,,,308.00M,63.00M,,,89.00M,,109.00M,37.00M,72.00M,,,,2.00M,72.00M,13.21M,245.00M,182.00M,63.00M,,0.125,0.00,,,0.0224,0.125,,0.125,0.00,,,0.0224,0.125,,573.16M,573.16M,0.085,,,
1994-03,2.204B,2.204B,1.803B,401.00M,,78.00M,,157.00M,54.00M,,,,303.00M,98.00M,,,157.00M,,178.00M,68.00M,110.00M,,,,1.00M,110.00M,12.98M,269.00M,171.00M,98.00M,,0.19,0.00,,,0.0207,0.19,,0.19,0.00,,,0.0243,0.19,,573.16M,585.66M,0.085,,,
1993-12,2.922B,2.922B,2.017B,905.00M,,83.00M,,-155.00M,571.00M,,,,833.00M,72.00M,,,-155.00M,,-161.00M,-73.00M,-88.00M,,,,2.00M,-111.00M,5.00M,251.00M,179.00M,72.00M,,-0.155,-0.04,,,0.00,-0.195,,-0.155,-0.04,,,0.00,-0.195,,600.00M,600.00M,0.085,,,
1993-09,2.983B,2.983B,2.025B,958.00M,,82.00M,,-16.00M,564.00M,,,,844.00M,114.00M,,,-16.00M,,24.00M,-6.00M,30.00M,,,,1.00M,30.00M,39.60M,312.00M,198.00M,114.00M,,0.05,0.00,,,0.0666,0.05,,0.05,0.00,,,0.0666,0.05,,580.00M,580.00M,0.085,,,
1993-06,3.103B,3.103B,2.157B,946.00M,,162.00M,,10.00M,515.00M,,,,852.00M,94.00M,,,10.00M,,32.00M,11.00M,21.00M,,,,1.00M,21.00M,14.44M,269.00M,175.00M,94.00M,,0.035,0.00,,,0.0235,0.035,,0.035,0.00,,,0.0235,0.035,,571.43M,571.43M,0.085,,,
1993-03,2.954B,2.954B,2.067B,887.00M,,110.00M,,12.00M,496.00M,,,,781.00M,106.00M,,,12.00M,,50.00M,19.00M,31.00M,,,,2.00M,31.00M,23.56M,281.00M,175.00M,106.00M,,0.05,0.00,,,0.0372,0.05,,0.05,0.00,,,0.0372,0.05,,580.00M,580.00M,0.085,,,
1992-12,3.238B,3.238B,2.491B,747.00M,,104.00M,,-88.00M,471.00M,,,,779.00M,-32.00M,,,-88.00M,,-192.00M,-23.00M,-169.00M,,,,1.00M,-500.00M,-91.54M,172.00M,204.00M,-32.00M,,-0.30,-0.585,,,-0.1690,-0.885,,-0.30,-0.585,,,-0.1690,-0.885,,591.34M,591.34M,0.085,,,
1992-09,3.382B,3.382B,2.563B,819.00M,,80.00M,,52.00M,490.00M,,,,757.00M,62.00M,,,52.00M,,44.00M,27.00M,17.00M,,,,2.00M,17.00M,-14.20M,249.00M,187.00M,62.00M,,0.025,0.00,,,-0.027,0.025,,0.025,0.00,,,-0.027,0.025,,600.00M,600.00M,0.175,,,
1992-06,3.221B,3.221B,2.386B,835.00M,,80.00M,,172.00M,350.00M,,,,627.00M,208.00M,,,172.00M,,309.00M,83.00M,226.00M,,,,1.00M,226.00M,100.20M,405.00M,197.00M,208.00M,,0.395,0.00,,,0.1742,0.395,,0.385,0.00,,,0.1697,0.385,,569.62M,584.42M,0.175,,,
1992-03,2.941B,2.941B,2.088B,853.00M,,79.00M,,14.00M,465.00M,,,,749.00M,104.00M,,,14.00M,,40.00M,5.00M,35.00M,,,,2.00M,35.00M,22.75M,309.00M,205.00M,104.00M,,0.06,0.00,,,0.0377,0.06,,0.06,0.00,,,0.0377,0.06,,550.00M,550.00M,0.175,,,
1991-12,3.571B,3.571B,2.711B,860.00M,,315.00M,,2.00M,459.00M,,,,1.008B,-148.00M,,,2.00M,,-235.00M,-6.00M,-229.00M,,,,2.00M,-229.00M,-230.95M,86.00M,234.00M,-148.00M,,-0.455,0.00,,,-0.4590,-0.455,,-0.455,0.00,,,-0.4590,-0.455,,482.90M,482.90M,0.175,,,
1991-09,3.488B,3.488B,2.566B,922.00M,,111.00M,,14.00M,484.00M,,,,811.00M,111.00M,,,14.00M,,60.00M,37.00M,23.00M,,,,1.00M,23.00M,14.60M,327.00M,216.00M,111.00M,,0.04,0.00,,,0.0247,0.04,,0.04,0.00,,,0.0247,0.04,,550.00M,550.00M,0.175,,,
1991-06,3.503B,3.503B,2.487B,1.016B,,103.00M,,20.00M,517.00M,,,,835.00M,181.00M,,,20.00M,,109.00M,45.00M,64.00M,,,,2.00M,64.00M,52.00M,396.00M,215.00M,181.00M,,0.125,0.00,,,0.1008,0.125,,0.125,0.00,,,0.1008,0.125,,496.00M,496.00M,0.175,,,
1991-03,3.413B,3.413B,2.446B,967.00M,,94.00M,,-12.00M,425.00M,,,,729.00M,238.00M,,,-12.00M,,131.00M,60.00M,71.00M,,,,2.00M,71.00M,78.20M,448.00M,210.00M,238.00M,,0.135,0.00,,,0.1491,0.135,,0.135,0.00,,,0.1491,0.135,,511.11M,511.11M,0.175,,,
1990-12,3.654B,3.654B,,,,,,,,,,,,-9.881B,,,,,,,127.00M,,,,,127.00M,127.00M,-9.881B,,-9.881B,,0.245,0.00,,,0.245,0.245,,0.245,0.00,,,0.245,0.245,,460.56M,460.56M,,,,
1990-09,3.654B,3.654B,,,,,,,,,,,,3.654B,,,,,,,127.00M,,,,,127.00M,127.00M,3.654B,,3.654B,,0.245,0.00,,,0.245,0.245,,0.245,0.00,,,0.245,0.245,,518.37M,518.37M,,,,
1990-06,3.654B,3.654B,,,,,,,,,,,,3.654B,,,,,,,127.00M,,,,,127.00M,127.00M,3.654B,,3.654B,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,529.17M,529.17M,,,,
1990-03,3.654B,3.654B,,,,,,,,,,,,3.654B,,,,,,,127.00M,,,,,127.00M,127.00M,3.654B,,3.654B,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,529.17M,529.17M,,,,
