,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.573B,1.453B,3.026B,3.553B,486.20M,4.040B,400.40M,715.40M,132.10M,553.70M,1.802B,230.60M,,,9.098B,,,,,,,,,3.138B,,,2.875B,804.20M,168.80M,6.986B,16.08B,443.10M,,,443.10M,1.303B,1.746B,,,,,,494.80M,494.80M,96.90M,2.338B,1.978B,716.50M,2.695B,,104.90M,104.90M,821.00M,3.621B,5.958B,0.10M,9.744B,6.593B,6.242B,,30.80M,10.13B
2020-06,1.992B,1.152B,3.144B,2.380B,431.10M,2.811B,306.30M,696.90M,132.00M,505.70M,1.641B,263.80M,,,7.860B,,,,,,,,,3.031B,,,2.588B,774.00M,175.50M,6.568B,14.43B,380.10M,,,380.10M,1.257B,1.637B,,,1.50B,,1.50B,461.50M,461.50M,103.80M,3.702B,,715.90M,715.90M,,104.80M,104.80M,848.20M,1.669B,5.371B,0.10M,8.902B,6.263B,6.143B,,35.50M,9.057B
2020-03,2.208B,1.795B,4.003B,2.531B,401.80M,2.933B,210.90M,692.20M,96.40M,481.40M,1.481B,226.60M,,,8.644B,,,,,,,,,2.945B,,,3.236B,771.20M,161.20M,7.113B,15.76B,347.80M,,,347.80M,1.143B,1.491B,,,,,,479.20M,479.20M,85.00M,2.055B,,715.20M,715.20M,,82.10M,82.10M,772.00M,1.569B,3.624B,0.10M,8.004B,5.211B,1.074B,,-9.10M,12.13B
2019-12,1.618B,1.596B,3.214B,2.672B,,2.672B,216.30M,727.70M,70.60M,400.90M,1.416B,387.10M,,,7.689B,0.0,230.80M,1.683B,1.156B,644.80M,97.60M,3.813B,-922.40M,2.890B,,,3.257B,824.20M,144.70M,7.116B,14.81B,418.10M,49.40M,,467.50M,1.037B,1.505B,,,,,,591.70M,591.70M,,2.097B,,713.90M,713.90M,,619.00M,619.00M,286.00M,1.619B,3.716B,0.10M,7.380B,4.429B,739.90M,,21.10M,11.09B
2019-09,1.385B,1.493B,2.878B,2.66B,,2.66B,229.00M,633.50M,49.40M,432.40M,1.344B,226.90M,,,7.109B,,,,,,,,,2.771B,,,3.113B,808.30M,137.90M,6.830B,13.94B,335.60M,,,335.60M,821.10M,1.157B,,,,,,608.70M,608.70M,,1.765B,,712.70M,712.70M,,683.80M,683.80M,273.00M,1.670B,3.435B,0.10M,6.588B,4.388B,488.40M,,16.50M,10.50B
2019-06,1.046B,1.624B,2.670B,2.456B,,2.456B,229.70M,663.10M,34.10M,390.30M,1.317B,208.20M,,,6.651B,,,,,,,,,2.677B,,,2.885B,821.60M,139.80M,6.523B,13.17B,244.00M,,,244.00M,876.70M,1.121B,,,,,,592.40M,592.40M,,1.713B,,711.30M,711.30M,,725.40M,725.40M,267.90M,1.705B,3.418B,0.10M,5.918B,4.264B,441.80M,,15.80M,9.756B
2019-03,1.708B,1.524B,3.232B,2.305B,,2.305B,232.40M,581.30M,30.80M,364.30M,1.209B,182.20M,,,6.929B,,,,,,,,,2.613B,,,2.340B,829.30M,144.30M,5.926B,12.85B,239.60M,,,239.60M,741.10M,980.70M,,,,,,530.70M,530.70M,,1.511B,,709.90M,709.90M,,812.50M,812.50M,376.30M,1.899B,3.410B,0.10M,5.725B,4.161B,444.20M,,2.80M,9.445B
2018-12,1.468B,1.342B,2.810B,2.243B,,2.243B,226.80M,571.10M,24.40M,328.90M,1.151B,243.30M,,,6.448B,0.0,199.00M,1.507B,1.032B,469.60M,97.00M,3.304B,-728.70M,2.576B,,,1.755B,828.70M,127.40M,5.287B,11.73B,218.20M,20.80M,,239.00M,751.30M,990.30M,,,,,,452.50M,452.50M,,1.443B,,708.50M,708.50M,,464.20M,464.20M,361.70M,1.534B,2.977B,0.10M,5.254B,3.912B,396.40M,,-12.30M,8.757B
2018-09,1.088B,1.104B,2.192B,2.203B,,2.203B,216.67M,435.67M,28.40M,358.94M,1.040B,284.81M,,,5.720B,,,,,,,,,2.524B,,,1.874B,562.82M,125.20M,5.086B,10.81B,172.36M,,,172.36M,781.92M,954.28M,,,,,,462.94M,462.94M,,1.417B,,707.20M,707.20M,,618.85M,618.85M,194.03M,1.520B,2.937B,0.112M,4.434B,3.841B,396.37M,,-10.52M,7.868B
2018-06,917.88M,765.64M,1.684B,2.039B,,2.039B,205.46M,400.83M,26.57M,295.68M,928.55M,163.60M,,,4.815B,,,,,,,,,2.462B,,,2.045B,545.08M,85.67M,5.137B,9.952B,171.91M,,,171.91M,670.71M,842.62M,,,,,,488.58M,488.58M,,1.331B,,705.90M,705.90M,,538.44M,538.44M,190.02M,1.434B,2.766B,0.112M,3.839B,3.713B,353.85M,,-11.61M,7.186B
