,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,842.10M,,,59.30M,59.30M,-0.10M,,101.20M,64.50M,-1.228B,-169.00M,-17.40M,59.90M,,,33.40M,-1.321B,-254.30M,-153.20M,,-622.60M,,-775.80M,481.90M,481.90M,303.10M,-173.00M,130.10M,,,612.00M,2.005B,-418.10M,1.587B,303.10M,1.982B,-1.50B,-173.00M
2020-06,897.30M,,,58.80M,58.80M,108.10M,,103.50M,-258.40M,121.90M,-162.60M,-36.30M,106.10M,,,5.00M,34.10M,943.40M,-129.90M,,1.583B,,1.453B,1.50B,1.50B,1.357B,-5.469B,-4.113B,,,-2.613B,2.221B,-216.00M,2.005B,1.357B,1.50B,,-5.469B
2020-03,624.60M,,,56.10M,56.10M,9.90M,,105.80M,82.60M,-169.00M,-70.80M,70.10M,-85.20M,,,73.90M,-181.00M,698.00M,-170.10M,,-273.10M,,-443.20M,,,811.40M,-475.80M,335.60M,,,335.60M,1.630B,590.40M,2.221B,811.40M,,,-475.80M
2019-12,792.00M,,,54.30M,54.30M,-20.60M,,133.50M,-142.50M,-8.60M,-108.30M,-155.20M,115.60M,,,127.20M,-29.30M,787.40M,-139.00M,,-69.70M,,-208.70M,0.00,0.00,48.30M,-394.00M,-345.70M,,,-345.70M,1.397B,233.00M,1.630B,48.30M,0.00,0.00,-394.00M
2019-09,669.60M,,,52.90M,52.90M,15.30M,,117.10M,2.50M,-217.00M,-59.00M,-8.40M,-52.70M,,,37.00M,-300.10M,557.30M,-121.70M,,-85.30M,,-207.00M,0.00,0.00,8.40M,-19.40M,-11.00M,,,-11.00M,1.058B,339.30M,1.397B,8.40M,0.00,0.00,-19.40M
2019-06,193.10M,,,52.10M,52.10M,-114.60M,,105.80M,134.50M,-156.40M,-109.60M,-21.10M,55.80M,,,48.70M,-182.60M,188.30M,-94.60M,,-741.40M,,-836.00M,0.00,0.00,14.50M,-29.80M,-15.30M,,,-15.30M,1.721B,-663.00M,1.058B,14.50M,0.00,,-29.80M
2019-03,461.10M,,,51.00M,51.00M,-10.70M,,107.90M,-23.80M,-91.10M,-58.60M,54.30M,325.80M,,,81.10M,311.50M,897.00M,-74.30M,,-701.80M,,-776.10M,,,140.60M,-20.70M,119.90M,,,119.90M,1.480B,240.80M,1.721B,140.60M,,,-20.70M
2018-12,820.40M,,,42.80M,42.80M,-106.50M,,126.70M,94.80M,-40.30M,-106.30M,32.10M,30.10M,,,-165.00M,-249.40M,728.80M,-85.50M,,-180.40M,0.00,-265.90M,,,27.10M,-110.10M,-83.00M,,,-83.00M,1.100B,379.90M,1.480B,27.10M,,,-110.10M
2018-09,594.60M,,,35.40M,35.40M,-18.00M,,111.50M,-27.80M,-163.70M,-99.50M,-147.20M,112.90M,,,54.70M,-242.80M,452.90M,-106.20M,,-170.50M,-10.00M,-286.70M,,,53.30M,-49.60M,3.70M,,,3.70M,930.40M,169.90M,1.100B,53.30M,,,-49.60M
2018-06,551.40M,,,33.60M,33.60M,-9.10M,,106.80M,-50.70M,-95.30M,-93.30M,-9.40M,-9.70M,,,-29.70M,-237.40M,394.60M,-112.00M,,-373.00M,,-485.00M,,,20.70M,-31.90M,-11.20M,,,-11.20M,1.032B,-101.60M,930.40M,20.70M,,,-31.90M
