,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,2.135B,2.294B,274.00M,2.02B,326.90M,684.60M,,,26.30M,-26.30M,-44.60M,966.90M,1.053B,26.30M,-26.30M,-28.50M,-26.30M,998.30M,156.20M,842.10M,,842.10M,842.10M,1.084B,59.30M,1.025B,7.98,,,7.98,7.98,7.39,,,7.39,7.39,105.50M,113.90M
2020-06,1.740B,1.952B,275.50M,1.676B,348.30M,722.00M,,,9.70M,-9.70M,-50.20M,1.020B,656.40M,9.70M,-9.70M,272.20M,-9.70M,918.90M,21.60M,897.30M,,897.30M,897.30M,987.40M,58.80M,928.60M,8.19,,,8.19,8.19,7.61,,,7.61,7.61,109.60M,117.90M
2020-03,1.765B,1.828B,217.30M,1.611B,367.30M,583.90M,,,6.10M,-6.10M,-40.40M,910.80M,700.10M,6.10M,-6.10M,-25.40M,-6.10M,668.60M,44.00M,624.60M,,624.60M,624.60M,730.80M,56.10M,674.70M,5.69,,,5.69,5.69,5.43,,,5.43,5.43,109.80M,115.10M
2019-12,2.834B,3.169B,238.80M,2.930B,944.70M,1.139B,,,6.70M,-6.70M,,2.255B,675.70M,6.70M,-6.70M,220.80M,-6.70M,889.80M,97.80M,792.00M,,792.00M,792.00M,950.80M,54.30M,896.50M,7.25,,,7.25,7.25,6.93,,,6.93,6.93,109.20M,114.30M
2019-09,1.707B,1.744B,225.50M,1.518B,304.40M,526.00M,,,7.80M,-7.80M,-50.70M,779.70M,738.50M,7.80M,-7.80M,37.80M,-7.80M,768.50M,98.90M,669.60M,,669.60M,669.60M,829.20M,52.90M,776.30M,6.12,,,6.12,6.12,5.86,,,5.86,5.86,109.40M,114.20M
2019-06,1.558B,1.578B,145.80M,1.432B,294.60M,885.50M,,,8.00M,-8.00M,-63.70M,1.116B,315.60M,8.00M,-8.00M,-82.90M,-8.00M,224.70M,31.60M,193.10M,,193.10M,193.10M,284.80M,52.10M,232.70M,1.77,,,1.77,1.77,1.68,,,1.68,1.68,109.20M,114.60M
2019-03,1.350B,1.373B,172.10M,1.200B,291.10M,486.10M,,,7.70M,-7.70M,-56.70M,720.50M,480.00M,7.70M,-7.70M,73.80M,-7.70M,546.10M,85.00M,461.10M,,461.10M,461.10M,604.80M,51.00M,553.80M,4.23,,,4.23,4.23,3.99,,,3.99,3.99,108.90M,115.50M
2018-12,1.826B,1.928B,117.10M,1.811B,491.30M,601.30M,,,7.40M,-7.40M,,1.093B,718.10M,7.40M,-7.40M,-34.50M,-7.40M,676.20M,-144.20M,820.40M,,820.40M,820.40M,726.40M,42.80M,683.60M,7.58,,,7.58,7.58,7.15,,,7.15,7.15,108.20M,114.80M
2018-09,1.546B,1.664B,110.40M,1.553B,369.20M,557.00M,,,7.40M,-7.40M,,926.20M,626.90M,7.40M,-7.40M,16.40M,-7.40M,635.90M,41.20M,594.70M,,594.70M,594.70M,678.70M,35.40M,643.30M,5.5,,,5.5,5.5,5.17,,,5.17,5.17,108.00M,115.10M
2018-06,1.497B,1.608B,91.70M,1.516B,364.80M,529.30M,,,6.90M,-6.90M,,894.10M,622.20M,6.90M,-6.90M,40.80M,-6.90M,656.10M,104.70M,551.40M,,551.40M,551.40M,696.60M,33.60M,663.00M,5.12,,,5.12,5.12,4.82,,,4.82,4.82,107.80M,114.50M
2018-03,1.425B,1.512B,114.90M,1.397B,330.80M,498.60M,,,6.40M,-6.40M,,829.40M,567.20M,6.40M,-6.40M,24.60M,-6.40M,585.40M,107.40M,478.00M,,478.00M,478.00M,628.20M,36.40M,591.80M,4.44,,,4.44,4.44,4.16,,,4.16,4.16,107.60M,114.90M
2017-12,1.475B,1.582B,105.78M,1.477B,409.88M,527.94M,,,6.016M,-6.016M,,937.82M,538.82M,6.016M,-6.016M,21.95M,-6.016M,554.76M,381.25M,173.51M,,173.51M,173.51M,595.31M,34.54M,560.77M,1.62,,,1.62,1.62,1.5,,,1.5,1.5,106.88M,115.62M
2017-09,1.439B,1.501B,104.23M,1.396B,306.77M,529.75M,,,6.182M,-6.182M,,836.52M,559.93M,6.182M,-6.182M,11.86M,-6.182M,565.60M,177.29M,388.32M,,388.32M,388.32M,609.51M,37.72M,571.79M,3.64,,,3.64,3.64,3.32,,,3.32,3.32,106.71M,117.03M
2017-06,1.357B,1.470B,102.92M,1.367B,306.91M,509.98M,,,5.401M,-5.401M,,816.88M,550.31M,5.401M,-5.401M,-19.06M,-5.401M,525.85M,138.11M,387.74M,,387.74M,387.74M,566.38M,35.13M,531.25M,3.66,,,3.66,3.66,3.34,,,3.34,3.34,106.03M,116.14M
2017-03,1.263B,1.319B,84.17M,1.235B,296.85M,507.44M,,,7.501M,-7.501M,,804.28M,430.54M,7.501M,-7.501M,9.248M,-7.501M,432.29M,183.36M,248.93M,,248.93M,248.93M,477.90M,38.12M,439.79M,2.36,,,2.36,2.36,2.16,,,2.16,2.16,105.57M,115.11M
2016-12,1.175B,1.227B,74.69M,1.152B,325.94M,479.21M,,,2.813M,-2.813M,,805.15M,346.96M,2.813M,-2.813M,-2.637M,-2.813M,341.51M,88.42M,253.09M,,253.09M,253.09M,373.18M,28.86M,344.32M,2.41,,,2.41,2.41,2.19,,,2.19,2.19,105.04M,115.50M
2016-09,1.193B,1.220B,44.23M,1.176B,270.04M,543.05M,,,0.496M,-0.496M,,813.09M,362.80M,0.496M,-0.496M,3.575M,-0.496M,365.88M,101.08M,264.80M,,264.80M,264.80M,394.22M,27.84M,366.38M,2.53,,,2.53,2.53,2.27,,,2.27,2.27,104.83M,116.47M
2016-06,1.190B,1.213B,69.03M,1.144B,292.04M,559.93M,,,1.251M,-1.251M,,851.97M,291.63M,1.251M,-1.251M,1.879M,-1.251M,292.26M,96.04M,196.22M,,196.22M,196.22M,318.54M,25.03M,293.51M,1.88,,,1.88,1.88,1.69,,,1.69,1.69,104.63M,116.23M
2016-03,1.183B,1.201B,111.75M,1.089B,289.68M,470.11M,,,2.64M,-2.64M,,759.79M,329.31M,2.64M,-2.64M,3.483M,-2.64M,330.15M,148.77M,181.38M,,181.38M,181.38M,355.77M,22.98M,332.79M,1.74,,,1.74,1.74,1.59,,,1.59,1.59,104.29M,114.23M
