,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,3.595B,35.00M,3.630B,4.887B,958.10M,5.845B,,,,3.555B,3.209B,,,16.24B,,,,,,,17.88B,-9.600B,8.281B,3.726B,7.589B,11.32B,2.476B,2.555B,3.078B,27.71B,43.95B,,1.430B,0.00,1.174B,2.604B,5.745B,8.349B,587.50M,587.50M,,,2.245B,11.98B,16.33B,,16.33B,2.108B,2.108B,,3.436B,169.10M,1.703B,26.97B,38.95B,,598.10M,7.154B,6.699B,55.70M,,,-6.555B,4.827B,,AOR,
2020-06,2.365B,22.80M,2.388B,4.829B,946.70M,5.776B,,,,3.314B,3.104B,,,14.58B,,,,,,,17.28B,-9.297B,7.981B,3.723B,7.712B,11.44B,2.406B,2.482B,3.080B,27.39B,41.97B,,1.247B,0.00,1.461B,2.708B,5.282B,7.990B,1.264B,1.264B,,,2.061B,11.99B,15.06B,,15.06B,2.039B,2.039B,,3.399B,179.10M,1.827B,25.71B,37.70B,,598.10M,6.617B,6.629B,55.70M,,,-6.683B,4.093B,,AOR,
2020-03,1.699B,78.40M,1.777B,5.106B,1.246B,6.352B,,,,3.102B,2.762B,,,13.99B,,,,,,,17.04B,-9.142B,7.898B,3.779B,7.767B,11.55B,2.149B,2.472B,3.045B,27.11B,41.10B,,1.208B,0.00,667.40M,1.875B,4.704B,6.579B,3.248B,3.248B,,,2.217B,12.61B,13.98B,,13.98B,2.186B,2.186B,,3.632B,118.40M,1.873B,25.30B,37.91B,,598.10M,5.879B,6.556B,55.70M,,,-6.886B,3.079B,,AOR,
2019-12,2.338B,101.00M,2.438B,4.547B,994.20M,5.542B,424.60M,2.068B,647.30M,3.191B,2.539B,,,13.71B,0.00,169.50M,7.067B,7.913B,532.10M,1.884B,17.57B,-9.162B,8.405B,3.679B,6.618B,10.30B,1.962B,2.573B,2.339B,25.58B,39.29B,,1.405B,671.50M,160.60M,2.237B,4.934B,7.171B,1.499B,1.499B,,,2.189B,11.78B,13.82B,486.70M,14.30B,2.188B,2.188B,,3.698B,92.20M,1.014B,24.81B,36.59B,,598.80M,4.920B,6.685B,60.80M,,,-6.524B,2.607B,,AOR,
2019-09,1.564B,89.20M,1.653B,4.442B,1.096B,5.538B,,,,3.101B,2.370B,,,12.66B,,,,,17.39B,,17.39B,-9.055B,8.337B,3.772B,6.689B,10.46B,1.825B,2.413B,2.194B,25.23B,37.89B,,1.115B,0.00,180.70M,1.296B,5.277B,6.573B,1.563B,1.563B,,,1.988B,10.83B,13.66B,485.20M,14.15B,2.414B,2.414B,,2.414B,79.80M,1.100B,23.60B,34.43B,,600.40M,4.982B,6.609B,60.80M,,,-5.734B,3.382B,,AOR,Restated
2019-06,2.290B,77.70M,2.368B,4.612B,977.50M,5.59B,,,,3.181B,2.316B,,,13.45B,,,,,17.35B,,17.35B,-8.956B,8.393B,3.820B,6.587B,10.41B,1.853B,2.507B,2.052B,25.21B,38.67B,,1.199B,593.90M,222.90M,2.016B,4.994B,7.009B,2.069B,2.069B,,,2.189B,11.86B,13.72B,503.30M,14.22B,2.381B,2.381B,,2.723B,76.80M,1.143B,23.95B,35.81B,,603.70M,4.318B,6.534B,62.10M,,,-5.600B,2.780B,,AOR,Restated
2019-03,2.036B,100.70M,2.137B,4.200B,977.50M,5.178B,,,,3.055B,2.227B,,,12.60B,,,,,17.12B,,17.12B,-8.792B,8.326B,3.856B,6.642B,10.50B,2.111B,2.511B,1.963B,25.41B,38.01B,,1.168B,0.00,491.40M,1.660B,4.456B,6.115B,2.355B,2.355B,,,2.254B,11.24B,13.61B,508.20M,14.12B,2.400B,2.400B,,2.758B,84.70M,1.170B,24.21B,35.44B,,607.10M,4.879B,5.757B,62.10M,,,-5.688B,2.480B,,AOR,Restated
2018-12,7.321B,88.20M,7.409B,4.594B,1.183B,5.777B,426.10M,2.058B,577.80M,3.098B,2.037B,,,20.55B,0.00,165.50M,7.117B,7.792B,,1.589B,16.66B,-8.667B,7.996B,1.367B,1.068B,2.435B,2.005B,2.614B,8.309B,23.36B,43.91B,,1.207B,650.80M,393.40M,2.251B,4.850B,7.101B,1.102B,1.102B,,,2.730B,11.89B,9.196B,0.00,9.196B,1.313B,1.313B,,2.802B,1.080B,1.358B,21.11B,33.00B,,661.00M,11.40B,6.584B,69.40M,,,-5.729B,9.829B,,AOR,Restated
2018-09,8.96B,76.10M,9.036B,4.859B,793.20M,5.653B,,,,4.118B,1.879B,,,20.69B,,,,,,,18.49B,-9.672B,8.814B,4.358B,3.619B,7.978B,2.006B,3.132B,2.009B,23.94B,44.63B,,1.281B,0.00,409.20M,1.690B,5.129B,6.820B,1.002B,1.002B,,,2.146B,10.83B,11.67B,,11.67B,,,,2.684B,1.074B,1.548B,19.65B,30.47B,,667.10M,14.41B,6.523B,69.40M,,,-5.440B,13.08B,,AOR,Restated
2018-06,6.817B,92.20M,6.910B,4.823B,756.10M,5.579B,,,,4.156B,1.689B,,,18.33B,,,,,,,18.34B,-9.566B,8.771B,4.333B,3.772B,8.105B,2.060B,3.314B,1.776B,24.03B,42.36B,,1.317B,578.20M,464.90M,2.36B,4.745B,7.105B,3.049B,3.049B,,,2.190B,13.06B,9.170B,,9.170B,,,,3.420B,65.60M,1.586B,17.68B,30.74B,,673.50M,14.25B,5.826B,69.40M,,,-6.109B,11.56B,,AOR,Restated
2018-03,3.084B,1.705B,4.790B,4.495B,775.60M,5.271B,,,,4.631B,1.57B,,,16.26B,,,,,,,18.50B,-9.540B,8.958B,4.412B,3.92B,8.332B,5.375B,3.682B,1.747B,28.09B,44.36B,,1.267B,,693.00M,1.960B,4.348B,6.308B,2.304B,2.304B,,,2.346B,11.55B,9.394B,,9.394B,,,,3.505B,60.80M,1.574B,18.22B,29.77B,,680.80M,16.61B,5.758B,69.30M,,,-5.438B,14.53B,,AOR,Restated
2017-12,6.536B,1.498B,8.034B,4.546B,715.90M,5.262B,488.80M,2.698B,1.211B,4.458B,1.448B,,,19.20B,0.00,192.70M,7.426B,8.689B,,1.784B,18.09B,-9.265B,8.826B,4.370B,4.029B,8.399B,5.679B,1.166B,1.708B,25.78B,44.98B,,1.411B,590.60M,532.90M,2.534B,4.465B,6.999B,3.707B,3.707B,,,2.832B,14.54B,9.940B,,9.940B,,,,3.514B,75.70M,1.546B,18.78B,33.31B,,687.90M,13.89B,5.818B,75.80M,,,-5.719B,11.59B,,AOR,Restated
