,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,7.44B,7.44B,1.720B,5.720B,1.554B,1.554B,1.838B,-30.10M,-336.20M,,,-83.40M,3.392B,2.328B,,,-83.40M,224.20M,-83.40M,2.469B,352.30M,2.117B,0.00,,,2.117B,2.405B,2.328B,,2.328B,,2.213,0.00,,,2.514,2.213,,2.213,0.00,,,2.514,2.213,,956.58M,956.58M,0.74,,AOR,
2020-09,5.741B,5.741B,1.326B,4.414B,1.569B,1.569B,1.465B,-43.00M,-101.40M,89.60M,5.80M,-83.80M,3.034B,1.380B,5.80M,89.60M,-83.80M,141.30M,-83.80M,1.437B,228.80M,1.208B,0.00,,,1.208B,1.294B,1.885B,358.40M,1.527B,,1.33,0.00,,,1.424,1.33,,1.33,0.00,,,1.424,1.33,,907.20M,911.40M,0.74,,AOR,
2020-06,5.499B,5.499B,1.222B,4.277B,1.449B,1.449B,1.390B,0.00,-241.80M,88.30M,7.10M,-81.20M,2.839B,1.439B,7.10M,88.30M,-81.20M,286.30M,-81.20M,1.644B,231.70M,1.412B,0.00,,,1.412B,1.620B,2.056B,324.40M,1.732B,,1.56,0.00,,,1.789,1.56,,1.55,0.00,,,1.778,1.55,,907.20M,910.90M,0.74,,AOR,
2020-03,5.860B,5.860B,1.215B,4.645B,1.550B,1.550B,1.392B,50.10M,-112.20M,92.50M,14.30M,-78.20M,2.942B,1.703B,14.30M,92.50M,-78.20M,55.10M,-78.20M,1.680B,223.40M,1.456B,0.00,,,1.456B,1.554B,2.046B,273.60M,1.772B,,1.60,0.00,,,1.707,1.60,,1.60,0.00,,,1.707,1.60,,908.20M,911.70M,0.74,,AOR,
2019-12,6.114B,6.114B,1.283B,4.831B,1.698B,1.698B,1.581B,70.30M,-94.40M,95.90M,13.20M,-82.70M,3.280B,1.552B,13.20M,95.90M,-82.70M,193.90M,-82.70M,1.663B,167.40M,1.496B,0.00,,,1.496B,1.581B,2.100B,340.70M,1.759B,,1.562,0.00,,,1.655,1.562,,1.562,0.00,,,1.655,1.562,,909.64M,915.54M,0.645,,AOR,
2019-09,5.477B,5.477B,1.175B,4.302B,1.412B,1.412B,1.381B,0.00,-77.70M,107.40M,17.30M,-90.10M,2.793B,1.508B,17.30M,107.40M,-90.10M,-12.50M,-90.10M,1.406B,151.90M,1.254B,0.00,,,1.254B,1.323B,1.801B,288.00M,1.513B,,1.37,0.00,,,1.446,1.37,,1.37,0.00,,,1.445,1.37,,913.90M,918.50M,0.645,,AOR,Restated
2019-06,5.637B,5.637B,1.125B,4.512B,1.586B,1.586B,1.402B,0.00,-25.00M,110.90M,19.40M,-91.50M,2.988B,1.523B,19.40M,110.90M,-91.50M,34.10M,-91.50M,1.466B,138.70M,1.327B,0.00,,,1.327B,1.350B,1.824B,247.40M,1.577B,,1.44,0.00,,,1.465,1.44,,1.44,0.00,,,1.464,1.44,,920.80M,924.60M,0.645,,AOR,Restated
2019-03,5.092B,5.092B,1.139B,3.954B,1.517B,1.517B,1.230B,427.50M,-560.80M,86.50M,30.60M,-55.90M,2.748B,1.206B,30.60M,86.50M,-55.90M,-418.90M,-55.90M,731.10M,170.00M,561.10M,3.680B,,,4.242B,991.23M,1.174B,356.50M,817.60M,,0.57,3.76,,,1.009,4.33,,0.57,3.74,,,1.007,4.31,,979.90M,984.00M,0.645,,AOR,Restated
2018-12,5.638B,5.638B,1.130B,4.508B,1.694B,1.694B,1.392B,42.40M,-522.10M,57.20M,40.50M,-16.70M,3.085B,1.422B,40.50M,57.20M,-16.70M,-474.00M,-16.70M,931.60M,-189.80M,1.121B,3.60M,,,1.125B,1.503B,1.334B,345.50M,988.80M,,1.064,-0.01,,,1.441,1.064,,1.064,-0.01,,,1.437,1.064,,1.011B,1.021B,0.5625,,AOR,Restated
2018-09,5.307B,5.307B,1.153B,4.154B,1.457B,1.457B,1.281B,48.10M,-72.90M,60.80M,32.10M,-28.70M,2.738B,1.416B,32.10M,60.80M,-28.70M,-46.10M,-28.70M,1.341B,247.50M,1.094B,55.90M,,,1.150B,1.153B,1.817B,415.50M,1.402B,,1.07,0.06,,,1.128,1.13,,1.07,0.05,,,1.128,1.12,,1.020B,1.026B,0.5625,,AOR,Restated
2018-06,5.585B,5.585B,1.234B,4.351B,1.486B,1.486B,1.271B,-0.90M,-1.599B,63.30M,41.20M,-22.10M,2.757B,1.594B,41.20M,63.30M,-22.10M,-1.530B,-22.10M,41.70M,273.30M,-231.60M,-28.30M,,,-259.90M,935.67M,530.20M,425.20M,105.00M,,-0.22,-0.03,,,0.9131,-0.25,,-0.22,-0.03,,,0.9131,-0.25,,1.030B,1.030B,0.5625,,AOR,Restated
2018-03,4.964B,4.964B,1.165B,3.799B,1.339B,1.339B,1.108B,49.50M,-56.80M,61.20M,45.50M,-15.70M,2.446B,1.353B,45.50M,61.20M,-15.70M,28.40M,-15.70M,1.366B,198.50M,1.167B,50.20M,,,1.217B,1.216B,1.850B,422.80M,1.427B,,1.11,0.05,,,1.156,1.16,,1.11,0.05,,,1.156,1.16,,1.048B,1.050B,0.5625,,AOR,Restated
