,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,1.208B,0.00,,,-144.50M,358.40M,358.40M,159.70M,,71.70M,-96.50M,,,249.40M,1.807B,,-415.10M,,-393.10M,-22.00M,0.00,89.40M,12.20M,-313.50M,,1.074B,-678.90M,394.80M,,0.00,0.00,-671.60M,-671.60M,-2.30M,-279.10M,,2.365B,1.214B,16.20M,3.595B,,,1.074B,0.00,0.00,,AOR,
2020-06,1.412B,0.00,,,-765.00M,324.40M,324.40M,-104.70M,,76.80M,625.40M,,,926.50M,2.495B,,-523.20M,,-281.80M,-241.40M,0.00,360.10M,-47.30M,-210.40M,,988.60M,-1.984B,-995.50M,,0.00,0.00,-674.20M,-674.20M,-3.50M,-1.673B,,1.699B,611.80M,54.30M,2.365B,,,988.60M,0.00,0.00,,AOR,
2020-03,1.456B,,,,,273.60M,273.60M,11.20M,,71.80M,-22.60M,,,-1.408B,382.40M,,-271.30M,,-258.30M,-13.00M,-849.30M,8.30M,51.40M,-1.061B,,-276.30M,1.749B,1.472B,,-500.00M,-500.00M,-671.30M,-671.30M,-194.40M,106.70M,,2.338B,-571.80M,-66.70M,1.699B,,,,-276.30M,-500.00M,,AOR,
2019-12,1.496B,-309.80M,,,-132.20M,340.70M,340.70M,85.80M,,81.60M,15.60M,,,76.50M,1.964B,,-326.50M,,-326.50M,0.00,-19.20M,72.30M,232.00M,-41.40M,,-158.00M,-63.50M,-221.50M,,-300.00M,-300.00M,-587.20M,-587.20M,-4.90M,-1.114B,,1.564B,808.70M,-35.00M,2.338B,,,2.108B,-2.266B,-300.00M,,AOR,
2019-09,1.254B,0.00,,,-50.10M,288.00M,288.00M,-12.10M,,75.50M,202.20M,,,-247.30M,1.510B,,-341.10M,,-263.40M,-77.70M,0.00,58.80M,-141.50M,-423.80M,,-0.10M,-505.40M,-505.50M,,-600.00M,-600.00M,-587.40M,-587.40M,0.00,-1.693B,,2.290B,-606.60M,-119.80M,1.564B,,,0.00,-0.10M,-600.00M,,AOR,Restated
2019-06,1.327B,0.00,,,-127.50M,247.40M,247.40M,61.10M,,79.50M,265.90M,,,-802.10M,1.052B,,-285.30M,,-240.30M,-45.00M,0.00,299.90M,46.40M,61.00M,,-0.20M,-286.10M,-286.30M,,0.00,0.00,-598.00M,-598.00M,-1.50M,-885.80M,,2.036B,226.70M,27.10M,2.290B,,,0.00,-0.20M,0.00,,AOR,Restated
2019-03,4.242B,-3.680B,,,-3.680B,356.50M,356.50M,-72.40M,,75.80M,104.60M,,,-714.30M,311.30M,,-400.60M,,-203.70M,-196.90M,-6.918B,25.20M,-385.60M,-7.679B,,3.848B,1.850B,5.699B,,-3.50B,-3.50B,-637.20M,-637.20M,-193.70M,1.368B,,7.998B,-6.000B,37.80M,2.036B,,,4.448B,-600.00M,-3.50B,,AOR,Restated
2018-12,1.125B,,,,,345.50M,345.50M,165.20M,,72.80M,480.70M,,,-740.50M,1.449B,,-623.70M,,-394.30M,-229.40M,,-36.40M,1.10M,-659.00M,,-7.60M,99.20M,91.60M,0.00,-1.10B,-1.10B,-572.60M,-572.60M,-58.70M,-1.640B,,8.96B,-850.00M,-111.80M,7.998B,,0.00,0.00,-7.60M,-1.10B,,AOR,Restated
2018-09,1.150B,0.00,,,0.00,415.50M,415.50M,26.80M,,68.50M,167.60M,,,293.90M,2.122B,,-299.80M,,-269.80M,-30.00M,0.00,45.20M,-143.50M,-398.10M,,2.478B,-2.048B,429.30M,1.660B,-1.00B,659.70M,-572.60M,-572.60M,-83.70M,432.70M,,6.817B,2.156B,-13.70M,8.96B,,1.660B,2.478B,0.00,-1.00B,,AOR,Restated
2018-06,-259.90M,0.00,,,0.00,425.20M,425.20M,157.50M,,70.20M,1.787B,,,-662.10M,1.518B,,-1.858B,,-310.00M,-1.548B,0.00,5.016B,-24.10M,3.133B,,-201.20M,953.80M,752.60M,,-950.70M,-950.70M,-579.30M,-579.30M,-54.00M,-831.40M,,3.084B,3.820B,-86.50M,6.817B,,,0.00,-201.20M,-950.70M,,AOR,Restated
2018-03,1.217B,0.00,,,0.00,422.80M,422.80M,-22.70M,,68.00M,21.00M,,,-1.27B,436.50M,,-236.50M,,-236.50M,0.00,0.00,87.40M,-21.20M,-170.30M,,-800.30M,-1.202B,-2.003B,,-1.10B,-1.10B,-587.30M,-587.30M,-176.40M,-3.866B,,6.536B,-3.600B,148.40M,3.084B,,,0.00,-800.30M,-1.10B,,AOR,Restated
2017-12,-1.657B,,,,,411.90M,411.90M,-939.60M,,72.20M,125.80M,,525.20M,3.730B,1.744B,,-493.50M,,-443.50M,-50.00M,0.00,2.144B,2.90M,1.653B,,0.00,170.70M,170.70M,,-99.90M,-99.90M,-548.30M,-548.30M,-64.80M,-542.30M,,3.724B,2.854B,-42.20M,6.536B,,,0.00,0.00,-99.90M,,AOR,Restated
2017-09,555.60M,,,,,372.90M,372.90M,-143.40M,,69.90M,432.80M,,593.30M,593.30M,1.881B,,-447.70M,,-242.70M,-205.00M,0.00,-1.249B,-61.10M,-1.758B,,-0.10M,1.101B,1.101B,0.00,0.00,0.00,-547.70M,-547.70M,-52.60M,500.70M,,3.070B,623.80M,30.60M,3.724B,,0.00,0.00,-0.10M,0.00,,AOR,Restated
2017-06,1.008B,,,,,395.60M,395.60M,166.30M,,69.90M,134.80M,,-123.50M,-123.50M,1.651B,,-221.60M,,-221.60M,0.00,0.00,-1.918B,-109.10M,-2.249B,,2.232B,-371.80M,1.860B,,-199.90M,-199.90M,-548.70M,-548.70M,-51.40M,1.060B,,2.617B,462.10M,-9.10M,3.070B,,,2.232B,-0.30M,-199.90M,,AOR,Restated
2017-03,-110.80M,,,,,386.90M,386.90M,128.80M,,69.30M,860.70M,,-995.00M,-995.00M,339.90M,,-1.001B,,-169.00M,-831.80M,-882.10M,461.10M,-7.80M,-1.430B,,-630.20M,497.50M,-132.70M,,,,-547.40M,-547.40M,-195.60M,-875.70M,,4.582B,-1.965B,0.20M,2.617B,,,,-630.20M,,,AOR,Restated
2016-12,771.80M,,,,,344.60M,344.60M,88.70M,,66.80M,107.90M,,,626.70M,2.006B,,-464.80M,,-336.40M,-55.00M,0.00,-731.70M,-55.00M,-1.178B,,0.00,1.295B,1.295B,,-300.00M,-300.00M,-541.10M,-541.10M,-68.60M,385.20M,,3.489B,1.214B,-120.50M,4.582B,,,0.00,0.00,-300.00M,,AOR,Restated
2016-09,778.00M,,,,,392.80M,392.80M,182.20M,,61.50M,61.50M,,,185.70M,1.662B,,-227.50M,,-227.50M,0.00,0.00,-523.90M,-43.30M,-794.70M,,-0.10M,-0.30M,-0.40M,,0.00,0.00,-537.90M,-537.90M,-61.80M,-600.10M,,3.238B,266.90M,-15.90M,3.489B,,,0.00,-0.10M,0.00,,AOR,Restated
2016-06,747.70M,,,,,373.70M,373.70M,138.00M,,65.00M,-8.90M,,,86.40M,1.402B,,-245.40M,,-245.40M,0.00,-45.00M,-735.20M,4.70M,-1.021B,,1.206B,-0.30M,1.206B,,0.00,0.00,-541.20M,-541.20M,-85.70M,579.30M,,2.308B,960.30M,-29.90M,3.238B,,,1.207B,-0.10M,0.00,,AOR,Restated
2016-03,440.10M,,,,,385.50M,385.50M,30.60M,,62.00M,245.60M,,,-1.383B,-219.10M,,-154.30M,,-154.30M,0.00,0.00,45.40M,-36.50M,-145.40M,,0.00,-1.10M,-1.10M,,-300.10M,-300.10M,-538.30M,-538.30M,-84.70M,-924.20M,,3.666B,-1.289B,-70.10M,2.308B,,,,0.00,-300.10M,,AOR,Restated
