,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-04,205.00M,,,,50.00M,50.00M,-7.00M,,,12.00M,,1.00M,-16.00M,0.00,-11.00M,,57.00M,30.00M,,303.00M,,-48.00M,,-48.00M,,-1.00M,0.00,-2.00M,-51.00M,,-112.00M,82.00M,-30.00M,,-46.00M,-46.00M,-48.00M,-48.00M,11.00M,-1.00M,-114.00M,,2.896B,138.00M,-16.00M,3.018B,2018-04,,,82.00M,-112.00M,-46.00M,16.00M,,2018-04,AOR,Restated
2018-01,-320.00M,,,,51.00M,51.00M,-6.00M,,,31.00M,,1.00M,-5.00M,-34.00M,-3.00M,,495.00M,453.00M,,215.00M,,-60.00M,,-60.00M,,-6.00M,-1.00M,,-67.00M,,-139.00M,274.00M,135.00M,,-47.00M,-47.00M,-48.00M,-48.00M,25.00M,-28.00M,37.00M,,2.686B,185.00M,25.00M,2.896B,2018-01,,,274.00M,-139.00M,-47.00M,32.00M,,2018-01,AOR,Restated
2017-10,177.00M,,,,52.00M,52.00M,19.00M,,,12.00M,,2.00M,-52.00M,-15.00M,-9.00M,,97.00M,21.00M,,288.00M,,-58.00M,,-58.00M,,0.00,-1.00M,0.00,-59.00M,,273.00M,-343.00M,-70.00M,,0.00,0.00,-43.00M,-43.00M,8.00M,-1.00M,-106.00M,,2.563B,123.00M,-6.00M,2.686B,2017-10,,,57.00M,-127.00M,0.00,7.00M,,2017-10,AOR,Restated
2017-07,175.00M,,,,51.00M,51.00M,63.00M,,,13.00M,,3.00M,19.00M,-17.00M,5.00M,,-88.00M,-81.00M,,228.00M,,-43.00M,,-43.00M,,-57.00M,0.00,-1.00M,-101.00M,,-76.00M,115.00M,39.00M,,0.00,0.00,-42.00M,-42.00M,32.00M,0.00,29.00M,,2.389B,156.00M,18.00M,2.563B,2017-07,,,115.00M,-76.00M,0.00,15.00M,,2017-07,AOR,Restated
2017-04,164.00M,,,,54.00M,54.00M,4.00M,,,15.00M,,0.00,-17.00M,-3.00M,-3.00M,,35.00M,12.00M,,257.00M,,-43.00M,,-43.00M,,0.00,,,-43.00M,,-45.00M,97.00M,52.00M,,-83.00M,-83.00M,-43.00M,-43.00M,8.00M,-1.00M,-67.00M,,2.241B,147.00M,1.00M,2.389B,2017-04,,,97.00M,-45.00M,-83.00M,14.00M,,2017-04,AOR,Restated
2017-01,168.00M,,,,55.00M,55.00M,16.00M,,,20.00M,,2.00M,-31.00M,-26.00M,9.00M,,-104.00M,-152.00M,,116.00M,,-32.00M,,-32.00M,,-69.00M,0.00,,-101.00M,,-42.00M,131.00M,89.00M,,-111.00M,-111.00M,-42.00M,-42.00M,18.00M,-12.00M,-58.00M,,2.289B,-43.00M,-5.00M,2.241B,2017-01,,,131.00M,-42.00M,-111.00M,27.00M,,2017-01,AOR,Restated
2016-10,126.00M,,,,56.00M,56.00M,-31.00M,,,11.00M,,-11.00M,-52.00M,4.00M,12.00M,,86.00M,50.00M,,234.00M,,-52.00M,,-52.00M,,-26.00M,0.00,0.00,-78.00M,,282.00M,-255.00M,27.00M,,-46.00M,-46.00M,-38.00M,-38.00M,3.00M,-2.00M,-56.00M,,2.199B,100.00M,-10.00M,2.289B,2016-10,,,299.00M,-272.00M,-46.00M,13.00M,,2016-10,AOR,Restated
2016-07,124.00M,,,,60.00M,60.00M,-1.00M,,,11.00M,,8.00M,0.00,2.00M,26.00M,,-40.00M,-12.00M,,194.00M,,-24.00M,,-24.00M,,0.00,0.00,0.00,-24.00M,,0.00,0.00,0.00,,-94.00M,-94.00M,-37.00M,-37.00M,27.00M,-1.00M,-105.00M,,2.139B,65.00M,-5.00M,2.199B,2016-07,,,0.00,0.00,-94.00M,33.00M,,2016-07,AOR,Restated
2016-04,91.00M,,,,64.00M,64.00M,31.00M,,,13.00M,,6.00M,34.00M,0.00,-35.00M,,42.00M,41.00M,,254.00M,,-25.00M,,-25.00M,,-3.00M,-80.00M,0.00,-108.00M,,0.00,155.00M,155.00M,,-94.00M,-94.00M,-37.00M,-37.00M,8.00M,0.00,32.00M,,1.931B,178.00M,30.00M,2.139B,2016-04,,,155.00M,0.00,-94.00M,-16.00M,,2016-04,AOR,Restated
2016-01,121.00M,,,,66.00M,66.00M,4.00M,,,23.00M,,2.00M,-15.00M,-13.00M,-18.00M,,-63.00M,-109.00M,,111.00M,,-38.00M,,-38.00M,,-235.00M,1.00M,244.00M,-28.00M,,-20.00M,100.00M,80.00M,,-200.00M,-200.00M,-38.00M,-38.00M,24.00M,-5.00M,-139.00M,,2.003B,-56.00M,-16.00M,1.931B,2016-01,,,100.00M,-20.00M,-200.00M,37.00M,,2016-01,AOR,Restated
2015-10,140.00M,,,,60.00M,60.00M,86.00M,,,11.00M,,3.00M,-25.00M,-6.00M,21.00M,,-62.00M,-72.00M,,241.00M,,-27.00M,1.00M,-26.00M,,-8.00M,,-241.00M,-275.00M,,,,,,0.00,0.00,-33.00M,-33.00M,1.00M,-1.00M,-33.00M,,2.075B,-67.00M,-5.00M,2.003B,2015-10,0.00,,,,0.00,8.00M,,2015-10,AOR,Restated
2015-07,111.00M,,,,62.00M,62.00M,-20.00M,,,10.00M,,8.00M,-15.00M,0.00,-12.00M,,-43.00M,-70.00M,,108.00M,,-19.00M,0.00,-19.00M,,-66.00M,0.00,-2.00M,-87.00M,,0.00,0.00,0.00,,-99.00M,-99.00M,-33.00M,-33.00M,17.00M,-12.00M,-127.00M,,2.197B,-106.00M,-16.00M,2.075B,2015-07,0.00,,0.00,0.00,-99.00M,121.00M,,2015-07,AOR,Restated
2015-04,87.00M,,,,63.00M,63.00M,-2.00M,,,11.00M,,2.00M,31.00M,-13.00M,4.00M,,-9.00M,13.00M,,183.00M,,-20.00M,11.00M,-9.00M,,2.00M,0.00,0.00,-7.00M,,0.00,0.00,0.00,,-162.00M,-162.00M,-33.00M,-33.00M,32.00M,62.00M,-101.00M,,2.118B,75.00M,4.00M,2.197B,2015-04,0.00,,0.00,0.00,-162.00M,,,2015-04,AOR,Restated
2015-01,63.00M,,,,68.00M,68.00M,6.00M,,,22.00M,,3.00M,-15.00M,-5.00M,-39.00M,,-127.00M,-186.00M,,-20.00M,,-32.00M,,-32.00M,,,,1.00M,-31.00M,,0.00,0.00,0.00,,-6.00M,-6.00M,-34.00M,-34.00M,8.00M,-796.00M,-828.00M,,2.218B,-69.00M,-31.00M,2.118B,2015-01,810.00M,,0.00,0.00,-6.00M,,,2015-01,AOR,Restated
2014-10,68.00M,-15.00M,,-25.00M,93.00M,93.00M,-210.00M,,,19.00M,3.00M,39.00M,-119.00M,-26.00M,79.00M,,223.00M,157.00M,,184.00M,,-43.00M,0.00,-43.00M,,-10.00M,0.00,-5.00M,-58.00M,,649.00M,-85.00M,564.00M,,0.00,0.00,-44.00M,-44.00M,52.00M,-31.00M,541.00M,,2.391B,667.00M,-30.00M,3.028B,2014-10,0.00,,1.101B,-537.00M,0.00,,,2014-10,AOR,Restated
2014-07,147.00M,-8.00M,,-8.00M,98.00M,98.00M,10.00M,,,19.00M,0.00,-14.00M,3.00M,-17.00M,-73.00M,,-153.00M,-240.00M,,28.00M,,-64.00M,12.00M,-52.00M,,-20.00M,1.00M,1.00M,-70.00M,,-550.00M,85.00M,-465.00M,,-50.00M,-50.00M,-44.00M,-44.00M,41.00M,0.00,-518.00M,,2.95B,-560.00M,1.00M,2.391B,2014-07,0.00,,85.00M,-550.00M,-50.00M,,,2014-07,AOR,Restated
2014-04,139.00M,,,,97.00M,97.00M,13.00M,,,22.00M,0.00,2.00M,-43.00M,-23.00M,45.00M,,61.00M,40.00M,,325.00M,,-53.00M,2.00M,-51.00M,,-4.00M,,,-55.00M,,,,,,-50.00M,-50.00M,-44.00M,-44.00M,22.00M,0.00,-72.00M,,2.742B,198.00M,10.00M,2.95B,2014-04,0.00,,,,-50.00M,,,2014-04,AOR,Restated
2014-01,195.00M,,,,96.00M,96.00M,-5.00M,,,36.00M,-3.00M,6.00M,40.00M,-33.00M,-1.00M,,-148.00M,-142.00M,,194.00M,,-45.00M,,-45.00M,,-2.00M,,,-47.00M,,,,,,-100.00M,-100.00M,-44.00M,-44.00M,73.00M,3.00M,-68.00M,,2.675B,79.00M,-12.00M,2.742B,2014-01,0.00,,,,-100.00M,,,2014-01,AOR,Restated
2013-10,221.00M,,,,95.00M,95.00M,-5.00M,,,19.00M,0.00,-2.00M,-17.00M,-19.00M,20.00M,,51.00M,35.00M,,377.00M,,-32.00M,0.00,-32.00M,,-10.00M,-9.00M,,-51.00M,,0.00,,0.00,,0.00,0.00,-39.00M,-39.00M,45.00M,0.00,6.00M,,2.33B,332.00M,13.00M,2.675B,2013-10,,,0.00,0.00,0.00,,,2013-10,AOR,Restated
