,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2008-07,169.00M,,0.00,0.00,57.00M,57.00M,-15.00M,1.00M,,18.00M,,7.00M,40.00M,-2.00M,-1.00M,-74.00M,-31.00M,-68.00M,,169.00M,,-39.00M,0.00,-39.00M,,-41.00M,18.00M,2.00M,-60.00M,,-40.00M,,-40.00M,114.00M,-250.00M,-136.00M,,,,,-176.00M,,1.71B,-67.00M,-3.00M,1.64B,2008-07,,114.00M,240.00M,-280.00M,-250.00M,,,2008-07,,Restated
2008-04,173.00M,,,-3.00M,51.00M,51.00M,52.00M,3.00M,,49.00M,,-43.00M,-56.00M,-5.00M,-65.00M,183.00M,-14.00M,43.00M,,325.00M,,-37.00M,0.00,-37.00M,,-17.00M,35.00M,3.00M,-16.00M,,250.00M,,250.00M,15.00M,-263.00M,-248.00M,,,,,2.00M,,1.385B,311.00M,14.00M,1.71B,2008-04,,15.00M,250.00M,0.00,-263.00M,,,2008-04,,Restated
2008-01,120.00M,,,3.00M,49.00M,49.00M,6.00M,,,,,34.00M,30.00M,-31.00M,-15.00M,-183.00M,-9.00M,-208.00M,,4.00M,,-34.00M,14.00M,-20.00M,,-113.00M,-176.00M,14.00M,-295.00M,,,,,69.00M,-237.00M,-168.00M,,,,,-168.00M,,1.826B,-459.00M,18.00M,1.385B,2008-01,,69.00M,,,-237.00M,,,2008-01,,
2007-10,180.00M,,,0.00,48.00M,48.00M,-105.00M,,,,,44.00M,31.00M,25.00M,1.00M,184.00M,-10.00M,231.00M,,398.00M,,-39.00M,0.00,-39.00M,,-20.00M,-12.00M,2.00M,-69.00M,,,,598.00M,31.00M,-631.00M,-600.00M,,,,,-7.00M,,1.486B,322.00M,18.00M,1.826B,2007-10,,31.00M,,,-631.00M,,,2007-10,,
2007-07,185.00M,,,-7.00M,50.00M,50.00M,-21.00M,,,,,36.00M,-5.00M,-16.00M,17.00M,-64.00M,1.00M,-67.00M,,176.00M,,-36.00M,18.00M,-18.00M,,-239.00M,0.00,-1.00M,-258.00M,,,,-4.00M,197.00M,-677.00M,-480.00M,,,,,-484.00M,,2.05B,-566.00M,2.00M,1.486B,2007-07,,197.00M,,,-677.00M,,,2007-07,,
2007-04,123.00M,,,-6.00M,47.00M,47.00M,-7.00M,,,,,47.00M,-30.00M,-10.00M,34.00M,89.00M,15.00M,98.00M,,302.00M,,-42.00M,7.00M,-35.00M,,-14.00M,12.00M,1.00M,-36.00M,,,,,62.00M,-382.00M,-320.00M,,,,,-320.00M,,2.09B,-54.00M,14.00M,2.05B,2007-04,,62.00M,,,-382.00M,,,2007-04,,
2007-01,150.00M,,,-1.00M,46.00M,46.00M,-1.00M,,,,,41.00M,26.00M,-20.00M,-65.00M,-64.00M,-19.00M,-142.00M,,93.00M,,-37.00M,1.00M,-36.00M,,-58.00M,,1.00M,-93.00M,,,,,85.00M,-254.00M,-169.00M,,,,,-169.00M,,2.262B,-169.00M,-3.00M,2.09B,2007-01,,85.00M,,,-254.00M,,,2007-01,,
2006-10,149.00M,,,26.00M,36.00M,36.00M,-10.00M,,,,,-3.00M,98.00M,-28.00M,-33.00M,26.00M,-1.00M,62.00M,141.00M,401.00M,,-20.00M,2.00M,-18.00M,,-20.00M,8.00M,-1.00M,-66.00M,,,,0.00,-87.00M,-56.00M,-143.00M,,,,-319.00M,-322.00M,,2.249B,13.00M,0.00,2.262B,2006-10,,-87.00M,,,-56.00M,,,2006-10,,
2006-07,227.00M,,,-86.00M,49.00M,49.00M,10.00M,,,,,55.00M,-54.00M,-10.00M,17.00M,-85.00M,-45.00M,-177.00M,-13.00M,65.00M,,-60.00M,116.00M,56.00M,,-6.00M,103.00M,-2.622B,40.00M,,,,0.00,186.00M,-701.00M,-515.00M,,,,0.00,-515.00M,,2.657B,-410.00M,2.00M,2.249B,2006-07,,186.00M,,,-701.00M,,,2006-07,,
2006-04,1.952B,,,-111.00M,44.00M,44.00M,-30.00M,,,,,97.00M,-23.00M,19.00M,27.00M,93.00M,30.00M,146.00M,-1.802B,296.00M,,-55.00M,-3.404B,-3.459B,,-9.00M,2.439B,935.00M,-94.00M,,,,0.00,213.00M,-487.00M,-274.00M,,,,-17.00M,-291.00M,,2.737B,-89.00M,9.00M,2.657B,2006-04,,213.00M,,,-487.00M,,,2006-04,,
2006-01,979.00M,,,-850.00M,41.00M,41.00M,11.00M,,,,,,-13.00M,-36.00M,45.00M,-207.00M,-105.00M,-316.00M,7.00M,-128.00M,,-50.00M,3.493B,3.443B,,-15.00M,-1.556B,50.00M,1.916B,,,,1.50B,235.00M,-2.991B,-2.756B,,,,-24.00M,-1.28B,,2.226B,508.00M,3.00M,2.737B,2006-01,,235.00M,,,-2.991B,,,2006-01,,
2005-10,169.00M,,,-5.00M,39.00M,39.00M,-43.00M,,,,,28.00M,23.00M,1.00M,45.00M,245.00M,-1.00M,313.00M,-82.00M,419.00M,,-16.00M,9.00M,-7.00M,,-17.00M,-16.00M,-2.00M,-78.00M,,,,-685.00M,83.00M,,-207.00M,,,,,-892.00M,,2.782B,-551.00M,-5.00M,2.226B,2005-10,,83.00M,,,,,,2005-10,,
2005-07,54.00M,,,-57.00M,49.00M,49.00M,19.00M,,,,,65.00M,14.00M,9.00M,-22.00M,-94.00M,65.00M,-28.00M,36.00M,138.00M,,-45.00M,2.00M,-43.00M,,-37.00M,-8.00M,7.00M,-85.00M,,,,0.00,53.00M,,53.00M,,,,,53.00M,,2.685B,106.00M,-9.00M,2.782B,2005-07,,53.00M,,,,,,2005-07,,
2005-04,53.00M,,,-4.00M,44.00M,44.00M,4.00M,,,,,,-34.00M,15.00M,-9.00M,66.00M,-12.00M,26.00M,82.00M,205.00M,,-23.00M,36.00M,13.00M,,-10.00M,9.00M,9.00M,20.00M,,,,-26.00M,4.00M,,4.00M,,,,,-22.00M,,2.483B,203.00M,-1.00M,2.685B,2005-04,,4.00M,,,,,,2005-04,,
2005-01,51.00M,,,6.00M,48.00M,48.00M,8.00M,,,,,,44.00M,-13.00M,5.00M,-78.00M,-5.00M,-47.00M,71.00M,137.00M,,-44.00M,7.00M,-37.00M,,,10.00M,-30.00M,-57.00M,,,,23.00M,58.00M,,58.00M,,,,,81.00M,,2.315B,161.00M,7.00M,2.483B,2005-01,,58.00M,,,,,,2005-01,,
2004-10,94.00M,,,-58.00M,-14.00M,-14.00M,-67.00M,,,,,58.00M,85.00M,83.00M,78.00M,51.00M,54.00M,351.00M,,417.00M,,11.00M,-2.00M,9.00M,,,-14.00M,7.00M,-53.00M,,,,0.00,1.00M,,1.00M,,,,,1.00M,,1.937B,365.00M,14.00M,2.315B,2004-10,,1.00M,,,,,,2004-10,,
2004-07,100.00M,,,8.00M,70.00M,70.00M,31.00M,,,,,-1.00M,-77.00M,-9.00M,-55.00M,-9.00M,-17.00M,-167.00M,,41.00M,,-26.00M,28.00M,2.00M,,,5.00M,-7.00M,0.00,,,,0.00,53.00M,,53.00M,,,,,53.00M,,1.842B,94.00M,,1.937B,2004-07,,53.00M,,,,,,2004-07,,
2004-04,104.00M,,,7.00M,75.00M,75.00M,-10.00M,,,,,,-20.00M,10.00M,20.00M,55.00M,-59.00M,6.00M,,182.00M,,-35.00M,8.00M,-27.00M,,,0.00,,-27.00M,,,,2.00M,17.00M,,17.00M,,,,,19.00M,,1.678B,174.00M,-10.00M,1.842B,2004-04,,17.00M,,,,,,2004-04,,
2004-01,71.00M,,,14.00M,81.00M,81.00M,-7.00M,,,,,,47.00M,-71.00M,6.00M,-122.00M,11.00M,-129.00M,,30.00M,,-29.00M,,-29.00M,,,-5.00M,,-34.00M,,,,-1.00M,66.00M,,66.00M,,,,,65.00M,,1.607B,61.00M,10.00M,1.678B,2004-01,,66.00M,,,,,,2004-01,,
2003-10,13.00M,,,2.00M,89.00M,89.00M,-14.00M,,,,,,-117.00M,45.00M,30.00M,264.00M,-103.00M,119.00M,,209.00M,,-57.00M,0.00,-57.00M,,,,0.00,-57.00M,,,,-3.00M,8.00M,,8.00M,,,,,5.00M,,1.43B,157.00M,,1.607B,2003-10,,8.00M,,,,,,2003-10,,
2003-07,-1.556B,,,69.00M,91.00M,91.00M,1.402B,,,,,,-24.00M,68.00M,48.00M,-187.00M,-2.00M,-97.00M,,-91.00M,,-62.00M,-1.00M,-63.00M,,,2.00M,-4.00M,-65.00M,,,,0.00,53.00M,,53.00M,,,,,53.00M,,1.533B,-103.00M,,1.43B,2003-07,,53.00M,,,,,,2003-07,,
2003-04,-146.00M,,,22.00M,100.00M,100.00M,-168.00M,,,,,,7.00M,14.00M,7.00M,-88.00M,61.00M,1.00M,,-191.00M,,-38.00M,4.00M,-34.00M,,,0.00,,-34.00M,,,,3.00M,1.00M,,1.00M,,,,,4.00M,,1.754B,-221.00M,,1.533B,2003-04,,1.00M,,,,,,2003-04,,
2003-01,-369.00M,,,277.00M,82.00M,82.00M,-149.00M,,,,,,186.00M,30.00M,-16.00M,-73.00M,-59.00M,68.00M,,-91.00M,,-48.00M,3.00M,-45.00M,,,-2.00M,,-47.00M,,,,-2.00M,50.00M,,50.00M,,,,,48.00M,,1.844B,-90.00M,,1.754B,2003-01,,50.00M,,,,,,2003-01,,
2002-10,-235.00M,,,176.00M,187.00M,187.00M,-667.00M,,,,,,-243.00M,96.00M,-63.00M,227.00M,380.00M,397.00M,-1.00M,-143.00M,,-88.00M,-26.00M,-114.00M,,,-8.00M,31.00M,-106.00M,,,,-2.00M,-10.00M,,-10.00M,,,,,-12.00M,,2.105B,-261.00M,,1.844B,2002-10,,-10.00M,,,,,,2002-10,,
2002-07,-223.00M,,,9.00M,180.00M,180.00M,-22.00M,,,,,,38.00M,20.00M,31.00M,321.00M,-535.00M,-125.00M,65.00M,-116.00M,,-58.00M,0.00,-58.00M,,,-12.00M,0.00,-70.00M,,,,-3.00M,59.00M,,59.00M,,,,,56.00M,,2.235B,-130.00M,,2.105B,2002-07,,59.00M,,,,,,2002-07,,
2002-04,-247.00M,,,1.00M,169.00M,169.00M,-24.00M,,,,,,-96.00M,71.00M,8.00M,-85.00M,85.00M,-17.00M,23.00M,-95.00M,,-86.00M,7.00M,-79.00M,,,0.00,237.00M,158.00M,,,,1.00M,10.00M,,10.00M,,,,,-16.00M,,2.188B,47.00M,,2.235B,2002-04,,10.00M,,,,,,2002-04,,
2002-01,-317.00M,,,21.00M,199.00M,199.00M,49.00M,,,,,,162.00M,91.00M,-65.00M,-237.00M,-47.00M,-96.00M,,-144.00M,,-69.00M,19.00M,-50.00M,,,-3.00M,,-53.00M,,,,1.126B,62.00M,,62.00M,,,,,1.215B,,1.17B,1.018B,,2.188B,2002-01,,62.00M,,,,,,2002-01,,
2001-10,-449.00M,,,252.00M,218.00M,218.00M,-101.00M,,,,,,168.00M,-16.00M,-158.00M,-466.00M,195.00M,-277.00M,1.654B,1.297B,,-151.00M,-274.00M,-425.00M,,0.00,70.00M,-2.00M,-357.00M,,,,-787.00M,18.00M,,18.00M,,,,,-769.00M,,999.00M,171.00M,,1.17B,2001-10,,18.00M,,,,,,2001-10,,
2001-07,-220.00M,,,116.00M,211.00M,211.00M,-49.00M,,,,,,298.00M,21.00M,-132.00M,79.00M,-24.00M,242.00M,-33.00M,267.00M,,-275.00M,56.00M,-219.00M,,-2.00M,3.00M,59.00M,-159.00M,,,,11.00M,71.00M,,71.00M,,,,,82.00M,,809.00M,190.00M,,999.00M,2001-07,,71.00M,,,,,,2001-07,,
2001-04,37.00M,,,-163.00M,166.00M,166.00M,45.00M,,,,,,373.00M,-103.00M,-24.00M,-158.00M,-33.00M,55.00M,-5.00M,135.00M,,-282.00M,518.00M,236.00M,,-148.00M,0.00,-67.00M,21.00M,,,,217.00M,3.00M,,3.00M,,,,,220.00M,,433.00M,376.00M,,809.00M,2001-04,,3.00M,,,,,,2001-04,,
2001-01,154.00M,,,9.00M,139.00M,139.00M,11.00M,,,,,,94.00M,-275.00M,-166.00M,-25.00M,-138.00M,-510.00M,,-197.00M,,-173.00M,59.00M,-114.00M,,-754.00M,-26.00M,24.00M,-870.00M,,,,446.00M,58.00M,,58.00M,,,,,504.00M,,996.00M,-563.00M,,433.00M,2001-01,,58.00M,,,,,,2001-01,,
2000-10,301.00M,,,-81.00M,139.00M,139.00M,-40.00M,,,,,,-54.00M,-132.00M,74.00M,71.00M,130.00M,89.00M,19.00M,427.00M,,-360.00M,232.00M,-128.00M,,-21.00M,-10.00M,4.00M,-155.00M,,,,2.049B,-2.028B,,-2.028B,,,,0.00,21.00M,,703.00M,293.00M,,996.00M,2000-10,,-2.028B,,,,,,2000-10,,
2000-07,143.00M,,,11.00M,136.00M,136.00M,40.00M,,,,,,-345.00M,-169.00M,271.00M,46.00M,-163.00M,-360.00M,57.00M,27.00M,,-217.00M,4.00M,-213.00M,,-148.00M,-15.00M,1.00M,-375.00M,,,,-3.118B,42.00M,,42.00M,,,,3.149B,73.00M,,978.00M,-275.00M,,703.00M,2000-07,,42.00M,,,,,,2000-07,,
2000-04,97.00M,,,-4.00M,89.00M,89.00M,-59.00M,,,,,,-488.00M,-64.00M,203.00M,-253.00M,253.00M,-349.00M,171.00M,-55.00M,,-135.00M,36.00M,-99.00M,,-305.00M,95.00M,-15.00M,-324.00M,,,,1.068B,2.00M,2.068B,2.07B,,,,-3.149B,-11.00M,,1.368B,-390.00M,,978.00M,2000-04,,2.00M,,,2.068B,,,2000-04,,
2000-01,131.00M,,,,96.00M,96.00M,,,,,,,190.00M,-66.00M,-192.00M,445.00M,-220.00M,157.00M,,384.00M,,-91.00M,61.00M,-30.00M,,-160.00M,-42.00M,24.00M,-208.00M,,,,111.00M,2.068B,-2.068B,0.00,,,,1.081B,1.192B,,0.00,1.368B,,1.368B,2000-01,,2.068B,,,-2.068B,,,2000-01,,
