,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,1.483B,1.483B,695.00M,788.00M,387.00M,102.00M,,19.00M,1.00M,-18.00M,,489.00M,299.00M,1.00M,19.00M,-18.00M,2.00M,-18.00M,283.00M,61.00M,222.00M,,,222.00M,222.00M,302.00M,,2020-10,0.72,,0.72,,2020-10,0.71,,0.71,,2020-10,0.18,,2020-10,AOR,
2020-07,1.261B,1.261B,592.00M,669.00M,347.00M,92.00M,,19.00M,1.00M,-18.00M,,439.00M,230.00M,1.00M,19.00M,-18.00M,7.00M,-18.00M,219.00M,20.00M,199.00M,,,199.00M,199.00M,238.00M,,2020-07,0.64,,0.64,,2020-07,0.64,,0.64,,2020-07,0.18,,2020-07,AOR,
2020-04,1.238B,1.238B,581.00M,657.00M,358.00M,197.00M,,20.00M,3.00M,-17.00M,,555.00M,102.00M,3.00M,20.00M,-17.00M,36.00M,-17.00M,121.00M,20.00M,101.00M,,,101.00M,101.00M,141.00M,,2020-04,0.33,,0.33,,2020-04,0.32,,0.32,,2020-04,0.18,,2020-04,AOR,
2020-01,1.357B,1.357B,634.00M,723.00M,404.00M,104.00M,,20.00M,3.00M,-17.00M,,508.00M,215.00M,3.00M,20.00M,-17.00M,21.00M,-17.00M,219.00M,22.00M,197.00M,,,197.00M,197.00M,239.00M,,2020-01,0.64,,0.64,,2020-01,0.63,,0.63,,2020-01,0.18,,2020-01,AOR,
2019-10,1.367B,1.367B,630.00M,737.00M,385.00M,102.00M,,21.00M,6.00M,-15.00M,,487.00M,250.00M,6.00M,21.00M,-15.00M,-4.00M,-15.00M,231.00M,37.00M,194.00M,,,194.00M,194.00M,252.00M,,2019-10,0.63,,0.63,,2019-10,0.62,,0.62,,2019-10,0.164,,2019-10,AOR,Restated
2019-07,1.274B,1.274B,582.00M,692.00M,366.00M,101.00M,,18.00M,10.00M,-8.00M,,467.00M,225.00M,10.00M,18.00M,-8.00M,5.00M,-8.00M,222.00M,31.00M,191.00M,,,191.00M,191.00M,240.00M,,2019-07,0.61,,0.61,,2019-07,0.60,,0.60,,2019-07,0.164,,2019-07,AOR,Restated
2019-04,1.238B,1.238B,569.00M,669.00M,354.00M,99.00M,,17.00M,10.00M,-7.00M,,453.00M,216.00M,10.00M,17.00M,-7.00M,9.00M,-7.00M,218.00M,36.00M,182.00M,,,182.00M,182.00M,235.00M,,2019-04,0.57,,0.57,,2019-04,0.57,,0.57,,2019-04,0.164,,2019-04,AOR,Restated
2019-01,1.284B,1.284B,577.00M,707.00M,355.00M,102.00M,,18.00M,10.00M,-8.00M,,457.00M,250.00M,10.00M,18.00M,-8.00M,6.00M,-8.00M,248.00M,-256.00M,504.00M,,,504.00M,504.00M,266.00M,,2019-01,1.58,,1.58,,2019-01,1.57,,1.57,,2019-01,0.164,,2019-01,AOR,Restated
2018-10,1.294B,1.294B,586.00M,708.00M,360.00M,104.00M,,18.00M,10.00M,-8.00M,,464.00M,244.00M,10.00M,18.00M,-8.00M,8.00M,-8.00M,244.00M,49.00M,195.00M,,,195.00M,195.00M,262.00M,,2018-10,0.61,,0.61,,2018-10,0.61,,0.61,,2018-10,0.149,,2018-10,AOR,Restated
2018-07,1.203B,1.203B,544.00M,659.00M,341.00M,97.00M,,18.00M,9.00M,-9.00M,,438.00M,221.00M,9.00M,18.00M,-9.00M,30.00M,-9.00M,242.00M,6.00M,236.00M,,,236.00M,236.00M,260.00M,,2018-07,0.74,,0.74,,2018-07,0.73,,0.73,,2018-07,0.149,,2018-07,AOR,Restated
2018-04,1.206B,1.206B,563.00M,643.00M,341.00M,92.00M,,19.00M,10.00M,-9.00M,,433.00M,210.00M,10.00M,19.00M,-9.00M,26.00M,-9.00M,227.00M,22.00M,205.00M,,,205.00M,205.00M,246.00M,,2018-04,0.64,,0.64,,2018-04,0.63,,0.63,,2018-04,0.149,,2018-04,AOR,Restated
2018-01,1.211B,1.211B,541.00M,670.00M,347.00M,94.00M,,20.00M,9.00M,-11.00M,,441.00M,229.00M,9.00M,20.00M,-11.00M,15.00M,-11.00M,233.00M,553.00M,-320.00M,,,-320.00M,-320.00M,253.00M,,2018-01,-0.99,,-0.99,,2018-01,-0.99,,-0.99,,2018-01,0.149,,2018-01,AOR,Restated
2017-10,1.189B,1.189B,552.00M,637.00M,347.00M,91.00M,,20.00M,7.00M,-13.00M,,438.00M,199.00M,7.00M,20.00M,-13.00M,40.00M,-13.00M,226.00M,49.00M,177.00M,,,177.00M,177.00M,246.00M,,2017-10,0.55,,0.55,,2017-10,0.54,,0.54,,2017-10,0.132,,2017-10,AOR,Restated
2017-07,1.114B,1.114B,518.00M,596.00M,308.00M,87.00M,,19.00M,6.00M,-13.00M,,395.00M,201.00M,6.00M,19.00M,-13.00M,5.00M,-13.00M,193.00M,18.00M,175.00M,,,175.00M,175.00M,212.00M,,2017-07,0.55,,0.55,,2017-07,0.54,,0.54,,2017-07,0.132,,2017-07,AOR,Restated
2017-04,1.102B,1.102B,510.00M,592.00M,307.00M,84.00M,,20.00M,5.00M,-15.00M,,391.00M,201.00M,5.00M,20.00M,-15.00M,5.00M,-15.00M,191.00M,27.00M,164.00M,,,164.00M,164.00M,211.00M,,2017-04,0.51,,0.51,,2017-04,0.50,,0.50,,2017-04,0.132,,2017-04,AOR,Restated
2017-01,1.067B,1.067B,493.00M,574.00M,289.00M,79.00M,,20.00M,4.00M,-16.00M,,368.00M,206.00M,4.00M,20.00M,-16.00M,3.00M,-16.00M,193.00M,25.00M,168.00M,,,168.00M,168.00M,213.00M,,2017-01,0.52,,0.52,,2017-01,0.52,,0.52,,2017-01,0.132,,2017-01,AOR,Restated
2016-10,1.111B,1.111B,523.00M,588.00M,321.00M,84.00M,,19.00M,3.00M,-16.00M,,405.00M,183.00M,3.00M,19.00M,-16.00M,-16.00M,-16.00M,151.00M,25.00M,126.00M,,,126.00M,126.00M,170.00M,,2016-10,0.38,0.00,0.38,,2016-10,0.38,0.00,0.38,,2016-10,0.115,,2016-10,AOR,Restated
2016-07,1.044B,1.044B,502.00M,542.00M,310.00M,86.00M,,17.00M,3.00M,-14.00M,,396.00M,146.00M,3.00M,17.00M,-14.00M,2.00M,-14.00M,134.00M,10.00M,124.00M,,,124.00M,124.00M,151.00M,,2016-07,0.38,,0.38,,2016-07,0.38,,0.38,,2016-07,0.115,,2016-07,AOR,Restated
2016-04,1.019B,1.019B,489.00M,530.00M,318.00M,81.00M,,18.00M,3.00M,-15.00M,,399.00M,131.00M,3.00M,18.00M,-15.00M,1.00M,-15.00M,117.00M,26.00M,91.00M,,,91.00M,91.00M,135.00M,,2016-04,0.28,,0.28,,2016-04,0.28,,0.28,,2016-04,0.115,,2016-04,AOR,Restated
2016-01,1.028B,1.028B,491.00M,537.00M,304.00M,78.00M,,18.00M,2.00M,-16.00M,,382.00M,155.00M,2.00M,18.00M,-16.00M,3.00M,-16.00M,142.00M,21.00M,121.00M,,,121.00M,121.00M,160.00M,,2016-01,0.37,,0.37,,2016-01,0.36,,0.36,,2016-01,0.115,,2016-01,AOR,Restated
