,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,120.00M,,,,,,19.30M,19.30M,,1.20M,1.20M,,,,,,,-35.80M,91.20M,,231.70M,,-20.10M,,,19.50M,,-0.60M,,-0.70M,,-0.70M,,0.00,0.00,-42.20M,-42.20M,7.00M,,-35.90M,,377.90M,195.20M,573.10M,,,,,,0.00,,AOR,
2020-09,105.40M,,,,,,20.70M,20.70M,,1.10M,1.10M,,,,,,,23.90M,23.90M,,151.10M,,-11.90M,,0.00,0.10M,,-11.80M,,-167.20M,,-167.20M,,0.00,0.00,-38.70M,-38.70M,1.80M,,-204.10M,,442.70M,-64.80M,377.90M,,,,,2.90M,0.00,,AOR,
2020-06,67.80M,,,,,,19.90M,19.90M,,1.40M,1.40M,,,,,,,36.10M,36.10M,,125.20M,,-12.00M,,0.00,9.80M,,-2.20M,,-61.40M,,-61.40M,,0.00,0.00,-38.80M,-38.80M,3.80M,,-96.40M,,416.10M,26.60M,442.70M,,,,-58.50M,-2.90M,0.00,,AOR,
2020-03,51.70M,,,,,,20.10M,20.10M,,9.00M,9.00M,,,,,,,-26.70M,-26.70M,,54.10M,,-12.80M,,,39.20M,,26.40M,,58.50M,,58.50M,,-56.70M,-56.70M,-39.00M,-39.00M,-1.20M,,-38.40M,,374.00M,42.10M,416.10M,,,,58.50M,,-56.70M,,AOR,
2019-12,91.30M,,,,,,20.20M,20.20M,,1.00M,1.00M,,,,,,,21.00M,63.70M,,176.20M,,-14.10M,,0.00,123.80M,,109.70M,,-35.30M,,-35.30M,,-57.70M,-57.70M,-39.20M,-39.20M,0.90M,0.00,-131.30M,,219.40M,154.60M,374.00M,,,,,,-57.70M,,AOR,Restated
2019-09,87.30M,,,,,,19.70M,19.70M,,1.50M,1.50M,,,,,,,27.80M,27.80M,,136.30M,,-13.80M,,0.00,-10.00M,,-23.80M,,-39.40M,,-39.40M,,-97.40M,-97.40M,-36.00M,-36.00M,-0.90M,-1.00M,-174.70M,,281.60M,-62.20M,219.40M,,,,-137.30M,,-97.40M,,AOR,Restated
2019-06,102.10M,,,,,,18.20M,18.20M,,2.10M,2.10M,,,,,,,-0.30M,-0.30M,,122.10M,,-15.60M,,-107.00M,-7.20M,,-129.80M,,74.30M,,74.30M,,-87.00M,-87.00M,-36.90M,-36.90M,1.10M,,-48.50M,,337.80M,-56.20M,281.60M,,,,74.30M,,-87.00M,,AOR,Restated
2019-03,89.30M,,,,,,20.20M,20.20M,,8.70M,8.70M,,,,,,,-96.60M,-96.60M,,21.60M,,-20.90M,,,98.70M,,77.80M,,63.00M,,63.00M,,-45.60M,-45.60M,-37.10M,-37.10M,-1.60M,,-21.30M,,259.70M,78.10M,337.80M,,,,63.00M,,-45.60M,,AOR,Restated
2018-12,126.30M,,,,,,18.70M,18.70M,,0.40M,0.40M,,,,,,,61.30M,14.30M,,159.70M,,-26.70M,,0.00,-0.40M,,-27.10M,,28.10M,,28.10M,,-96.60M,-96.60M,-37.60M,-37.60M,0.20M,0.00,-105.90M,,233.00M,26.70M,259.70M,,,,,,-96.60M,,AOR,Restated
2018-09,104.60M,,,,,,17.80M,17.80M,,1.80M,1.80M,,,,,,,-8.20M,-8.20M,,116.00M,,-19.00M,,0.00,-0.70M,,-19.70M,,-54.80M,,-54.80M,,-36.30M,-36.30M,-30.70M,-30.70M,0.80M,-2.30M,-123.30M,,260.00M,-27.00M,233.00M,,,,,162.30M,-36.30M,,AOR,Restated
2018-06,114.50M,,,,,,17.50M,17.50M,,1.40M,1.40M,,,,,,,-3.40M,-3.40M,,130.00M,,-22.20M,,0.00,21.40M,,-0.80M,,-45.00M,,-45.00M,,-36.60M,-36.60M,-30.80M,-30.80M,1.30M,,-111.10M,,241.90M,18.10M,260.00M,,,,,-45.00M,-36.60M,,AOR,Restated
2018-03,98.80M,,,,,,17.90M,17.90M,,6.50M,6.50M,,,,,,,-80.00M,-80.00M,,43.20M,,-17.30M,,,52.20M,,34.90M,,-117.30M,,-117.30M,,-33.10M,-33.10M,-31.00M,-31.00M,-1.40M,,-182.80M,,346.60M,-104.70M,241.90M,,,,,-117.30M,-33.10M,,AOR,Restated
2017-12,22.70M,,,,,,18.20M,18.20M,,1.40M,1.40M,,,,,,,167.30M,52.10M,,176.20M,,-27.80M,,0.00,-18.80M,,-46.60M,,-39.30M,,-39.30M,,-35.80M,-35.80M,-24.10M,-24.10M,-4.00M,,-104.90M,,321.90M,24.70M,346.60M,,,,-125.80M,,-35.80M,,AOR,Restated
2017-09,93.70M,,,,,,17.60M,17.60M,,1.30M,1.30M,,,,,,,-35.60M,-35.60M,,77.00M,,-30.10M,,-43.10M,-2.10M,,-75.30M,,74.50M,,74.50M,,-37.10M,-37.10M,-24.20M,-24.20M,0.40M,,13.60M,,306.60M,15.30M,321.90M,,,,74.50M,,-37.10M,,AOR,Restated
2017-06,92.40M,,,,,,17.40M,17.40M,,1.30M,1.30M,,,,,,,-26.40M,-26.40M,,84.70M,,-19.50M,,,1.20M,,-18.30M,,5.60M,,5.60M,,-36.10M,-36.10M,-24.20M,-24.20M,1.50M,,-53.20M,,293.40M,13.20M,306.60M,,,,5.60M,,-36.10M,,AOR,Restated
2017-03,87.70M,,,,,,16.90M,16.90M,,5.90M,5.90M,,,,,,,-122.00M,-122.00M,,-11.50M,,-16.80M,,,-1.10M,,-17.90M,,45.70M,,45.70M,,-30.10M,-30.10M,-24.40M,-24.40M,1.20M,,-7.60M,,330.40M,-37.00M,293.40M,,,,45.70M,,-30.10M,,AOR,Restated
2016-12,82.70M,,,,,,16.40M,16.40M,,1.30M,1.30M,,,,,,,14.10M,82.60M,,183.00M,,-22.00M,,-0.30M,-31.40M,,-53.70M,,-12.40M,,-12.40M,,-35.00M,-35.00M,-21.00M,-21.00M,0.20M,,-68.20M,,269.30M,61.10M,330.40M,,,,-12.40M,,-35.00M,,AOR,Restated
2016-09,83.20M,,,,,,16.60M,16.60M,,1.20M,1.20M,,,,,,,7.50M,7.50M,,108.50M,,-21.00M,,-90.50M,-31.40M,,-142.90M,,54.40M,,54.40M,,-18.00M,-18.00M,-21.00M,-21.00M,0.90M,,16.30M,,287.40M,-18.10M,269.30M,,,,54.40M,,-18.00M,,AOR,Restated
2016-06,87.10M,,,,,,15.90M,15.90M,,1.80M,1.80M,,,,,,,23.80M,23.80M,,128.60M,,-18.30M,,,-54.80M,,-73.10M,,-5.30M,,-5.30M,,-51.70M,-51.70M,-21.00M,-21.00M,4.40M,,-73.60M,,305.50M,-18.10M,287.40M,,,,-5.30M,,-51.70M,,AOR,Restated
2016-03,73.50M,,,,,,16.20M,16.20M,,5.10M,5.10M,,,,,,,-68.30M,-68.30M,,26.50M,,-19.40M,,,-11.10M,,-30.50M,,37.40M,,37.40M,,-30.50M,-30.50M,-21.20M,-21.20M,0.20M,,-14.10M,,323.60M,-18.10M,305.50M,,,,37.40M,,-30.50M,,AOR,Restated
2015-12,79.80M,,0.00,0.00,,,15.70M,15.70M,,1.00M,1.00M,,,,,,,0.30M,17.10M,1.00M,114.60M,,-19.60M,,,-5.00M,,-24.60M,,-11.20M,,-11.20M,,-23.80M,-23.80M,-16.90M,-16.90M,2.60M,,-49.30M,,282.90M,40.70M,323.60M,,,,-33.60M,22.40M,-23.80M,,AOR,Restated
2015-09,73.60M,,0.10M,-0.10M,,,15.70M,15.70M,,1.00M,1.00M,,,,,,,86.10M,86.10M,-0.40M,175.90M,,-22.10M,,,-26.80M,,-48.90M,,-17.90M,,-17.90M,,-57.00M,-57.00M,-16.90M,-16.90M,-0.40M,,-92.20M,,248.10M,34.80M,282.90M,,,,-2.70M,-15.20M,-57.00M,,AOR,Restated
2015-06,71.10M,,0.00,0.10M,,,16.00M,16.00M,,1.10M,1.10M,,,,,,,-26.30M,-26.30M,-0.40M,61.60M,,-16.10M,,,-13.70M,,-29.80M,,-24.70M,,-24.70M,,-26.60M,-26.60M,-16.90M,-16.90M,0.40M,,-67.80M,,284.10M,-36.00M,248.10M,,,,-17.50M,-7.20M,-26.60M,,AOR,Restated
2015-03,58.40M,,0.00,0.10M,,,15.60M,15.60M,,5.70M,5.70M,,,,,,,-80.00M,-80.00M,-0.20M,-0.40M,,-14.90M,,,-67.90M,,-82.80M,,81.90M,,81.90M,,-20.70M,-20.70M,-17.10M,-17.10M,3.80M,,47.90M,,319.40M,-35.30M,284.10M,,,,81.90M,,-20.70M,,AOR,Restated
