,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,834.50M,834.50M,510.40M,324.10M,171.20M,,,0.00,1.00M,-1.00M,,171.20M,152.90M,1.00M,-1.00M,0.00,-1.00M,151.90M,31.90M,120.00M,,,,,120.00M,120.00M,172.20M,19.30M,152.90M,,0.7418,,0.7418,0.7418,,0.74,,0.74,0.74,,161.63M,162.87M,0.26,,AOR,
2020-09,760.00M,760.00M,462.90M,297.10M,159.40M,,,-1.60M,1.60M,-1.60M,,159.40M,137.70M,1.60M,-1.60M,1.20M,-1.60M,137.30M,31.90M,105.40M,,,,,105.40M,106.63M,159.60M,20.70M,138.90M,,0.65,,0.6576,0.65,,0.65,,0.6576,0.65,,161.41M,162.48M,0.24,,AOR,
2020-06,663.90M,663.90M,416.40M,247.50M,155.90M,,,-6.10M,2.50M,-2.50M,,155.90M,91.60M,2.50M,-2.50M,-2.10M,-2.50M,87.00M,19.20M,67.80M,,,,,67.80M,72.55M,109.40M,19.90M,89.50M,,0.42,,0.4495,0.42,,0.42,,0.4493,0.42,,161.21M,162.17M,0.24,,AOR,
2020-03,636.90M,636.90M,397.40M,239.50M,173.80M,,,,2.20M,-2.20M,,173.80M,65.70M,2.20M,-2.20M,4.20M,-2.20M,67.70M,16.00M,51.70M,,,,,51.70M,51.70M,90.00M,20.10M,69.90M,,0.32,,0.32,0.32,,0.32,,0.32,0.32,,161.87M,162.90M,0.24,,AOR,
2019-12,750.90M,750.90M,455.90M,295.00M,179.90M,,,0.00,2.50M,-2.50M,,179.90M,115.10M,2.50M,-2.50M,2.90M,-2.50M,115.50M,24.20M,91.30M,,,,,91.30M,91.30M,138.20M,20.20M,118.00M,,0.5623,,0.5623,0.5623,,0.56,,0.56,0.56,,162.91M,164.16M,0.24,,AOR,Restated
2019-09,728.20M,728.20M,444.00M,284.20M,172.30M,,,0.00,3.10M,-3.10M,,172.30M,111.90M,3.10M,-3.10M,4.00M,-3.10M,112.80M,25.50M,87.30M,,,,,87.30M,87.30M,135.60M,19.70M,115.90M,,0.53,,0.53,0.53,,0.53,,0.53,0.53,,164.30M,165.54M,0.22,,AOR,Restated
2019-06,765.40M,765.40M,456.70M,308.70M,178.70M,,,0.00,3.40M,-3.40M,,178.70M,130.00M,3.40M,-3.40M,5.60M,-3.40M,132.20M,30.10M,102.10M,,,,,102.10M,102.10M,153.80M,18.20M,135.60M,,0.61,,0.61,0.61,,0.61,,0.61,0.61,,166.83M,168.09M,0.22,,AOR,Restated
2019-03,748.20M,748.20M,455.40M,292.80M,184.70M,,,,2.00M,-2.00M,,184.70M,108.10M,2.00M,-2.00M,5.50M,-2.00M,111.60M,22.30M,89.30M,,,,,89.30M,89.30M,133.80M,20.20M,113.60M,,0.53,,0.53,0.53,,0.53,,0.53,0.53,,167.80M,169.10M,0.22,,AOR,Restated
2018-12,812.50M,812.50M,475.50M,337.00M,186.10M,,,0.00,1.80M,-1.80M,,186.10M,150.90M,1.80M,-1.80M,5.70M,-1.80M,154.80M,28.50M,126.30M,,,,,126.30M,126.30M,175.30M,18.70M,156.60M,,0.7357,,0.7357,0.7357,,0.7357,,0.7357,0.7357,,169.27M,170.62M,0.22,,AOR,Restated
2018-09,754.10M,754.10M,448.10M,306.00M,177.60M,,,0.00,2.00M,-2.00M,,177.60M,128.40M,2.00M,-2.00M,5.10M,-2.00M,131.50M,26.90M,104.60M,,,,,104.60M,104.60M,151.30M,17.80M,133.50M,,0.61,,0.61,0.61,,0.61,,0.61,0.61,,170.51M,172.08M,0.18,,AOR,Restated
