,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,573.10M,116.50M,689.60M,585.00M,,585.00M,159.20M,21.80M,143.40M,,300.10M,,43.30M,1.618B,0.00,11.60M,349.20M,861.80M,41.60M,1.264B,-681.30M,582.90M,546.80M,323.90M,870.70M,,89.10M,1.543B,3.161B,,595.20M,,595.20M,284.30M,879.50M,,,6.80M,6.80M,,886.30M,106.40M,34.40M,140.80M,,,94.50M,13.60M,,,177.20M,426.10M,1.312B,,295.40M,2.510B,520.40M,1.156B,,,-321.20M,1.848B,,AOR,
2020-09,377.90M,131.10M,509.00M,572.90M,,572.90M,161.30M,22.10M,143.00M,,302.60M,,45.80M,1.430B,,,,,1.238B,1.238B,-658.80M,579.30M,544.80M,325.80M,870.60M,,90.90M,1.541B,2.971B,,516.90M,,516.90M,282.20M,799.10M,,,6.80M,6.80M,,805.90M,107.10M,34.90M,142.00M,,,,10.10M,,,266.00M,418.10M,1.224B,,295.40M,2.432B,518.70M,1.162B,,,-336.50M,1.747B,,AOR,
2020-06,442.70M,126.00M,568.70M,515.90M,,515.90M,172.80M,22.70M,134.30M,,306.00M,,53.80M,1.444B,,,,,1.216B,1.216B,-636.70M,579.00M,544.00M,329.50M,873.50M,,87.30M,1.540B,2.984B,,435.70M,,435.70M,292.90M,728.60M,,,6.80M,6.80M,,735.40M,274.30M,37.50M,311.80M,,,,13.80M,,,265.10M,590.70M,1.326B,,295.40M,2.365B,517.10M,1.164B,,,-355.80M,1.658B,,AOR,
2020-03,416.10M,135.60M,551.70M,524.00M,,524.00M,171.70M,21.60M,142.80M,,312.30M,,54.50M,1.442B,,,,,1.204B,1.204B,-622.20M,582.20M,542.60M,333.10M,875.70M,,82.60M,1.540B,2.983B,,442.00M,,442.00M,250.30M,692.30M,,,6.80M,6.80M,,699.10M,335.60M,37.30M,372.90M,,,,20.80M,,,273.90M,667.60M,1.367B,,295.40M,2.336B,516.10M,1.169B,,,-362.40M,1.616B,,AOR,
2019-12,374.00M,177.40M,551.40M,589.50M,,589.50M,168.30M,21.70M,136.80M,,303.00M,,56.50M,1.500B,0.00,11.60M,334.10M,811.20M,46.90M,1.204B,-611.50M,592.30M,546.00M,338.40M,884.40M,,80.90M,1.558B,3.058B,,509.60M,,509.60M,250.10M,759.70M,,,6.80M,6.80M,,766.50M,277.20M,38.70M,315.90M,,,92.40M,27.80M,,,188.60M,624.70M,1.391B,,295.40M,2.323B,509.00M,1.113B,,,-348.30M,1.667B,,AOR,Restated
2019-09,219.40M,294.40M,513.80M,614.10M,,614.10M,175.70M,24.60M,140.20M,,310.00M,,66.50M,1.504B,,,,,1.186B,1.186B,-593.90M,591.90M,547.40M,339.50M,886.90M,,84.70M,1.564B,3.068B,,483.10M,,483.10M,240.50M,723.60M,,,6.80M,6.80M,,730.40M,312.40M,39.60M,352.00M,,,,36.50M,,,292.80M,681.30M,1.412B,,295.40M,2.272B,507.30M,1.056B,,,-361.60M,1.656B,,AOR,Restated
2019-06,281.60M,296.20M,577.80M,634.80M,,634.80M,177.80M,21.40M,154.50M,,323.10M,,60.90M,1.597B,,,,,1.187B,1.187B,-584.40M,602.30M,547.90M,343.70M,891.60M,,85.10M,1.579B,3.176B,,488.40M,,488.40M,235.40M,723.80M,,,6.80M,6.80M,,730.60M,351.80M,39.90M,391.70M,,,,37.00M,,,291.20M,719.90M,1.450B,,295.40M,2.220B,506.70M,958.80M,,,-338.40M,1.725B,,AOR,Restated
2019-03,337.80M,295.50M,633.30M,658.80M,,658.80M,177.20M,23.10M,150.00M,,319.70M,,46.30M,1.658B,,,,,1.171B,1.171B,-571.70M,599.60M,513.90M,289.90M,803.80M,,82.00M,1.485B,3.144B,,492.40M,,492.40M,238.00M,730.40M,,,6.80M,6.80M,,737.20M,277.60M,41.10M,318.70M,,,,43.30M,,,295.10M,657.10M,1.394B,,295.50M,2.155B,503.50M,872.70M,,,-332.10M,1.749B,,AOR,Restated
2018-12,259.70M,385.30M,645.00M,647.30M,,647.30M,174.40M,23.30M,137.60M,,304.70M,,41.50M,1.638B,0.00,11.20M,323.30M,762.30M,,1.097B,-556.80M,540.00M,513.00M,293.10M,806.10M,,86.90M,1.433B,3.072B,,543.80M,,543.80M,241.50M,785.30M,,,,,,785.30M,221.40M,0.00,221.40M,,,97.70M,49.40M,,,200.70M,569.20M,1.354B,,295.50M,2.103B,496.70M,827.20M,,,-350.80M,1.717B,,AOR,Restated
2018-09,233.00M,384.80M,617.80M,606.60M,,606.60M,165.60M,21.80M,142.70M,,307.70M,,66.60M,1.599B,,,,,,1.071B,-544.90M,526.30M,515.20M,297.40M,812.60M,,87.60M,1.426B,3.025B,,508.00M,,508.00M,230.90M,738.90M,,,,,,738.90M,193.30M,,193.30M,,,,24.80M,,,312.00M,530.10M,1.269B,,295.50M,2.014B,495.80M,730.90M,,,-318.20M,1.756B,,AOR,Restated
2018-06,260.00M,398.40M,658.40M,644.00M,,644.00M,159.10M,22.60M,129.70M,,289.00M,,61.90M,1.653B,,,,,,1.080B,-546.80M,532.80M,514.70M,300.80M,815.50M,,83.70M,1.432B,3.085B,,532.80M,,532.80M,233.20M,766.00M,,,2.70M,2.70M,,768.70M,245.40M,,245.40M,,,,34.30M,,,306.60M,586.30M,1.355B,,295.50M,1.940B,494.20M,695.10M,,,-304.40M,1.730B,,AOR,Restated
2018-03,241.90M,437.80M,679.70M,638.80M,,638.80M,154.50M,20.30M,134.70M,,287.10M,,63.50M,1.669B,,,,,,1.085B,-547.00M,538.10M,515.70M,304.70M,820.40M,,79.30M,1.438B,3.107B,,522.10M,,522.10M,237.40M,759.50M,,,7.40M,7.40M,,766.90M,285.80M,,285.80M,,,,41.20M,,,304.60M,631.60M,1.398B,,295.50M,1.856B,491.60M,659.50M,,,-275.70M,1.708B,,AOR,Restated
