,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,70.00M,,70.00M,1.011B,,1.011B,,,157.00M,,165.00M,1.403B,,,,42.38B,-13.28B,29.11B,,7.531B,7.531B,5.176B,,,1.103B,42.92B,44.32B,,2020-09,464.00M,,464.00M,965.00M,1.429B,,40.00M,392.00M,432.00M,,432.00M,,,,1.861B,21.95B,21.95B,1.846B,,1.846B,,2.833B,,29.42B,,2020-09,1.283B,-12.38B,35.00M,-160.00M,12.06B,,2020-09,AOR,
2020-06,1.133B,,1.133B,907.00M,,907.00M,,,134.00M,,164.00M,2.338B,,,,42.09B,-12.96B,29.14B,,7.609B,7.609B,5.155B,,,1.104B,43.00B,45.34B,,2020-06,769.00M,,769.00M,1.043B,1.812B,,,,626.00M,,626.00M,,,,2.438B,22.32B,22.32B,1.729B,,1.729B,,2.868B,,30.26B,,2020-06,1.283B,-12.20B,35.00M,-176.00M,12.21B,,2020-06,AOR,
2020-03,400.00M,,400.00M,930.00M,,930.00M,,,105.00M,,130.00M,1.565B,,,,41.77B,-12.63B,29.14B,,7.688B,7.688B,5.179B,,,1.056B,43.06B,44.63B,,2020-03,359.00M,,359.00M,1.129B,1.488B,,,,628.00M,,628.00M,,,,2.116B,21.85B,21.85B,1.602B,,1.602B,,2.905B,,29.37B,,2020-03,1.283B,-12.01B,35.00M,-205.00M,12.35B,,2020-03,AOR,
2019-12,289.00M,,289.00M,890.00M,106.00M,996.00M,,,125.00M,,170.00M,1.58B,,40.57B,940.00M,41.51B,-12.31B,29.20B,,7.959B,7.959B,6.235B,,,1.066B,44.46B,46.04B,,2019-12,552.00M,,552.00M,1.049B,1.601B,48.00M,,2.14B,2.14B,21.00M,2.161B,158.00M,158.00M,,3.968B,20.15B,20.15B,1.782B,,1.782B,,3.001B,,29.68B,,2019-12,1.282B,-11.00B,35.00M,-199.00M,13.36B,,2019-12,AOR,
2019-09,247.00M,,247.00M,875.00M,,875.00M,,,129.00M,,183.00M,1.434B,,,,41.65B,-12.03B,29.61B,,8.041B,8.041B,6.228B,,,965.00M,44.85B,46.28B,,2019-09,602.00M,,602.00M,1.184B,1.786B,,,,1.538B,,1.538B,,,,3.324B,20.72B,20.72B,1.651B,,1.651B,,3.238B,,29.42B,,2019-09,1.282B,-10.66B,35.00M,-266.00M,13.62B,,2019-09,AOR,Restated
2019-06,806.00M,,806.00M,879.00M,,879.00M,,,134.00M,,209.00M,2.028B,,,,40.87B,-11.74B,29.13B,,8.123B,8.123B,6.261B,,,966.00M,44.48B,46.51B,,2019-06,627.00M,,627.00M,1.199B,1.826B,,,,1.563B,,1.563B,,,,3.389B,20.71B,20.71B,1.567B,,1.567B,,3.233B,,29.43B,,2019-06,1.281B,-10.42B,35.00M,-265.00M,13.85B,,2019-06,AOR,Restated
2019-03,43.00M,,43.00M,929.00M,,929.00M,,,129.00M,,186.00M,1.287B,,,,40.54B,-11.46B,29.08B,,8.096B,8.096B,6.544B,,,962.00M,44.68B,45.97B,,2019-03,620.00M,,620.00M,974.00M,1.594B,,1.014B,1.561B,2.575B,,2.575B,,,,4.169B,20.70B,20.70B,1.601B,,1.601B,,1.319B,,30.24B,,2019-03,1.281B,-10.27B,35.00M,-267.00M,14.41B,,2019-03,AOR,Restated
2018-12,168.00M,,168.00M,858.00M,134.00M,992.00M,,,130.00M,,174.00M,1.464B,,36.92B,1.743B,38.66B,-11.16B,27.50B,,7.767B,7.767B,7.821B,,,746.00M,43.84B,45.30B,,2018-12,662.00M,,662.00M,794.00M,1.456B,64.00M,,47.00M,47.00M,0.00,47.00M,244.00M,244.00M,,1.811B,22.37B,22.37B,1.524B,,1.524B,,1.337B,,29.30B,,2018-12,1.28B,-10.00B,35.00M,-270.00M,14.66B,,2018-12,AOR,Restated
2018-09,42.00M,,42.00M,795.00M,88.00M,883.00M,,,153.00M,,242.00M,1.984B,,,,39.95B,-11.28B,28.67B,,8.324B,8.324B,7.427B,,,744.00M,45.17B,47.15B,,2018-09,739.00M,,739.00M,1.117B,1.856B,,823.00M,33.00M,856.00M,,856.00M,,,49.00M,2.761B,21.41B,21.41B,1.648B,,1.648B,,1.349B,,30.19B,,2018-09,1.28B,-9.018B,35.00M,-291.00M,15.61B,,2018-09,AOR,Restated
2018-06,275.00M,,275.00M,844.00M,,844.00M,,,153.00M,,269.00M,1.541B,,,,40.86B,-11.91B,28.95B,,8.406B,8.406B,6.81B,,,664.00M,44.83B,46.37B,,2018-06,893.00M,,893.00M,1.063B,1.956B,,,,2.00M,,2.00M,,,,1.958B,21.31B,21.31B,3.267B,,3.267B,,6.102B,,30.93B,,2018-06,862.00M,-8.735B,,-293.00M,9.345B,,2018-06,AOR,Restated
