,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2018-03,270.00M,,,-82.00M,-82.00M,,,,431.00M,73.00M,,0.00,14.00M,14.00M,238.00M,-40.00M,-363.00M,-4.00M,,17.00M,-152.00M,694.00M,,2018-03,-958.00M,,-1.00M,,-21.00M,,-798.00M,,2018-03,988.00M,0.00,988.00M,10.00M,,10.00M,-281.00M,-281.00M,-220.00M,,2018-03,899.00M,393.00M,1.292B,,2018-03,10.00M,2.048B,-1.06B,,2018-03,AOR,Restated
2017-12,1.622B,0.00,,-87.00M,-87.00M,,,,428.00M,-2.111B,,24.00M,17.00M,-510.00M,-206.00M,31.00M,140.00M,-10.00M,,52.00M,7.00M,858.00M,,2017-12,-713.00M,,-14.00M,,-18.00M,,-562.00M,,2017-12,-130.00M,0.00,-130.00M,1.00M,,1.00M,-248.00M,-248.00M,-192.00M,,2017-12,1.172B,-273.00M,899.00M,,2017-12,1.00M,320.00M,-450.00M,,2017-12,AOR,Restated
2017-09,125.00M,-1.095B,,-115.00M,-1.21B,,,,433.00M,8.00M,,1.207B,17.00M,1.224B,-83.00M,7.00M,34.00M,6.00M,,-37.00M,-73.00M,705.00M,,2017-09,-657.00M,,-13.00M,,2.032B,,1.43B,,2017-09,-2.395B,0.00,-2.395B,5.00M,,5.00M,-248.00M,-248.00M,-243.00M,,2017-09,1.918B,-746.00M,1.172B,,2017-09,5.00M,370.00M,-2.765B,,2017-09,AOR,Restated
2017-06,193.00M,0.00,,-125.00M,-125.00M,,,,433.00M,63.00M,,18.00M,23.00M,41.00M,172.00M,0.00,-47.00M,-35.00M,,-110.00M,-20.00M,799.00M,,2017-06,-557.00M,,-12.00M,,-27.00M,,-525.00M,,2017-06,1.463B,0.00,1.463B,3.00M,,3.00M,-248.00M,-248.00M,-213.00M,,2017-06,639.00M,1.279B,1.918B,,2017-06,3.00M,2.173B,-710.00M,,2017-06,AOR,Restated
2017-03,569.00M,-269.00M,,-107.00M,-376.00M,,,,442.00M,28.00M,,,21.00M,21.00M,29.00M,-30.00M,-101.00M,18.00M,,-63.00M,-147.00M,727.00M,,2017-03,-513.00M,,-2.00M,,148.00M,,-243.00M,,2017-03,-1.53B,-93.00M,-1.623B,2.122B,,2.122B,-248.00M,-248.00M,-266.00M,,2017-03,170.00M,469.00M,639.00M,,2017-03,2.122B,470.00M,-2.00B,,2017-03,AOR,Restated
2016-12,37.00M,-27.00M,,,-424.00M,,,,437.00M,48.00M,,369.00M,18.00M,387.00M,-90.00M,-18.00M,424.00M,7.00M,,508.00M,831.00M,2.058B,,2016-12,-474.00M,,1.00M,,297.00M,,-491.00M,,2016-12,-1.305B,90.00M,-1.215B,115.00M,,115.00M,-150.00M,-150.00M,-224.00M,,2016-12,77.00M,93.00M,170.00M,,2016-12,115.00M,820.00M,-2.125B,,2016-12,AOR,Restated
2016-09,131.00M,0.00,,,0.00,,,,435.00M,68.00M,,64.00M,21.00M,85.00M,-118.00M,-4.00M,133.00M,10.00M,,-112.00M,-91.00M,628.00M,,2016-09,-508.00M,,-2.00M,,702.00M,,346.00M,,2016-09,-460.00M,-195.00M,-655.00M,2.00M,,2.00M,-150.00M,-150.00M,-243.00M,,2016-09,135.00M,-72.00M,77.00M,,2016-09,2.00M,1.205B,-1.665B,,2016-09,AOR,Restated
2016-06,-505.00M,0.00,,,0.00,,,,446.00M,-144.00M,,803.00M,13.00M,816.00M,-8.00M,13.00M,154.00M,-37.00M,,-49.00M,73.00M,686.00M,,2016-06,-556.00M,,7.00M,,-59.00M,,-400.00M,,2016-06,505.00M,61.00M,566.00M,0.00,,0.00,-481.00M,-481.00M,-386.00M,,2016-06,164.00M,-15.00M,135.00M,,2016-06,0.00,1.815B,-1.31B,,2016-06,AOR,Restated
2016-03,-13.00M,0.00,,,0.00,,,,445.00M,2.00M,,112.00M,21.00M,133.00M,298.00M,-16.00M,-164.00M,16.00M,,82.00M,216.00M,783.00M,,2016-03,-513.00M,,24.00M,,-63.00M,,-346.00M,,2016-03,697.00M,-365.00M,332.00M,6.00M,,6.00M,-480.00M,-480.00M,-231.00M,,2016-03,100.00M,64.00M,164.00M,,2016-03,6.00M,2.688B,-1.991B,,2016-03,AOR,Restated
2015-12,-1.337B,,,,,,,,451.00M,-378.00M,,2.176B,17.00M,2.193B,-335.00M,29.00M,119.00M,10.00M,,-130.00M,-307.00M,622.00M,,2015-12,-742.00M,,0.00,,-66.00M,,-592.00M,,2015-12,1.934B,-1.033B,901.00M,59.00M,,59.00M,-480.00M,-480.00M,-535.00M,,2015-12,125.00M,-25.00M,100.00M,,2015-12,59.00M,2.887B,-953.00M,,2015-12,AOR,Restated
2015-09,-173.00M,,,,,,,,432.00M,-67.00M,,466.00M,19.00M,485.00M,24.00M,12.00M,-98.00M,39.00M,,-51.00M,-74.00M,603.00M,,2015-09,-771.00M,,-3.00M,,-46.00M,,-705.00M,,2015-09,524.00M,-215.00M,309.00M,6.00M,,6.00M,-480.00M,-480.00M,188.00M,,2015-09,204.00M,-79.00M,125.00M,,2015-09,6.00M,1.165B,-641.00M,,2015-09,AOR,Restated
2015-06,183.00M,,,,,,,,428.00M,80.00M,,30.00M,23.00M,53.00M,50.00M,32.00M,126.00M,-54.00M,,-84.00M,70.00M,814.00M,,2015-06,-822.00M,,6.00M,,-512.00M,,-1.246B,,2015-06,-809.00M,1.741B,932.00M,11.00M,,11.00M,-442.00M,-442.00M,-206.00M,,2015-06,341.00M,-137.00M,204.00M,,2015-06,11.00M,465.00M,-1.274B,,2015-06,AOR,Restated
2015-03,13.00M,,,,,,,,427.00M,28.00M,,0.00,23.00M,23.00M,300.00M,32.00M,-181.00M,9.00M,,18.00M,178.00M,669.00M,,2015-03,-832.00M,,0.00,,-83.00M,,-756.00M,,2015-03,1.607B,-799.00M,808.00M,10.00M,,10.00M,-434.00M,-434.00M,-196.00M,,2015-03,240.00M,101.00M,341.00M,,2015-03,10.00M,5.255B,-3.648B,,2015-03,AOR,Restated
2014-12,308.00M,,,-22.00M,-22.00M,,,,379.00M,222.00M,,67.00M,17.00M,84.00M,-170.00M,53.00M,-145.00M,5.00M,,297.00M,40.00M,1.011B,,2014-12,-1.088B,,-1.00M,,-137.00M,,-1.147B,,2014-12,223.00M,533.00M,756.00M,2.00M,,2.00M,-426.00M,-426.00M,-258.00M,,2014-12,302.00M,-62.00M,240.00M,,2014-12,2.00M,1.187B,-964.00M,,2014-12,AOR,Restated
2014-09,1.708B,,,-2.522B,-2.522B,,,,369.00M,1.011B,,0.00,13.00M,13.00M,-123.00M,-8.00M,-92.00M,-12.00M,,1.00M,-234.00M,345.00M,,2014-09,-1.104B,,7.00M,,-62.00M,,-1.074B,,2014-09,335.00M,265.00M,600.00M,61.00M,,61.00M,-419.00M,-419.00M,-71.00M,,2014-09,860.00M,-558.00M,302.00M,,2014-09,61.00M,1.199B,-864.00M,,2014-09,AOR,Restated
2014-06,127.00M,,,,,,,,214.00M,127.00M,,,12.00M,12.00M,1.00M,-54.00M,-25.00M,-59.00M,,-30.00M,-167.00M,313.00M,,2014-06,-1.046B,,22.00M,,-6.013B,,-6.944B,,2014-06,3.439B,-1.00M,3.438B,3.394B,,3.394B,-291.00M,-291.00M,-114.00M,,2014-06,1.064B,-204.00M,860.00M,,2014-06,3.394B,3.439B,0.00,,2014-06,AOR,Restated
2014-03,196.00M,,,,,,,,214.00M,-96.00M,,,11.00M,11.00M,16.00M,-27.00M,51.00M,22.00M,,59.00M,121.00M,446.00M,,2014-03,-793.00M,,6.00M,,-228.00M,,-992.00M,,2014-03,1.496B,-225.00M,1.271B,14.00M,,14.00M,-276.00M,-276.00M,-80.00M,,2014-03,681.00M,383.00M,1.064B,,2014-03,14.00M,1.496B,0.00,,2014-03,AOR,Restated
2013-12,49.00M,,,,,,,,209.00M,123.00M,,,9.00M,38.00M,-50.00M,36.00M,96.00M,14.00M,,0.00,96.00M,515.00M,,2013-12,-1.03B,,,,-111.00M,,-1.149B,,2013-12,994.00M,-146.00M,848.00M,4.00M,,4.00M,-260.00M,-260.00M,-9.00M,,2013-12,732.00M,-51.00M,681.00M,,2013-12,4.00M,994.00M,0.00,,2013-12,AOR,Restated
2013-09,197.00M,,,0.00,0.00,,,,207.00M,40.00M,,,8.00M,8.00M,95.00M,-55.00M,24.00M,19.00M,,4.00M,87.00M,539.00M,,2013-09,-1.012B,,,,-162.00M,,-1.177B,,2013-09,0.00,-340.00M,-340.00M,1.207B,,1.207B,-250.00M,-250.00M,-71.00M,,2013-09,824.00M,-92.00M,732.00M,,2013-09,1.207B,0.00,0.00,,2013-09,AOR,Restated
2013-06,192.00M,,,,,,,,198.00M,158.00M,,,11.00M,11.00M,62.00M,15.00M,39.00M,-19.00M,,12.00M,109.00M,668.00M,,2013-06,-817.00M,,,,-95.00M,,-918.00M,,2013-06,-251.00M,710.00M,459.00M,2.00M,,2.00M,-241.00M,-241.00M,152.00M,,2013-06,702.00M,122.00M,824.00M,,2013-06,2.00M,935.00M,-1.186B,,2013-06,AOR,Restated
2013-03,230.00M,,,,,,,,201.00M,103.00M,,,9.00M,9.00M,-72.00M,-13.00M,-19.00M,11.00M,,45.00M,-48.00M,495.00M,,2013-03,-713.00M,,,,-93.00M,,-808.00M,,2013-03,-125.00M,0.00,-125.00M,624.00M,,624.00M,-231.00M,-231.00M,-92.00M,,2013-03,839.00M,-137.00M,702.00M,,2013-03,624.00M,770.00M,-895.00M,,2013-03,AOR,Restated
2012-12,202.00M,,,,4.00M,,,,211.00M,89.00M,,,9.00M,0.00,-55.00M,-14.00M,41.00M,1.00M,,58.00M,31.00M,546.00M,,2012-12,-877.00M,,,,-2.369B,0.00,-3.241B,,2012-12,1.222B,0.00,1.222B,1.615B,,1.615B,-204.00M,-204.00M,-95.00M,,2012-12,996.00M,-157.00M,839.00M,,2012-12,1.615B,1.377B,-155.00M,,2012-12,AOR,Restated
2012-09,203.00M,,,,5.00M,,,,196.00M,0.00,,,9.00M,0.00,-6.00M,9.00M,64.00M,-11.00M,,-38.00M,18.00M,431.00M,,2012-09,-730.00M,,,,-98.00M,1.00M,-790.00M,,2012-09,476.00M,0.00,476.00M,495.00M,,495.00M,-196.00M,-196.00M,-99.00M,,2012-09,679.00M,317.00M,996.00M,,2012-09,495.00M,1.609B,-1.133B,,2012-09,AOR,Restated
2012-06,165.00M,,,,-4.00M,,,,181.00M,31.00M,,,9.00M,0.00,36.00M,27.00M,-49.00M,4.00M,,24.00M,42.00M,424.00M,,2012-06,-593.00M,,,,-1.86B,0.00,-2.399B,,2012-06,345.00M,0.00,345.00M,1.483B,,1.483B,-188.00M,-188.00M,-86.00M,,2012-06,1.10B,-421.00M,679.00M,,2012-06,1.483B,500.00M,-155.00M,,2012-06,AOR,Restated
2012-03,495.00M,,,,-57.00M,,,,168.00M,86.00M,,,9.00M,-144.00M,52.00M,-17.00M,-166.00M,35.00M,,-27.00M,-123.00M,434.00M,,2012-03,-329.00M,,,,-373.00M,78.00M,-491.00M,,2012-03,-25.00M,,-25.00M,516.00M,,516.00M,-154.00M,-154.00M,-69.00M,,2012-03,889.00M,211.00M,1.10B,,2012-03,516.00M,0.00,-25.00M,,2012-03,AOR,Restated
2011-12,-362.00M,,7.00M,,277.00M,-1.202B,-36.00M,-1.238B,376.00M,-256.00M,,,,93.00M,-17.00M,45.00M,203.00M,-14.00M,,-10.00M,207.00M,1.087B,,2011-12,-963.00M,,,,-211.00M,151.00M,-1.015B,,2011-12,587.00M,,587.00M,15.00M,,15.00M,,-148.00M,-633.00M,,2011-12,996.00M,-107.00M,889.00M,,2011-12,15.00M,2.072B,-1.485B,,2011-12,AOR,Restated
2011-09,342.00M,,-1.00M,,-1.00M,418.00M,11.00M,429.00M,429.00M,-10.00M,,,,-39.00M,-124.00M,-5.00M,-11.00M,8.00M,,,-132.00M,668.00M,,2011-09,-739.00M,,,,-41.00M,-37.00M,-789.00M,,2011-09,76.00M,,76.00M,5.00M,,5.00M,,-118.00M,-12.00M,,2011-09,1.166B,-170.00M,996.00M,,2011-09,5.00M,675.00M,-599.00M,,2011-09,AOR,Restated
2011-06,297.00M,,1.00M,,1.00M,403.00M,11.00M,414.00M,414.00M,97.00M,,,,31.00M,-62.00M,-18.00M,147.00M,-37.00M,,-17.00M,13.00M,873.00M,,2011-06,-568.00M,,,,0.00,-67.00M,-620.00M,,2011-06,200.00M,,200.00M,3.00M,,3.00M,,-118.00M,-95.00M,,2011-06,923.00M,243.00M,1.166B,,2011-06,3.00M,350.00M,-150.00M,,2011-06,AOR,Restated
2011-03,384.00M,,-7.00M,,-7.00M,381.00M,14.00M,395.00M,395.00M,-10.00M,,,,-33.00M,6.00M,38.00M,-38.00M,28.00M,,17.00M,51.00M,811.00M,,2011-03,-526.00M,,,,0.00,-31.00M,-579.00M,,2011-03,0.00,,0.00,26.00M,,26.00M,,-73.00M,-57.00M,,2011-03,795.00M,128.00M,923.00M,,2011-03,26.00M,75.00M,-75.00M,,2011-03,AOR,Restated
2010-12,228.00M,,,,-82.00M,,,,406.00M,35.00M,-37.00M,,,119.00M,-128.00M,-32.00M,117.00M,38.00M,,31.00M,26.00M,710.00M,,2010-12,-677.00M,,,,,46.00M,-1.824B,,2010-12,598.00M,,598.00M,,,,-284.00M,-74.00M,-448.00M,,2010-12,1.015B,-220.00M,795.00M,,2010-12,,950.00M,-352.00M,,2010-12,AOR,Restated
2010-09,-1.226B,,,,0.00,,,,374.00M,-240.00M,11.00M,,,-96.00M,-23.00M,8.00M,81.00M,11.00M,,34.00M,111.00M,644.00M,,2010-09,-1.171B,,,,,20.00M,-1.539B,,2010-09,-8.00M,,-8.00M,,,,137.00M,-73.00M,390.00M,,2010-09,1.601B,-586.00M,1.015B,,2010-09,,430.00M,-438.00M,,2010-09,AOR,Restated
2010-06,222.00M,,,,0.00,,,,366.00M,21.00M,12.00M,,,9.00M,113.00M,-57.00M,41.00M,-27.00M,,-26.00M,44.00M,680.00M,,2010-06,-512.00M,,,,,-7.00M,-498.00M,,2010-06,-108.00M,,-108.00M,,,,-73.00M,-73.00M,-44.00M,,2010-06,1.644B,-43.00M,1.601B,,2010-06,,0.00,-108.00M,,2010-06,AOR,Restated
2010-03,-146.00M,,,,606.00M,,,,361.00M,29.00M,14.00M,,,16.00M,2.00M,0.00,-282.00M,21.00M,,-8.00M,-267.00M,617.00M,,2010-03,-428.00M,,,,,-13.00M,-435.00M,,2010-03,-232.00M,,-232.00M,,,,-64.00M,-64.00M,-109.00M,,2010-03,1.867B,-223.00M,1.644B,,2010-03,,3.749B,-3.981B,,2010-03,AOR,Restated
2009-12,361.00M,,,,,,,,382.00M,165.00M,7.00M,-351.00M,,-106.00M,-127.00M,10.00M,143.00M,4.00M,,-109.00M,-79.00M,814.00M,,2009-12,-558.00M,,,,,132.00M,-492.00M,,2009-12,-2.00M,,-2.00M,,,,,33.00M,-126.00M,,2009-12,1.64B,227.00M,1.867B,,2009-12,,0.00,-2.00M,,2009-12,AOR,Restated
2009-09,55.00M,,,,,,,,361.00M,84.00M,11.00M,351.00M,,-184.00M,-65.00M,17.00M,-96.00M,37.00M,,53.00M,-54.00M,624.00M,,2009-09,-752.00M,,,,,-3.00M,-755.00M,,2009-09,0.00,61.00M,61.00M,,,,,-96.00M,-47.00M,,2009-09,1.853B,-213.00M,1.64B,,2009-09,,0.00,61.00M,,2009-09,AOR,Restated
2009-06,169.00M,,,,,,,,359.00M,38.00M,25.00M,,,-15.00M,-1.00M,-7.00M,70.00M,-21.00M,,5.00M,46.00M,622.00M,,2009-06,-465.00M,,,,,-129.00M,-442.00M,,2009-06,0.00,-20.00M,-20.00M,,,,,-96.00M,3.00M,,2009-06,1.786B,67.00M,1.853B,,2009-06,,0.00,-20.00M,,2009-06,AOR,Restated
2009-03,-224.00M,,,,,,,,367.00M,-38.00M,,,,389.00M,245.00M,13.00M,-278.00M,-13.00M,,51.00M,18.00M,512.00M,,2009-03,-612.00M,,,,,,-621.00M,,2009-03,564.00M,-41.00M,523.00M,,,,,-97.00M,30.00M,,2009-03,1.439B,347.00M,1.786B,,2009-03,,595.00M,-72.00M,,2009-03,AOR,Restated
2008-12,132.00M,,37.00M,,1.00M,,,,357.00M,,-2.00M,,,266.00M,51.00M,63.00M,-85.00M,2.00M,,-36.00M,-5.00M,749.00M,,2008-12,-965.00M,119.00M,119.00M,0.00,,35.00M,-718.00M,,2008-12,-31.00M,-4.00M,-35.00M,32.00M,0.00,32.00M,,-96.00M,-17.00M,,2008-12,1.524B,-85.00M,1.439B,,2008-12,32.00M,-4.00M,-31.00M,0.00,2008-12,AOR,Restated
2008-09,523.00M,,-37.00M,,-133.00M,,,,299.00M,-329.00M,33.00M,,,523.00M,639.00M,18.00M,-335.00M,-25.00M,-102.00M,-271.00M,-76.00M,840.00M,,2008-09,-1.03B,-197.00M,1.364B,148.00M,,-61.00M,-1.072B,,2008-09,40.00M,4.00M,-11.00M,339.00M,-115.00M,224.00M,,-153.00M,-241.00M,,2008-09,1.937B,-413.00M,1.524B,,2008-09,339.00M,678.00M,-634.00M,-115.00M,2008-09,,Restated
2008-06,398.00M,,,,66.00M,,,,352.00M,329.00M,,,,-150.00M,-299.00M,-49.00M,153.00M,-61.00M,102.00M,132.00M,-22.00M,973.00M,,2008-06,-982.00M,197.00M,-1.364B,-118.00M,,-44.00M,-979.00M,,2008-06,15.00M,31.00M,101.00M,-339.00M,-266.00M,-605.00M,,-40.00M,247.00M,,2008-06,2.24B,-303.00M,1.937B,,2008-06,-339.00M,-100.00M,146.00M,-266.00M,2008-06,,
2008-03,539.00M,,,,-118.00M,,,,302.00M,,,,,154.00M,-62.00M,-80.00M,19.00M,8.00M,,31.00M,-84.00M,793.00M,,2008-03,-579.00M,,,118.00M,,,-414.00M,,2008-03,-15.00M,-31.00M,-46.00M,362.00M,-93.00M,269.00M,,-83.00M,22.00M,,2008-03,1.699B,541.00M,2.24B,,2008-03,362.00M,100.00M,-146.00M,-93.00M,2008-03,,Restated
2007-12,225.00M,,,,-13.00M,,,,232.00M,-445.00M,,,,234.00M,-50.00M,6.00M,-307.00M,1.00M,250.00M,-176.00M,-276.00M,559.00M,,2007-12,-716.00M,-35.00M,2.065B,,,32.00M,-313.00M,,2007-12,,,37.00M,352.00M,-292.00M,60.00M,,-59.00M,-41.00M,,2007-12,1.455B,243.00M,1.699B,,2007-12,352.00M,,,-292.00M,2007-12,AOR,Restated
2007-09,198.00M,,,,26.00M,,,,333.00M,114.00M,,,,-30.00M,85.00M,13.00M,-44.00M,1.00M,-126.00M,124.00M,53.00M,694.00M,,2007-09,-864.00M,-11.00M,-875.00M,,,172.00M,-676.00M,,2007-09,,,-21.00M,8.00M,-234.00M,-226.00M,,-60.00M,6.00M,,2007-09,1.739B,-283.00M,1.455B,,2007-09,8.00M,,,-234.00M,2007-09,,
2007-06,433.00M,,,,9.00M,,,,252.00M,258.00M,,,,-268.00M,-95.00M,35.00M,39.00M,-15.00M,65.00M,-28.00M,1.00M,685.00M,,2007-06,-727.00M,46.00M,-681.00M,,,9.00M,-666.00M,,2007-06,,,6.00M,14.00M,,14.00M,,-60.00M,-51.00M,,2007-06,1.811B,-72.00M,1.739B,,2007-06,14.00M,,,,2007-06,,
2007-03,134.00M,,,,13.00M,,,,265.00M,73.00M,,,,4.00M,-62.00M,-25.00M,3.00M,3.00M,-189.00M,80.00M,-190.00M,299.00M,,2007-03,-509.00M,,-509.00M,,,-132.00M,-641.00M,,2007-03,,,-119.00M,15.00M,,15.00M,,-54.00M,42.00M,,2007-03,2.269B,-458.00M,1.811B,,2007-03,15.00M,,,,2007-03,,
2006-12,146.90M,,,,-5.90M,,,,238.10M,-119.60M,,,,56.60M,19.30M,18.50M,101.90M,17.10M,162.30M,-283.50M,35.60M,575.70M,,2006-12,-739.50M,-41.10M,1.728B,,,91.30M,-557.40M,,2006-12,,,545.20M,650.20M,,650.20M,,-55.20M,36.10M,,2006-12,1.075B,1.195B,2.269B,,2006-12,650.20M,,,,2006-12,,Restated
2006-09,106.20M,,,,-196.30M,,,,220.40M,72.00M,,,,210.00M,-74.00M,47.50M,2.80M,13.90M,117.40M,121.10M,228.70M,641.00M,,2006-09,-766.90M,34.10M,-732.80M,,,240.40M,-482.00M,,2006-09,,,18.00M,231.80M,,231.80M,,-53.60M,-261.00M,,2006-09,980.40M,94.20M,1.075B,,2006-09,231.80M,,,,2006-09,,
