,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,62.21M,,,,,5.657M,5.657M,1.241M,0.379M,1.309M,-10.05M,11.56M,,2.354M,1.753M,6.282M,1.259M,-8.074M,,,1.32M,2.54M,77.21M,-9.508M,,-9.508M,-0.236M,-85.33M,,-95.07M,,,,0.00,0.00,6.523M,-1.077M,5.446M,214.83M,-12.42M,-0.171M,202.24M,,,0.00,22.42M,
2020-06,44.59M,,,,,5.48M,5.48M,12.95M,0.094M,1.44M,-23.82M,9.298M,,1.771M,3.014M,-0.211M,0.485M,-24.04M,,,0.719M,-20.04M,31.76M,-10.04M,,-10.04M,-51.95M,75.75M,,13.76M,,,,-11.31M,-11.31M,1.01M,-9.857M,-20.16M,192.34M,25.36M,-2.872M,214.83M,,,-11.31M,2.831M,
2020-03,31.80M,,,,,6.003M,6.003M,2.402M,-0.053M,0.511M,22.59M,2.762M,,-0.499M,15.88M,0.024M,-1.083M,6.223M,,,0.03M,21.08M,86.59M,-10.55M,,-10.55M,,20.51M,,9.961M,,,,-25.00M,-25.00M,3.318M,-0.08M,-21.76M,117.97M,74.79M,-0.418M,192.34M,,,-25.00M,2.206M,
2019-12,69.22M,,,,,5.375M,5.375M,20.36M,-0.402M,1.916M,-23.35M,10.57M,,1.194M,-6.505M,-1.057M,-0.173M,12.52M,,,-0.226M,4.56M,89.44M,-8.853M,,-8.853M,,-88.55M,,-97.40M,,,,-25.00M,-25.00M,0.459M,-0.401M,-24.94M,150.28M,-32.91M,0.601M,117.97M,,,-25.00M,1.13M,
2019-09,13.07M,,,,,4.687M,4.687M,-0.581M,-0.97M,1.071M,45.60M,13.32M,,1.479M,-8.629M,-4.965M,-0.66M,7.619M,,,3.216M,-3.419M,74.26M,-12.36M,,-12.36M,0.00,20.28M,,7.926M,,,,-34.87M,-34.87M,3.814M,-0.67M,-31.73M,101.05M,50.46M,-1.225M,150.28M,,,-34.87M,3.765M,
2019-06,88.92M,,,,,4.365M,4.365M,10.78M,-1.306M,1.238M,-39.65M,13.12M,,1.359M,4.801M,-7.239M,-3.417M,-8.106M,,,-0.233M,-14.19M,64.63M,-12.25M,,-12.25M,0.00,-33.69M,,-45.94M,,,,0.00,0.00,1.26M,-40.54M,-39.28M,121.02M,-20.58M,0.612M,101.05M,,,0.00,2.584M,
2019-03,73.96M,,,,,4.185M,4.185M,18.25M,-1.10M,1.242M,-30.16M,10.74M,,-1.008M,-2.755M,-10.66M,-3.205M,9.564M,,,1.344M,-5.711M,70.39M,-8.535M,,-8.535M,,-27.22M,,-35.75M,,,,0.00,0.00,3.582M,-0.563M,3.019M,84.18M,37.66M,-0.816M,121.02M,,,0.00,0.79M,
2018-12,44.86M,,,,,3.589M,3.589M,19.68M,-0.796M,1.53M,0.00,15.58M,,0.09M,-14.14M,-9.772M,2.665M,10.23M,,,1.09M,-9.923M,74.62M,-8.124M,,-8.124M,,-57.69M,,-65.82M,,,,0.00,0.00,0.431M,-1.547M,-1.116M,76.38M,7.681M,0.118M,84.18M,,,0.00,0.97M,
2018-09,50.13M,,,,,3.388M,3.388M,-1.213M,-0.485M,1.115M,0.00,15.93M,,0.162M,-7.061M,-8.956M,0.144M,5.479M,,,1.926M,-8.468M,60.56M,-12.20M,,-12.20M,,-37.45M,,-49.65M,,,,0.00,0.00,6.19M,-2.068M,4.122M,61.29M,15.03M,0.062M,76.38M,,,0.00,0.574M,
2018-06,90.07M,,,,,2.959M,2.959M,-44.46M,-0.363M,1.085M,0.00,12.24M,,-0.159M,1.93M,-7.794M,-2.131M,-3.892M,,,-2.852M,-14.74M,46.63M,-15.15M,,-15.15M,,49.91M,,34.77M,,,,,,5.798M,-67.60M,-61.80M,42.98M,19.60M,-1.285M,61.29M,,,,2.956M,
2018-03,36.85M,,,,,2.905M,2.905M,7.884M,0.00,0.78M,,11.18M,,0.067M,-4.947M,-3.712M,-3.433M,5.665M,,,3.16M,-3.267M,56.40M,-11.70M,,-11.70M,,-56.76M,,-68.46M,0.00,0.00,,,,3.008M,-0.457M,2.551M,50.50M,-9.505M,1.978M,42.98M,,0.00,,3.796M,0.00
2017-12,13.45M,,,,-5.32M,2.78M,2.78M,31.67M,0.00,0.73M,,11.23M,,0.588M,-7.518M,-6.611M,-0.164M,9.344M,,,1.202M,-3.747M,56.70M,-26.49M,,-26.49M,,-25.22M,,-51.71M,-0.14M,-0.14M,,,,2.369M,-0.623M,1.606M,44.54M,6.588M,-0.622M,50.50M,,-0.14M,,0.261M,0.043M
2017-09,24.50M,,,,2.857M,2.857M,2.857M,6.903M,0.00,2.006M,,9.282M,,0.417M,-3.619M,-4.061M,0.046M,3.952M,,,0.871M,-2.811M,43.16M,-7.871M,,-7.871M,,-35.51M,,-43.38M,-0.193M,-0.193M,,,,2.765M,-1.432M,1.14M,43.97M,0.912M,-0.346M,44.54M,,-0.193M,,0.105M,0.129M
2017-06,37.37M,,,,2.463M,2.463M,2.463M,-3.83M,,0.468M,,8.656M,,0.265M,0.795M,-1.302M,-0.915M,-6.827M,,,-0.853M,-9.102M,36.29M,-9.804M,,-9.804M,,-7.404M,,-17.21M,-0.184M,-0.184M,,,,3.555M,-17.80M,-14.43M,39.04M,4.652M,0.278M,43.97M,,-0.184M,,0.479M,0.13M
2017-03,14.90M,,,,-4.488M,1.714M,1.714M,6.986M,,1.197M,,8.345M,-7.443M,0.978M,-3.995M,-3.669M,1.557M,15.21M,,,1.48M,10.58M,37.26M,-26.38M,,-26.38M,,-42.85M,,-69.22M,-0.182M,-0.182M,,,,3.346M,7.236M,10.40M,61.07M,-21.57M,-0.46M,39.04M,,-0.182M,,0.67M,0.131M
2016-12,15.43M,,,,1.53M,1.53M,1.53M,9.04M,,0.706M,,6.474M,-0.964M,0.426M,-3.748M,-2.331M,-1.894M,9.519M,,,-0.065M,1.481M,34.12M,-13.59M,,-13.59M,,-15.52M,,-29.11M,-0.181M,-0.181M,,,,2.501M,0.674M,2.994M,54.71M,8.013M,-1.653M,61.07M,,-0.181M,,0.175M,0.134M
2016-09,8.875M,,,,1.552M,1.552M,1.552M,2.777M,,0.664M,,9.65M,-2.59M,0.01M,-5.324M,-2.891M,-2.036M,6.16M,,,0.509M,-3.582M,17.36M,-5.354M,,-5.354M,,2.678M,,-2.676M,-0.083M,-0.083M,,,,3.763M,-1.985M,1.695M,38.27M,16.38M,0.06M,54.71M,,-0.083M,,0.14M,0.089M
2016-06,12.91M,,,,1.406M,1.406M,1.406M,7.00M,,0.677M,,8.397M,-1.041M,0.176M,1.517M,-3.393M,0.007M,-1.097M,,,-0.179M,-3.145M,26.38M,-5.099M,,-5.099M,,-20.23M,,-25.33M,0.00,0.00,,,,2.77M,-13.99M,-11.22M,48.23M,-10.17M,0.212M,38.27M,,0.00,,0.42M,0.00
2016-03,11.00M,,,,-2.214M,1.063M,1.063M,4.914M,,0.702M,,7.322M,-3.079M,0.171M,-5.846M,-1.381M,-2.633M,8.483M,,,1.843M,0.466M,22.56M,-7.691M,,-7.691M,,-21.94M,,-29.63M,0.00,0.00,,,,2.218M,-0.326M,1.892M,53.23M,-5.178M,0.183M,48.23M,,0.00,,0.124M,0.00
2015-12,10.56M,,,,0.862M,0.862M,0.862M,6.579M,,0.50M,,6.139M,-0.105M,0.575M,0.13M,-3.237M,-0.113M,3.383M,,,0.114M,0.277M,25.38M,-4.514M,,-4.514M,,-21.85M,,-26.36M,0.00,0.00,,,,0.266M,0.007M,0.273M,54.42M,-0.71M,-0.485M,53.23M,,0.00,,0.148M,0.00
2015-09,7.735M,,,,0.689M,0.689M,0.689M,4.998M,,0.672M,,10.79M,-0.302M,0.156M,-2.758M,-2.306M,-0.007M,-0.661M,,,-1.067M,-6.799M,17.94M,-1.556M,,-1.556M,,-5.901M,,-7.457M,,,,,,3.828M,-0.043M,3.785M,40.43M,14.27M,-0.28M,54.42M,,,,0.302M,
2015-06,8.859M,,,,0.663M,0.663M,0.663M,5.805M,,0.262M,,4.799M,-0.081M,0.151M,-2.456M,-4.549M,0.463M,-3.83M,,,0.828M,-9.544M,10.91M,-1.863M,,-1.863M,,7.602M,,5.739M,,,,,,4.594M,-3.384M,1.21M,22.40M,17.86M,0.167M,40.43M,,,,0.274M,
2015-03,98.87M,,,,,0.974M,0.974M,-87.77M,,1.048M,,3.824M,-0.606M,0.145M,-3.65M,-3.385M,-1.299M,9.654M,,,0.453M,1.773M,18.26M,-2.956M,,-2.956M,0.00,-13.21M,,-16.16M,,,,,,2.701M,-1.186M,1.515M,19.48M,3.615M,-0.692M,22.40M,,,,0.125M,
2014-12,12.68M,,,,,0.60M,0.60M,0.225M,,0.592M,,4.382M,0.00,0.146M,-5.428M,-2.929M,-0.041M,4.042M,,,0.852M,-3.504M,15.12M,-0.736M,,-0.736M,0.00,-17.99M,,-18.73M,,,,,,6.064M,0.00,6.064M,17.48M,2.462M,-0.467M,19.48M,,,,0.791M,
2014-09,3.839M,,,,,0.575M,0.575M,0.225M,,0.349M,,4.024M,0.00,-4.308M,-0.44M,-0.419M,0.116M,-2.345M,,,0.569M,-2.519M,6.712M,-1.116M,,-1.116M,-15.70M,-8.986M,,-25.80M,,,,,,2.137M,0.00,2.137M,34.74M,-16.95M,-0.307M,17.48M,,,,0.127M,
2014-06,-1.709M,,,,,0.621M,0.621M,0.225M,,0.237M,,4.29M,0.00,4.527M,1.548M,-0.234M,-0.255M,-1.968M,,,0.435M,-0.474M,3.19M,-0.38M,,-0.38M,,11.21M,,10.83M,,,,,,0.82M,-1.013M,-0.193M,20.92M,13.82M,0.001M,34.74M,,,,0.172M,
2014-03,3.622M,,,,,0.645M,0.645M,0.181M,,1.407M,,2.851M,,4.258M,-1.435M,-0.553M,-0.694M,3.459M,,,0.412M,1.189M,9.895M,-0.46M,,-0.46M,0.00,-12.70M,,-13.16M,,,,0.426M,0.426M,1.518M,,1.519M,22.63M,-1.741M,0.025M,20.92M,,,0.426M,0.218M,
2013-12,4.393M,,,,,0.541M,0.541M,0.226M,,0.10M,0.00,1.648M,,1.748M,-1.789M,0.807M,0.417M,1.897M,,,0.209M,1.541M,8.449M,-1.065M,,-1.065M,0.00,2.033M,,0.968M,,,,0.00,0.00,2.909M,,2.909M,10.12M,12.33M,0.186M,22.63M,,,0.00,0.236M,
2013-09,1.059M,,,,,0.67M,0.67M,0.227M,,0.33M,,2.798M,,3.128M,-0.059M,0.813M,-1.054M,0.227M,,,0.144M,0.071M,5.155M,-0.525M,,-0.525M,0.00,-10.45M,,-10.97M,,,,0.00,0.00,3.699M,,3.699M,11.73M,-2.119M,0.512M,10.12M,,,0.00,0.072M,
2013-06,-1.723M,,,,,0.652M,0.652M,0.226M,,0.222M,,3.921M,,4.143M,1.971M,-1.689M,0.292M,-3.699M,,,-0.206M,-3.331M,-0.033M,-0.711M,,-0.711M,,1.599M,,0.888M,,,,-0.426M,-0.426M,1.931M,,1.505M,9.451M,2.36M,-0.084M,11.73M,,,-0.426M,0.798M,
2013-03,3.742M,,,,,0.637M,0.637M,0.21M,,0.272M,,2.602M,,2.874M,-3.075M,-0.417M,-0.685M,3.16M,,,1.102M,0.085M,7.558M,-0.764M,,-0.764M,,-3.677M,,-4.441M,,,,-4.153M,-4.153M,0.482M,,-3.928M,10.76M,-0.811M,-0.495M,9.451M,,,-4.153M,0.056M,
2012-12,2.684M,,,,,0.637M,0.637M,0.228M,,0.329M,,1.936M,,2.265M,-1.117M,-0.69M,0.452M,3.048M,,,0.202M,1.895M,7.709M,-0.449M,,-0.449M,,9.498M,,9.049M,,,,-10.65M,-10.65M,0.246M,,-10.41M,4.497M,6.35M,-0.09M,10.76M,,,-10.65M,0.075M,
2012-09,5.469M,,,,,0.607M,0.607M,0.227M,,0.344M,,2.284M,,2.628M,-0.426M,-2.226M,-0.028M,0.356M,,,0.207M,-2.117M,6.814M,-1.153M,,-1.153M,,-7.25M,,-8.403M,,,,0.00,0.00,1.535M,,1.535M,3.989M,-0.054M,0.562M,4.497M,,,0.00,,
2012-06,3.119M,,,,,0.842M,0.842M,0.09M,,0.26M,,2.679M,,2.939M,2.032M,-1.982M,-0.065M,-2.324M,,,-0.333M,-2.672M,4.318M,-0.47M,,-0.47M,,-6.00M,,-6.47M,,,,-0.238M,-0.238M,1.228M,,0.99M,5.99M,-1.162M,-0.839M,3.989M,,,-0.238M,,
2012-03,2.567M,0.024M,0.00,0.024M,,1.253M,1.253M,0.234M,,0.786M,,1.869M,,2.655M,-3.16M,-2.192M,-0.31M,2.788M,,,1.134M,-1.74M,4.993M,0.192M,,0.192M,,-6.75M,,-6.558M,,,-0.103M,0.00,-0.103M,2.80M,,2.697M,5.092M,1.132M,-0.234M,5.99M,-0.103M,,0.00,,
2011-12,-1.072M,0.00,-1.017M,-1.017M,,0.958M,0.958M,0.234M,,1.164M,,1.773M,,10.68M,-1.889M,-1.475M,-0.043M,2.672M,,,0.074M,-0.661M,4.931M,-0.80M,,-0.80M,,-7.984M,,-8.784M,,,-0.094M,0.00,-0.094M,4.08M,,3.986M,5.338M,0.133M,-0.379M,5.092M,-0.094M,,0.00,,
2011-09,,0.029M,,0.029M,,1.079M,1.079M,0.225M,,,,1.799M,,0.821M,-1.082M,-0.961M,-0.106M,0.30M,,,0.112M,-1.737M,2.266M,-0.665M,,-0.665M,,-0.50M,,-1.165M,,,0.197M,,0.197M,0.171M,,0.368M,4.151M,1.469M,-0.282M,5.338M,0.197M,,,,
2011-06,,,,,,1.046M,1.046M,0.096M,,,,2.332M,,-4.438M,0.847M,-1.601M,0.22M,-6.803M,,,-0.27M,-7.607M,-8.556M,-0.472M,,-0.472M,,-0.501M,,-0.973M,,,,,,7.629M,,7.629M,5.831M,-1.90M,0.22M,4.151M,,,,,
2011-03,-11.76M,0.024M,0.456M,0.48M,,0.94M,0.94M,0.242M,,,,1.403M,,7.147M,-2.416M,-0.844M,-0.627M,2.815M,,-0.709M,0.682M,-1.099M,0.146M,-0.75M,,-0.75M,-0.456M,0.499M,,-0.251M,,,-0.153M,,-0.153M,0.958M,,0.805M,4.193M,0.70M,0.938M,5.831M,-0.153M,,,,
2010-12,,0.00,0.00,0.00,,0.904M,0.904M,0.243M,,,,1.272M,,0.214M,2.075M,-1.115M,0.321M,1.473M,,0.471M,,3.225M,5.863M,-0.463M,,-0.463M,0.00,-5.001M,,-5.464M,,,0.00,,0.00,0.073M,,0.073M,4.151M,0.472M,-0.43M,4.193M,0.00,,,,
2010-09,5.98M,0.00,-0.217M,-0.217M,,1.145M,1.145M,0.242M,,,,1.375M,,-8.44M,-2.349M,-0.194M,0.175M,0.261M,,0.238M,-0.078M,-1.947M,-1.788M,-0.302M,,-0.302M,0.217M,0.999M,,0.914M,,,0.153M,,0.153M,0.249M,,0.402M,3.941M,-0.472M,0.682M,4.151M,0.153M,,,,
2010-06,-5.98M,0.005M,-0.239M,-0.234M,,0.959M,0.959M,0.243M,,,,1.371M,,0.623M,0.767M,0.645M,0.292M,-1.464M,,,0.078M,0.318M,-2.647M,-0.289M,,-0.289M,0.239M,2.499M,,2.449M,,,,,,0.094M,,0.094M,4.788M,-0.104M,-0.743M,3.941M,,,,,
2010-03,0.975M,0.007M,,-6.382M,,1.13M,1.13M,0.243M,,,0.00,-0.499M,,1.388M,0.783M,1.339M,-0.57M,1.345M,,0.132M,,3.104M,-0.041M,-0.389M,,-0.389M,0.00,-5.001M,,0.999M,,,0.17M,,0.17M,-0.555M,,0.254M,3.236M,1.212M,0.34M,4.788M,0.17M,,,,
2009-12,-4.565M,-0.011M,,-0.011M,,1.157M,1.157M,0.243M,,,-0.27M,2.166M,,0.964M,-1.081M,0.157M,0.158M,1.089M,,-0.133M,,0.19M,-0.126M,0.006M,,0.006M,0.00,1.035M,,1.041M,,,0.00,,0.00,0.172M,,0.172M,2.782M,1.087M,-0.633M,3.236M,0.00,,,,
2009-09,-7.674M,0.058M,,0.058M,,1.166M,1.166M,0.242M,,,0.109M,1.998M,,0.666M,1.091M,0.085M,0.004M,-0.298M,,0.02M,,0.902M,-2.533M,-0.735M,,-0.735M,0.006M,2.867M,,2.138M,,,0.17M,,0.17M,0.291M,,0.461M,1.971M,0.066M,0.745M,2.782M,0.17M,,,,
2009-06,-7.76M,0.00,,0.00,,1.445M,1.445M,0.226M,,,-0.181M,1.70M,,0.54M,1.417M,-0.654M,-0.152M,-1.224M,,-0.019M,,-0.632M,-4.662M,-0.682M,,-0.682M,-1.756M,7.078M,,4.64M,,,,,,0.092M,,0.092M,1.785M,0.07M,0.116M,1.971M,,,,,
2009-03,-8.454M,0.071M,0.00,0.071M,,1.325M,1.325M,0.192M,,,-0.644M,1.79M,,0.235M,-1.838M,2.187M,-0.12M,4.813M,,0.021M,,5.063M,-0.422M,-1.149M,,-1.149M,0.313M,2.576M,-0.313M,1.427M,,,0.146M,,-0.565M,0.04M,0.711M,0.186M,2.734M,1.191M,-2.14M,1.785M,0.146M,,,,
