,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,202.24M,330.84M,533.08M,80.91M,80.91M,,,,83.21M,19.42M,,,716.62M,0.0,7.454M,102.64M,93.51M,11.02M,26.28M,15.18M,256.09M,-69.48M,186.60M,78.12M,52.93M,131.06M,264.15M,0.00,29.55M,,611.35M,1.328B,21.73M,11.24M,32.97M,15.17M,48.14M,1.739M,,,,,,21.31M,21.31M,4.938M,105.21M,,,,4.251M,4.251M,36.10M,40.35M,145.56M,0.452M,709.28M,767.53M,287.65M,,-7.199M,1.182B
2020-06,214.83M,212.54M,427.36M,82.08M,82.08M,,,,89.28M,20.96M,,,619.69M,0.0,7.266M,101.16M,90.83M,11.67M,20.21M,15.01M,246.14M,-64.12M,182.02M,76.78M,50.71M,127.49M,287.94M,1.504M,30.88M,,629.82M,1.250B,27.75M,22.33M,50.08M,11.93M,62.01M,1.626M,,,,,,19.90M,19.90M,4.298M,110.38M,,,,4.204M,4.204M,33.08M,37.28M,147.66M,0.45M,647.07M,749.44M,286.58M,,-8.535M,1.102B
2020-03,192.34M,250.78M,443.12M,84.65M,84.65M,31.41M,35.01M,23.67M,90.09M,18.01M,,,635.86M,0.0,7.179M,100.18M,86.24M,,15.08M,14.55M,223.21M,-58.28M,164.93M,31.97M,14.91M,46.88M,207.80M,,43.34M,117.66M,580.60M,1.216B,32.77M,21.64M,54.42M,19.38M,73.79M,1.818M,,,,,,19.15M,19.15M,4.857M,131.88M,,,,0.806M,0.806M,18.30M,19.11M,151.00M,0.451M,602.48M,739.13M,265.41M,,-11.19M,1.065B
2019-12,117.97M,309.57M,427.54M,100.99M,100.99M,,,,91.19M,16.85M,,,636.58M,0.0,7.261M,98.82M,81.41M,,13.15M,14.15M,214.79M,-52.73M,162.06M,32.59M,15.20M,47.80M,167.98M,,47.03M,135.17M,560.04M,1.197B,31.57M,21.77M,53.34M,14.25M,67.59M,1.698M,,,,,,19.16M,19.16M,3.661M,126.26M,,,,0.822M,0.822M,22.67M,23.49M,149.75M,0.451M,570.68M,733.05M,240.33M,,-17.00M,1.047B
2019-09,150.28M,295.04M,445.32M,94.32M,94.32M,,,,90.30M,17.50M,,,647.43M,0.0,7.148M,96.15M,76.66M,,12.04M,12.92M,204.92M,-47.02M,157.90M,31.73M,14.80M,46.53M,106.02M,,67.28M,99.19M,476.92M,1.124B,31.74M,14.83M,46.56M,13.29M,59.85M,1.545M,,,,,,19.32M,19.32M,3.264M,112.23M,,,,0.80M,0.80M,19.86M,20.66M,132.89M,0.452M,501.47M,722.02M,214.93M,,-17.56M,991.46M
2019-06,101.05M,385.62M,486.67M,86.21M,86.21M,,,,87.73M,16.76M,,,677.36M,0.0,7.318M,93.46M,73.54M,,18.30M,2.207M,194.82M,-43.17M,151.65M,33.04M,15.41M,48.45M,40.03M,,66.74M,140.82M,447.70M,1.125B,29.69M,13.06M,42.74M,10.47M,53.21M,1.528M,,,,,,16.19M,16.19M,2.379M,100.20M,,,,0.833M,0.833M,21.43M,22.27M,122.47M,0.454M,488.40M,704.88M,179.39M,,-11.76M,1.003B
2019-03,121.02M,370.68M,491.70M,90.81M,90.81M,24.47M,35.20M,21.28M,80.94M,13.75M,,,677.20M,0.0,7.262M,86.70M,70.60M,,17.95M,2.19M,184.70M,-39.70M,145.00M,32.60M,15.21M,47.81M,21.72M,,77.50M,85.12M,377.15M,1.054B,32.18M,12.26M,44.45M,10.96M,55.41M,1.272M,,,,,,16.39M,16.39M,,106.00M,,,,0.822M,0.822M,10.64M,11.46M,117.46M,0.451M,399.47M,690.51M,138.85M,,-14.69M,936.89M
2018-12,84.18M,373.98M,458.16M,88.22M,88.22M,,,,71.81M,10.55M,,,628.73M,0.0,7.348M,85.88M,62.13M,,17.09M,2.182M,174.63M,-36.18M,138.46M,33.26M,15.52M,48.78M,0.00,,96.45M,44.71M,328.39M,957.12M,26.18M,7.312M,33.49M,11.18M,44.67M,1.30M,,,,,,15.08M,15.08M,,92.98M,,,,0.838M,0.838M,11.77M,12.61M,105.59M,0.451M,325.51M,676.17M,138.29M,,-12.32M,851.53M
2018-09,76.38M,334.06M,410.45M,74.20M,74.20M,,,,63.66M,13.30M,,,561.60M,0.0,7.408M,83.40M,59.93M,,14.03M,2.18M,166.94M,-32.88M,134.06M,33.72M,15.73M,49.45M,0.00,,116.25M,25.80M,325.57M,887.16M,21.88M,6.99M,28.87M,9.441M,38.32M,1.16M,,,,,,14.00M,14.00M,,81.98M,,,,0.85M,0.85M,11.38M,12.23M,94.21M,0.45M,280.65M,660.13M,136.74M,,-11.54M,792.95M
2018-06,61.29M,299.23M,360.52M,67.51M,67.51M,,,,55.78M,13.49M,,,497.30M,0.0,7.437M,63.83M,55.95M,,27.52M,2.183M,156.93M,-29.60M,127.32M,33.95M,15.84M,49.78M,6.887M,,115.05M,15.70M,314.74M,812.04M,25.67M,4.841M,30.51M,8.736M,39.25M,1.086M,,,,,,12.08M,12.08M,,76.68M,,,,0.856M,0.856M,11.15M,12.00M,88.68M,0.449M,230.52M,637.97M,134.67M,,-10.91M,723.36M
