,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.575B,1.575B,903.00M,672.00M,1.00M,75.00M,143.00M,1.00M,-142.00M,,303.00M,369.00M,1.00M,143.00M,-142.00M,27.00M,-142.00M,254.00M,44.00M,210.00M,,,8.00M,,218.00M,228.00M,397.00M,,2020-09,0.76,0.7571,0.76,,2020-09,0.76,0.7571,0.76,,286.90M,0.4075,,2020-09,AOR,
2020-06,1.443B,1.443B,872.00M,571.00M,2.00M,75.00M,141.00M,1.00M,-140.00M,,298.00M,273.00M,1.00M,141.00M,-140.00M,31.00M,-140.00M,164.00M,27.00M,137.00M,,,-1.00M,,136.00M,223.00M,305.00M,,2020-06,0.48,0.4741,0.48,,2020-06,0.48,0.4742,0.48,,286.50M,0.4075,,2020-06,AOR,
2020-03,1.864B,1.864B,1.066B,798.00M,1.00M,114.00M,137.00M,8.00M,-129.00M,,430.00M,368.00M,8.00M,137.00M,-129.00M,31.00M,-129.00M,270.00M,27.00M,243.00M,,,,,243.00M,316.00M,407.00M,,2020-03,0.86,0.8568,0.86,,2020-03,0.85,0.8468,0.85,,285.20M,0.4075,,2020-03,AOR,
2019-12,1.795B,1.795B,1.135B,660.00M,3.00M,86.00M,134.00M,2.00M,-132.00M,,349.00M,311.00M,2.00M,134.00M,-132.00M,26.00M,-132.00M,205.00M,37.00M,168.00M,,,-1.00M,,167.00M,263.00M,339.00M,,2019-12,0.59,0.5813,0.59,,2019-12,0.58,0.5714,0.58,,284.60M,0.3825,,2019-12,AOR,
2019-09,1.546B,1.546B,910.00M,636.00M,2.00M,70.00M,133.00M,2.00M,-131.00M,,285.00M,351.00M,2.00M,133.00M,-131.00M,29.00M,-131.00M,249.00M,42.00M,207.00M,,,0.00,,207.00M,215.00M,382.00M,,2019-09,0.73,0.7241,0.73,,2019-09,0.73,0.7242,0.73,,284.60M,0.3825,,2019-09,AOR,Restated
2019-06,1.445B,1.445B,940.00M,505.00M,3.00M,71.00M,131.00M,2.00M,-129.00M,,287.00M,218.00M,2.00M,131.00M,-129.00M,25.00M,-129.00M,114.00M,20.00M,94.00M,,,-1.00M,,93.00M,216.00M,245.00M,,2019-06,0.33,0.3213,0.33,,2019-06,0.33,0.3213,0.33,,284.00M,0.3825,,2019-06,AOR,Restated
2019-03,2.059B,2.059B,1.296B,763.00M,2.00M,106.00M,121.00M,1.00M,-120.00M,,404.00M,359.00M,1.00M,121.00M,-120.00M,22.00M,-120.00M,261.00M,48.00M,213.00M,,,,,213.00M,298.00M,382.00M,,2019-03,0.75,0.7442,0.75,,2019-03,0.75,0.7442,0.75,,283.60M,0.3825,,2019-03,AOR,Restated
2018-12,1.829B,1.829B,1.254B,575.00M,2.00M,81.00M,121.00M,3.00M,-118.00M,,325.00M,250.00M,3.00M,121.00M,-118.00M,-6.00M,-118.00M,126.00M,17.00M,109.00M,,,-1.00M,,108.00M,244.00M,247.00M,,2018-12,0.38,0.3739,0.38,,2018-12,0.38,0.3739,0.38,,283.20M,0.3575,,2018-12,AOR,Restated
2018-09,1.599B,1.599B,1.032B,567.00M,2.00M,67.00M,114.00M,2.00M,-112.00M,,273.00M,294.00M,2.00M,114.00M,-112.00M,20.00M,-112.00M,202.00M,33.00M,169.00M,,,0.00,,169.00M,206.00M,316.00M,,2018-09,0.60,0.5941,0.60,,2018-09,0.59,0.5841,0.59,,283.20M,0.3575,,2018-09,AOR,Restated
2018-06,1.492B,1.492B,965.00M,527.00M,1.00M,68.00M,112.00M,4.00M,-108.00M,,272.00M,255.00M,4.00M,112.00M,-108.00M,18.00M,-108.00M,165.00M,25.00M,140.00M,,,-1.00M,,139.00M,204.00M,277.00M,,2018-06,0.49,0.4870,0.49,,2018-06,0.49,0.4870,0.49,,282.60M,0.3575,,2018-06,AOR,Restated
2018-03,1.953B,1.953B,1.224B,729.00M,1.00M,87.00M,111.00M,2.00M,-109.00M,,366.00M,363.00M,2.00M,111.00M,-109.00M,27.00M,-109.00M,281.00M,40.00M,241.00M,,,,,241.00M,279.00M,392.00M,,2018-03,0.86,0.8570,0.86,,2018-03,0.86,0.8570,0.86,,282.20M,0.3575,,2018-03,AOR,Restated
2017-12,1.778B,1.778B,1.095B,683.00M,0.00,75.00M,110.00M,2.00M,-108.00M,,304.00M,379.00M,2.00M,110.00M,-108.00M,-49.00M,-108.00M,222.00M,224.00M,-2.00M,,,-1.00M,,-3.00M,229.00M,332.00M,,2017-12,-0.01,-0.01,-0.01,,2017-12,-0.01,-0.01,-0.01,,281.40M,0.3325,,2017-12,AOR,Restated
2017-09,1.527B,1.527B,942.00M,585.00M,1.00M,62.00M,111.00M,3.00M,-108.00M,,255.00M,330.00M,3.00M,111.00M,-108.00M,7.00M,-108.00M,229.00M,57.00M,172.00M,,,0.00,,172.00M,193.00M,340.00M,,2017-09,0.61,0.6073,0.61,,2017-09,0.61,0.6073,0.61,,281.60M,0.3325,,2017-09,AOR,Restated
2017-06,1.449B,1.449B,945.00M,504.00M,2.00M,66.00M,110.00M,2.00M,-108.00M,,263.00M,241.00M,2.00M,110.00M,-108.00M,7.00M,-108.00M,140.00M,47.00M,93.00M,,,-1.00M,,92.00M,197.00M,250.00M,,2017-06,0.33,0.3252,0.33,,2017-06,0.33,0.3253,0.33,,280.30M,0.3325,,2017-06,AOR,Restated
2017-03,1.829B,1.829B,1.098B,731.00M,2.00M,81.00M,107.00M,5.00M,-102.00M,,343.00M,388.00M,5.00M,107.00M,-102.00M,9.00M,-102.00M,295.00M,96.00M,199.00M,,,,,199.00M,262.00M,402.00M,,2017-03,0.71,0.7052,0.71,,2017-03,0.71,0.7052,0.71,,279.90M,0.3325,,2017-03,AOR,Restated
2016-12,1.64B,1.64B,1.074B,566.00M,3.00M,72.00M,111.00M,2.00M,-109.00M,,286.00M,280.00M,2.00M,111.00M,-109.00M,-47.00M,-109.00M,124.00M,46.00M,78.00M,,,-1.00M,,77.00M,214.00M,235.00M,,2016-12,0.28,0.2732,0.28,,2016-12,0.28,0.2732,0.28,,279.20M,0.31,,2016-12,AOR,Restated
2016-09,1.587B,1.587B,967.00M,620.00M,3.00M,62.00M,110.00M,1.00M,-109.00M,,245.00M,375.00M,1.00M,110.00M,-109.00M,15.00M,-109.00M,281.00M,95.00M,186.00M,,,0.00,,186.00M,183.00M,391.00M,,2016-09,0.67,0.6629,0.67,,2016-09,0.67,0.6629,0.67,,279.20M,0.31,,2016-09,AOR,Restated
2016-06,1.371B,1.371B,860.00M,511.00M,3.00M,60.00M,108.00M,2.00M,-106.00M,,236.00M,275.00M,2.00M,108.00M,-106.00M,14.00M,-106.00M,183.00M,58.00M,125.00M,,,-1.00M,,124.00M,176.00M,291.00M,,2016-06,0.45,0.4426,0.45,,2016-06,0.45,0.4427,0.45,,279.30M,0.31,,2016-06,AOR,Restated
2016-03,1.801B,1.801B,1.15B,651.00M,3.00M,87.00M,106.00M,1.00M,-105.00M,,325.00M,326.00M,1.00M,106.00M,-105.00M,17.00M,-105.00M,238.00M,74.00M,164.00M,,,,,164.00M,238.00M,344.00M,,2016-03,0.59,0.5825,0.59,,2016-03,0.59,0.5826,0.59,,277.90M,0.31,,2016-03,AOR,Restated
2015-12,1.509B,1.509B,1.001B,508.00M,3.00M,62.00M,91.00M,9.00M,-82.00M,,248.00M,260.00M,9.00M,91.00M,-82.00M,-11.00M,-82.00M,167.00M,60.00M,107.00M,,,-1.00M,,106.00M,186.00M,258.00M,,2015-12,0.39,0.3830,0.39,,2015-12,0.38,0.3731,0.38,,277.10M,0.29,,2015-12,AOR,Restated
2015-09,1.486B,1.486B,937.00M,549.00M,3.00M,59.00M,101.00M,1.00M,-100.00M,,232.00M,317.00M,1.00M,101.00M,-100.00M,6.00M,-100.00M,223.00M,75.00M,148.00M,,,,,148.00M,173.00M,324.00M,,2015-09,0.53,0.5228,0.53,,2015-09,0.53,0.5228,0.53,,276.90M,0.29,,2015-09,AOR,Restated
2015-06,1.35B,1.35B,917.00M,433.00M,2.00M,60.00M,103.00M,1.00M,-102.00M,,229.00M,204.00M,1.00M,103.00M,-102.00M,2.00M,-102.00M,104.00M,36.00M,68.00M,,,-1.00M,,67.00M,169.00M,207.00M,,2015-06,0.25,0.2453,0.25,,2015-06,0.25,0.2453,0.25,,276.20M,0.29,,2015-06,AOR,Restated
2015-03,2.111B,2.111B,1.411B,700.00M,2.00M,81.00M,101.00M,1.00M,-100.00M,,303.00M,397.00M,1.00M,101.00M,-100.00M,5.00M,-100.00M,302.00M,100.00M,202.00M,,,,,202.00M,222.00M,403.00M,,2015-03,0.73,0.7251,0.73,,2015-03,0.73,0.7251,0.73,,275.70M,0.29,,2015-03,AOR,Restated
2014-12,1.758B,1.758B,1.239B,519.00M,2.00M,64.00M,104.00M,3.00M,-101.00M,,246.00M,273.00M,3.00M,104.00M,-101.00M,-20.00M,-101.00M,152.00M,55.00M,97.00M,,,-1.00M,,96.00M,182.00M,256.00M,,2014-12,0.35,0.3453,0.35,,2014-12,0.35,0.3454,0.35,,275.80M,0.27,,2014-12,AOR,Restated
2014-09,1.43B,1.43B,984.00M,446.00M,2.00M,57.00M,101.00M,1.00M,-100.00M,,210.00M,236.00M,1.00M,101.00M,-100.00M,5.00M,-100.00M,141.00M,47.00M,94.00M,,,0.00,,94.00M,153.00M,242.00M,,2014-09,0.34,0.3351,0.34,,2014-09,0.34,0.3351,0.34,,274.70M,0.27,,2014-09,AOR,Restated
2014-06,1.468B,1.468B,1.026B,442.00M,2.00M,56.00M,101.00M,1.00M,-100.00M,,207.00M,235.00M,1.00M,101.00M,-100.00M,-8.00M,-100.00M,127.00M,43.00M,84.00M,,,-1.00M,,83.00M,151.00M,228.00M,,2014-06,0.31,0.3051,0.31,,2014-06,0.30,0.2952,0.30,,274.60M,0.27,,2014-06,AOR,Restated
2014-03,2.523B,2.523B,1.841B,682.00M,2.00M,75.00M,101.00M,0.00,-101.00M,,274.00M,408.00M,0.00,101.00M,-101.00M,2.00M,-101.00M,309.00M,105.00M,204.00M,,,,,204.00M,199.00M,410.00M,,2014-03,0.77,0.7650,0.77,,2014-03,0.75,0.7452,0.75,,273.00M,0.27,,2014-03,AOR,Restated
