,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.901B,1.901B,30.00M,769.00M,799.00M,,,,,799.00M,13.00M,1.182B,746.00M,142.00M,604.00M,,,,35.00M,604.00M,604.00M,,879.00M,,0.79,,,0.79,0.79,,0.78,,,0.78,0.78,,715.48M,722.10M,0.27,,AOR,
2020-09,1.836B,1.836B,23.00M,807.00M,830.00M,12.00M,,,-11.00M,831.00M,28.00M,1.17B,746.00M,165.00M,581.00M,,,,19.00M,581.00M,589.57M,127.00M,905.00M,,0.78,,,0.7920,0.78,,0.78,,,0.7919,0.78,,715.10M,718.89M,0.27,,AOR,
2020-06,1.794B,1.794B,20.00M,781.00M,801.00M,12.00M,,,-12.00M,801.00M,-8.00M,1.20B,244.00M,49.00M,195.00M,,,,32.00M,195.00M,204.61M,113.00M,447.00M,,0.23,,,0.2434,0.23,,0.23,,,0.2434,0.23,,714.77M,717.57M,0.27,,AOR,
2020-03,1.851B,1.851B,31.00M,822.00M,853.00M,13.00M,,,-3.00M,863.00M,-43.00M,1.229B,60.00M,14.00M,46.00M,,,,17.00M,46.00M,48.32M,118.00M,356.00M,,0.04,,,0.0433,0.04,,0.04,,,0.0432,0.04,,713.56M,720.36M,0.27,,AOR,
2019-12,1.961B,1.961B,45.00M,883.00M,928.00M,14.00M,,,-3.00M,939.00M,-42.00M,1.228B,941.00M,207.00M,734.00M,,,,33.00M,734.00M,736.34M,183.00M,1.273B,,0.97,,,0.9733,0.97,,0.96,,,0.9632,0.96,,715.19M,725.02M,0.24,,AOR,
2019-09,1.891B,1.891B,40.00M,768.00M,808.00M,14.00M,,,-3.00M,819.00M,-6.00M,1.242B,689.00M,140.00M,549.00M,,,,19.00M,549.00M,551.39M,91.00M,1.072B,,0.72,,,0.7233,0.72,,0.71,,,0.7133,0.71,,726.72M,736.09M,0.24,,AOR,Restated
2019-06,1.816B,1.816B,41.00M,858.00M,899.00M,14.00M,,,-1.00M,912.00M,-12.00M,1.245B,577.00M,124.00M,453.00M,,,,26.00M,453.00M,453.78M,109.00M,968.00M,,0.57,,,0.5711,0.57,,0.57,,,0.5710,0.57,,738.05M,747.75M,0.24,,AOR,Restated
2019-03,1.585B,1.585B,36.00M,769.00M,805.00M,3.00M,,,542.00M,1.35B,550.00M,1.082B,996.00M,221.00M,775.00M,,,,15.00M,775.00M,353.32M,89.00M,1.347B,,1.14,,,0.5021,1.14,,1.12,,,0.4913,1.12,,661.06M,670.69M,0.22,,AOR,Restated
2018-12,1.607B,1.607B,42.00M,673.00M,715.00M,1.00M,17.00M,,-6.00M,710.00M,-42.00M,1.081B,586.00M,130.00M,456.00M,,,0.00,23.00M,456.00M,460.67M,85.00M,898.00M,,0.65,,,0.6572,0.65,,0.64,,,0.6470,0.64,,652.84M,662.72M,0.22,,AOR,Restated
2018-09,1.542B,1.542B,43.00M,676.00M,719.00M,2.00M,19.00M,,4.00M,725.00M,-24.00M,1.043B,550.00M,114.00M,436.00M,,,0.00,15.00M,436.00M,432.83M,49.00M,822.00M,,0.62,,,0.6152,0.62,,0.61,,,0.6053,0.61,,667.62M,679.20M,0.18,,AOR,Restated
2018-06,1.553B,1.553B,30.00M,721.00M,751.00M,,20.00M,,172.00M,923.00M,198.00M,1.02B,748.00M,146.00M,602.00M,,,0.00,23.00M,602.00M,463.71M,133.00M,997.00M,,0.84,,,0.6376,0.84,,0.82,,,0.6214,0.82,,683.34M,696.21M,0.18,,AOR,Restated
2018-03,1.449B,1.449B,32.00M,728.00M,760.00M,,21.00M,,406.00M,1.166B,-65.00M,996.00M,882.00M,181.00M,701.00M,,,0.00,15.00M,701.00M,378.23M,93.00M,1.092B,,0.98,,,0.5121,0.98,,0.96,,,0.5016,0.96,,689.82M,704.10M,0.16,,AOR,Restated
2017-12,1.42B,1.42B,28.00M,668.00M,696.00M,,20.00M,,122.00M,818.00M,-26.00M,956.00M,600.00M,105.00M,495.00M,,,0.00,23.00M,495.00M,394.35M,86.00M,789.00M,,0.68,,,0.5368,0.68,,0.67,,,0.5296,0.67,,703.10M,716.65M,0.16,,AOR,Restated
2017-09,1.448B,1.448B,37.00M,650.00M,687.00M,,20.00M,41.00M,995.00M,1.682B,992.00M,970.00M,1.489B,475.00M,1.014B,,,0.00,15.00M,1.014B,336.40M,85.00M,1.671B,,1.37,,,0.4306,1.37,,1.35,,,0.4259,1.35,,721.28M,733.28M,0.16,,AOR,Restated
2017-06,1.447B,1.447B,30.00M,647.00M,677.00M,,21.00M,38.00M,-39.00M,638.00M,-7.00M,939.00M,494.00M,127.00M,367.00M,,,0.00,23.00M,367.00M,395.90M,81.00M,661.00M,,0.46,,,0.4990,0.46,,0.45,,,0.4884,0.45,,741.40M,752.33M,0.14,,AOR,Restated
2017-03,1.401B,1.401B,19.00M,688.00M,707.00M,,25.00M,39.00M,-40.00M,667.00M,-13.00M,933.00M,396.00M,91.00M,305.00M,,,0.00,15.00M,305.00M,335.84M,89.00M,549.00M,,0.38,,,0.4212,0.38,,0.38,,,0.4205,0.38,,747.67M,760.81M,0.14,,AOR,Restated
2016-12,1.413B,1.413B,23.00M,640.00M,663.00M,,22.00M,,129.00M,792.00M,-14.00M,903.00M,652.00M,275.00M,377.00M,,,0.00,23.00M,377.00M,299.60M,112.00M,800.00M,,0.49,,,0.3863,0.49,,0.49,,,0.3878,0.49,,746.29M,757.65M,0.14,,AOR,Restated
2016-09,1.438B,1.438B,30.00M,650.00M,680.00M,,22.00M,42.00M,-59.00M,621.00M,-10.00M,907.00M,694.00M,178.00M,516.00M,,,0.00,15.00M,516.00M,559.90M,113.00M,844.00M,,0.66,,,0.7185,0.66,,0.65,,,0.7079,0.65,,750.89M,757.86M,0.13,,AOR,Restated
2016-06,1.427B,1.427B,26.00M,653.00M,679.00M,,21.00M,43.00M,-30.00M,649.00M,-14.00M,902.00M,427.00M,103.00M,324.00M,,,4.00M,23.00M,328.00M,350.83M,118.00M,571.00M,,0.40,,,0.4301,0.40,,0.39,,,0.4199,0.39,,759.11M,764.81M,0.13,,AOR,Restated
2016-03,1.479B,1.479B,26.00M,665.00M,691.00M,,20.00M,42.00M,-33.00M,658.00M,59.00M,903.00M,435.00M,109.00M,326.00M,,,0.00,15.00M,326.00M,350.72M,110.00M,570.00M,,0.40,,,0.4320,0.40,,0.40,,,0.4318,0.40,,773.56M,777.76M,0.13,,AOR,Restated
2015-12,1.521B,1.521B,23.00M,620.00M,643.00M,,20.00M,33.00M,299.00M,942.00M,431.00M,897.00M,948.00M,292.00M,656.00M,,,0.00,23.00M,656.00M,449.10M,108.00M,1.08B,,0.80,,,0.5363,0.80,,0.79,,,0.5295,0.79,,784.70M,794.34M,0.13,,AOR,Restated
2015-09,1.546B,1.546B,32.00M,614.00M,646.00M,,18.00M,37.00M,-38.00M,608.00M,122.00M,901.00M,515.00M,134.00M,381.00M,,,,15.00M,381.00M,409.12M,112.00M,640.00M,,0.46,,,0.4953,0.46,,0.45,,,0.4849,0.45,,795.79M,805.02M,0.13,,AOR,Restated
2015-06,1.482B,1.482B,27.00M,612.00M,639.00M,,18.00M,38.00M,-136.00M,503.00M,16.00M,887.00M,417.00M,108.00M,309.00M,,,6.00M,23.00M,315.00M,415.50M,114.00M,533.00M,,0.36,,,0.4850,0.36,,0.36,,,0.4836,0.36,,803.97M,812.84M,0.13,,AOR,Restated
2015-03,1.431B,1.431B,27.00M,609.00M,636.00M,,18.00M,37.00M,-40.00M,596.00M,57.00M,847.00M,485.00M,124.00M,361.00M,,,0.00,15.00M,361.00M,390.76M,107.00M,608.00M,,0.42,,,0.4567,0.42,,0.42,,,0.4564,0.42,,810.21M,818.67M,0.13,,AOR,Restated
2014-12,1.456B,1.456B,23.00M,591.00M,614.00M,,18.00M,38.00M,-41.00M,573.00M,41.00M,882.00M,519.00M,134.00M,385.00M,,,0.00,23.00M,385.00M,415.41M,107.00M,647.00M,,0.44,,,0.4771,0.44,,0.43,,,0.4667,0.43,,818.90M,827.66M,0.13,,AOR,Restated
2014-09,1.362B,1.362B,28.00M,570.00M,598.00M,1.00M,16.00M,33.00M,-32.00M,567.00M,-53.00M,903.00M,464.00M,124.00M,340.00M,,,0.00,12.00M,340.00M,363.46M,107.00M,579.00M,,0.39,,,0.4183,0.39,,0.39,,,0.4180,0.39,,829.39M,838.32M,0.13,,AOR,Restated
2014-06,1.488B,1.488B,25.00M,588.00M,613.00M,1.00M,16.00M,32.00M,75.00M,689.00M,180.00M,900.00M,606.00M,167.00M,439.00M,,,0.00,23.00M,439.00M,384.70M,102.00M,714.00M,,0.49,,,0.4252,0.49,,0.49,,,0.4260,0.49,,838.49M,848.25M,0.13,,AOR,Restated
