,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,3.147B,70.91B,74.06B,,,,,74.06B,,,,2.865B,,,2.865B,,2.865B,4.258B,795.00M,5.053B,113.52B,2.453B,,111.07B,71.80B,201.53B,204.68B,,,,,2.614B,1.192B,1.192B,1.192B,4.106B,14.97B,14.97B,159.08B,,,174.05B,181.57B,,4.167B,18.38B,3.635B,5.676B,2.116B,2.601B,23.11B,,AOR,
2020-09,2.996B,68.71B,71.71B,,,,,71.71B,653.00M,1.604B,2.255B,818.00M,140.00M,450.00M,5.92B,-3.012B,2.908B,4.261B,817.00M,5.078B,113.05B,2.574B,,110.48B,69.71B,199.00B,202.00B,,,,,2.50B,50.00M,50.00M,50.00M,3.46B,15.12B,15.12B,156.68B,487.00M,,172.29B,179.04B,,4.167B,18.01B,3.624B,5.681B,2.116B,2.831B,22.95B,,AOR,
2020-06,3.221B,66.84B,70.06B,,,,,70.06B,644.00M,1.597B,2.236B,809.00M,93.00M,446.00M,5.825B,-2.963B,2.862B,4.261B,847.00M,5.108B,115.96B,2.696B,,113.27B,67.66B,199.68B,202.91B,,,,,2.582B,81.00M,81.00M,81.00M,3.604B,16.33B,16.33B,156.95B,525.00M,,173.80B,180.57B,,3.821B,17.64B,3.603B,5.683B,1.77B,2.951B,22.34B,,AOR,
2020-03,3.282B,44.96B,48.25B,,,,,48.25B,649.00M,1.584B,2.152B,819.00M,92.00M,438.00M,5.734B,-2.906B,2.828B,4.261B,869.00M,5.13B,119.67B,2.348B,,117.32B,45.87B,182.11B,185.39B,,,,,2.432B,3.50B,3.50B,3.50B,8.152B,16.28B,16.28B,135.06B,447.00M,,151.79B,163.52B,,3.821B,17.68B,3.597B,5.699B,1.77B,2.477B,21.87B,,AOR,
2019-12,3.278B,37.98B,41.26B,2.702B,377.00M,3.079B,101.00M,46.11B,647.00M,1.593B,2.127B,1.321B,85.00M,432.00M,6.205B,-2.889B,3.316B,4.252B,1.194B,5.446B,110.96B,1.202B,,109.76B,40.58B,159.21B,169.37B,,,,,2.441B,,,,3.17B,14.97B,14.97B,127.06B,542.00M,0.00,142.57B,148.17B,,3.821B,18.32B,3.599B,5.724B,1.77B,1.192B,21.20B,,AOR,
2019-09,3.261B,40.41B,43.67B,,,,,43.67B,690.00M,1.584B,2.10B,869.00M,98.00M,415.00M,5.756B,-2.834B,2.922B,4.29B,1.111B,5.401B,110.63B,1.143B,,109.49B,41.19B,167.82B,171.08B,,,,,2.507B,2.85B,2.85B,2.85B,6.827B,14.47B,14.47B,125.35B,602.00M,0.00,140.42B,149.68B,,3.821B,17.79B,3.589B,5.427B,1.77B,1.635B,21.40B,,AOR,Restated
2019-06,2.764B,39.11B,41.87B,,,,,41.87B,700.00M,1.621B,2.097B,894.00M,92.00M,426.00M,5.83B,-2.862B,2.968B,4.284B,1.254B,5.538B,110.49B,1.115B,,109.37B,39.94B,166.04B,168.80B,,,,,2.397B,,,,3.187B,15.78B,15.78B,125.39B,346.00M,197.00M,141.52B,148.13B,,3.382B,17.43B,3.572B,5.089B,1.331B,1.178B,20.47B,,AOR,Restated
2019-03,2.749B,38.60B,41.35B,,,,,41.35B,707.00M,1.617B,2.057B,908.00M,98.00M,422.00M,5.809B,-2.809B,3.00B,4.321B,1.359B,5.68B,110.53B,1.115B,,109.42B,39.38B,165.10B,167.85B,,,,,2.242B,376.00M,376.00M,376.00M,5.919B,15.48B,15.48B,123.66B,282.00M,197.00M,139.43B,148.01B,,3.382B,17.18B,3.444B,4.772B,1.331B,409.00M,19.65B,,AOR,Restated
2018-12,2.681B,34.66B,37.34B,2.401B,56.00M,2.457B,93.00M,41.00B,611.00M,1.561B,1.99B,518.00M,81.00M,403.00M,5.164B,-2.785B,2.379B,2.478B,978.00M,3.456B,95.87B,1.103B,,94.77B,37.22B,137.92B,146.07B,,,,,1.562B,,,,3.789B,14.43B,14.43B,108.84B,271.00M,0.00,123.53B,129.82B,,3.382B,16.58B,2.873B,6.471B,1.331B,-112.00M,16.25B,,AOR,Restated
2018-09,2.10B,33.24B,35.34B,,,,,35.34B,621.00M,1.604B,1.965B,546.00M,89.00M,404.00M,5.229B,-2.787B,2.442B,2.462B,1.038B,3.50B,94.11B,1.091B,,93.02B,34.02B,139.58B,141.68B,,,,,1.155B,600.00M,600.00M,600.00M,4.358B,14.46B,14.46B,104.34B,227.00M,20.00M,119.03B,125.84B,,3.382B,16.44B,2.856B,6.073B,1.331B,-775.00M,15.83B,,AOR,Restated
2018-06,2.052B,33.60B,35.65B,,,,,35.65B,623.00M,1.626B,1.939B,606.00M,85.00M,396.00M,5.275B,-2.754B,2.521B,2.462B,989.00M,3.451B,92.72B,1.077B,,91.64B,34.37B,138.64B,140.70B,,,,,1.206B,1.20B,1.20B,1.20B,3.303B,14.32B,14.32B,104.13B,263.00M,20.00M,118.72B,124.44B,,3.382B,16.14B,2.833B,5.574B,1.331B,-552.00M,16.23B,,AOR,Restated
2018-03,2.038B,33.57B,35.60B,,,,,35.60B,648.00M,1.669B,1.921B,625.00M,76.00M,399.00M,5.338B,-2.747B,2.591B,2.462B,956.00M,3.418B,92.69B,1.138B,,91.55B,34.58B,139.46B,141.50B,,,,,1.104B,1.335B,1.335B,1.335B,2.617B,14.80B,14.80B,105.46B,,20.00M,120.26B,125.30B,,3.382B,15.71B,2.828B,5.344B,1.331B,-389.00M,16.18B,,AOR,Restated
2017-12,2.514B,34.50B,37.02B,2.141B,66.00M,2.207B,87.00M,40.14B,661.00M,1.688B,1.877B,646.00M,93.00M,399.00M,5.364B,-2.715B,2.649B,2.445B,885.00M,3.33B,92.46B,1.196B,,91.27B,37.23B,134.68B,142.08B,,,,,1.465B,3.125B,3.125B,3.125B,5.31B,14.90B,14.90B,103.16B,341.00M,20.00M,118.41B,125.86B,,3.382B,14.96B,2.79B,5.002B,1.331B,73.00M,16.20B,,AOR,Restated
2017-09,2.205B,34.78B,36.98B,,,,,36.98B,667.00M,1.687B,1.829B,663.00M,99.00M,396.00M,5.341B,-2.66B,2.681B,2.423B,866.00M,3.289B,92.59B,1.205B,,91.39B,35.65B,140.06B,142.26B,,,,,2.071B,4.70B,4.70B,4.70B,7.527B,14.04B,14.04B,101.45B,350.00M,20.00M,115.84B,125.88B,,3.382B,14.75B,2.682B,4.637B,1.331B,185.00M,16.36B,,AOR,Restated
2017-06,2.203B,33.99B,36.19B,,,,,36.19B,675.00M,1.586B,1.763B,719.00M,120.00M,394.00M,5.257B,-2.497B,2.76B,2.423B,867.00M,3.29B,92.21B,1.226B,,90.99B,34.85B,138.86B,141.07B,,,,,1.617B,4.352B,4.352B,4.352B,6.742B,13.46B,13.46B,101.88B,381.00M,27.00M,115.72B,124.62B,,3.382B,13.86B,2.751B,3.739B,1.331B,163.00M,16.42B,,AOR,Restated
2017-03,2.205B,33.18B,35.38B,,,,,35.38B,682.00M,1.683B,1.775B,702.00M,109.00M,392.00M,5.343B,-2.589B,2.754B,2.419B,787.00M,3.206B,92.24B,1.238B,,91.01B,33.89B,138.00B,140.20B,,,,,1.655B,2.015B,2.015B,2.015B,3.825B,13.66B,13.66B,104.16B,,27.00M,117.81B,123.74B,,3.382B,13.62B,2.803B,3.448B,1.331B,68.00M,16.43B,,AOR,Restated
2016-12,2.392B,33.94B,36.33B,2.508B,166.00M,2.674B,83.00M,40.14B,692.00M,1.681B,1.762B,738.00M,99.00M,398.00M,5.37B,-2.567B,2.803B,2.416B,753.00M,3.169B,92.85B,1.253B,,91.60B,36.48B,134.21B,142.18B,,,,,1.80B,2.50B,2.50B,2.50B,5.093B,14.39B,14.39B,103.82B,374.00M,27.00M,118.58B,125.94B,,3.382B,13.44B,2.756B,3.433B,1.331B,59.00M,16.20B,,AOR,Restated
2016-09,2.164B,33.68B,35.85B,,,,,35.85B,697.00M,1.668B,1.726B,771.00M,110.00M,394.00M,5.366B,-2.511B,2.855B,2.416B,629.00M,3.045B,94.21B,1.272B,,92.94B,34.17B,141.12B,143.28B,,,,,2.178B,1.95B,1.95B,1.95B,5.086B,16.89B,16.89B,101.27B,712.00M,28.00M,118.87B,126.48B,,3.382B,13.18B,2.745B,3.286B,1.331B,755.00M,16.78B,,AOR,Restated
2016-06,2.359B,33.27B,35.63B,,,,,35.63B,707.00M,1.695B,1.725B,756.00M,106.00M,395.00M,5.384B,-2.484B,2.90B,2.416B,631.00M,3.047B,94.79B,1.299B,,93.49B,33.74B,141.27B,143.62B,,,,,2.187B,2.45B,2.45B,2.45B,5.496B,16.23B,16.23B,101.87B,778.00M,28.00M,118.88B,126.87B,,3.382B,12.78B,2.754B,3.077B,1.331B,889.00M,16.73B,,AOR,Restated
2016-03,2.298B,31.67B,33.97B,,,,,33.97B,723.00M,1.718B,1.717B,738.00M,86.00M,405.00M,5.387B,-2.464B,2.923B,2.416B,696.00M,3.112B,94.41B,1.295B,,93.11B,32.14B,140.13B,142.43B,,,,,2.011B,2.00B,2.00B,2.00B,4.93B,15.30B,15.30B,102.48B,738.00M,32.00M,118.52B,126.08B,,3.382B,12.57B,2.686B,2.999B,1.331B,684.00M,16.32B,,AOR,Restated
2015-12,2.54B,31.72B,34.26B,1.982B,,1.982B,101.00M,38.19B,740.00M,1.775B,1.699B,707.00M,85.00M,406.00M,5.412B,-2.466B,2.946B,2.416B,797.00M,3.213B,93.48B,1.272B,,92.21B,34.29B,132.77B,141.05B,,,,,2.164B,0.00,0.00,0.00,3.24B,15.81B,15.81B,103.20B,582.00M,31.00M,119.60B,125.18B,,3.382B,12.36B,2.666B,2.764B,1.331B,197.00M,15.84B,,AOR,Restated
2015-09,2.455B,30.79B,33.25B,,,,,33.25B,771.00M,1.767B,1.686B,680.00M,78.00M,414.00M,5.396B,-2.452B,2.944B,2.416B,770.00M,3.186B,94.57B,1.261B,,93.31B,31.32B,139.46B,141.92B,,,,,1.99B,3.452B,3.452B,3.452B,6.388B,15.53B,15.53B,100.89B,638.00M,32.00M,117.06B,126.06B,,3.382B,11.83B,2.659B,2.563B,1.331B,522.00M,15.83B,,AOR,Restated
2015-06,2.785B,31.44B,34.22B,,,,,34.22B,776.00M,1.767B,1.679B,670.00M,61.00M,413.00M,5.366B,-2.398B,2.968B,2.416B,867.00M,3.283B,93.70B,1.293B,,92.40B,31.96B,138.87B,141.66B,,,,,1.858B,2.85B,2.85B,2.85B,5.599B,13.52B,13.52B,103.02B,521.00M,33.00M,117.06B,126.02B,,3.382B,11.56B,2.632B,2.264B,1.331B,291.00M,15.60B,,AOR,Restated
2015-03,2.92B,31.33B,34.25B,,,,,34.25B,814.00M,1.82B,1.706B,695.00M,81.00M,418.00M,5.534B,-2.406B,3.128B,2.416B,803.00M,3.219B,91.97B,1.30B,,90.67B,31.90B,137.55B,140.47B,,,,,1.979B,1.413B,1.413B,1.413B,3.592B,14.06B,14.06B,103.42B,,40.00M,117.47B,124.57B,,3.382B,11.38B,2.659B,2.145B,1.331B,588.00M,15.86B,,AOR,Restated
2014-12,3.091B,30.32B,33.41B,1.764B,107.00M,1.871B,97.00M,37.46B,816.00M,1.81B,1.682B,728.00M,98.00M,416.00M,5.55B,-2.357B,3.193B,2.416B,873.00M,3.289B,91.34B,1.322B,,90.02B,32.95B,129.71B,138.71B,,,,,2.02B,,,,3.159B,14.97B,14.97B,101.71B,561.00M,39.00M,117.24B,123.04B,,3.382B,11.14B,2.646B,1.972B,1.331B,429.00M,15.63B,,AOR,Restated
2014-09,3.125B,26.55B,29.67B,,,,,29.67B,822.00M,1.794B,1.65B,732.00M,90.00M,413.00M,5.501B,-2.302B,3.199B,2.416B,951.00M,3.367B,91.26B,1.414B,,89.85B,27.13B,131.06B,134.19B,,,,,1.706B,2.73B,2.73B,2.73B,4.584B,14.34B,14.34B,97.29B,,39.00M,111.63B,118.74B,,3.382B,10.89B,2.621B,1.786B,1.331B,301.00M,15.40B,,AOR,Restated
