,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,628.00M,0.00,-1.00M,82.00M,81.00M,,,592.00M,592.00M,72.00M,14.00M,-57.00M,17.00M,82.00M,13.00M,-25.00M,163.00M,41.00M,,-24.00M,168.00M,-1.00M,1.596B,,-296.00M,,-296.00M,2.00M,35.00M,-3.00M,-337.00M,,-16.00M,-16.00M,,0.00,0.00,-201.00M,-201.00M,50.00M,-75.00M,-242.00M,,3.911B,1.017B,4.00M,4.932B,,,,0.00,-16.00M,0.00,,AOR,
2020-06,415.00M,,1.00M,,4.00M,,,528.00M,528.00M,-26.00M,37.00M,-227.00M,17.00M,65.00M,-110.00M,-34.00M,49.00M,-27.00M,,-23.00M,-145.00M,-4.00M,664.00M,,-280.00M,,-280.00M,14.00M,-15.00M,-3.00M,-284.00M,,-107.00M,-107.00M,,0.00,0.00,-201.00M,-201.00M,,17.00M,-291.00M,,3.818B,89.00M,4.00M,3.911B,,,,0.00,-107.00M,0.00,,AOR,
2020-03,839.00M,,-593.00M,,-519.00M,,,565.00M,565.00M,-118.00M,93.00M,93.00M,21.00M,-62.00M,300.00M,-87.00M,-171.00M,5.00M,,-20.00M,27.00M,-3.00M,936.00M,,-328.00M,,-328.00M,1.164B,252.00M,35.00M,1.123B,,-101.00M,-101.00M,,-321.00M,-321.00M,-112.00M,-112.00M,,-52.00M,-586.00M,,2.349B,1.473B,-4.00M,3.818B,,,,985.00M,-1.086B,-321.00M,,AOR,
2019-12,533.00M,-24.00M,32.00M,-8.00M,0.00,,,613.00M,613.00M,-88.00M,25.00M,-91.00M,21.00M,95.00M,24.00M,-42.00M,172.00M,-16.00M,,-38.00M,100.00M,-3.00M,1.205B,,-430.00M,,-430.00M,20.00M,-10.00M,11.00M,-409.00M,,-644.00M,-644.00M,,-479.00M,-479.00M,-114.00M,-114.00M,,-34.00M,-1.271B,,2.823B,-475.00M,1.00M,2.349B,,,,0.00,-644.00M,-479.00M,,AOR,
2019-09,2.252B,-2.366B,1.00M,8.00M,-2.357B,,,548.00M,548.00M,435.00M,5.00M,-19.00M,22.00M,57.00M,-123.00M,-33.00M,50.00M,-14.00M,,-30.00M,-150.00M,-2.00M,791.00M,,-428.00M,,-428.00M,9.00M,-5.00M,-14.00M,-438.00M,,679.00M,679.00M,,0.00,0.00,-109.00M,-109.00M,0.00,-40.00M,530.00M,,1.942B,883.00M,-2.00M,2.823B,,,,690.00M,-11.00M,0.00,,AOR,Restated
2019-06,26.00M,,-32.00M,,-32.00M,,,487.00M,487.00M,-34.00M,104.00M,-35.00M,35.00M,19.00M,-145.00M,-7.00M,-135.00M,41.00M,,-23.00M,-269.00M,-2.00M,299.00M,,-380.00M,,-380.00M,228.00M,20.00M,28.00M,-104.00M,,-1.266B,-1.266B,,0.00,0.00,-590.00M,-590.00M,,-37.00M,-1.893B,,3.639B,-1.698B,1.00M,1.942B,,,,0.00,-1.266B,0.00,,AOR,Restated
2019-03,145.00M,,-1.00M,,-1.00M,,,312.00M,312.00M,21.00M,1.00M,-21.00M,19.00M,88.00M,51.00M,-50.00M,2.00M,18.00M,,-11.00M,10.00M,-3.00M,571.00M,,-225.00M,,-225.00M,2.00M,-50.00M,-2.00M,-275.00M,,-10.00M,-10.00M,,0.00,0.00,-76.00M,-76.00M,,-57.00M,-143.00M,,3.489B,153.00M,-3.00M,3.639B,,,,0.00,-10.00M,0.00,,AOR,Restated
2018-12,10.00M,0.00,100.00M,,100.00M,,,336.00M,336.00M,250.00M,54.00M,,19.00M,-1.00M,-91.00M,24.00M,38.00M,-26.00M,,-21.00M,-76.00M,-2.00M,740.00M,,-269.00M,,-269.00M,-2.00M,-20.00M,-2.00M,-293.00M,,-1.00M,-1.00M,,-2.00M,-2.00M,-75.00M,-75.00M,,-31.00M,-109.00M,,3.151B,338.00M,0.00,3.489B,,,,0.00,-1.00M,-2.00M,,AOR,Restated
2018-09,-140.00M,0.00,-100.00M,,-1.00M,,,299.00M,299.00M,-81.00M,428.00M,,19.00M,61.00M,-55.00M,-63.00M,-15.00M,-6.00M,,-18.00M,-157.00M,-3.00M,425.00M,,-274.00M,,-274.00M,-96.00M,-10.00M,13.00M,-367.00M,,0.00,0.00,,-26.00M,-26.00M,-76.00M,-76.00M,,-13.00M,-115.00M,,3.21B,-57.00M,-2.00M,3.151B,,,,0.00,0.00,-26.00M,,AOR,Restated
2018-06,280.00M,,,,-99.00M,,,279.00M,279.00M,-29.00M,76.00M,,19.00M,34.00M,114.00M,-122.00M,-115.00M,-13.00M,,-23.00M,-159.00M,-2.00M,399.00M,,-258.00M,,-258.00M,-42.00M,15.00M,4.00M,-281.00M,,-2.00M,-2.00M,,-6.00M,-6.00M,-74.00M,-74.00M,,30.00M,-52.00M,,3.146B,66.00M,-2.00M,3.21B,,,,,-2.00M,-6.00M,,AOR,Restated
2018-03,169.00M,,,,,,,301.00M,301.00M,10.00M,82.00M,,19.00M,36.00M,-77.00M,-89.00M,-171.00M,-4.00M,,-10.00M,-351.00M,-3.00M,263.00M,,-231.00M,,-231.00M,,-6.00M,1.00M,-236.00M,,-1.00M,-1.00M,,-64.00M,-64.00M,-76.00M,-76.00M,,-38.00M,-179.00M,,3.298B,-152.00M,0.00,3.146B,,,,,-1.00M,-64.00M,,AOR,Restated
2017-12,-524.00M,,,,21.00M,,,323.00M,323.00M,700.00M,65.00M,,17.00M,85.00M,-11.00M,-59.00M,197.00M,-41.00M,,-25.00M,61.00M,-3.00M,745.00M,,-309.00M,,-309.00M,0.00,-16.00M,-3.00M,-328.00M,,-1.00M,-1.00M,,0.00,0.00,-40.00M,-40.00M,,-85.00M,-126.00M,,3.004B,291.00M,3.00M,3.298B,,,,,-1.00M,0.00,,AOR,Restated
2017-09,206.00M,,,,-5.00M,,,328.00M,328.00M,21.00M,69.00M,,18.00M,37.00M,68.00M,-27.00M,-194.00M,-11.00M,,-21.00M,-185.00M,-3.00M,486.00M,,-194.00M,,-194.00M,0.00,15.00M,1.00M,-178.00M,,-383.00M,-383.00M,,0.00,0.00,-40.00M,-40.00M,,-12.00M,-435.00M,,3.13B,-127.00M,1.00M,3.004B,,,,,-383.00M,0.00,,AOR,Restated
2017-06,166.00M,,,,-16.00M,,,310.00M,310.00M,19.00M,49.00M,,19.00M,62.00M,-61.00M,-63.00M,-39.00M,2.00M,,77.00M,-84.00M,-3.00M,522.00M,,-183.00M,,-183.00M,0.00,-113.00M,14.00M,-282.00M,,,,,0.00,0.00,-27.00M,-27.00M,,-28.00M,-55.00M,,2.944B,185.00M,1.00M,3.13B,,,,,,0.00,,AOR,Restated
2017-03,81.00M,,,,,,,300.00M,300.00M,57.00M,43.00M,,16.00M,64.00M,39.00M,-55.00M,-57.00M,-2.00M,,-109.00M,-184.00M,-6.00M,371.00M,,-180.00M,,-180.00M,,19.00M,3.00M,-158.00M,,,,,0.00,0.00,-27.00M,-27.00M,,-25.00M,-52.00M,,2.782B,161.00M,1.00M,2.944B,,,,,,0.00,,AOR,Restated
2016-12,-921.00M,,,,1.00M,,,321.00M,321.00M,-6.00M,1.094B,,16.00M,146.00M,-133.00M,-86.00M,112.00M,-20.00M,,60.00M,-67.00M,43.00M,627.00M,,-301.00M,,-301.00M,920.00M,-4.00M,18.00M,628.00M,,-535.00M,-535.00M,,,,-26.00M,-26.00M,,7.00M,-566.00M,,2.099B,689.00M,-2.00M,2.782B,,,,,-535.00M,,,AOR,Restated
2016-09,135.00M,,,,-5.00M,,,335.00M,335.00M,84.00M,207.00M,,17.00M,-70.00M,-45.00M,-50.00M,38.00M,-40.00M,,-98.00M,-195.00M,348.00M,856.00M,,-269.00M,,-269.00M,,2.00M,-17.00M,-297.00M,,-276.00M,-276.00M,,,,-14.00M,-14.00M,,-13.00M,-469.00M,,2.181B,90.00M,0.00,2.099B,,,,,-276.00M,,,AOR,Restated
2016-06,-2.00M,,,,0.00,,,281.00M,281.00M,234.00M,,,21.00M,108.00M,131.00M,-97.00M,20.00M,-17.00M,,-11.00M,26.00M,109.00M,777.00M,,-283.00M,,-283.00M,0.00,-2.00M,2.00M,-294.00M,,-2.00M,-2.00M,,,,-14.00M,-14.00M,,36.00M,-40.00M,,1.781B,443.00M,-2.00M,2.181B,,,,,-2.00M,,,AOR,Restated
