,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.315B,3.315B,2.802B,2.802B,1.344B,584.00M,1.928B,761.00M,8.806B,0.0,350.00M,2.335B,5.907B,,463.00M,9.055B,-5.367B,3.688B,6.734B,2.468B,9.202B,1.186B,14.08B,22.88B,1.715B,,1.715B,2.91B,4.625B,838.00M,,322.00M,1.16B,1.16B,,,,5.785B,295.00M,6.326B,373.00M,6.699B,261.00M,261.00M,,769.00M,,42.00M,626.00M,8.65B,14.44B,477.00M,24.96B,470.00M,15.92B,,,-1.577B,8.405B
2020-06,2.45B,2.45B,2.512B,2.512B,1.478B,624.00M,2.102B,815.00M,7.879B,,,,,,,8.835B,-5.27B,3.565B,6.624B,2.488B,9.112B,1.174B,13.85B,21.73B,1.426B,,1.426B,2.834B,4.26B,,,,1.725B,1.725B,,,,5.985B,,5.50B,,5.50B,,,,,,47.00M,2.367B,7.867B,13.85B,477.00M,24.53B,459.00M,15.94B,,,-1.699B,7.831B
2020-03,2.583B,2.583B,2.641B,2.641B,1.417B,641.00M,2.058B,750.00M,8.032B,,,,,,,8.734B,-5.181B,3.553B,6.52B,2.498B,9.018B,1.108B,13.68B,21.71B,1.521B,,1.521B,2.678B,4.199B,,,,3.741B,3.741B,,,,7.94B,,3.96B,,3.96B,,,,,,46.00M,2.248B,6.208B,14.15B,477.00M,24.43B,453.00M,15.94B,,,-1.903B,7.517B
2019-12,1.635B,1.635B,2.726B,2.726B,1.402B,662.00M,2.064B,771.00M,7.196B,,,,,,,8.845B,-5.212B,3.633B,6.578B,2.567B,9.145B,1.127B,13.90B,21.10B,1.649B,,1.649B,2.707B,4.356B,,,,1.984B,1.984B,,,,6.34B,,4.018B,,4.018B,,,,,,38.00M,2.284B,6.302B,12.64B,477.00M,24.22B,447.00M,15.15B,,,-1.576B,8.421B
2019-09,1.494B,1.494B,2.985B,2.985B,1.302B,578.00M,1.88B,780.00M,7.139B,0.0,336.00M,2.219B,5.645B,,471.00M,8.671B,-5.029B,3.642B,6.536B,2.615B,9.151B,565.00M,13.36B,20.50B,1.874B,,1.874B,2.658B,4.532B,929.00M,,515.00M,1.444B,1.444B,,,,5.976B,313.00M,4.277B,,4.277B,327.00M,327.00M,,775.00M,,40.00M,556.00M,6.248B,12.22B,477.00M,24.20B,393.00M,15.11B,,,-1.722B,8.233B
2019-06,1.603B,1.603B,2.901B,2.901B,1.425B,636.00M,2.061B,785.00M,7.35B,,,,,,,8.687B,-5.073B,3.614B,6.544B,2.691B,9.235B,1.118B,13.97B,21.32B,1.785B,103.00M,1.888B,2.453B,4.341B,,,,1.877B,1.877B,,,,6.218B,,4.336B,,4.336B,,,,,,49.00M,1.959B,6.295B,12.51B,477.00M,23.78B,387.00M,14.87B,,,-1.016B,8.755B
2019-03,1.384B,1.384B,2.911B,2.911B,1.389B,684.00M,2.073B,784.00M,7.152B,,,,,,,8.634B,-5.019B,3.615B,6.509B,2.701B,9.21B,1.094B,13.92B,21.07B,1.73B,84.00M,1.814B,2.349B,4.163B,,,,2.551B,2.551B,,,,6.714B,328.00M,3.786B,,3.786B,483.00M,483.00M,,624.00M,,46.00M,564.00M,5.785B,12.50B,477.00M,23.48B,380.00M,14.88B,,,-928.00M,8.526B
2018-12,1.248B,1.248B,2.733B,2.733B,1.321B,659.00M,1.98B,697.00M,6.658B,,,,,,,8.451B,-4.90B,3.551B,6.468B,2.714B,9.182B,1.038B,13.77B,20.43B,1.794B,138.00M,1.932B,2.288B,4.22B,,,,3.32B,3.32B,,,,7.54B,332.00M,2.641B,,2.641B,482.00M,482.00M,,623.00M,,40.00M,535.00M,4.613B,12.15B,477.00M,23.25B,375.00M,14.82B,,,-1.052B,8.236B
2018-09,1.093B,1.093B,3.023B,3.023B,1.221B,592.00M,1.813B,690.00M,6.619B,0.0,316.00M,2.145B,5.47B,,439.00M,8.37B,-4.808B,3.562B,6.455B,2.751B,9.206B,1.003B,13.77B,20.39B,1.943B,,1.943B,2.598B,4.541B,935.00M,,688.00M,1.623B,1.623B,,,,6.164B,334.00M,3.137B,,3.137B,484.00M,484.00M,,625.00M,,43.00M,656.00M,5.236B,11.40B,477.00M,23.07B,348.00M,13.94B,,,-1.015B,8.947B
2018-06,3.411B,3.411B,3.027B,3.027B,1.195B,610.00M,1.805B,333.00M,8.576B,,,,,,,8.066B,-4.806B,3.26B,5.745B,2.157B,7.902B,749.00M,11.91B,20.49B,1.647B,53.00M,1.70B,2.392B,4.092B,,,,2.862B,2.862B,,,,6.954B,346.00M,3.126B,,3.126B,274.00M,274.00M,,647.00M,,47.00M,680.00M,5.073B,12.03B,477.00M,22.66B,332.00M,13.96B,,,-1.092B,8.413B
