,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-03,236.00M,,,31.00M,137.00M,137.00M,,,,4.00M,-118.00M,12.00M,,69.00M,-11.00M,14.00M,,-34.00M,,374.00M,-66.00M,-6.00M,-72.00M,-1.00M,,,-73.00M,,,26.00M,2.00M,,2.00M,,-165.00M,-1.00M,-138.00M,437.00M,163.00M,6.00M,606.00M,2.00M,,,
2002-12,217.00M,,,,127.00M,127.00M,,,,-4.00M,143.00M,-26.00M,,-152.00M,12.00M,-10.00M,,-33.00M,,307.00M,-65.00M,42.00M,-23.00M,,,,-23.00M,,,-72.00M,2.00M,,2.00M,,-165.00M,1.00M,-234.00M,381.00M,50.00M,6.00M,437.00M,2.00M,,,
2002-09,248.70M,,,42.80M,131.60M,131.60M,,,,,155.00M,265.00M,,101.00M,12.00M,-101.00M,-215.60M,216.40M,,639.50M,-133.00M,59.90M,-73.10M,-23.20M,,,-96.30M,,,-540.60M,,-16.00M,-16.00M,,-163.00M,,-719.60M,548.00M,-176.40M,9.10M,381.00M,,,,-16.00M
2002-06,-656.10M,,,781.60M,140.50M,140.50M,,,,,,,,,,,222.50M,222.50M,,488.50M,-79.00M,64.10M,-14.90M,-12.50M,,,-27.40M,,,-218.50M,,2.70M,2.70M,,-163.10M,,-378.90M,448.10M,82.20M,17.70M,548.00M,,,,2.70M
2002-03,1.212B,,,-1.039B,137.90M,137.90M,,,,63.00M,-181.00M,-10.00M,,153.00M,-8.00M,117.00M,-6.90M,64.10M,,438.00M,-78.00M,-20.00M,-98.00M,-5.30M,,,-103.30M,,,-194.90M,,11.30M,11.30M,,-162.90M,,-346.50M,467.00M,-11.80M,-6.80M,448.10M,,,,11.30M
2001-12,-683.00M,,,938.00M,131.00M,131.00M,,,,-63.00M,181.00M,10.00M,,-153.00M,8.00M,-117.00M,,-71.00M,,252.00M,-94.00M,153.00M,59.00M,-713.00M,,,-654.00M,,,692.00M,,-18.00M,-18.00M,,-163.00M,,511.00M,356.00M,109.00M,2.00M,467.00M,,,,-18.00M
2001-09,-14.50M,,,-154.00M,172.80M,172.80M,,,,196.10M,,,,,,,375.70M,494.70M,,695.10M,-144.20M,36.10M,-108.10M,-45.60M,,,-154.70M,,,2.40M,,-454.90M,-454.90M,,-162.20M,,-614.70M,423.20M,-74.30M,6.90M,356.00M,,,,-454.90M
2001-06,330.40M,,,107.00M,184.00M,184.00M,,,,-194.10M,,,,,,,-87.90M,-87.90M,,339.40M,-118.60M,128.60M,10.00M,-15.40M,,,-5.40M,,,-95.60M,,-41.90M,-41.90M,,-163.70M,,-301.20M,403.60M,32.80M,-13.20M,423.20M,,,,-41.90M
2001-03,358.70M,,,-54.80M,180.80M,180.80M,,,,,,,,,,,-88.30M,-88.30M,,396.40M,-140.90M,-9.90M,-150.80M,-83.70M,,,-234.50M,,,81.60M,-3.10M,-37.20M,-40.30M,,-164.10M,,-122.80M,359.70M,39.10M,4.80M,403.60M,-3.10M,,,-37.20M
2000-12,357.40M,,,-52.20M,171.40M,171.40M,,,,,,,,,,,-199.50M,-199.50M,,277.10M,-150.30M,52.20M,-98.10M,-55.30M,,,-153.40M,,,119.60M,3.10M,,3.10M,,-164.00M,,-41.30M,280.80M,82.40M,-3.50M,359.70M,3.10M,,,
2000-09,371.00M,,,-156.20M,172.00M,172.00M,,,,102.30M,,,,,,,309.60M,204.70M,,693.80M,-236.40M,168.60M,-67.80M,-62.00M,,-63.50M,-193.30M,,,-461.10M,,7.90M,7.90M,,-152.70M,,-605.90M,402.50M,-105.40M,-16.30M,280.80M,,,,7.90M
2000-06,373.70M,,,45.80M,170.90M,170.90M,,,,-102.30M,,,,,,,-31.70M,-31.70M,,456.40M,-158.20M,-31.50M,-189.70M,-744.50M,,63.50M,-870.70M,,,598.20M,,7.70M,7.70M,,-152.60M,,453.30M,373.40M,39.00M,-9.90M,402.50M,,,,7.70M
2000-03,352.80M,,,-29.80M,172.10M,172.10M,,,,,,,,,,,-108.70M,-108.70M,,386.40M,-171.80M,31.50M,-140.30M,-1.161B,,1.90M,-1.299B,,,1.335B,,-232.50M,-232.50M,,-153.40M,,949.10M,339.50M,36.40M,-2.50M,373.40M,,,,-232.50M
1999-12,324.90M,,,-16.00M,163.50M,163.50M,,,,,,,,,,,-169.20M,-169.20M,,303.20M,-125.60M,,-125.60M,-4.60M,,-1.90M,-132.10M,,,221.90M,,-159.30M,-159.30M,,-154.50M,,-91.90M,266.10M,79.20M,-5.80M,339.50M,,,,-159.30M
1999-09,340.20M,,,,156.30M,156.30M,,,,103.80M,,,,,,,232.10M,267.80M,,691.80M,-182.60M,,32.90M,-78.20M,,-127.50M,-172.80M,,,-391.30M,,-44.00M,-44.00M,,-141.10M,,-576.40M,332.80M,-57.40M,-9.30M,266.10M,,,,-44.00M
1999-06,345.10M,,,,164.00M,164.00M,,,,-68.20M,,,,,,,31.50M,31.50M,,472.40M,421.80M,,421.80M,-1.124B,,127.50M,-574.50M,,,327.40M,,-63.10M,-63.10M,,-141.20M,,123.10M,305.60M,21.00M,6.20M,332.80M,,,,-63.10M
1999-03,325.90M,,,,317.20M,317.20M,,,,-8.80M,,,,,,,-263.60M,-263.60M,,370.70M,-694.00M,,-694.00M,468.00M,,-0.80M,-226.80M,,,116.60M,,-122.30M,-122.30M,,-141.70M,,-147.40M,321.70M,-3.50M,-12.60M,305.60M,,,,-122.30M
1998-12,302.40M,,,,,,,,,-26.80M,,,,,,,,,,275.60M,-136.80M,,-136.80M,-468.00M,,0.80M,-604.00M,,,664.70M,,-94.30M,-94.30M,,-142.40M,,428.00M,209.70M,99.60M,12.40M,321.70M,,,,-94.30M
1998-09,313.90M,,,,,,,,,-159.20M,,,,,,,,,,636.20M,-194.50M,,-194.50M,-363.50M,,43.40M,-514.60M,,,-77.00M,,-122.00M,-122.00M,,-129.70M,,-328.70M,413.70M,-207.10M,3.10M,209.70M,,,,-122.00M
1998-06,324.80M,,,,,,,,,103.90M,,,,,,,,,,428.70M,-142.90M,,-142.90M,-101.70M,,31.80M,-212.80M,,,67.10M,,-166.50M,-166.50M,,-130.40M,,-229.80M,426.50M,-13.90M,1.10M,413.70M,,,,-166.50M
