,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,1.078B,1.078B,353.40M,724.30M,298.90M,155.00M,,,84.80M,,453.90M,270.40M,,84.80M,,84.80M,355.20M,38.40M,316.80M,-2.90M,313.90M,313.90M,339.60M,69.20M,270.40M,2.68,,2.68,2.68,2.6,,2.6,2.6,117.30M,120.60M
2020-06,852.10M,852.10M,349.20M,502.90M,279.10M,143.20M,,,26.60M,,422.30M,80.60M,,26.60M,,26.60M,107.20M,37.00M,70.20M,-2.20M,68.00M,68.00M,144.40M,63.80M,80.60M,0.58,,0.58,0.58,0.57,,0.57,0.57,116.80M,119.70M
2020-03,1.100B,1.100B,361.30M,738.20M,308.10M,147.10M,,,25.10M,,455.20M,283.00M,,25.10M,,25.10M,308.10M,-8.10M,316.20M,-2.70M,313.50M,313.50M,346.40M,63.40M,283.00M,2.69,,2.69,2.69,2.62,,2.62,2.62,116.40M,119.80M
2019-12,1.278B,1.278B,381.70M,896.00M,341.80M,156.60M,,,34.10M,,498.40M,397.60M,,34.10M,,34.10M,431.70M,69.00M,362.70M,-5.00M,357.70M,357.70M,461.40M,63.80M,397.60M,3.09,,3.09,3.09,2.99,,2.99,2.99,115.70M,119.80M
2019-09,1.128B,1.128B,342.60M,785.60M,284.00M,135.90M,,,33.30M,,419.90M,365.70M,,33.30M,,33.30M,399.00M,0.30M,398.70M,-1.90M,396.80M,396.80M,416.60M,50.90M,365.70M,3.44,,3.44,3.44,3.33,,3.33,3.33,115.40M,119.30M
2019-06,1.099B,1.099B,339.90M,759.00M,279.20M,120.80M,,,32.80M,,400.00M,359.00M,,32.80M,,32.80M,391.80M,75.40M,316.40M,1.90M,318.30M,318.30M,405.70M,46.70M,359.00M,2.76,,2.76,2.76,2.67,,2.67,2.67,115.40M,119.30M
2019-03,973.70M,973.70M,304.10M,669.60M,273.40M,144.00M,,,27.50M,,417.40M,252.20M,,27.50M,,27.50M,279.70M,-24.30M,304.00M,2.50M,306.50M,306.50M,293.80M,41.60M,252.20M,2.67,,2.67,2.67,2.56,,2.56,2.56,115.00M,119.60M
2018-12,1.046B,1.046B,310.80M,735.70M,283.80M,119.90M,,,26.80M,,403.70M,332.00M,,26.80M,,26.80M,358.80M,67.50M,291.30M,1.20M,292.50M,292.50M,368.30M,36.30M,332.00M,2.55,,2.55,2.55,2.45,,2.45,2.45,114.60M,119.40M
2018-09,920.90M,920.90M,278.60M,642.30M,221.40M,107.60M,,,21.90M,,329.00M,313.30M,,21.90M,,21.90M,335.20M,43.40M,291.80M,0.70M,292.50M,292.50M,344.30M,31.00M,313.30M,2.57,,2.57,2.57,2.45,,2.45,2.45,114.00M,119.20M
2018-06,909.30M,909.30M,277.00M,632.30M,259.80M,95.10M,,,18.20M,,354.90M,277.40M,,18.20M,,18.20M,295.60M,41.00M,254.60M,0.70M,255.30M,255.30M,306.60M,29.20M,277.40M,2.25,,2.25,2.25,2.15,,2.15,2.15,113.50M,118.50M
2018-03,847.50M,847.50M,253.70M,593.80M,221.60M,95.50M,,,13.20M,,317.10M,276.70M,,13.20M,,13.20M,289.90M,2.60M,287.30M,0.30M,287.60M,287.60M,303.00M,26.30M,276.70M,2.55,,2.55,2.55,2.44,,2.44,2.44,112.80M,118.00M
2017-12,892.00M,892.00M,258.00M,634.00M,217.90M,87.10M,,,12.30M,,305.00M,329.00M,,12.30M,,12.30M,341.30M,372.80M,-31.50M,0.00,-31.50M,-31.50M,356.60M,27.60M,329.00M,-0.35,,-0.35,-0.35,-0.35,,-0.35,-0.35,112.00M,117.50M
2017-09,807.80M,807.80M,239.70M,568.10M,204.10M,83.40M,,,10.80M,,287.50M,280.60M,,10.80M,,10.80M,291.40M,-7.20M,298.60M,0.00,298.60M,298.60M,305.50M,24.90M,280.60M,2.67,,2.67,2.67,2.56,,2.56,2.56,111.80M,116.80M
2017-06,758.80M,758.80M,228.70M,530.10M,185.60M,84.60M,,,10.10M,,270.20M,259.90M,,10.10M,,10.10M,270.00M,47.00M,223.00M,,223.00M,223.00M,283.80M,23.90M,259.90M,2.01,,2.01,2.01,1.94,,1.94,1.94,111.00M,115.20M
