,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,257.90M,974.70M,1.543B,2.517B,474.90M,474.90M,96.40M,28.90M,158.30M,,283.60M,105.90M,,,,3.382B,,,,,,,,,661.90M,201.10M,203.80M,404.90M,1.551B,426.80M,,3.044B,6.426B,96.30M,,96.30M,126.70M,223.00M,,,,254.60M,254.60M,,581.20M,,,25.40M,25.40M,9.30M,21.20M,338.60M,919.80M,0.10M,698.00M,4.817B,,,,,-18.10M,5.497B
2017-12,197.70M,648.20M,1.312B,1.961B,507.90M,507.90M,80.90M,19.70M,140.60M,,241.20M,99.20M,,,,2.809B,0.0,174.80M,230.50M,405.20M,66.10M,83.50M,960.10M,-347.00M,613.10M,201.10M,26.00M,227.10M,1.886B,72.00M,169.80M,2.968B,5.777B,82.50M,63.10M,145.60M,105.80M,251.40M,,,,243.80M,243.80M,,662.80M,,,24.80M,24.80M,1.60M,22.00M,333.60M,996.40M,0.10M,115.00M,4.679B,,,,,-15.50M,4.779B
2017-09,252.40M,875.00M,1.272B,2.147B,468.00M,468.00M,67.70M,18.50M,139.00M,,225.20M,88.90M,,,,2.929B,,,,,,,,,584.80M,201.10M,154.80M,355.90M,1.655B,119.80M,,2.716B,5.645B,80.40M,,80.40M,128.10M,208.50M,,,,282.50M,282.50M,,615.70M,,,,,2.00M,69.00M,69.00M,684.70M,0.10M,776.60M,4.190B,,,,,-9.20M,4.958B
2017-06,175.00M,696.50M,1.127B,1.823B,481.10M,481.10M,67.40M,12.60M,134.20M,,214.20M,123.50M,,,,2.642B,,,,,,,,,540.10M,201.10M,152.40M,353.50M,1.600B,115.10M,,2.609B,5.251B,74.20M,,74.20M,125.60M,199.80M,,,,288.90M,288.90M,,599.80M,,,,,,128.70M,128.70M,728.50M,0.00,482.30M,4.050B,,,,,-9.80M,4.522B
2017-03,159.10M,708.60M,756.20M,1.465B,412.90M,412.90M,63.10M,12.90M,137.50M,,213.50M,76.50M,,,,2.168B,,,,,,,,,497.40M,201.10M,140.20M,341.30M,1.682B,119.60M,,2.640B,4.808B,74.00M,,74.00M,125.00M,199.00M,,,,273.30M,273.30M,,558.20M,,,,,,122.30M,122.30M,680.50M,0.00,263.30M,3.872B,,,,,-8.00M,4.128B
2016-12,227.70M,1.037B,1.518B,2.555B,430.20M,430.20M,54.80M,13.40M,114.10M,,182.30M,83.30M,,,,3.250B,0.0,131.70M,199.50M,373.20M,34.70M,41.20M,780.30M,-321.90M,458.40M,201.10M,31.50M,232.60M,2.283B,150.90M,111.30M,3.236B,6.487B,68.50M,40.40M,108.90M,110.60M,219.50M,,,,240.60M,240.60M,,596.50M,,,,,0.00,27.70M,112.60M,709.10M,0.00,1.575B,4.212B,,,,,-8.90M,5.778B
2016-09,252.20M,1.022B,1.194B,2.215B,432.00M,432.00M,52.10M,11.00M,120.40M,,183.50M,80.60M,,,,2.911B,,,,,,,,,447.30M,201.10M,135.80M,336.90M,2.346B,133.10M,,3.263B,6.175B,60.60M,32.20M,92.80M,101.60M,194.40M,,,,229.60M,229.60M,,528.10M,,,,,,104.80M,104.80M,632.90M,0.00,1.403B,4.135B,,,,,4.00M,5.542B
2016-06,226.80M,1.194B,990.30M,2.184B,403.80M,403.80M,49.80M,9.30M,110.10M,,169.20M,70.60M,,,,2.827B,,,,,,,,,440.10M,201.10M,144.30M,345.40M,2.041B,126.80M,,2.953B,5.781B,64.80M,,64.80M,101.60M,166.40M,,,,228.60M,228.60M,,489.50M,,,,,,109.80M,109.80M,599.30M,0.00,1.193B,3.979B,,,,,9.30M,5.182B
2016-03,213.30M,980.50M,827.90M,1.808B,325.90M,325.90M,51.10M,8.10M,103.80M,,163.00M,109.10M,,,,2.406B,,,,,,,,,439.00M,201.10M,131.50M,332.60M,1.993B,135.60M,,2.900B,5.306B,57.90M,,57.90M,92.20M,150.10M,,,,225.30M,225.30M,,452.90M,,,,,,103.00M,103.00M,555.90M,0.00,1.010B,3.740B,,,,,1.30M,4.750B
2015-12,202.60M,714.60M,845.20M,1.560B,394.30M,394.30M,53.30M,10.20M,104.40M,,167.90M,73.50M,,,,2.196B,0.0,131.70M,191.50M,317.80M,15.00M,43.20M,699.20M,-267.10M,432.10M,201.10M,49.70M,250.80M,1.788B,167.80M,73.10M,2.712B,4.907B,52.60M,11.40M,64.00M,85.00M,149.00M,,,,225.60M,225.60M,,491.90M,,,,,,21.60M,95.90M,587.80M,0.00,899.20M,3.430B,,,,,-9.50M,4.320B
