,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-12,,194.62M,256.75M,451.37M,170.11M,170.11M,19.90M,4.097M,39.46M,,63.46M,9.496M,,9.458M,,703.89M,0.0,33.57M,38.32M,37.62M,25.95M,28.75M,164.22M,-47.19M,117.02M,110.74M,56.22M,166.96M,,35.90M,450.85M,770.73M,1.475B,20.50M,,20.50M,66.03M,86.54M,,,,77.98M,77.98M,,164.52M,,,,,,,43.34M,207.86M,0.039M,397.82M,871.85M,,,,,-2.943M,1.267B
2008-09,,227.61M,180.61M,408.22M,173.71M,173.71M,18.74M,5.209M,28.55M,,52.50M,11.28M,,5.851M,,651.56M,,,,,,,132.01M,-33.93M,98.08M,110.74M,57.58M,168.32M,,33.12M,413.58M,713.11M,1.365B,26.16M,,26.16M,49.22M,75.38M,,,,71.46M,71.46M,,146.84M,,,,,,,34.40M,181.24M,0.039M,347.07M,847.22M,,,0.347M,-11.24M,-10.89M,1.183B
2008-06,,223.02M,116.61M,339.64M,162.09M,162.09M,16.04M,3.924M,22.63M,-0.001M,42.59M,9.369M,,5.852M,,559.54M,,,,,,,128.50M,-33.93M,94.57M,110.74M,39.40M,150.14M,,26.61M,400.53M,671.85M,1.231B,20.02M,,20.02M,44.48M,64.50M,,,,64.91M,64.91M,,129.42M,,,,,,,27.98M,157.40M,0.039M,289.47M,790.22M,,,,,-5.739M,1.074B
2008-03,,230.81M,156.16M,386.97M,135.69M,135.69M,14.41M,2.556M,21.86M,,38.83M,14.67M,,5.852M,,582.01M,,,,,,,105.83M,-33.93M,71.90M,110.74M,21.98M,132.72M,,22.46M,314.18M,541.27M,1.123B,24.04M,,24.04M,35.97M,60.02M,,,,59.25M,59.25M,,119.26M,,,,,,,22.21M,141.47M,0.039M,238.29M,744.24M,,,,,-0.754M,981.81M
2007-12,,122.82M,304.64M,427.47M,130.37M,130.37M,12.81M,3.257M,16.35M,,32.42M,13.49M,,5.852M,,609.59M,0.0,15.52M,36.02M,30.49M,15.92M,4.07M,102.02M,-33.93M,68.09M,110.74M,23.47M,134.21M,,18.72M,209.38M,430.41M,1.040B,29.79M,,29.79M,48.16M,77.95M,,,,53.82M,53.82M,,131.77M,,,,,,,19.55M,151.32M,0.038M,193.51M,694.60M,,,,,0.53M,888.67M
2007-09,,86.39M,282.56M,368.96M,120.46M,120.46M,10.25M,1.489M,15.03M,,26.77M,13.92M,,8.597M,,538.70M,,,,,,,89.24M,-25.09M,64.15M,112.17M,4.525M,116.70M,,27.61M,165.08M,373.54M,912.25M,22.26M,,22.26M,33.78M,56.04M,,,,47.62M,47.62M,,103.66M,,,,,,,8.432M,112.10M,0.038M,144.36M,655.56M,,,,,0.20M,800.15M
2007-06,,65.71M,240.17M,305.89M,105.65M,105.65M,10.00M,2.131M,11.91M,,24.04M,11.33M,,8.597M,,455.50M,,,,,,,87.13M,-25.09M,62.04M,118.21M,4.955M,123.16M,,25.52M,142.48M,353.20M,808.70M,16.21M,,16.21M,32.92M,49.14M,,,,42.30M,42.30M,,91.44M,,,,,,,5.91M,97.35M,0.038M,103.44M,606.65M,,,0.109M,1.113M,1.222M,711.35M
2007-03,,52.76M,221.94M,274.70M,90.48M,90.48M,9.727M,2.768M,13.77M,,26.26M,7.425M,,8.511M,,407.38M,,,,,,,85.36M,-25.09M,60.28M,118.21M,5.384M,123.59M,,22.43M,110.50M,316.79M,724.17M,14.16M,,14.16M,23.92M,38.08M,,,,38.98M,38.98M,,77.06M,,,,,,,3.875M,80.93M,0.037M,72.77M,568.93M,,,0.088M,1.408M,1.496M,643.24M
2006-12,,34.39M,205.35M,239.74M,94.68M,94.68M,9.389M,2.051M,12.86M,,24.30M,6.328M,,9.405M,,374.45M,0.0,15.52M,33.37M,23.68M,11.00M,1.458M,85.02M,-25.09M,59.94M,118.24M,5.814M,124.05M,,22.27M,91.07M,297.34M,671.79M,11.09M,,11.09M,33.02M,44.11M,,,,36.56M,36.56M,,80.67M,,,,,,,1.418M,82.08M,0.037M,51.02M,537.94M,,,,,0.705M,589.70M
2006-09,,53.44M,148.36M,201.81M,71.68M,71.68M,9.073M,1.208M,12.05M,,22.33M,8.554M,,14.88M,,319.25M,,,,,,,77.32M,-18.59M,58.74M,122.45M,6.243M,128.70M,,15.57M,91.73M,294.74M,613.99M,10.19M,,10.19M,25.27M,35.46M,,,,33.52M,33.52M,,68.98M,,,,,,,1.368M,70.35M,0.037M,27.38M,516.92M,,,,,-0.691M,543.65M
2006-06,,31.06M,129.46M,160.52M,70.53M,70.53M,9.245M,1.81M,13.58M,,24.64M,8.224M,,12.29M,,276.20M,,,,,,,77.43M,-18.59M,58.84M,124.04M,6.672M,130.71M,,15.57M,84.52M,289.64M,565.84M,5.769M,,5.769M,25.62M,31.39M,,,,30.27M,30.27M,,61.66M,,,,,,,1.103M,62.77M,0.037M,10.12M,494.58M,,,,,-1.659M,503.07M
2006-03,,5.216M,160.23M,165.45M,56.98M,56.98M,6.067M,3.939M,10.36M,,20.37M,7.387M,,17.19M,,267.36M,,,,,,,72.45M,-18.59M,53.86M,124.64M,5.737M,130.38M,,15.57M,57.33M,257.14M,524.50M,9.144M,,9.144M,18.24M,27.39M,,,,27.65M,27.65M,,55.04M,,,,,,,0.769M,55.81M,0.037M,-6.566M,476.77M,,,,,-1.547M,468.69M
2005-12,,5.508M,123.68M,129.19M,52.85M,52.85M,5.187M,4.416M,5.567M,,15.17M,6.131M,0.319M,4.999M,,208.66M,0.0,15.52M,28.37M,19.06M,7.864M,,70.81M,-18.59M,52.22M,,129.99M,129.99M,,35.76M,74.96M,292.93M,501.59M,7.95M,,7.95M,24.72M,32.67M,,,,25.31M,25.31M,,57.99M,,,,,,,1.009M,59.00M,0.036M,-20.99M,465.02M,,,,,-1.477M,442.59M
2005-09,,8.729M,180.69M,189.42M,43.76M,43.76M,4.486M,3.139M,4.595M,,12.22M,5.146M,0.319M,,,250.86M,,,,,,,43.35M,-13.90M,29.45M,,146.57M,146.57M,,,1.032M,177.05M,427.92M,7.497M,,7.497M,17.68M,25.18M,0.035M,0.035M,0.035M,20.66M,20.66M,0.345M,46.21M,,,,,,,1.084M,47.30M,0.035M,-70.52M,452.51M,1.409M,,,,,380.62M
2005-06,,7.972M,150.57M,158.54M,39.65M,39.65M,3.085M,1.901M,3.85M,,8.836M,4.652M,0.319M,,,212.00M,,,,,,,43.19M,-13.90M,29.29M,,147.70M,147.70M,,,0.541M,177.53M,389.52M,5.382M,,5.382M,16.49M,21.87M,0.171M,0.171M,0.171M,18.40M,18.40M,0.397M,40.83M,,,,,,,0.679M,41.51M,0.035M,-91.24M,440.06M,,,,,-0.854M,348.01M
2005-03,,11.02M,138.43M,149.45M,31.41M,31.41M,2.666M,1.33M,3.57M,,7.566M,3.945M,0.319M,,,192.69M,,,,,,,40.75M,-13.90M,26.86M,,149.09M,149.09M,,,0.567M,176.51M,369.20M,6.482M,,6.482M,14.55M,21.03M,0.347M,0.347M,0.347M,16.86M,16.86M,,38.24M,,,,,,,0.762M,39.00M,0.035M,-105.96M,437.32M,,,,,-1.189M,330.20M
2004-12,,5.771M,126.27M,132.04M,35.44M,35.44M,2.404M,1.183M,2.379M,,5.966M,3.032M,0.205M,,,176.68M,0.0,5.40M,17.44M,12.11M,6.015M,,40.96M,-13.90M,27.06M,,149.55M,149.55M,,,0.927M,177.54M,354.23M,4.485M,,4.485M,17.92M,22.40M,0.609M,0.609M,0.609M,15.37M,15.37M,,38.38M,,,,,,,0.912M,39.30M,0.034M,-114.94M,430.36M,0.136M,,,,-0.392M,314.93M
2004-09,,11.27M,109.95M,121.22M,26.36M,26.36M,1.753M,1.235M,3.608M,,6.596M,3.688M,0.204M,,,158.06M,,,,,,,40.19M,-12.41M,27.78M,,150.02M,150.02M,,,0.96M,178.76M,336.82M,5.214M,,5.214M,14.94M,20.15M,0.813M,0.813M,0.813M,14.09M,14.09M,0.806M,35.86M,0.052M,0.052M,,,,1.134M,1.186M,37.05M,0.034M,-126.62M,426.39M,,,,,-0.032M,299.77M
2004-06,,8.23M,98.18M,106.41M,24.70M,24.70M,2.018M,1.849M,3.295M,,7.162M,3.462M,0.204M,,,141.95M,,,,,,,41.42M,-12.41M,29.01M,,150.49M,150.49M,,,1.014M,180.51M,322.46M,4.311M,,4.311M,13.48M,17.79M,0.904M,0.904M,0.904M,13.38M,13.38M,,32.08M,0.23M,0.23M,,,,1.223M,1.453M,33.53M,0.034M,-132.73M,421.91M,,,,,-0.287M,288.93M
2004-03,,13.35M,102.49M,115.84M,27.32M,27.32M,1.20M,2.314M,4.469M,,7.983M,3.338M,0.213M,,,154.69M,,,,,,,21.79M,-12.41M,9.384M,,150.95M,150.95M,,,1.308M,161.65M,316.34M,4.67M,,4.67M,11.56M,16.23M,0.998M,0.998M,0.998M,13.00M,13.00M,,30.22M,0.435M,0.435M,,,,1.525M,1.96M,32.18M,0.033M,-137.56M,420.68M,,,,,1.008M,284.16M
2003-12,,11.34M,101.61M,112.95M,26.82M,26.82M,1.247M,1.797M,5.744M,,8.788M,3.203M,0.188M,,,151.95M,0.0,,2.714M,14.80M,5.187M,,22.70M,-12.41M,10.29M,,151.20M,151.20M,,,1.563M,163.05M,314.99M,5.894M,,5.894M,15.37M,21.27M,1.03M,1.03M,1.03M,11.34M,11.34M,,33.64M,0.695M,0.695M,,,,1.701M,2.396M,36.04M,0.033M,-138.41M,416.56M,,,,,0.779M,278.96M
2003-09,,12.48M,22.97M,35.45M,23.66M,23.66M,3.285M,2.61M,6.851M,,12.75M,2.983M,,,,74.83M,,,,,,,19.20M,-8.514M,10.69M,,152.91M,152.91M,,,0.33M,163.93M,238.76M,11.42M,,11.42M,10.54M,21.96M,1.156M,1.156M,1.156M,8.824M,8.824M,,31.94M,0.95M,0.95M,,,,1.227M,2.177M,34.12M,0.027M,-133.56M,337.74M,,,,,0.441M,204.65M
2003-06,,17.68M,25.17M,42.85M,21.86M,21.86M,4.018M,3.312M,6.271M,,13.60M,2.046M,,,,80.35M,,,,,,,20.14M,-8.514M,11.63M,,153.50M,153.50M,,,,165.13M,245.48M,17.20M,,17.20M,7.767M,24.97M,1.244M,1.244M,1.244M,7.131M,7.131M,5.449M,38.80M,1.235M,1.235M,,,,0.877M,2.112M,40.91M,0.027M,-130.21M,334.16M,,,,,0.593M,204.58M
2003-03,,22.77M,22.24M,45.01M,20.90M,20.90M,3.808M,1.848M,2.626M,,8.282M,2.037M,,,,76.22M,,,,,,,18.34M,-8.514M,9.823M,,3.37M,3.37M,,,,13.19M,89.42M,10.14M,,10.14M,7.81M,17.95M,1.434M,1.434M,1.434M,6.14M,6.14M,,25.53M,1.531M,1.531M,,,,,1.531M,27.06M,0.037M,-131.08M,192.41M,,,,,0.994M,62.36M
2002-12,,17.61M,33.23M,50.84M,16.89M,16.89M,3.42M,0.78M,4.538M,,8.738M,2.161M,,,,78.62M,,,,11.53M,7.372M,,18.90M,-8.514M,10.39M,,2.568M,2.568M,,,,12.96M,91.58M,9.282M,,9.282M,10.43M,19.71M,1.511M,1.511M,1.511M,4.838M,4.838M,,26.06M,1.838M,1.838M,,,,,1.838M,27.90M,0.036M,-128.79M,191.02M,,,,,1.415M,63.68M
2002-09,,18.34M,30.16M,48.50M,19.04M,19.04M,3.335M,1.372M,5.165M,-0.001M,9.871M,2.022M,,,,79.44M,,,,,,,18.06M,-7.367M,10.69M,,2.724M,2.724M,,,,13.41M,92.86M,9.099M,,9.099M,10.19M,19.29M,1.386M,1.386M,1.386M,4.515M,4.515M,,25.19M,1.792M,1.792M,,,,,1.792M,26.99M,0.036M,-126.19M,190.91M,,,,,1.115M,65.87M
2002-06,,23.87M,31.50M,55.37M,15.21M,15.21M,2.675M,1.554M,3.001M,,7.23M,1.699M,,,,79.51M,,,,,,,18.47M,-7.367M,11.10M,,2.918M,2.918M,,,,14.02M,93.54M,8.033M,,8.033M,9.275M,17.31M,1.022M,1.022M,1.022M,3.706M,3.706M,,22.04M,0.971M,0.971M,,,,,0.971M,23.01M,0.036M,-119.73M,190.05M,,,,,0.169M,70.53M
2002-03,,8.335M,48.29M,56.63M,15.49M,15.49M,3.403M,1.407M,1.432M,,6.242M,2.888M,,,,81.25M,,,,,,,18.49M,-7.367M,11.12M,,3.113M,3.113M,,,,14.24M,95.49M,9.184M,,9.184M,6.378M,15.56M,1.587M,1.587M,1.587M,3.624M,3.624M,,20.77M,1.282M,1.282M,,,,,1.282M,22.06M,0.036M,-115.99M,189.96M,,,,,-0.578M,73.43M
2001-12,,10.49M,56.17M,66.66M,13.25M,13.25M,3.577M,1.33M,1.275M,,6.182M,3.128M,,,,89.22M,0.0,,2.532M,12.67M,,,15.20M,-7.367M,7.834M,,3.308M,3.308M,,,,11.14M,100.36M,8.30M,,8.30M,7.496M,15.80M,1.631M,1.631M,1.631M,3.87M,3.87M,,21.30M,0.771M,0.771M,,,,,0.771M,22.07M,0.036M,-110.37M,188.96M,,,,,-0.335M,78.29M
2001-09,,24.62M,39.66M,64.27M,15.56M,15.56M,,,,,7.595M,2.723M,,,,90.15M,,,,,,,11.94M,-5.181M,6.761M,,3.502M,3.502M,,,,10.26M,100.41M,6.182M,,6.182M,5.524M,11.71M,,1.903M,1.903M,3.434M,3.434M,,17.04M,0.963M,0.963M,,,,,0.963M,18.01M,0.036M,-106.12M,188.88M,,,,,-0.389M,82.41M
2001-06,,23.48M,50.99M,74.47M,9.686M,9.686M,2.563M,1.16M,3.068M,,6.791M,1.784M,,,,92.73M,,,,,,,11.76M,-5.181M,6.574M,,3.697M,3.697M,,,,10.27M,103.00M,6.935M,,6.935M,1.729M,8.664M,2.11M,2.11M,2.11M,2.198M,2.198M,3.573M,16.54M,0.772M,0.772M,,,,,0.772M,17.32M,0.036M,-101.32M,188.20M,,,,,-1.232M,85.69M
2001-03,,13.67M,63.25M,76.92M,10.27M,10.27M,2.667M,1.415M,2.441M,,6.523M,1.606M,,,,95.31M,,,,,,,10.98M,-5.181M,5.803M,,3.892M,3.892M,,,,9.695M,105.01M,5.54M,,5.54M,3.151M,8.691M,2.072M,2.072M,2.072M,2.34M,2.34M,1.543M,14.65M,1.473M,1.473M,,,,,1.473M,16.12M,0.036M,-97.08M,187.41M,,,,,-1.479M,88.89M
2000-12,,22.66M,66.78M,89.44M,6.444M,6.444M,,,,,6.076M,1.705M,,,,103.67M,,,,,,,9.85M,-5.181M,4.669M,,4.086M,4.086M,,,,8.755M,112.42M,7.128M,,7.128M,7.131M,14.26M,,2.019M,2.019M,3.552M,3.552M,,19.83M,1.861M,1.861M,,,,,1.861M,21.69M,0.036M,-93.67M,186.71M,,,,,-2.349M,90.73M
2000-09,,25.96M,61.72M,87.68M,,8.373M,,,,,5.256M,,,,1.635M,102.95M,,,,,,,8.572M,-4.733M,3.839M,,,,,,4.281M,8.12M,111.07M,5.225M,,5.225M,,5.225M,,1.941M,1.941M,,,8.187M,15.35M,1.241M,1.241M,,,,,1.241M,16.59M,0.036M,-88.69M,186.45M,,,,,-3.324M,94.47M
2000-06,,40.48M,46.86M,87.34M,,5.285M,,,,,4.796M,,,,1.014M,98.44M,,,,,,,8.007M,-4.335M,3.672M,,,,,,4.465M,8.137M,106.57M,4.825M,,4.825M,,4.825M,,1.746M,1.746M,,,6.68M,13.25M,2.038M,2.038M,,,,,2.038M,15.29M,0.035M,-84.67M,180.17M,,,,,-4.254M,91.28M
2000-03,,39.05M,15.58M,54.63M,,2.78M,,,,,3.573M,,,,1.018M,62.00M,,,,,,,6.665M,-3.586M,3.079M,,,,,,,3.079M,65.08M,3.455M,,3.455M,,3.455M,,1.781M,1.781M,,,5.04M,10.28M,2.471M,2.471M,,,,,2.471M,12.75M,0.03M,-80.18M,135.78M,,0.023M,,,-3.298M,52.33M
