,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,RepurchaseofCapitalStock
2020-09,316.80M,-64.20M,-64.20M,56.60M,12.60M,69.20M,69.20M,19.40M,2.40M,105.80M,,4.20M,-79.70M,-56.90M,-23.30M,-0.30M,,,-18.80M,-179.00M,274.60M,-64.40M,,,0.00,-961.50M,,-1.026B,,,0.00,0.00,113.90M,-28.70M,85.20M,2.052B,-666.10M,-0.40M,1.386B,,0.00
2020-06,70.20M,-0.20M,-0.20M,51.40M,12.40M,63.80M,63.80M,-12.00M,-2.40M,95.90M,,4.10M,18.70M,-54.90M,36.40M,-25.50M,,,35.80M,10.50M,229.90M,-110.00M,,,0.00,646.70M,,536.70M,,,0.00,0.00,62.70M,-15.10M,47.60M,1.239B,814.20M,-0.80M,2.052B,,0.00
2020-03,316.20M,0.20M,0.20M,51.10M,12.30M,63.40M,63.40M,64.50M,,90.60M,,4.10M,118.20M,-65.20M,-131.90M,21.90M,,,-129.20M,-186.20M,352.80M,-105.20M,,,-37.70M,25.80M,,-117.10M,,,-100.00M,-100.00M,91.30M,-170.00M,-178.70M,1.183B,57.00M,-0.80M,1.239B,,-100.00M
2019-12,362.70M,0.60M,0.60M,52.00M,11.80M,63.80M,63.80M,0.30M,,89.20M,,3.90M,-11.80M,-67.10M,-21.80M,-12.40M,,,145.30M,32.20M,552.70M,-142.00M,,,-27.90M,-236.30M,,-406.20M,,,0.00,0.00,67.10M,-16.30M,50.80M,984.60M,197.30M,0.70M,1.183B,,0.00
2019-09,398.70M,-6.60M,-6.60M,40.20M,10.70M,50.90M,50.90M,-61.00M,1.60M,88.90M,,3.30M,1.70M,-115.40M,-5.90M,3.00M,,,37.10M,-79.50M,396.30M,-86.70M,,,-33.00M,-96.90M,,-216.60M,,,-69.50M,-69.50M,86.10M,-15.40M,1.20M,805.30M,180.90M,-1.60M,984.60M,,-69.50M
2019-06,316.40M,1.20M,1.20M,36.20M,10.50M,46.70M,46.70M,19.80M,-1.60M,81.60M,,3.10M,-85.70M,-84.00M,-26.50M,-1.30M,,,46.30M,-151.20M,316.00M,-82.10M,,,2.50M,-143.10M,,-222.70M,,,-200.00M,-200.00M,30.80M,-9.40M,-178.60M,890.70M,-85.30M,-0.10M,805.30M,,-200.00M
2019-03,304.00M,-1.20M,-1.20M,31.60M,10.00M,41.60M,41.60M,32.90M,,76.10M,,2.80M,134.60M,-94.00M,-62.70M,23.00M,,,-123.90M,-123.00M,333.20M,-114.80M,,,-1.30M,-192.80M,,-308.90M,,,0.00,0.00,88.80M,-130.60M,-41.80M,909.40M,-17.50M,-1.20M,890.70M,,0.00
2018-12,291.30M,-1.40M,-1.40M,31.80M,4.50M,36.30M,36.30M,-20.40M,,70.40M,,2.70M,-96.10M,-73.20M,11.60M,3.30M,,,113.60M,-40.80M,338.10M,-55.50M,,,-27.80M,-403.00M,,-486.30M,,,0.00,0.00,37.00M,-3.30M,33.70M,1.023B,-114.50M,0.60M,909.40M,,0.00
2018-09,291.80M,-1.50M,-1.50M,27.00M,4.00M,31.00M,31.00M,3.60M,,70.00M,,2.60M,-47.90M,-71.90M,13.10M,-0.90M,,,29.90M,-77.70M,319.80M,-47.00M,,,-22.00M,-503.60M,,-572.60M,,,0.00,0.00,64.70M,-7.00M,57.70M,1.218B,-195.10M,-0.10M,1.023B,,0.00
2018-06,254.60M,0.00,0.00,26.10M,3.10M,29.20M,29.20M,11.30M,,63.30M,,2.60M,-50.30M,-67.70M,-81.80M,5.90M,,,64.40M,-129.50M,231.50M,-44.80M,,,-38.10M,38.60M,,-44.30M,,,0.00,0.00,48.70M,-5.50M,43.20M,989.70M,230.40M,-1.60M,1.218B,,0.00
